##221672		
OFF	off	ii
nowhere	nowhere	rl
except	except	cs
by	by	ii
snow	snow	nn1
machine	machine	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
of	of	io
person	person	nn1
to	to	to
want	want	vvi
to	to	to
live	live	vvi
in	in	ii_rp@
a	a	at1
place	place	nn1
like	like	ii
this	this	dd1
.	.	y
@(Footage-inside-rad)		zzc
@!Ms-TATE		zzq
:	:	y
@(Voiceover)		zzc
And	and	cc
I	i	ppis1
'm	be	vbm
not	not	xx
a	a	at1
professional	professional	jj
DJ	dj	nn1
.	.	y
I	i	ppis1
'm	be	vbm
just	just	rr
a	a	at1
weekender.	weekender	nnu
@!LAGATTUTA		zzq
:	:	y
@(Voiceover)		zzc
Fran	fran	np1
Tate	tate	np1
is	be	vbz
one	one	mc1
of	of	io
4,000	4,000	mc
citizens	citizen	nn2
who	who	pnqs
do	do	vd0
n't	n't	xx
mind	mind	vvi
the	the	at
weather	weather	nn1
.	.	y
@!Ms-TATE		zzq
:	:	y
Ah-ha	ah-ha	uh
!	!	y
@!LAGATTUTA		zzq
:	:	y
How	how	rrq_rgq@
cold	cold	nn1_jj
is	be	vbz
it	it	pph1
here	here	rl
today	today	rt
,	,	y
do	do	vd0
you	you	ppy
think	think	vvi
?	?	y
@!Ms-TATE		zzq
:	:	y
Today	today	rt
,	,	y
with	with	iw
the	the	at
chill	chill	nn1_jj@
factor	factor	nn1
,	,	y
it	it	pph1
's	be	vbz_vhz@
44	44	mc
below	below	rl
,	,	y
I	i	ppis1
guess	guess	vv0
it	it	pph1
is.	is	nnu
@(Footage-of-restaur)		zzc
@!LAGATTUTA		zzq
:	:	y
@(Voiceover)		zzc
She	she	pphs1
runs	run	vvz
one	one	mc1
of	of	io
the	the	at
town	town	nn1
's	's	ge
three	three	mc
restaurants	restaurant	nn2
,	,	y
Pepe	pepe	np1
's	's	ge
North	north	nd1
of	of	io
the	the	at
Border	border	nn1
.	.	y
@!Ms-TATE		zzq
:	:	y
Hey	hey	uh
,	,	y
hey	hey	uh
.	.	y
Hi	hi	uh
,	,	y
Beth	beth	np1
.	.	y
Hi	hi	uh
,	,	y
Mick	mick	np1
.	.	y
How	how	rrq
's	be	vbz_vhz@
things	thing	nn2
going	go	vvg
?	?	y
(	(	y
Footage	footage	nn1
of	of	io
cook	cook	nn1
;		np1
people	people	nn
ice	ice	nn1
fishing	fishing	nn1
;		np1
@!LAGATTUTA		zzq
:	:	y
@(Voiceover)		zzc
You	you	ppy
can	can	vm
eat	eat	vvi
tacos	taco	nn2
on	on	ii
the	the	at
tundra	tundra	nn1
or	or	cc
fish	fish	nn_vv0@
for	for	if
your	your	appge
food	food	nn1
,	,	y
as	as	csa_ii
the	the	at
native	native	jj
Eskimos	eskimo	nn2
do	do	vd0
.	.	y
@(Footage-of-high-sc)		zzc
@!LAGATTUTA		zzq
:	:	y
@(Voiceover)		zzc
You	you	ppy
can	can	vm
watch	watch	vvi
the	the	at
high	high	jj
school	school	nn1
team	team	nn1
play	play	nn1
.	.	y
But	but	ccb
other	other	ii21
than	than	ii22
that	that	dd1
...	...	...
What	what	ddq
do	do	vd0
people	people	nn
do	do	vdi
for	for	if
fun	fun	nn1
up	up	rp
in	in	ii
Barrow	barrow	np1
?	?	y
@!Ms-TATE		zzq
:	:	y
Drink	drink	vv0_nn1
.	.	y
@(Footage-of-Stettle)		zzc
@!LAGATTUTA		zzq
:	:	y
@(Voiceover)		zzc
And	and	cc
that	that	dd1
's	be	vbz
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
STETTLER	stettler	nn1
:	:	y
He	he	pphs1
's	be	vbz
calling	call	vvg
for	for	if
help	help	nn1_vv0
over	over	rp
at	at	ii
that	that	dd1
other	other	jj
house	house	nn1
.	.	y
He	he	pphs1
's	be	vhz
probably	probably	rr
got	get	vvn
somebody	somebody	pn1
intoxicated	intoxicate	vvd
,	,	y
out	out	ii21
of	of	ii22
control	control	nn1
over	over	rp_ii
there	there	rl_ex
is	be	vbz
what	what	ddq
it	it	pph1
sounds	sound	vvz
like	like	ii
.	.	y
@(On-radio)		zzc
Two-11	two-11	mc
,	,	y
10-23.	10-23	mcmc
@(Footage-of-man-bei)		zzc
@!LAGATTUTA		zzq
:	:	y
@(Voiceover)		zzc
This	this	dd1
is	be	vbz
not	not	xx
big	big	jj
city	city	nn1
police	police	nn2
work	work	vv0_nn1
.	.	y
Unidentified	unidentified	jj
Woman	woman	nn1
1	1	mc1
:	:	y
Get	get	vv0
that	that	dd1
(	(	y
censored	censored	jj_vvn
)		np1
camera	camera	nn1
out	out	ii21
of	of	ii22
here	here	rl
,	,	y
you	you	ppy
...	...	...
Officer	officer	nn1
STETTLER	stettler	nn1
:	:	y
Hey	hey	uh
,	,	y
relax	relax	vv0
.	.	y
Hey	hey	uh
!	!	y
Relax	relax	vv0
.	.	y
Relax	relax	vv0
.	.	y
You	you	ppy
want	want	vv0
to	to	to
go	go	vvi
to	to	to
jail	jail	vvi
?	?	y
Woman	woman	nn1
1	1	mc1
:	:	y
Yes	yes	uh
!	!	y
Officer	officer	nn1
STETTLER	stettler	nn1
:	:	y
Relax	relax	vv0
.	.	y
@!LAGATTUTA		zzq
:	:	y
@(Voiceover)		zzc
But	but	ccb
an	a	at1
hour	hour	nnt1
into	into	ii
his	his	appge
shift	shift	nn1@
,	,	y
there	there	ex
's	be	vbz
already	already	rr
an	a	at1
arrest	arrest	nn1
for	for	if
disorderly	disorderly	jj
conduct	conduct	nn1
.	.	y
qwq		xx
@		ii
(	(	y
Footage-of-man-in-		np1
Officer	officer	nn1
STETTLER	stettler	nn1
:	:	y
He	he	pphs1
'll	will	vm
spend	spend	vvi
the	the	at
night	night	nnt1
in	in	ii
jail	jail	nn1
until	until	cs
he	he	pphs1
sobers	sober	vvz
up	up	rp
.	.	y
@(Footage-of-man-bei)		zzc
@!LAGATTUTA		zzq
:	:	y
@(Voiceover)		zzc
And	and	cc
it	it	pph1
's	be	vbz
weekends	weekend	nnt2
like	like	ii
this	this	dd1
that	that	cst
put	put	vvd_vv0
Barrow	barrow	np1_nn1@
on	on	ii
the	the	at
wagon	wagon	nn1
.	.	y
Sergeant	sergeant	nn1
ROGER	roger	np1
BLETH	bleth	np1_vvz
:	:	y
On	on	ii
a	a	at1
typical	typical	jj
Friday	friday	npd1
or	or	cc
Saturday	saturday	npd1
night	night	nnt1
,	,	y
we	we	ppis2
would	would	vm
spend	spend	vvi
the	the	at
entire	entire	jj
night	night	nnt1
chasing	chase	vvg
one	one	mc1
disturbance	disturbance	nn1
call	call	nn1_vv0
after	after	ii_cs
another	another	dd1
.	.	y
@(Footage-of-Bleth)		zzc
@!LAGATTUTA		zzq
:	:	y
@(Voiceover)		zzc
Sergeant	sergeant	nnb
Roger	roger	np1
Bleth.	bleth	np1
@!Sgt-BLETH		zzq
:	:	y
I	i	ppis1
would	would	vm
estimate	estimate	vvi
at	at	rr21
least	least	rr22
80	80	mc
percent	percent	nnu
of	of	io
them	them	ppho2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
kind	kind	nn1
of	of	io
problems	problem	nn2
,	,	y
what	what	ddq
kind	kind	nn1
of	of	io
crimes	crime	nn2
can	can	vm
you	you	ppy
directly	directly	rr
attribute	attribute	vvi
to	to	ii
alcohol	alcohol	nn1
?	?	y
@!Sgt-BLETH		zzq
:	:	y
Disorderly	disorderly	jj
activity	activity	nn1
:	:	y
assaults	assault	nn2
,	,	y
domestic	domestic	jj
assaults	assault	nn2
and	and	cc
homicides.	homicides	nnu
@(Footage-of-town)		zzc
@!LAGATTUTA		zzq
:	:	y
@(Voiceover)		zzc
So	so	rr_cs@
using	use	vvg
an	a	at1
Alaska	alaska	np1
state	state	nn1_vv0
law	law	nn1
that	that	cst_dd1
allows	allow	vvz
each	each	dd1
community	community	nn1
to	to	to
decide	decide	vvi
its	its	z'
own	own	da
alcohol	alcohol	nn1
policy	policy	nn1
,	,	y
Barrow	barrow	np1
a	a	at1
year	year	nnt1
ago	ago	ra
voted	vote	vvd
in	in	ii
prohibition	prohibition	nn1
.	.	y
Mayor	mayor	nn1
GEORGE	george	np1
AHMAOGAK	ahmaogak	vv0_np1_nn1
Sr.	sr	nnb
:	:	y
Even	even	cs21
though	though	cs22
that	that	dd1
was	be	vbdz
a	a	at1
drastic	drastic	jj
move	move	nn1
that	that	cst
we	we	ppis2
did	do	vdd
on	on	ii
our	our	appge
part	part	nn1
,	,	y
that	that	dd1_cst
was	be	vbdz
the	the	at
only	only	jj
solution	solution	nn1
.	.	y
qwq		xx
@		ii
(	(	y
Footage-of-mayor		np1
's	's	ge
@!LAGATTUTA		zzq
:	:	y
@(Voiceover)		zzc
Mayor	mayor	nnb
George	george	np1
Ahmaogak	ahmaogak	np1
.	.	y
That	that	dd1
's	be	vbz
an	a	at1
extreme	extreme	jj
measure	measure	nn1
.	.	y
Was	be	vbdz
that	that	dd1
the	the	at
only	only	jj
answer	answer	nn1
here	here	rl
,	,	y
ban	ban	vv0_nn1
alcohol	alcohol	nn1
outright	outright	rr_jj
?	?	y
Mayor	mayor	nn1
AHMAOGAK	ahmaogak	np1_nn1
:	:	y
I	i	ppis1
think	think	vv0
that	that	dd1_cst
was	be	vbdz
the	the	at
only	only	jj
answer	answer	nn1
.	.	y
@!Sgt-BLETH		zzq
:	:	y
And	and	cc
,	,	y
you	you	ppy
know	know	vv0
,	,	y
it	it	pph1
worked	work	vvd
.	.	y
After	after	cs_ii
the	the	at
town	town	nn1
went	go	vvd
dry	dry	jj
,	,	y
it	it	pph1
was	be	vbdz
just	just	rr
like	like	ii
turning	turn	vvg
a	a	at1
faucet	faucet	nn1
off	off	rp
.	.	y
The	the	at
acts	act	nn2
of	of	io
violence	violence	nn1
and	and	cc
disorder	disorder	nn1
just	just	rr_jj@
--		zz
just	just	rr
quit	quit	vvn_vvd_vv0
overnight	overnight	rt_jj
.	.	y
@(Footage-inside-pol)		zzc
@!LAGATTUTA		zzq
:	:	y
@(Voiceover)		zzc
Crime	crime	nn1
,	,	y
overall	overall	rr_nn1_jj
,	,	y
for	for	if
the	the	at
year	year	nnt1
dropped	drop	vvd_vvn
70	70	mc
percent	percent	nnu
.	.	y
@!Sgt-BLETH		zzq
:	:	y
Substance-related	substance-related	jj
activities	activity	nn2
,	,	y
we	we	ppis2
had	have	vhd
211	211	mc
in	in	ii
'	'	ge
94	94	mc
,	,	y
before	before	cs_ii
the	the	at
ban	ban	nn1
,	,	y
and	and	cc
only	only	rr
90	90	mc
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
center	center	nn1
were	be	vbdr
practically	practically	rr
empty	empty	jj_vv0@
;		np1
alcohol-related	alcohol-related	jj_nn1
visits	visit	nn2
to	to	ii
the	the	at
emergency	emergency	nn1
room	room	nn1
,	,	y
at	at	ii
an	a	at1
all-time	all-time	jj
low	low	jj_nn1@
.	.	y
This	this	dd1
is	be	vbz
like	like	ii
a	a	at1
laboratory	laboratory	nn1
.	.	y
@!Sgt-BLETH		zzq
:	:	y
You	you	ppy
bet	bet	vv0
.	.	y
@!LAGATTUTA		zzq
:	:	y
Yeah	yeah	uh
.	.	y
@!Sgt-BLETH		zzq
:	:	y
Kind	kind	nn1_rr21%
of	of	io_rr22
a	a	at1
grand	grand	jj
experiment	experiment	nn1
.	.	y
@(Footage-of-Tom-Nic)		zzc
@!Mr-TOM-NICHOLS		zzq
:	:	y
Alcohol	alcohol	nn1
abuse	abuse	nn1
is	be	vbz
the	the	at
problem	problem	nn1
,	,	y
not	not	xx
the	the	at
use	use	nn1
of	of	io
alcohol	alcohol	nn1
.	.	y
@!LAGATTUTA		zzq
:	:	y
@(Voiceover)		zzc
Tom	tom	np1
Nichols	nichols	np1
,	,	y
who	who	pnqs
likes	like	vvz
to	to	to
barbecue	barbecue	vvi
in	in	ii
30	30	mc
below	below	rl
,	,	y
thought	think	vvd_nn1_vvn
prohibition	prohibition	nn1
went	go	vvd
too	too	rg
far	far	rr_jj
.	.	y
@!Mr-NICHOLS		zzq
:	:	y
@(Voiceover)		zzc
I	i	ppis1
consider	consider	vv0
myself	myself	ppx1
a	a	at1
light	light	jj_nn1
drinker	drinker	nn1
.	.	y
So	so	rr
alcohol	alcohol	nn1
is	be	vbz
really	really	rr
not	not	xx
that	that	dd1_rg%_cst
important	important	jj
an	a	at1
issue	issue	nn1
to	to	ii
me	me	ppio1
.	.	y
What	what	ddq
is	be	vbz
an	a	at1
important	important	jj
issue	issue	nn1
is	be	vbz
for	for	if
the	the	at
government	government	nn1
to	to	to
continue	continue	vvi
to	to	to
interfere	interfere	vvi
in	in	ii_rp@
my	my	appge
life	life	nn1
.	.	y
qwq		xx
@		ii
(	(	y
Footage-of-poster		np1
;		np1
@!LAGATTUTA		zzq
:	:	y
@(Voiceover)		zzc
He	he	pphs1
formed	form	vvd
a	a	at1
committee	committee	nn1
,	,	y
and	and	cc
after	after	ii_cs
a	a	at1
long	long	jj
campaign	campaign	nn1
,	,	y
got	get	vvd_vvn
prohibition	prohibition	nn1
overturned	overturn	vvd_vvn
.	.	y
What	what	ddq
is	be	vbz
it	it	pph1
that	that	cst
you	you	ppy
'll	will	vm
be	be	vbi
able	able	jk
to	to	to
do	do	vdi
now	now	cs21
that	that	cs22
alcohol	alcohol	nn1
is	be	vbz
legal	legal	jj
that	that	cst
you	you	ppy
could	could	vm
n't	n't	xx
do	do	vdi
a	a	at1
little	little	jj
while	while	nnt1
ago	ago	ra
?	?	y
@!Mr-NICHOLS		zzq
:	:	y
Drink	drink	vv0_nn1
beer	beer	nn1
.	.	y
Have	have	vh0
a	a	at1
glass	glass	nn1
of	of	io
wine	wine	nn1
with	with	iw
supper	supper	nn1
.	.	y
@(Footage-of-Nichols)		zzc
@!Mr-NICHOLS		zzq
:	:	y
@(Voiceover)		zzc
And	and	cc
I	i	ppis1
do	do	vd0
n't	n't	xx
have	have	vhi
to	to	to
feel	feel	vvi
like	like	ii
a	a	at1
criminal	criminal	nn1_jj
.	.	y
Unidentified	unidentified	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
alcohol	alcohol	nn1
had	have	vhd
to	to	to
come	come	vvi
back	back	rp
.	.	y
Too	too	rg
much	much	da1_rr
problems	problem	nn2
.	.	y
That	that	dd1
alcohol	alcohol	nn1
is	be	vbz
nothing	nothing	pn1
but	but	ii_ccb
problems	problem	nn2
in	in	ii
here	here	rl
.	.	y
I	i	ppis1
wish	wish	vv0
Tom	tom	np1
Nichols	nichols	np1
would	would	vm
have	have	vhi
realized	realize	vvn
that	that	cst
when	when	cs
he	he	pphs1
first	first	md
came	come	vvd
here	here	rl
.	.	y
Mayor	mayor	nn1
AHMAOGAK	ahmaogak	np1_nn1
:	:	y
People	people	nn
are	be	vbr
going	go	vvgk
to	to	to
lose	lose	vvi
their	their	appge
lives	life	nn2
.	.	y
Families	family	nn2
are	be	vbr
going	go	vvgk
to	to	to
break	break	vvi
up	up	rp
.	.	y
Children	child	nn2
's	be	vbz
not	not	xx
going	go	vvgk
to	to	to
perform	perform	vvi
good	good	jj
.	.	y
qwq		xx
@		ii
(	(	y
Footage-of-Stettle		np1
Officer	officer	nn1
STETTLER	stettler	nn1
:	:	y
Well	well	rr
,	,	y
we	we	ppis2
're	be	vbr
off	off	rp
to	to	ii
Browerville	browerville	np1
again	again	rt
.	.	y
@!LAGATTUTA		zzq
:	:	y
@(Voiceover)		zzc
Which	which	ddq
brings	bring	vvz
us	us	ppio2
back	back	rp
to	to	ii
Friday	friday	npd1
night	night	nnt1
.	.	y
Officer	officer	nn1
STETTLER	stettler	nn1
:	:	y
Unknown	unknown	jj
problem	problem	nn1
.	.	y
qwq		xx
@		ii
(	(	y
Footage-of-Stettle		np1
Officer	officer	nn1
STETTLER	stettler	nn1
:	:	y
Hi	hi	uh
.	.	y
Unidentified	unidentified	jj
Man	man	nn1
7	7	mc
:	:	y
Hi	hi	uh
.	.	y
Officer	officer	nn1
STETTLER	stettler	nn1
:	:	y
Can	can	vm
I	i	ppis1
come	come	vvi
in	in	rp@
for	for	if
a	a	at1
minute	minute	nnt1
?	?	y
Man	man	nn1
7	7	mc
:	:	y
Huh	huh	uh
?	?	y
Officer	officer	nn1
STETTLER	stettler	nn1
:	:	y
Can	can	vm
I	i	ppis1
come	come	vvi
in	in	rp@
for	for	if
a	a	at1
minute	minute	nnt1
?	?	y
Man	man	nn1
7	7	mc
:	:	y
Yeah	yeah	uh
.	.	y
qwq		xx
@		ii
(	(	y
Sound-of-woman-cry	sound-of-woman-cry	jj_nn1
Officer	officer	nn1
STETTLER	stettler	nn1
:	:	y
Come	come	vv0
on	on	rp
,	,	y
hold	hold	vv0
on	on	rp_ii21
to	to	ii_ii22
my	my	appge
arm	arm	nn1
here	here	rl
.	.	y
I	i	mc1@_zz1@_ppis1
--		nn1_jj
I	i	ppis1
ca	can	vm
n't	n't	xx
figure	figure	vvi
out	out	rp
exactly	exactly	rr
what	what	ddq
the	the	at
problem	problem	nn1
is	be	vbz
other	other	ii21
than	than	ii22
she	she	pphs1
's	be	vbz_vhz@
intoxicated	intoxicate	vvn@_jj@
.	.	y
The	the	at
husband	husband	nn1
seemed	seem	vvd
fine	fine	jj
and	and	cc
sober	sober	jj_vv0@
.	.	y
She	she	pphs1
's	be	vbz_vhz@
agreed	agree	vvn
to	to	to
go	go	vvi
sleep	sleep	nn1_vv0
at	at	ii
detox	detox	nn1
.	.	y
Unidentified	unidentified	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
STETTLER	stettler	nn1
:	:	y
A	a	at1@_zz1
couple	couple	nn1
hours	hour	nnt2
,	,	y
till	till	cs
you	you	ppy
sober	sober	vv0@
up	up	rp
.	.	y
Woman	woman	nn1
3	3	mc
:	:	y
OK.	ok	rr
qwq		xx
@		ii
(	(	y
Footage-of-Stettle		np1
Officer	officer	nn1
STETTLER	stettler	nn1
:	:	y
See	see	vv0
,	,	y
everything	everything	pn1
we	we	ppis2
've	have	vh0
been	be	vbn
on	on	ii_rp@
so	so	rg
far	far	rr
tonight	tonight	rt
has	have	vhz
had	have	vhn
alcohol	alcohol	nn1
involved	involve	vvn
.	.	y
Unidentified	unidentified	jj
Woman	woman	nn1
4	4	mc
:	:	y
@(On-radio)		zzc
Nineteen-40.	nineteen-40	mc
qwq		xx
@		ii
(	(	y
Stettler-arrives-a		np1
Officer	officer	nn1
STETTLER	stettler	nn1
:	:	y
What	what	ddq
's	be	vbz
up	up	rp
?	?	y
Unidentified	unidentified	jj
Woman	woman	nn1
5	5	mc
:	:	y
I	i	ppis1
need	need	vv0
some	some	dd
assistance	assistance	nn1
.	.	y
Officer	officer	nn1
STETTLER	stettler	nn1
:	:	y
I	i	ppis1
'm	be	vbm
right	right	rr_jj
here	here	rl
.	.	y
Unidentified	unidentified	jj
Woman	woman	nn1
6	6	mc
:	:	y
Get	get	vv0
her	her	ppho1
out	out	ii21
of	of	ii22
my	my	appge
house	house	nn1
...	...	...
Officer	officer	nn1
STETTLER	stettler	nn1
:	:	y
OK	ok	rr
.	.	y
OK	ok	rr
.	.	y
Woman	woman	nn1
6	6	mc
:	:	y
...	...	...
before	before	cs
I	i	ppis1
kick	kick	vv0
her	her	ppho1
out	out	ii%_rp
myself	myself	ppx1
.	.	y
Officer	officer	nn1
STETTLER	stettler	nn1
:	:	y
All	all	rr21
right	right	rr22
.	.	y
Let	let	vm21
's	be	vm22
go	go	vvi
.	.	y
Get	get	vv0
in	in	ii_rp@
the	the	at
cab	cab	nn1
or	or	cc
go	go	vv0
to	to	to
jail	jail	vvi
.	.	y
Come	come	vv0
on	on	rp
.	.	y
Right	right	rr_nn1
there	there	rl
.	.	y
Woman	woman	nn1
3	3	mc
:	:	y
It	it	pph1
's	be	vbz
nothing	nothing	pn1
but	but	ii_ccb
torture	torture	nn1_vv0
.	.	y
It	it	pph1
's	be	vbz
not	not	xx
good	good	jj
.	.	y
Sad	sad	jj
.	.	y
@(Footage-of-the-Nic)		zzc
@!LAGATTUTA		zzq
:	:	y
@(Voiceover)		zzc
But	but	ccb
should	should	vm
the	the	at
whole	whole	jj
city	city	nn1
have	have	vh0
to	to	to
pay	pay	vvi
?	?	y
@!Mr-NICHOLS		zzq
:	:	y
There	there	ex
's	be	vbz
a	a	at1
minority	minority	nn1
of	of	io
individuals	individual	nn2
in	in	ii
this	this	dd1
community	community	nn1
who	who	pnqs
have	have	vh0
a	a	at1
problem	problem	nn1
with	with	iw
alcohol	alcohol	nn1
and	and	cc
they	they	pphs2
take	take	vv0
that	that	dd1
problem	problem	nn1
and	and	cc
--		zz
and	and	cc
push	push	vv0
it	it	pph1
over	over	rp
on	on	ii21
to	to	ii22
other	other	jj
individuals	individual	nn2
.	.	y
@!LAGATTUTA		zzq
:	:	y
And	and	cc
you	you	ppy
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
