##4000550		
Whenever	whenever	rrqv
Edward	edward	np1
O.	o	np1
Thorp	thorp	np1
published	publish	vvd
his	his	appge
famous	famous	jj
book	book	nn1
Beat	beat	vvd_vv0
the	the	at
Dealer	dealer	nn1
,	,	y
teaching	teach	vvg
people	people	nn
a	a	at1
way	way	nn1
to	to	to
beat	beat	vvi
the	the	at
odds	odds	nn2
in	in	ii
a	a	at1
Las	la	np1
Vegas	vegas	np1
casino	casino	nn1
.	.	y
(	(	y
As	as	csa_ii
the	the	at
game	game	nn1
proceeds	proceeds	nn2_vvz
,	,	y
a	a	at1
player	player	nn1
who	who	pnqs
has	have	vhz
memorized	memorize	vvn
which	which	ddq
cards	card	nn2
have	have	vh0
been	be	vbn
played	play	vvn
knows	know	vvz
by	by	ii
inverse	inverse	jj_nn1
inference	inference	nn1
what	what	ddq
cards	card	nn2
remain	remain	vv0
in	in	ii_rp@
the	the	at
deck	deck	nn1
--	--	x
a	a	at1
deck	deck	nn1
rich	rich	jj
in	in	ii
10	10	mc
's	's	ge
and	and	cc
Aces	ace	nn2
shifts	shift	vvz
the	the	at
odds	odds	nn2
dramatically	dramatically	rr
in	in	ii31
favor	favor	ii32
of	of	ii33
the	the	at
player	player	nn1
,	,	y
a	a	at1
deck	deck	nn1
with	with	iw
lots	lots	pn
of	of	io
5	5	mc
's	's	ge
and	and	cc
6	6	mc221%
's	's	mc222%
shifts	shift	vvz
them	them	ppho2
in	in	ii31
favor	favor	ii32
of	of	ii33
the	the	at
house	house	nn1
.	.	y
)	)	y
<p>	<p>	y
The	the	at
casinos	casino	nn2
have	have	vh0
gone	go	vvn
to	to	ii
great	great	jj
lengths	length	nn2
to	to	to
deal	deal	vvi
with	with	iw
card-counters	card-counters	nn2
.	.	y
Dealers	dealer	nn2
use	use	vv0
multiple	multiple	jj_nn1
decks	deck	nn2
.	.	y
Known	known	jj@_vvn
card	card	nn1
counters	counter	nn2
are	be	vbr
banned	ban	vvn
from	from	ii
the	the	at
casinos	casino	nn2
,	,	y
their	their	appge
pictures	picture	nn2
kept	keep	vvn_vvd
on	on	ii
file	file	nn1
by	by	ii
security	security	nn1
personnel	personnel	nn2
.	.	y
In	in	ii
return	return	nn1
,	,	y
some	some	dd
card	card	nn1
counters	counter	nn2
are	be	vbr
suing	sue	vvg
,	,	y
claiming	claim	vvg
that	that	cst_dd1
,	,	y
since	since	cs
they	they	pphs2
're	be	vbr
not	not	xx
doing	do	vdg
anything	anything	pn1
technically	technically	rr
illegal	illegal	jj
,	,	y
such	such	da
banning	banning	nn1@
is	be	vbz
unjust	unjust	jj
.	.	y
<p>	<p>	y
While	while	cs
the	the	at
courts	court	nn2
are	be	vbr
deciding	decide	vvg
the	the	at
issue	issue	nn1
,	,	y
card	card	nn1
counting	counting	nn1
has	have	vhz
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
important	important	jj
about	about	ii
college	college	nn1
cheating	cheat	vvg_nn1@
.	.	y
In	in	ii
the	the	at
period	period	nn1
directly	directly	rr
after	after	ii_cs
Thorp	thorp	np1
published	publish	vvd
Beat	beat	vvd_vv0_nn1
the	the	at
Dealer	dealer	nn1
,	,	y
many	many	da2
card	card	nn1
counters	counter	nn2
went	go	vvd
to	to	ii
casinos	casino	nn2
along	along	ii21
with	with	ii22
friends	friend	nn2
who	who	pnqs
knew	know	vvd
they	they	pphs2
were	be	vbdr
using	use	vvg
the	the	at
card-counting	card-counting	jj_nn1
system	system	nn1
.	.	y
These	these	dd2
friends	friend	nn2
,	,	y
who	who	pnqs
had	have	vhd
not	not	xx
taught	teach	vvn
themselves	themselves	ppx2
card-counting	card-counting	jj
methods	method	nn2
,	,	y
usually	usually	rr
stood	stand	vvd_vvn@
beside	beside	ii
the	the	at
card-counters	card-counters	nn2
,	,	y
playing	play	vvg
blackjack	blackjack	nn1_vv0
in	in	ii
the	the	at
regular	regular	jj
way	way	nn1
.	.	y
But	but	ccb
none	none	pn
felt	feel	vvd
cheated	cheated	jj_vvn
when	when	cs_rrq
the	the	at
card-counter	card-counter	nn1
won	win	vvd_vvn
large	large	jj
sums	sum	nn2
of	of	io
money	money	nn1
by	by	ii
beating	beat	vvg
the	the	at
odds	odds	nn2
.	.	y
If	if	cs
anything	anything	pn1
,	,	y
they	they	pphs2
felt	feel	vvd
admiration	admiration	nn1
:	:	y
the	the	at
card	card	nn1
counter	counter	nn1
had	have	vhd
n't	n't	xx
taken	take	vvn
anything	anything	pn1
away	away	ii21_rl
from	from	ii22_ii
them	them	ppho2
--	--	x
he	he	pphs1
'd	have	vhd_vm
only	only	rr
"	"	y
beaten	beat	vvn
the	the	at
house	house	nn1
,	,	y
"	"	y
put	put	vvd_vv0_vvn
one	one	pn1
over	over	rp
on	on	ii
an	a	at1
impersonal	impersonal	jj
system	system	nn1
that	that	cst_dd1
was	be	vbdz
,	,	y
in	in	ii
a	a	at1
sense	sense	nn1
,	,	y
the	the	at
opponent	opponent	nn1
of	of	io
every	every	at1
player	player	nn1
in	in	ii
the	the	at
casino	casino	nn1
.	.	y
<p>	<p>	y
It	it	pph1
's	be	vbz
the	the	at
notion	notion	nn1
of	of	io
"	"	y
beating	beat	vvg
the	the	at
system	system	nn1
,	,	y
"	"	y
one	one	pn1_mc1
suspects	suspect	vvz
,	,	y
that	that	dd1_cst
accounts	account	vvz@_nn2
not	not	xx
only	only	rr
for	for	if
the	the	at
widespread	widespread	jj
cheating	cheating	nn1@_vvg_jj@
that	that	cst_dd1
goes	go	vvz
on	on	rp@
in	in	ii
colleges	college	nn2
and	and	cc
universities	university	nn2
today	today	rt
,	,	y
but	but	ccb
also	also	rr
the	the	at
demoralization	demoralization	nn1
of	of	io
the	the	at
honest	honest	jj
students	student	nn2
who	who	pnqs
might	might	vm
otherwise	otherwise	rr
be	be	vbi
counted	count	vvn
on	on	ii21_rp
to	to	ii22_to_ii
resent	resent	vv0
the	the	at
way	way	nn1
the	the	at
dishonesty	dishonesty	nn1
of	of	io
their	their	appge
peers	peer	nn2
insults	insult	vvz
their	their	appge
own	own	da
attempts	attempt	nn2
to	to	to
learn	learn	vvi
by	by	ii
study	study	nn1
and	and	cc
hard	hard	jj_rr
work	work	nn1_vv0
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
the	the	at
climate	climate	nn1
in	in	ii
which	which	ddq
cheating	cheating	nn1@
is	be	vbz
perceived	perceive	vvn
as	as	csa_ii@
beating	beat	vvg
the	the	at
system	system	nn1
.	.	y
<p>	<p>	y
In	in	ii
writing	write	vvg_nn1
about	about	ii
higher	high	jjr
education	education	nn1
,	,	y
the	the	at
rise	rise	nn1
in	in	ii
grade	grade	nn1
inflation	inflation	nn1
and	and	cc
the	the	at
rise	rise	nn1
in	in	ii
college	college	nn1
cheating	cheat	vvg_nn1@
are	be	vbr
usually	usually	rr
treated	treat	vvn
as	as	csa_rg@_ii@
separate	separate	jj
phenomena	phenomenon	nn2
.	.	y
Cheating	cheat	vvg_nn1@
,	,	y
in	in	ii
fact	fact	nn1
,	,	y
is	be	vbz
usually	usually	rr
thought	think	vvn_vvd
to	to	to
be	be	vbi
a	a	at1
problem	problem	nn1
mainly	mainly	rr
at	at	ii
lower-level	lower-level	jj_nn1
institutions	institution	nn2
,	,	y
where	where	cs_rrq
either	either	dd1_rr
public	public	jj_nn1
pressure	pressure	nn1
for	for	if
"	"	y
democratic	democratic	jj
"	"	y
education	education	nn1
or	or	cc
the	the	at
urgent	urgent	jj
need	need	nn1
of	of	io
smaller	small	jjr
private	private	jj
colleges	college	nn2
to	to	to
keep	keep	vvi
their	their	appge
enrollments	enrollment	nn2
up	up	rp
brings	bring	vvz
in	in	ii
large	large	jj
numbers	number	nn2
of	of	io
students	student	nn2
unable	unable	jk
to	to	to
do	do	vdi
college-level	college-level	jj_nn1
work	work	nn1
.	.	y
<p>	<p>	y
Grade	grade	vv0_nn1
inflation	inflation	nn1
,	,	y
on	on	ii
the	the	at
other	other	jj
hand	hand	nn1
,	,	y
is	be	vbz
thought	think	vvn
to	to	to
be	be	vbi
the	the	at
special	special	jj
problem	problem	nn1
of	of	io
the	the	at
most	most	rgt
selective	selective	jj
colleges	college	nn2
and	and	cc
universities	university	nn2
:	:	y
it	it	pph1
's	be	vbz
at	at	ii
Williams	williams	np1
and	and	cc
Harvard	harvard	np1
and	and	cc
Yale	yale	np1
,	,	y
whose	whose	ddqge
entering	enter	vvg
classes	class	nn2
are	be	vbr
filled	fill	vvn
with	with	iw
students	student	nn2
who	who	pnqs
have	have	vh0
never	never	rr
seen	see	vvn
a	a	at1
grade	grade	nn1
lower	low	jjr_rrr@
than	than	csn
A	a	zz1
in	in	ii
their	their	appge
lives	life	nn2
,	,	y
that	that	cst
the	the	at
pressure	pressure	nn1
is	be	vbz
supposed	supposed	jj
to	to	to
be	be	vbi
greatest	greatest	jjt
.	.	y
When	when	cs
Harvard	harvard	np1
announced	announce	vvd
last	last	md
year	year	nnt1
that	that	cst
more	more	dar
than	than	csn
half	half	db
of	of	io
its	its	z'
undergraduates	undergraduate	nn2
were	be	vbdr
getting	get	vvg
either	either	rr
an	a	at1
A	a	zz1
or	or	cc
an	a	at1
A-in	a-in	ii
their	their	appge
courses	course	nn2
,	,	y
nobody	nobody	pn1
was	be	vbdz
surprised	surprised	jj_vvn%
to	to	to
hear	hear	vvi
that	that	cst_dd1
such	such	da
"	"	y
good	good	jj
"	"	y
students	student	nn2
were	be	vbdr
getting	get	vvg
such	such	da
high	high	jj
grades	grade	nn2
.	.	y
<p>	<p>	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
as	as	csa_ii@
research	research	nn1
for	for	if
an	a	at1
article	article	nn1
she	she	pphs1
's	be	vbz
writing	write	vvg
for	for	if
a	a	at1
campus	campus	nn1
publication	publication	nn1
reveals	reveal	vvz
a	a	at1
quite	quite	rg
different	different	jj
story	story	nn1
.	.	y
With	with	iw
one	one	mc1
of	of	io
the	the	at
most	most	rgt
talented	talented	jj
student	student	nn1
pools	pool	nn2
in	in	ii
the	the	at
nation	nation	nn1
,	,	y
New	new	np1
Jersey	jersey	np1
has	have	vhz
a	a	at1
very	very	rg
high	high	jj
number	number	nn1
of	of	io
students	student	nn2
who	who	pnqs
go	go	vv0
off	off	rp
to	to	ii
the	the	at
Ivies	ivy	nn2
or	or	cc
good	good	jj
liberal	liberal	jj
arts	art	nn2
colleges	college	nn2
like	like	ii
Williams	williams	np1
and	and	cc
Amherst	amherst	np1_nn1_vv0
.	.	y
What	what	ddq
the	the	at
survey	survey	nn1
revealed	reveal	vvn_vvd
in	in	cs21
case	case	cs22
after	after	ii_cs
case	case	nn1
--	--	x
and	and	cc
with	with	iw
evidence	evidence	nn1
that	that	cst_dd1
was	be	vbdz
not	not	xx
merely	merely	rr
anecdotal	anecdotal	jj
,	,	y
but	but	ccb
could	could	vm
be	be	vbi
independently	independently	rr
checked	check	vvn_jj@_vvd
--	--	x
is	be	vbz
that	that	cst_rg%
many	many	da2
of	of	io
these	these	dd2
New	new	np1
Jersey	jersey	np1
high	high	jj
school	school	nn1
students	student	nn2
had	have	vhd
cheated	cheat	vvn
their	their	appge
way	way	nn1
into	into	ii
the	the	at
most	most	rgt
selective	selective	jj
colleges	college	nn2
in	in	ii
the	the	at
country	country	nn1
.	.	y
<p>	<p>	y
That	that	dd1
's	be	vbz
surprising	surprising	jj
enough	enough	rr
,	,	y
but	but	ccb
not	not	xx
,	,	y
perhaps	perhaps	rr
,	,	y
astonishing	astonishing	jj
.	.	y
What	what	ddq
's	be	vbz
astonishing	astonishing	jj
is	be	vbz
the	the	at
frequency	frequency	nn1
with	with	iw
which	which	ddq
cheaters	cheater	nn2
boasted	boast	vvd
openly	openly	rr
about	about	ii
what	what	ddq
they	they	pphs2
'd	have	vhd
done	do	vdn
to	to	ii
their	their	appge
high	high	jj
school	school	nn1
classmates	classmate	nn2
.	.	y
In	in	ii
one	one	mc1
interview	interview	nn1
I	i	ppis1
read	read	vv0_vvd
,	,	y
a	a	at1
student	student	nn1
talks	talk	nn2_vvz@
about	about	ii
an	a	at1
A	a	zz1
paper	paper	nn1
she	she	pphs1
'd	have	vhd
written	write	vvn
for	for	if
an	a	at1
AP	ap	nn1@_np1
History	history	nn1
course	course	nn1
.	.	y
The	the	at
following	following	jj
semester	semester	nn1
a	a	at1
classmate	classmate	nn1
,	,	y
another	another	dd1
AP	ap	nn1@_np1
student	student	nn1
taking	take	vvg
the	the	at
same	same	da
course	course	nn1
from	from	ii
another	another	dd1
teacher	teacher	nn1
,	,	y
asked	ask	vvd
to	to	to
see	see	vvi
the	the	at
paper	paper	nn1
,	,	y
"	"	y
to	to	to
help	help	vvi
her	her	ppho1_appge
think	think	vv0_nn1%
about	about	ii
the	the	at
topic	topic	nn1
.	.	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
the	the	at
paper	paper	nn1
,	,	y
word	word	nn1
for	for	if
word	word	nn1
,	,	y
and	and	cc
when	when	cs_rrq
it	it	pph1
came	come	vvd
back	back	rp
with	with	iw
an	a	at1
A	a	zz1
,	,	y
showed	show	vvd
it	it	pph1
to	to	ii
its	its	z'
author	author	nn1
with	with	iw
a	a	at1
conspiratorial	conspiratorial	jj
air	air	nn1
,	,	y
as	as	cs21
though	though	cs22
they	they	pphs2
'd	have	vhd
been	be	vbn
partners	partner	nn2
in	in	ii
getting	get	vvg
away	away	rl
with	with	iw
something	something	pn1
.	.	y
(	(	y
The	the	at
plagiarist	plagiarist	nn1
is	be	vbz
today	today	rt
attending	attend	vvg
Harvard	harvard	np1
.	.	y
)	)	y
<p>	<p>	y
It	it	pph1
's	be	vbz
the	the	at
brazenness	brazenness	nn1
of	of	io
the	the	at
cheater	cheater	nn1
's	's	ge
behavior	behavior	nn1
,	,	y
it	it	pph1
seems	seem	vvz
to	to	ii
me	me	ppio1
,	,	y
that	that	dd1_cst
reveals	reveal	vvz
the	the	at
hidden	hidden	jj@
relation	relation	nn1
between	between	ii
grade	grade	nn1
inflation	inflation	nn1
and	and	cc
widespread	widespread	jj
cheating	cheating	nn1@
.	.	y
In	in	ii
a	a	at1
world	world	nn1
where	where	rrq
students	student	nn2
are	be	vbr
given	give	vvn
A	a	zz221_zz1@
's	's	zz222_vbz
for	for	if
the	the	at
most	most	rgt
token	token	jj
effort	effort	nn1
,	,	y
and	and	cc
where	where	rrq_cs
teachers	teacher	nn2
have	have	vh0
stopped	stop	vvn
trying	try	vvg
to	to	to
swim	swim	vvi
against	against	ii
the	the	at
tide	tide	nn1
and	and	cc
give	give	vvi
A	a	zz1@
's	be	vbz
just	just	rr
to	to	to
avoid	avoid	vvi
trouble	trouble	nn1
,	,	y
one	one	mc1
student	student	nn1
's	's	ge
cheating	cheating	nn1@
does	do	vdz
n't	n't	xx
take	take	vvi
anything	anything	pn1
away	away	ii21_rl
from	from	ii22_ii
another	another	dd1
student	student	nn1
's	's	ge
grade	grade	nn1
.	.	y
Like	like	ii
the	the	at
card	card	nn1
counter	counter	nn1_vv0
in	in	ii
blackjack	blackjack	nn1
,	,	y
the	the	at
cheater	cheater	nn1
is	be	vbz
,	,	y
after	after	ii
all	all	db
,	,	y
just	just	rr
beating	beat	vvg
an	a	at1
impersonal	impersonal	jj
system	system	nn1
.	.	y
<p>	<p>	y
In	in	ii
a	a	at1
world	world	nn1
where	where	rrq
A	a	zz221
's	's	zz222
are	be	vbr
reserved	reserve	vvn
for	for	if
the	the	at
top	top	jj_nn1
few	few	da2
students	student	nn2
in	in	ii
any	any	dd
class	class	nn1
,	,	y
on	on	ii
the	the	at
other	other	jj
hand	hand	nn1
,	,	y
where	where	cs_rrq
B+	b+	fo
and	and	cc
B	b	zz1
are	be	vbr
reserved	reserve	vvn
for	for	if
those	those	dd2
whose	whose	ddqge
work	work	nn1
is	be	vbz
genuinely	genuinely	rr
above	above	ii
average	average	nn1_jj
,	,	y
and	and	cc
where	where	cs_rrq
those	those	dd2
whose	whose	ddqge
work	work	nn1
is	be	vbz
average	average	jj_nn1
for	for	if
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
the	the	at
local	local	jj
community	community	nn1
college	college	nn1
--	--	x
receive	receive	vv0
C+	c+	fo
or	or	cc
C	c	zz1_np1
,	,	y
the	the	at
general	general	jj_nn1
attitude	attitude	nn1
of	of	io
students	student	nn2
toward	toward	ii
cheating	cheat	vvg_nn1@
is	be	vbz
more	more	rgr
likely	likely	jj
to	to	to
be	be	vbi
like	like	ii
that	that	dd1
of	of	io
the	the	at
cops	cop	nn2
in	in	ii
Rounders	rounders	nn1
:	:	y
to	to	to
cheat	cheat	vvi
is	be	vbz
to	to	to
take	take	vvi
away	away	ii21_rl
from	from	ii22_ii
others	others	nn2
credit	credit	vv0@_nn1
they	they	pphs2
've	have	vh0
honestly	honestly	rr
earned	earn	vvn
through	through	ii
talent	talent	nn1
and	and	cc
hard	hard	jj_rr
work	work	nn1_vv0
.	.	y
<p>	<p>	y
In	in	ii
