##54361		
Announcer	announcer	np1_nn1
?	?	y
@!Ms-MADIGAN		zzq
:	:	y
Yeah	yeah	uh
,	,	y
we	we	ppis2
...	...	...
@!BRAVER		zzq
:	:	y
You	you	ppy
have	have	vh0
?	?	y
@!Mr-HARRIS		zzq
:	:	y
Oh	oh	uh
,	,	y
yeah	yeah	uh
.	.	y
@!Ms-MADIGAN		zzq
:	:	y
Oh	oh	uh
,	,	y
yeah	yeah	uh
.	.	y
@!BRAVER		zzq
:	:	y
In	in	ii
what	what	ddq
way	way	nn1
?	?	y
@!Mr-HARRIS		zzq
:	:	y
Well	well	rr
,	,	y
she	she	pphs1
kind	kind	rr21%
of	of	rr22
said	say	vvd_vvn@
,	,	y
'	'	"@
You	you	ppy
got	get	vvd_vvn
to	to	to
talk	talk	vvi
about	about	ii
a	a	at1
few	few	da2
things	thing	nn2
,	,	y
Ed	ed	np1
,	,	y
you	you	ppy
know	know	vv0
?	?	y
'	'	ge_"@
@!BRAVER		zzq
:	:	y
Yeah	yeah	uh
.	.	y
@!Mr-HARRIS		zzq
:	:	y
You	you	ppy
know	know	vv0
--		zz
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@!BRAVER		zzq
:	:	y
And	and	cc
you	you	ppy
've	have	vh0
gotten	get	vvn
better	better	rrr_jjr
?	?	y
@!Mr-HARRIS		zzq
:	:	y
Yeah	yeah	uh
,	,	y
a	a	at1
little	little	jj
bit	bit	nn1
.	.	y
@!Ms-MADIGAN		zzq
:	:	y
We	we	ppis2
're	be	vbr
kind	kind	rr21%
of	of	rr22
doing	do	vdg
both	both	db2
.	.	y
@(Footage-of-couple)		zzc
@!BRAVER		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
Ed	ed	np1
Harris	harris	np1
and	and	cc
Amy	amy	np1
Madigan	madigan	np1
are	be	vbr
living	living	jj_vvg
proof	proof	nn1
of	of	io
the	the	at
old	old	jj
adage	adage	nn1
that	that	cst
opposites	opposite	nn2
attract	attract	vv0
.	.	y
She	she	pphs1
's	be	vbz
outgoing	outgoing	jj
,	,	y
with	with	iw
a	a	at1
giggle	giggle	nn1
that	that	cst_dd1
wo	will	vm
n't	n't	xx
quit	quit	vvi
.	.	y
@!Ms-MADIGAN		zzq
:	:	y
Yeah	yeah	uh
,	,	y
right	right	rr_jj
--		zz
something	something	pn1
like	like	ii
that	that	dd1
.	.	y
@(Footage-of-couple)		zzc
@!BRAVER		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
He	he	pphs1
's	be	vbz
more	more	rgr
introspective	introspective	jj
,	,	y
and	and	cc
coaxing	coax	vvg
a	a	at1
laugh	laugh	nn1@
out	out	ii21
of	of	ii22
him	him	ppho1
can	can	vm
take	take	vvi
some	some	dd
work	work	nn1
.	.	y
But	but	ccb
they	they	pphs2
share	share	vv0
an	a	at1
unwavering	unwavering	jj
commitment	commitment	nn1
to	to	ii
each	each	ppx221
other	other	ppx222
.	.	y
@!Mr-HARRIS		zzq
:	:	y
She	she	pphs1
's	be	vbz
really	really	rr
intelligent	intelligent	jj
.	.	y
You	you	ppy
know	know	vv0
,	,	y
I	i	ppis1
think	think	vv0
she	she	pphs1
's	be	vbz
a	a	at1
beautiful	beautiful	jj
woman	woman	nn1
,	,	y
person	person	nn1
.	.	y
And	and	cc
,	,	y
well	well	rr
,	,	y
you	you	ppy
know	know	vv0
,	,	y
she	she	pphs1
's	be	vbz
my	my	appge
partner	partner	nn1
,	,	y
you	you	ppy
know	know	vv0
?	?	y
qwq		xx
@		ii
(	(	y
Excerpt-from-		np1
"	"	y
Poll	poll	nn1
@!BRAVER		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
That	that	dd1_cst
partnership	partnership	nn1
is	be	vbz
on	on	ii
display	display	nn1
in	in	ii
"	"	y
Pollock	pollock	np1
,	,	y
"	"	y
Harris	harris	np1
'	'	ge
new	new	jj
film	film	nn1
about	about	ii
artist	artist	nn1
Jackson	jackson	np1
Pollock	pollock	np1
.	.	y
qwq		xx
@		ii
(	(	y
Excerpt-from-		np1
"	"	y
Poll	poll	nn1
@!BRAVER		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
Harris	harris	np1
produced	produce	vvd
,	,	y
starred	star	vvd
and	and	cc
made	make	vvd
his	his	appge
directing	directing	jj%_vvg_nn1%
debut	debut	nn1
in	in	ii
the	the	at
new	new	jj
film	film	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
Guggenheim	guggenheim	np1
,	,	y
Pollock	pollock	np1
's	's	ge
cranky	cranky	jj
art	art	nn1
patron	patron	nn1
.	.	y
qwq		xx
@		ii
(	(	y
Excerpt-from-		np1
"	"	y
Poll	poll	nn1
@!BRAVER		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
But	but	ccb
she	she	pphs1
did	do	vdd
n't	n't	xx
get	get	vvi
the	the	at
bigger	big	jjr
part	part	nn1
of	of	io
Pollock	pollock	np1
's	's	ge
wife	wife	nn1
,	,	y
artist	artist	nn1
Lee	lee	np1
Krasner	krasner	np1
.	.	y
qwq		xx
@		ii
(	(	y
Excerpt-from-		np1
"	"	y
Poll	poll	nn1
@!BRAVER		zzq
:	:	y
Were	be	vbdr
you	you	ppy
disappointed	disappoint	vvn
that	that	cst
you	you	ppy
did	do	vdd
n't	n't	xx
get	get	vvi
that	that	dd1
role	role	nn1
?	?	y
@!Ms-MADIGAN		zzq
:	:	y
No	no	uh
.	.	y
If	if	cs
I	i	ppis1
was	be	vbdz
casting	cast	vvg
the	the	at
film	film	nn1
,	,	y
I	i	ppis1
would	would	vm
not	not	xx
cast	cast	vvi
Amy	amy	np1
for	for	if
that	that	dd1
part	part	nn1
.	.	y
I	i	ppis1
do	do	vd0
n't	n't	xx
think	think	vvi
I	i	ppis1
'm	be	vbm
the	the	at
right	right	jj_nn1
person	person	nn1
for	for	if
it	it	pph1
.	.	y
I	i	mc1@_zz1@_ppis1
--		nn1_jj
I	i	ppis1
really	really	rr
do	do	vd0
mean	mean	vvi
it	it	pph1
was	be	vbdz
not	not	xx
a	a	at1
disappointment	disappointment	nn1
for	for	if
me	me	ppio1
because	because	cs
it	it	pph1
was	be	vbdz
really	really	rr
more	more	rrr_dar
about	about	ii
Ed	ed	np1
get	get	vv0
--		nn1_jj
getting	get	vvg
the	the	at
film	film	nn1
the	the	at
way	way	nn1
that	that	cst
he	he	pphs1
wanted	want	vvd
it	it	pph1
to	to	to
be	be	vbi
.	.	y
qwq		xx
@		ii
(	(	y
Footage-from-		np1
"	"	y
Poll	poll	nn1
@!BRAVER		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
In	in	ii
fact	fact	nn1
,	,	y
making	make	vvg
this	this	dd1
film	film	nn1
became	become	vvd
an	a	at1
obsession	obsession	nn1
for	for	if
Harris	harris	np1
.	.	y
It	it	pph1
started	start	vvd
back	back	rp
in	in	ii
1986	1986	mc
,	,	y
when	when	rrq
his	his	appge
father	father	nn1
sent	send	vvd_vvn
him	him	ppho1
a	a	at1
book	book	nn1
about	about	ii
Pollock	pollock	np1
and	and	cc
pointed	point	vvd_vvn
out	out	rp
the	the	at
striking	striking	jj
physical	physical	jj
resemblance	resemblance	nn1
between	between	ii
the	the	at
artist	artist	nn1
and	and	cc
the	the	at
actor	actor	nn1
.	.	y
Harris	harris	np1
became	become	vvd
fascinated	fascinate	vvn
by	by	ii
the	the	at
hard-drinking	hard-drinking	nn1_jj
,	,	y
volatile	volatile	jj
and	and	cc
sometimes	sometimes	rt
violent	violent	jj
king	king	nn1
of	of	io
American	american	jj
abstract	abstract	jj_nn1@
expressionism.	expressionism	nnu
qwq		xx
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
to	to	to
produce	produce	vvi
,	,	y
direct	direct	jj
and	and	cc
act	act	vvi
in	in	ii
this	this	dd1
movie	movie	nn1
?	?	y
@!Mr-HARRIS		zzq
:	:	y
You	you	ppy
know	know	vv0
,	,	y
I	i	ppis1
worked	work	vvd
on	on	ii
it	it	pph1
most	most	rrt@_dat
of	of	io
the	the	at
'	'	"@_ge
90s	90s	mc2
,	,	y
spent	spend	vvd_vvn
a	a	at1
lot	lot	nn1
of	of	io
time	time	nnt1
with	with	iw
the	the	at
script	script	nn1
.	.	y
@(Footage-of-Harris-)		zzc
@!Mr-HARRIS		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
I	i	ppis1
had	have	vhd
a	a	at1
lot	lot	nn1
of	of	io
feeling	feel	vvg_nn1
about	about	ii
it	it	pph1
.	.	y
I	i	ppis1
did	do	vdd
n't	n't	xx
know	know	vvi
if	if	cs_csw@
I	i	ppis1
would	would	vm
have	have	vhi
been	be	vbn
hard-pressed	hard-pressed	jj
to	to	to
tell	tell	vvi
you	you	ppy
what	what	ddq
my	my	appge
vision	vision	nn1
was	be	vbdz
in	in	rr21
particular	particular	rr22
,	,	y
but	but	ccb
I	i	ppis1
knew	know	vvd
that	that	cst
I	i	ppis1
ha	ha	uh
--		nn1_jj
I	i	ppis1
had	have	vhd
a	a	at1
--		nn1_jj
very	very	rg
specific	specific	jj
personal	personal	jj
feelings	feeling	nn2
about	about	ii
this	this	dd1
and	and	cc
I	i	ppis1
did	do	vdd
n't	n't	xx
want	want	vvi
to	to	to
just	just	rr
hand	hand	vvi
it	it	pph1
over	over	rp
to	to	ii
someone	someone	pn1
else	else	rr
and	and	cc
let	let	vv0
them	them	ppho2
--		zz
and	and	cc
follow	follow	vvi
their	their	appge
guidance	guidance	nn1
,	,	y
you	you	ppy
know	know	vv0
?	?	y
@(Photo-of-Pollock)		zzc
@!BRAVER		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
By	by	ii
then	then	rt
,	,	y
Harris	harris	np1
had	have	vhd
realized	realize	vvn
that	that	cst
he	he	pphs1
and	and	cc
Pollock	pollock	np1
shared	share	vvd
more	more	dar_rrr
than	than	csn
physical	physical	jj
qualities	quality	nn2
.	.	y
@!Mr-HARRIS		zzq
:	:	y
A	a	zz1_at1@
deep	deep	jj
kind	kind	nn1
of	of	io
insecurity	insecurity	nn1
on	on	ii
some	some	dd
level	level	nn1_jj
,	,	y
a	a	at1
desire	desire	nn1
to	to	ii
--		zz
to	to	to
do	do	vdi
one	one	pn1
's	's	ge
best	best	jjt
,	,	y
an	a	at1
ultimate	ultimate	jj
confidence	confidence	nn1
in	in	ii
one	one	pn1_mc1
's	's	ge
ability	ability	nn1
,	,	y
a	a	at1
need	need	nn1
for	for	if
approval	approval	nn1
.	.	y
@!BRAVER		zzq
:	:	y
Do	do	vd0
you	you	ppy
feel	feel	vvi
like	like	ii
you	you	ppy
've	have	vh0
ever	ever	rr
struggled	struggle	vvn
with	with	iw
the	the	at
same	same	da
kinds	kind	nn2
of	of	io
inner	inner	jj
demons	demon	nn2
that	that	cst
he	he	pphs1
struggled	struggle	vvd
with	with	iw
?	?	y
@!Mr-HARRIS		zzq
:	:	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
know	know	vv0
.	.	y
I	i	ppis1
mean	mean	vv0
,	,	y
I	i	ppis1
think	think	vv0
probably	probably	rr
most	most	dat
people	people	nn
walking	walk	vvg_nn1
on	on	ii
the	the	at
planet	planet	nn1
have	have	vh0
at	at	ii
one	one	mc1
point	point	nn1
or	or	cc
another	another	dd1
--		nn1_jj
particularly	particularly	rr
creative	creative	jj
people	people	nn
.	.	y
You	you	ppy
know	know	vv0
,	,	y
I	i	ppis1
've	have	vh0
had	have	vhn
periods	period	nn2
of	of	io
time	time	nnt1
,	,	y
but	but	ccb
never	never	rr
--		zz
never	never	rr
so	so	rg
dark	dark	jj
,	,	y
never	never	rr
so	so	rg
black	black	jj
that	that	cst
I	i	zz1%_mc1%
di	di	fw
--		nn1
could	could	vm
n't	n't	xx
see	see	vvi
my	my	appge
way	way	nn1
out	out	ii21
of	of	ii22
it	it	pph1
,	,	y
you	you	ppy
know	know	vv0
?	?	y
@!Mr-JACKSON-POLLOCK		zzq
:	:	y
(	(	y
From	from	ii
vintage	vintage	nn1_jj@
video	video	nn1
)		np1
I	i	ppis1
do	do	vd0
n't	n't	xx
work	work	vvi
from	from	ii
drawings	drawing	nn2
or	or	cc
color	color	nn1_vv0@
sketches	sketch	nn2
.	.	y
@(Footage-of-vintage)		zzc
@!BRAVER		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
Harris	harris	np1
was	be	vbdz
determined	determine	vvn
that	that	cst
the	the	at
film	film	nn1
be	be	vbi
authentic	authentic	jj
.	.	y
He	he	pphs1
studied	study	vvd
these	these	dd2
famous	famous	jj
scenes	scene	nn2
of	of	io
Pollock	pollock	np1
...	...	...
@!Mr-POLLOCK		zzq
:	:	y
(	(	y
From	from	ii
vintage	vintage	nn1_jj@
video	video	nn1
)		np1
This	this	dd1
way	way	nn1
I	i	ppis1
can	can	vm
walk	walk	vvi
around	around	ii_rp
it	it	pph1
,	,	y
work	work	vv0_nn1
from	from	ii
all	all	db
four	four	mc
sides	side	nn2
and	and	cc
be	be	vbi
in	in	ii
the	the	at
painting	painting	nn1
.	.	y
qwq		xx
@		ii
(	(	y
Footage-of-		np1
"	"	y
Polloc	polloc	np1
@!BRAVER		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
...	...	...
and	and	cc
even	even	rr
took	take	vvd
up	up	rp
painting	paint	vvg@_nn1
himself	himself	ppx1
in	in	bcl21
order	order	bcl22
to	to	to
recreate	re-create	vvi
the	the	at
artist	artist	nn1
's	's	ge
sense	sense	nn1
of	of	io
passionate	passionate	jj
abandon	abandon	nn1@
.	.	y
qwq		xx
@		ii
(	(	y
Excerpt-from-		np1
"	"	y
Poll	poll	nn1
@!Mr-HARRIS		zzq
:	:	y
And	and	cc
that	that	dd1
was	be	vbdz
the	the	at
most	most	rrt@
freeing	free	vvg
time	time	nnt1
for	for	if
me	me	ppio1
,	,	y
really	really	rr
,	,	y
in	in	ii
the	the	at
whole	whole	jj
process	process	nn1
,	,	y
was	be	vbdz
when	when	rrq_cs
I	i	ppis1
got	get	vvd
to	to	to
paint	paint	vvi
,	,	y
because	because	cs
I	i	mc1%_ppis1_zz1%
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
You	you	ppy
know	know	vv0
,	,	y
whether	whether	csw
it	it	pph1
works	work	vvz
or	or	cc
not	not	xx
is	be	vbz
not	not	xx
even	even	rr
the	the	at
point	point	nn1
.	.	y
So	so	rr
I	i	ppis1_mc1%
pretty	pretty	rg
much	much	da1_rr
just	just	rr
painted	paint	vvn
,	,	y
and	and	cc
then	then	rt
they	they	pphs2
filmed	film	vvd
me.	me	nnu
qwq		xx
@		ii
(	(	y
Excerpt-from-		np1
"	"	y
Poll	poll	nn1
@!BRAVER		zzq
:	:	y
What	what	ddq
was	be	vbdz
it	it	pph1
like	like	ii
working	work	vvg
and	and	cc
living	live	vvg_nn1_jj
with	with	iw
your	your	appge
husband	husband	nn1
when	when	cs_rrq
he	he	pphs1
was	be	vbdz
playing	play	vvg
the	the	at
role	role	nn1
of	of	io
Jackson	jackson	np1
Pollock	pollock	np1
,	,	y
this	this	dd1
kind	kind	nn1
of	of	io
really	really	rr
intense	intense	jj
genius	genius	nn1
,	,	y
who	who	pnqs
was	be	vbdz
also	also	rr
apparently	apparently	rr
somewhat	somewhat	rr
manic-depressive	manic-depressive	jj_nn1
?	?	y
@!Ms-MADIGAN		zzq
:	:	y
Well	well	rr
,	,	y
I	i	ppis1
did	do	vdd
n't	n't	xx
see	see	vvi
Ed	ed	np1
a	a	rr21@_at1
lot	lot	rr22_nn1
,	,	y
which	which	ddq
probably	probably	rr
was	be	vbdz
the	the	at
saving	saving	nn1_jj@
grace	grace	nn1
for	for	if
the	the	at
whole	whole	jj
family	family	nn1
,	,	y
you	you	ppy
know	know	vv0
?	?	y
I	i	ppis1
like	like	vv0
working	work	vvg
with	with	iw
Ed	ed	np1
,	,	y
and	and	cc
he	he	pphs1
had	have	vhd
a	a	at1
lot	lot	nn1
of	of	io
hats	hat	nn2
to	to	to
wear	wear	vvi
on	on	ii_rp@
this	this	dd1
one	one	pn1
and	and	cc
he	he	pphs1
was	be	vbdz
certainly	certainly	rr
kind	kind	rr21%_nn1
of	of	rr22_io
frayed	fray	vvn@_jj
at	at	ii
some	some	dd
points	point	nn2
.	.	y
But	but	ccb
I	i	ppis1
think	think	vv0
if	if	cs_csw@
you	you	ppy
're	be	vbr
intimate	intimate	jj
with	with	iw
somebody	somebody	pn1
,	,	y
it	it	pph1
's	be	vbz
a	a	at1
good	good	jj
idea	idea	nn1
if	if	cs
you	you	ppy
work	work	vv0
with	with	iw
them	them	ppho2
or	or	cc
it	it	pph1
's	be	vbz
a	a	at1
really	really	rr
bad	bad	jj
idea	idea	nn1
.	.	y
I	i	ppis1
do	do	vd0
n't	n't	xx
think	think	vvi
there	there	rl_ex
's	be	vbz_vhz@
lots	lots	pn
of	of	io
shades	shade	nn2
of	of	io
gray	gray	jj_nn1@
.	.	y
And	and	cc
it	it	pph1
seems	seem	vvz
to	to	to@
work	work	vvi
out	out	rp
pretty	pretty	rg
well	well	rr
for	for	if
Ed	ed	np1
and	and	cc
I.	i	np1
@(Photo-of-couple)		zzc
@!BRAVER		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
The	the	at
two	two	mc
have	have	vh0
worked	work	vvn
together	together	rl
frequently	frequently	rr
over	over	ii_rp
the	the	at
years	year	nnt2
in	in	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
"	"	y
Places	place	nn2_vvz@
in	in	ii
the	the	at
Heart	heart	nn1
.	.	y
"	"	y
It	it	pph1
was	be	vbdz
during	during	ii
the	the	at
filming	filming	nn1@
of	of	io
that	that	dd1
one	one	pn1
that	that	cst
they	they	pphs2
got	get	vvd
married	marry	vvn
.	.	y
qwq		xx
@		ii
(	(	y
Footage-of-		np1
"	"	y
Places	place	vvz@
@!Mr-HARRIS		zzq
:	:	y
We	we	ppis2
had	have	vhd
talked	talk	vvn
about	about	ii
it	it	pph1
on	on	ii
Friday	friday	npd1
or	or	cc
something	something	pn1
.	.	y
@!Ms-MADIGAN		zzq
:	:	y
Yeah	yeah	uh
.	.	y
@!Mr-HARRIS		zzq
:	:	y
We	we	ppis2
had	have	vhd
made	make	vvn
a	a	at1
decision	decision	nn1
we	we	ppis2
were	be	vbdr
going	go	vvgk
to	to	to
get	get	vvi
married	married	jj_vvn@
on	on	ii
Monday	monday	npd1
and	and	cc
of	of	rr21
course	course	rr22
we	we	ppis2
had	have	vhd
the	the	at
weekend	weekend	nnt1
to	to	to
think	think	vvi
about	about	ii
it	it	pph1
,	,	y
you	you	ppy
know	know	vv0
,	,	y
but	but	ccb
we	we	ppis2
had	have	vhd
talked	talk	vvn
about	about	ii
it	it	pph1
earlier	early	jjr_rrr
than	than	csn
that	that	dd1
.	.	y
But	but	ccb
I	i	ppis1
remember	remember	vv0
...	...	...
@!Ms-MADIGAN		zzq
:	:	y
Yeah	yeah	uh
.	.	y
@!Mr-HARRIS		zzq
:	:	y
...	...	...
waking	wake	vvg
up	up	rp
Monday	monday	npd1
morning	morning	nnt1
going	go	vvg
,	,	y
'	'	"@
Oh	oh	uh
.	.	y
'	'	"@_ge
You	you	ppy
know	know	vv0
,	,	y
I	i	ppis1
was	be	vbdz
--		zz
I	i	ppis1
said	say	vvd
--		zz
Amy	amy	np1
said	say	vvd
,	,	y
'	'	"@_ge
We	we	ppis2
do	do	vd0
n't	n't	xx
have	have	vhi
to	to	to
get	get	vvi
married	marry	vvn
today	today	rt
--		zz
today	today	rt
if	if	cs
you	you	ppy
do	do	vd0
n't	n't	xx
want	want	vvi
to	to	to
.	.	y
'	'	"@_ge
@!Ms-MADIGAN		zzq
:	:	y
Yeah	yeah	uh
,	,	y
I	i	ppis1
did	do	vdd
.	.	y
@!Mr-HARRIS		zzq
:	:	y
And	and	cc
I	i	ppis1
said	say	vvd
,	,	y
'	'	"@
Let	let	vm21
's	be	vm22
go	go	vvi
have	have	vh0
some	some	dd
breakfast	breakfast	nn1
,	,	y
