##1008654		
WHEN	when	rrq_cs
that	that	cst
my	my	appge
name	name	nn1
is	be	vbz
Kirsten	kirsten	np1
,	,	y
but	but	ccb
she	she	pphs1
's	be	vhz
called	call	vvn
me	me	ppio1
Kiki	kiki	jj_nn1_np1
since	since	cs
we	we	ppis2
were	be	vbdr
6	6	mc
,	,	y
so	so	cs@_rr
it	it	pph1
's	be	vbz
a	a	at1
hard	hard	jj
habit	habit	nn1
to	to	to
break	break	vvi
.	.	y
<p>	<p>	y
"	"	y
Not	not	xx
much	much	rr_da1
,	,	y
"	"	y
I	i	ppis1
say	say	vv0
,	,	y
turning	turn	vvg
down	down	rp
my	my	appge
music	music	nn1
.	.	y
"	"	y
Got	get	vvn_vvd
a	a	at1
New	new	jj
Year	year	nnt1
's	's	ge
resolution	resolution	nn1
?	?	y
"	"	y
<p>	<p>	y
Laurel	laurel	np1_nn1
laughs	laugh	vvz
.	.	y
"	"	y
I	i	ppis1
'm	be	vbm
just	just	rr
hoping	hope	vvg
I	i	ppis1
can	can	vm
get	get	vvi
through	through	ii_rp@
this	this	dd1
week	week	nnt1
without	without	iw
popping	pop	vvg
out	out	ii21
of	of	ii22
my	my	appge
bikini	bikini	nn1
.	.	y
That	that	dd1
'll	will	vm
make	make	vvi
me	me	ppio1
happy	happy	jj
for	for	if
the	the	at
entire	entire	jj
year	year	nnt1
.	.	y
"	"	y
<p>	<p>	y
"	"	y
You	you	ppy
're	be	vbr
going	go	vvgk
to	to	to
look	look	vvi
amazing	amazing	jj
.	.	y
"	"	y
<p>	<p>	y
"	"	y
Amazingly	amazingly	rr
like	like	ii_vv0@
a	a	at1
beached	beached	jj@
whale	whale	nn1
.	.	y
"	"	y
<p>	<p>	y
Laurel	laurel	np1_nn1
has	have	vhz
a	a	at1
remarkable	remarkable	jj
ability	ability	nn1
to	to	to
poke	poke	vvi
fun	fun	nn1_jj
at	at	ii
whatever	whatever	ddqv
she	she	pphs1
's	be	vbz
insecure	insecure	jj
about	about	ii_rp@
.	.	y
Laurel	laurel	np1_nn1
is	be	vbz
n't	n't	xx
a	a	at1
whale	whale	nn1
,	,	y
but	but	ccb
she	she	pphs1
's	be	vbz
definitely	definitely	rr
curvy	curvy	jj_nn1
,	,	y
especially	especially	rr
in	in	ii
the	the	at
chest	chest	nn1
area	area	nn1
.	.	y
We	we	ppis2
spent	spend	vvd
the	the	at
past	past	jj
three	three	mc
weekends	weekend	nnt2
at	at	ii
the	the	at
mall	mall	nn1
,	,	y
in	in	ii31
pursuit	pursuit	ii32
of	of	ii33
perfect	perfect	jj
bathing	bathing	jj@_nn1@
suits	suit	nn2_vvz
.	.	y
Laurel	laurel	np1
's	's	ge
swimsuit	swimsuit	nn1
has	have	vhz
serious	serious	jj
underwire	underwire	nn1
action	action	nn1
and	and	cc
enough	enough	dd
fabric	fabric	nn1
on	on	ii
the	the	at
bottom	bottom	jj_nn1
to	to	to
ensure	ensure	vvi
that	that	cst
she	she	pphs1
wo	will	vm
n't	n't	xx
have	have	vhi
a	a	at1
permanent	permanent	jj
wedgie	wedgie	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
with	with	iw
my	my	appge
hair	hair	nn1
and	and	cc
moderately	moderately	rr
disguises	disguise	vvz
the	the	at
fact	fact	nn1
that	that	cst_dd1
,	,	y
although	although	cs
I	i	ppis1
'm	be	vbm
15	15	mc
,	,	y
I	i	ppis1
've	have	vh0
barely	barely	rr
filled	fill	vvn
out	out	rp
.	.	y
<p>	<p>	y
I	i	ppis1
could	could	vm
n't	n't	xx
believe	believe	vvi
it	it	pph1
when	when	cs
my	my	appge
parents	parent	nn2
told	tell	vvd_vvn
me	me	ppio1
we	we	ppis2
were	be	vbdr
spending	spend	vvg_jj@
winter	winter	nnt1
break	break	nn1_vv0
on	on	ii
a	a	at1
Caribbean	caribbean	jj
island	island	nn1
.	.	y
We	we	ppis2
usually	usually	rr
visit	visit	vv0
my	my	appge
aunt	aunt	nn1
in	in	ii
Missouri	missouri	np1
,	,	y
where	where	rrq
we	we	ppis2
eat	eat	vv0
Cheez	cheez	np1
Whiz	whiz	np1
,	,	y
rent	rent	vv0_nn1
Adam	adam	np1
Sandler	sandler	np1_nn1
movies	movie	nn2
,	,	y
and	and	cc
my	my	appge
cousins	cousin	nn2
call	call	vv0
me	me	ppio1
"	"	y
Sunken	sunken	jj
Treasure	treasure	nn1
"	"	y
for	for	if
six	six	mc
straight	straight	jj
days	day	nnt2
.	.	y
<p>	<p>	y
I	i	ppis1
could	could	vm
n't	n't	xx
believe	believe	vvi
it	it	pph1
even	even	rr
more	more	rrr_dar
when	when	cs
my	my	appge
parents	parent	nn2
told	tell	vvd_vvn
me	me	ppio1
I	i	ppis1
could	could	vm
bring	bring	vvi
Laurel	laurel	np1_nn1@
.	.	y
I	i	ppis1
'm	be	vbm
an	a	at1
only	only	jj
child	child	nn1
,	,	y
so	so	cs@_rr
I	i	ppis1
guess	guess	vv0
it	it	pph1
's	be	vbz
for	for	if
their	their	appge
benefit	benefit	nn1
,	,	y
too	too	rr@
.	.	y
Like	like	cs%_vv0@
they	they	pphs2
can	can	vm
play	play	vvi
tennis	tennis	nn1
or	or	cc
go	go	vv0
out	out	rp
for	for	if
a	a	at1
romantic	romantic	jj
dinner	dinner	nn1
without	without	iw
feeling	feel	vvg
guilty	guilty	jj
about	about	ii
leaving	leave	vvg
me	me	ppio1
alone	alone	jj
.	.	y
They	they	pphs2
reserved	reserve	vvd
two	two	mc
rooms	room	nn2
at	at	ii
a	a	at1
place	place	nn1
called	call	vvn_vvd@
the	the	at
Frenchmen	frenchman	nn2
's	's	ge
Reef	reef	nn1
Hotel	hotel	nn1
.	.	y
<p>	<p>	y
I	i	ppis1
press	press	vv0
my	my	appge
nose	nose	nn1
against	against	ii
the	the	at
window	window	nn1
and	and	cc
stare	stare	vv0
down	down	rp
at	at	ii
the	the	at
white-capped	white-capped	jj_nn1
ocean	ocean	nn1
.	.	y
The	the	at
pilot	pilot	nn1
announces	announce	vvz
that	that	cst
if	if	cs
we	we	ppis2
crane	crane	vv0
our	our	appge
heads	head	nn2
we	we	ppis2
'll	will	vm
see	see	vvi
St.	st	np1
Thomas	thomas	np1
.	.	y
Laurel	laurel	np1_nn1
squeals	squeal	vvz_nn2
as	as	csa
she	she	pphs1
leans	lean	vvz
across	across	ii
me	me	ppio1
to	to	to
gape	gape	vvi
out	out	rp
the	the	at
window	window	nn1
.	.	y
I	i	ppis1
stare	stare	vv0
at	at	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
feels	feel	vvz
like	like	ii
a	a	at1
dream	dream	nn1
.	.	y
I	i	ppis1
'd	have	vm
pinch	pinch	vvi
myself	myself	ppx1
except	except	cs
I	i	ppis1
'm	be	vbm
so	so	rg
fair	fair	jj
that	that	cst
I	i	ppis1
'd	have	vm
bruise	bruise	vvi
.	.	y
A	a	at1_zz1
big	big	jj
,	,	y
fat	fat	jj_nn1
welt	welt	nn1
wo	will	vm
n't	n't	xx
exactly	exactly	rr
help	help	vvi
me	me	ppio1
achieve	achieve	vvi
my	my	appge
New	new	jj
Year	year	nnt1
's	's	ge
resolutions	resolution	nn2
.	.	y
<p>	<p>	y
Our	our	appge
room	room	nn1
overlooks	overlook	vvz
the	the	at
harbor	harbor	nn1
,	,	y
which	which	ddq
is	be	vbz
turquoise	turquoise	jj
blue	blue	jj_nn1@
and	and	cc
dotted	dot	vvn_vvd_jj
with	with	iw
massive	massive	jj
cruise	cruise	nn1
ships	ship	nn2
.	.	y
In	in	ii
Buffalo	buffalo	np1
,	,	y
my	my	appge
bedroom	bedroom	nn1
window	window	nn1
faces	face	vvz
a	a	at1
neighbor	neighbor	nn1
's	's	ge
rickety	rickety	jj
tool	tool	nn1
shed	shed	z'
,	,	y
which	which	ddq
is	be	vbz
buried	bury	vvn
in	in	ii
a	a	at1
snowdrift	snowdrift	nn1
and	and	cc
dotted	dot	vvn_vvd_jj
with	with	iw
dog	dog	nn1
poop	poop	nn1
.	.	y
<p>	<p>	y
When	when	cs_rrq
I	i	ppis1
commented	comment	vvd
on	on	ii
that	that	dd1
to	to	ii
Laurel	laurel	np1
,	,	y
all	all	db_rr@
she	she	pphs1
responded	respond	vvd
was	be	vbdz
,	,	y
"	"	y
'	'	ge
Nuff	nuff	nn1_np1
said	say	vvd
.	.	y
"	"	y
<p>	<p>	y
The	the	at
air	air	nn1
is	be	vbz
warm	warm	jj
and	and	cc
moist	moist	jj
and	and	cc
sweet	sweet	jj_nn1@
with	with	iw
flowers	flower	nn2
.	.	y
<p>	<p>	y
We	we	ppis2
wake	wake	vv0
up	up	rp
every	every	at1
morning	morning	nnt1
and	and	cc
eat	eat	vv0
mangoes	mango	nn2
,	,	y
papayas	papaya	nn2
and	and	cc
cinnamon	cinnamon	nn1
Danishes	danishes	nn2
.	.	y
My	my	appge
parents	parent	nn2
play	play	vv0
tennis	tennis	nn1
while	while	cs
Laurel	laurel	np1
and	and	cc
I	i	ppis1
stroll	stroll	vv0
along	along	rp_ii
the	the	at
hotel	hotel	nn1
's	's	ge
beach	beach	nn1
.	.	y
For	for	if
the	the	at
first	first	md
few	few	da2
days	day	nnt2
,	,	y
I	i	ppis1
wore	wear	vvd
hardcore	hard-core	j
sunblock	sunblock	nn1
.	.	y
I	i	ppis1
got	get	vvd
a	a	at1
decent	decent	jj
base	base	nn1
tan	tan	nn1
without	without	iw
turning	turn	vvg_nn1
into	into	ii
a	a	at1
blistery	blistery	jj_nn1
tomato	tomato	nn1
.	.	y
Now	now	rt
I	i	ppis1
've	have	vh0
downshifted	downshifted	vvn
to	to	ii
SPF	spf	np1
15	15	mc
,	,	y
so	so	cs@_rr
I	i	ppis1
'm	be	vbm
actually	actually	rr
getting	get	vvg
some	some	dd
real	real	jj
color	color	nn1
.	.	y
Laurel	laurel	np1_nn1
has	have	vhz
promised	promise	vvn
to	to	to
lend	lend	vvi
me	me	ppio1
her	her	appge
favorite	favorite	jj_nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
Her	her	appge
skin	skin	nn1
is	be	vbz
several	several	da2
shades	shade	nn2
darker	dark	jjr
than	than	csn
mine	mine	ppge
,	,	y
so	so	cs@_rr
she	she	pphs1
's	be	vbz_vhz@
not	not	xx
that	that	dd1_rg%_cst
obsessed	obsessed	jj
with	with	iw
the	the	at
"	"	y
ha-ha	ha-ha	uh
,	,	y
I	i	ppis1
went	go	vvd
to	to	ii
the	the	at
Caribbean	caribbean	jj_np1
during	during	ii
winter	winter	nnt1
break	break	nn1_vv0
"	"	y
tan	tan	nn1_jj
.	.	y
<p>	<p>	y
Midday	midday	nnt1
,	,	y
we	we	ppis2
meet	meet	vv0
up	up	rp
with	with	iw
my	my	appge
parents	parent	nn2
and	and	cc
go	go	vv0
on	on	ii_rp@
excursions	excursion	nn2
to	to	ii
pirate	pirate	nn1
's	's	ge
towers	tower	nn2
and	and	cc
coral	coral	nn1
reefs	reef	nn2
and	and	cc
whatever	whatever	ddqv
else	else	rr
they	they	pphs2
read	read	vv0_vvd
about	about	rp@
in	in	ii
the	the	at
guide	guide	nn1
books	book	nn2
.	.	y
<p>	<p>	y
Every	every	at1
afternoon	afternoon	nnt1
,	,	y
we	we	ppis2
lie	lie	vv0
on	on	ii_rp@
thick	thick	jj_rr@
white	white	jj
towels	towel	nn2
near	near	ii
the	the	at
pool	pool	nn1
,	,	y
doze	doze	vv0
in	in	rp@
and	and	cc
out	out	ii21
of	of	ii22
consciousness	consciousness	nn1
,	,	y
dip	dip	vv0
in	in	rp@
and	and	cc
out	out	ii21
of	of	ii22
the	the	at
cool	cool	jj
water	water	nn1
,	,	y
and	and	cc
do	do	vd0
some	some	dd
serious	serious	jj
male-watching	male-watching	nn1
.	.	y
There	there	ex
are	be	vbr
hoards	hoard	nn2
of	of	io
cute	cute	jj
guys	guy	nn2
at	at	ii
Frenchmen	frenchman	nn2
's	's	ge
Reef	reef	nn1
,	,	y
but	but	ccb
most	most	dat
of	of	io
them	them	ppho2
are	be	vbr
older	old	jjr
and	and	cc
either	either	rr
have	have	vh0
girlfriends	girlfriend	nn2
or	or	cc
are	be	vbr
ogling	ogle	vvg
the	the	at
college	college	nn1
girls	girl	nn2
staying	stay	vvg
here	here	rl
.	.	y
<p>	<p>	y
Except	except	ii21
for	for	ii22
Hubba	hubba	np1
Hubba	hubba	np1
Boy	boy	nn1
.	.	y
<p>	<p>	y
Laurel	laurel	np1
spotted	spot	vvd
him	him	ppho1
first	first	md
.	.	y
She	she	pphs1
had	have	vhd
gone	go	vvn
inside	inside	rl
to	to	to
get	get	vvi
us	us	ppio2
bottles	bottle	nn2
of	of	io
Gatorade	gatorade	np1_nn1@
.	.	y
I	i	ppis1
was	be	vbdz
dipping	dip	vvg
my	my	appge
toes	toe	nn2
into	into	ii
the	the	at
pool	pool	nn1
and	and	cc
trying	try	vvg
to	to	to
determine	determine	vvi
whether	whether	csw
I	i	ppis1
was	be	vbdz
sufficiently	sufficiently	rr
bronzed	bronzed	jj
or	or	cc
should	should	vm
quit	quit	vvi
the	the	at
SPF	spf	np1
and	and	cc
let	let	vvi
the	the	at
sun	sun	nn1
shine	shine	vvi
in	in	rp@
.	.	y
That	that	dd1
's	be	vbz
when	when	rrq
I	i	ppis1
saw	see	vvd
Laurel	laurel	np1
jogging	jogging	nn1_vvg
toward	toward	ii
me	me	ppio1
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
've	have	vh0
seen	see	vvn
him	him	ppho1
,	,	y
Kiki	kiki	np1_nn1_jj
!	!	y
"	"	y
she	she	pphs1
squealed	squeal	vvd
.	.	y
<p>	<p>	y
I	i	ppis1
cracked	crack	vvd
open	open	rr@_vv0
my	my	appge
Gatorade	gatorade	nn1@_np1
and	and	cc
took	take	vvd
a	a	at1
long	long	jj
swig	swig	nn1
.	.	y
"	"	y
Who	who	pnqs
'd	have	vm_vhd
you	you	ppy
see	see	vvi
?	?	y
"	"	y
<p>	<p>	y
"	"	y
The	the	at
cutest	cute	jjt
boy	boy	nn1
in	in	ii
the	the	at
universe	universe	nn1
.	.	y
Boy	boy	nn1
of	of	io
our	our	appge
dreams	dream	nn2
.	.	y
Carrying	carry	vvg
his	his	appge
suitcase	suitcase	nn1
to	to	ii
the	the	at
elevator	elevator	nn1
.	.	y
No	no	xx
girlfriend	girlfriend	nn1
in	in	ii
sight	sight	nn1
.	.	y
Hubba	hubba	nn1_np1@
hubba	hubba	nn1
,	,	y
is	be	vbz
he	he	pphs1
hot	hot	jj_rr%
!	!	y
"	"	y
<p>	<p>	y
Later	later	rrr_jjr
,	,	y
as	as	csa
we	we	ppis2
were	be	vbdr
eating	eat	vvg
dinner	dinner	nn1
with	with	iw
my	my	appge
mom	mom	nn1
and	and	cc
dad	dad	nn1
in	in	ii
the	the	at
hotel	hotel	nn1
's	's	ge
restaurant	restaurant	nn1
,	,	y
Laurel	laurel	np1
dug	dig	vvd
her	her	appge
fingernails	fingernail	nn2
into	into	ii
my	my	appge
thigh	thigh	nn1
.	.	y
Hard	hard	rr_jj
!	!	y
<p>	<p>	y
"	"	y
Hubba	hubba	np1
hubba	hubba	nn1
,	,	y
"	"	y
she	she	pphs1
mouthed	mouth	vvd
.	.	y
<p>	<p>	y
"	"	y
Where	where	rrq
?	?	y
"	"	y
I	i	ppis1
mouthed	mouth	vvd
back	back	rp
.	.	y
<p>	<p>	y
She	she	pphs1
gestured	gesture	vvd
with	with	iw
her	her	appge
chin	chin	nn1
to	to	ii
a	a	at1
nearby	nearby	jj
table	table	nn1
where	where	cs_rrq
a	a	at1
guy	guy	nn1
was	be	vbdz
breaking	break	vvg
bread	bread	nn1
with	with	iw
some	some	dd
parent-looking	parent-looking	jj_nn1
types	type	nn2
.	.	y
<p>	<p>	y
Hubba	hubba	nn1_np1@
hubba	hubba	nn1
is	be	vbz
right	right	jj
!	!	y
He	he	pphs1
was	be	vbdz
around	around	ii_rp
our	our	appge
age	age	nn1
,	,	y
maybe	maybe	rr
a	a	at1
few	few	da2
years	year	nnt2
older	old	jjr
.	.	y
He	he	pphs1
had	have	vhd
strong	strong	jj
arms	arm	nn2
and	and	cc
broad	broad	jj
shoulders	shoulder	nn2
.	.	y
His	his	appge
legs	leg	nn2
were	be	vbdr
toasty	toasty	jj
brown	brown	jj_nn1@
and	and	cc
hairy	hairy	jj
,	,	y
but	but	ccb
not	not	xx
too	too	rg
hairy	hairy	jj
.	.	y
His	his	appge
calf	calf	nn1
muscles	muscle	nn2
bulged	bulge	vvd
.	.	y
His	his	appge
spiky	spiky	jj
brown	brown	jj
hair	hair	nn1
was	be	vbdz
perfectly	perfectly	rr
tousled	tousle	vvn
in	in	ii
the	the	at
front	front	nn1_jj
.	.	y
I	i	ppis1
could	could	vm
only	only	rr
see	see	vvi
his	his	appge
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
I	i	ppis1
could	could	vm
tell	tell	vvi
he	he	pphs1
was	be	vbdz
the	the	at
whole	whole	jj
package	package	nn1
.	.	y
A	a	at1_zz1
perfect	perfect	jj
10	10	mc
.	.	y
<p>	<p>	y
If	if	cs
I	i	ppis1
were	be	vbdr
n't	n't	xx
in	in	rr21
public	public	rr22
and	and	cc
my	my	appge
parents	parent	nn2
were	be	vbdr
n't	n't	xx
a	a	at1
few	few	da2
feet	foot	nn2
away	away	rl
,	,	y
I	i	ppis1
would	would	vm
have	have	vhi
drooled	drool	vvn@_jj@
Niagara	niagara	np1_nn1@
Falls	fall	nn2
all	all	rr
over	over	ii
my	my	appge
mixed	mixed	jj@
green	green	jj_nn1
salad	salad	nn1
.	.	y
<p>	<p>	y
We	we	ppis2
named	name	vvd
him	him	ppho1
Hubba	hubba	np1
Hubba	hubba	np1
Boy	boy	nn1
.	.	y
We	we	ppis2
started	start	vvd
spotting	spot	vvg
him	him	ppho1
all	all	rr
over	over	ii
the	the	at
hotel	hotel	nn1
.	.	y
He	he	pphs1
was	be	vbdz
always	always	rr
alone	alone	rr
--	--	x
playing	play	vvg
a	a	at1
video	video	nn1
game	game	nn1
in	in	ii
the	the	at
arcade	arcade	nn1
,	,	y
diving	dive	vvg
into	into	ii
the	the	at
pool	pool	nn1
,	,	y
sleeping	sleep	vvg
in	in	ii_rp@
a	a	at1
lounge	lounge	nn1
chair	chair	nn1
on	on	ii
the	the	at
beach	beach	nn1
.	.	y
Even	even	cs21
though	though	cs22
we	we	ppis2
never	never	rr
talked	talk	vvn_vvd
to	to	ii
him	him	ppho1
,	,	y
Hubba	hubba	np1
Hubba	hubba	np1
Boy	boy	nn1
became	become	vvd
our	our	appge
favorite	favorite	jj_nn1
topic	topic	nn1
of	of	io
conversation	conversation	nn1
.	.	y
<p>	<p>	y
"	"	y
If	if	cs
you	you	ppy
were	be	vbdr
stranded	strand	vvn@_jj
on	on	ii
a	a	at1
desert	desert	nn1
island	island	nn1
,	,	y
"	"	y
Laurel	laurel	np1
said	say	vvd
one	one	mc1
evening	evening	nnt1
as	as	csa
we	we	ppis2
were	be	vbdr
gazing	gaze	vvg
at	at	ii
the	the	at
lights	light	nn2
reflecting	reflect	vvg
on	on	ii
the	the	at
harbor	harbor	nn1
,	,	y
"	"	y
and	and	cc
could	could	vm
pick	pick	vvi
one	one	mc1
person	person	nn1
to	to	to
have	have	vhi
with	with	iw
you	you	ppy
,	,	y
who	who	pnqs
would	would	vm
it	it	pph1
be	be	vbi
?	?	y
"	"	y
<p>	<p>	y
"	"	y
No	no	xx
offense	offense	nn1_vv0
,	,	y
but	but	ccb
I	i	ppis1
'd	have	vm
choose	choose	vvi
Hubba	hubba	np1
Hubba	hubba	np1
Boy	boy	nn1
,	,	y
"	"	y
I	i	ppis1
said	say	vvd
.	.	y
"	"	y
You	you	ppy
could	could	vm
rescue	rescue	vvi
us	us	ppio2
in	in	ii
the	the	at
lifeboat	lifeboat	nn1
.	.	y
"	"	y
<p>	<p>	y
Laurel	laurel	np1
laughed	laugh	vvd
.	.	y
"	"	y
No	no	xx
offense	offense	nn1_vv0
,	,	y
but	but	ccb
I	i	ppis1
'd	have	vm
probably	probably	rr
put	put	vvi
you	you	ppy
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
