##4001269		
ABSTRACT	abstract	jj_nn1@_vv0@
car	car	nn1
accident	accident	nn1
.	.	y
Later	later	rrr_jjr
they	they	pphs2
were	be	vbdr
asked	ask	vvn@
,	,	y
"	"	y
About	about	ii
how	how	rgq@_rrq
fast	fast	rr_jj
were	be	vbdr
the	the	at
cars	car	nn2
going	go	vvg
when	when	cs
they	they	pphs2
smashed	smash	vvd
into	into	ii
each	each	ppx221
other	other	ppx222
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
"	"	y
smashed	smash	vvn_vvd
"	"	y
with	with	iw
one	one	mc1
of	of	io
the	the	at
following	following	jj
words	word	nn2
:	:	y
"	"	y
collided	collide	vvn_vvd
,	,	y
"	"	y
"	"	y
bumped	bump	vvd_vvn
,	,	y
"	"	y
"	"	y
hit	hit	vvd_vvn
,	,	y
"	"	y
or	or	cc
"	"	y
contacted	contact	vvd_vvn
.	.	y
"	"	y
Although	although	cs
the	the	at
words	word	nn2
all	all	db_rr@
refer	refer	vv0
to	to	ii
the	the	at
coming	come	vvg_nn1@_jj@
together	together	rl
of	of	io
two	two	mc
objects	object	nn2
,	,	y
they	they	pphs2
differ	differ	vv0
in	in	ii_rp@
what	what	ddq
they	they	pphs2
imply	imply	vv0
about	about	ii_rp@
the	the	at
speed	speed	nn1
and	and	cc
force	force	nn1
of	of	io
impact	impact	nn1
.	.	y
<p>	<p>	y
Participants	participant	nn2
who	who	pnqs
received	receive	vvd
the	the	at
"	"	y
smashed	smashed	jj
"	"	y
version	version	nn1
estimated	estimate	vvd_vvn
the	the	at
speed	speed	nn1
at	at	ii
40.8	40.8	mc
mph	mph	nnu
(	(	y
65.7	65.7	mc
kmph	kmph	nnu
)	)	y
,	,	y
whereas	whereas	cs
those	those	dd2
given	give	vvn
the	the	at
"	"	y
contacted	contacted	jj%
"	"	y
version	version	nn1
estimated	estimate	vvd_vvn
the	the	at
speed	speed	nn1
at	at	ii
30.8	30.8	mc
mph	mph	nnu
(	(	y
49.6	49.6	mc
kmph	kmph	nnu
)	)	y
.	.	y
Furthermore	furthermore	rr
,	,	y
participants	participant	nn2
who	who	pnqs
received	receive	vvd
the	the	at
"	"	y
smashed	smashed	jj
"	"	y
version	version	nn1
were	be	vbdr
more	more	rgr
likely	likely	jj
to	to	to
answer	answer	vvi
yes	yes	uh
to	to	ii
the	the	at
question	question	nn1
"	"	y
Did	do	vdd
you	you	ppy
see	see	vvi
any	any	dd
broken	broken	jj
glass	glass	nn1
?	?	y
"	"	y
even	even	cs21
though	though	cs22
there	there	ex
was	be	vbdz
no	no	at
broken	broken	jj
glass	glass	nn1
.	.	y
In	in	ii
fact	fact	nn1
,	,	y
leading	lead	vvg_jj
questions	question	nn2
can	can	vm
have	have	vhi
an	a	at1
influence	influence	nn1
even	even	cs21
if	if	cs22
they	they	pphs2
are	be	vbr
very	very	rg
subtle	subtle	jj
.	.	y
Loftus	loftus	np1
and	and	cc
Zanni	zanni	np1_nn1
(	(	y
1975	1975	mc
)	)	y
found	find	vvd
that	that	cst_dd1
even	even	rr
a	a	at1
change	change	nn1
in	in	ii
the	the	at
wording	wording	nn1
of	of	io
the	the	at
question	question	nn1
from	from	ii
"	"	y
the	the	at
"	"	y
to	to	ii
"	"	y
a	a	at1
"	"	y
increased	increased	jj
the	the	at
proportion	proportion	nn1
of	of	io
witnesses	witness	nn2
who	who	pnqs
were	be	vbdr
misled	mislead	vvn
(	(	y
e.g.	eg	rex
,	,	y
"	"	y
Did	do	vdd
you	you	ppy
see	see	vvi
a	a	at1
broken	broken	jj
headlight	headlight	nn1
?	?	y
"	"	y
or	or	cc
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
.	.	y
<p>	<p>	y
Fortunately	fortunately	rr
,	,	y
the	the	at
use	use	nn1
of	of	io
leading	leading	jj_vvg
questions	question	nn2
can	can	vm
be	be	vbi
minimized	minimize	vvn@
,	,	y
and	and	cc
many	many	da2
police	police	nn2
officers	officer	nn2
are	be	vbr
trained	train	vvn
to	to	to
interview	interview	vvi
eyewitnesses	eyewitness	nn2
in	in	ii
a	a	at1
manner	manner	nn1
that	that	cst_dd1
reduces	reduce	vvz
the	the	at
use	use	nn1
of	of	io
such	such	da
questions	question	nn2
(	(	y
Kebbell	kebbell	np1
,	,	y
Milne	milne	np1
,	,	y
&;	&;	x
Wagstaff	wagstaff	np1_vv0_nn1
,	,	y
1999	1999	mc
)	)	y
.	.	y
Nevertheless	nevertheless	rr
,	,	y
a	a	at1
witness	witness	nn1
's	's	ge
account	account	nn1
may	may	vm
be	be	vbi
biased	bias	vvn
by	by	ii
suggestive	suggestive	jj
post-event	post-event	jj_nn1
sources	source	nn2
of	of	io
information	information	nn1
that	that	cst
are	be	vbr
not	not	xx
introduced	introduce	vvn
by	by	ii
a	a	at1
police	police	nn2
officer	officer	nn1
.	.	y
In	in	ii
most	most	dat
instances	instance	nn2
,	,	y
when	when	cs_rrq
a	a	at1
witness	witness	nn1
is	be	vbz
interviewed	interview	vvn
concerning	concerning	ii
a	a	at1
vehicle	vehicle	nn1
,	,	y
it	it	pph1
is	be	vbz
because	because	cs
that	that	dd1
vehicle	vehicle	nn1
has	have	vhz
been	be	vbn
involved	involved	jj
in	in	ii
some	some	dd
sort	sort	nn1
of	of	io
collision	collision	nn1
.	.	y
The	the	at
very	very	jj
fact	fact	nn1
that	that	cst
a	a	at1
witness	witness	nn1
knows	know	vvz
that	that	cst
the	the	at
vehicle	vehicle	nn1
has	have	vhz
crashed	crash	vvn
may	may	vm
encourage	encourage	vvi
the	the	at
witness	witness	nn1
to	to	to
attribute	attribute	vvi
the	the	at
crash	crash	nn1
to	to	ii
the	the	at
speed	speed	nn1
of	of	io
the	the	at
vehicle	vehicle	nn1
,	,	y
and	and	cc
this	this	dd1
may	may	vm
cause	cause	vvi
the	the	at
witness	witness	nn1
to	to	to
overestimate	overestimate	vvi
the	the	at
speed	speed	nn1
of	of	io
the	the	at
vehicle	vehicle	nn1
prior	prior	ii21
to	to	ii22
the	the	at
crash	crash	nn1
.	.	y
<p>	<p>	y
Also	also	rr
,	,	y
the	the	at
fact	fact	nn1
that	that	cst
a	a	at1
vehicle	vehicle	nn1
has	have	vhz
been	be	vbn
involved	involved	jj
in	in	ii
a	a	at1
crash	crash	nn1
may	may	vm
alter	alter	vvi
eyewitness	eyewitness	nn1
beliefs	belief	nn2
about	about	ii
the	the	at
way	way	nn1
that	that	cst
the	the	at
vehicle	vehicle	nn1
was	be	vbdz
driven	drive	vvn
.	.	y
Although	although	cs
speed	speed	nn1
can	can	vm
be	be	vbi
a	a	at1
major	major	jj
factor	factor	nn1
in	in	ii
causing	cause	vvg
crashes	crash	nn2
,	,	y
other	other	jj
explanations	explanation	nn2
are	be	vbr
possible	possible	jj
and	and	cc
for	for	if
some	some	dd
,	,	y
the	the	at
driver	driver	nn1
is	be	vbz
not	not	xx
responsible	responsible	jj
.	.	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
side	side	nn1
street	street	nn1
without	without	iw
seeing	see	vvg
an	a	at1
oncoming	oncoming	jj
vehicle	vehicle	nn1
.	.	y
Research	research	nn1_vv0@
by	by	ii
Hendricks	hendrick	nn2@
et	et	ra21
al	al	ra22
.	.	y
(	(	y
2001	2001	mc
)	)	y
into	into	ii
723	723	mc
crashes	crash	nn2_vvz
involving	involve	vvg
1,284	1,284	mc
vehicles	vehicle	nn2
suggested	suggest	vvd_vvn
that	that	cst_dd1
15.1%	15.1%	fo
were	be	vbdr
caused	cause	vvn
by	by	ii
such	such	da
errors	error	nn2
.	.	y
<p>	<p>	y
Alternatively	alternatively	rr
,	,	y
mechanical	mechanical	jj
failures	failure	nn2
such	such	ii21
as	as	ii22
a	a	at1
tire	tire	vv0
blowout	blowout	nn1_vv0
or	or	cc
brake	brake	vv0_nn1
failure	failure	nn1
appear	appear	vv0
to	to	to
be	be	vbi
responsible	responsible	jj
in	in	ii
4%	4%	nnu
to	to	ii
13%	13%	nnu
of	of	io
cases	case	nn2
(	(	y
Treat	treat	vv0_nn1
et	et	ra21
al.	al	ra22
,	,	y
1979	1979	mc
)	)	y
.	.	y
Consequently	consequently	rr
,	,	y
in	in	ii
this	this	dd1
study	study	nn1
,	,	y
we	we	ppis2
wanted	want	vvd
to	to	to
determine	determine	vvi
whether	whether	csw
the	the	at
belief	belief	nn1
that	that	cst
a	a	at1
vehicle	vehicle	nn1
crashed	crash	vvd_vvn@
would	would	vm
influence	influence	vvi
eyewitnesses	eyewitness	nn2
'	'	ge
estimates	estimate	nn2
about	about	ii
how	how	rgq@_rrq
well	well	rr
that	that	dd1
vehicle	vehicle	nn1
was	be	vbdz
driven	drive	vvn
.	.	y
The	the	at
implication	implication	nn1
is	be	vbz
that	that	cst
drivers	driver	nn2
who	who	pnqs
were	be	vbdr
driving	drive	vvg
perfectly	perfectly	rr
safely	safely	rr
may	may	vm
be	be	vbi
falsely	falsely	rr
remembered	remember	vvn_vvd
as	as	csa_ii@
driving	drive	vvg_jj
dangerously	dangerously	rr
simply	simply	rr
because	because	cs
they	they	pphs2
were	be	vbdr
subsequently	subsequently	rr
involved	involved	jj
in	in	ii
a	a	at1
crash	crash	nn1
.	.	y
EXPERIMENT	experiment	vv0@_nn1
1	1	mc1
<p>	<p>	y
To	to	to
address	address	vvi
the	the	at
idea	idea	nn1
that	that	cst_dd1
knowledge	knowledge	nn1
that	that	cst
a	a	at1
vehicle	vehicle	nn1
crashed	crash	vvd_vvn@
may	may	vm
potentially	potentially	rr
influence	influence	vvi
witnesses	witness	nn2
'	'	ge
estimates	estimate	nn2
of	of	io
speed	speed	nn1
and	and	cc
the	the	at
dangerousness	dangerousness	nn1
with	with	iw
which	which	ddq
a	a	at1
vehicle	vehicle	nn1
was	be	vbdz
driven	drive	vvn_jj
,	,	y
we	we	ppis2
conducted	conduct	vvd
an	a	at1
experiment	experiment	nn1
to	to	to
manipulate	manipulate	vvi
the	the	at
knowledge	knowledge	nn1
that	that	cst
a	a	at1
vehicle	vehicle	nn1
crashed	crash	vvd
.	.	y
We	we	ppis2
hypothesized	hypothesize	vvd
that	that	cst
witnesses	witness	nn2
who	who	pnqs
believed	believe	vvd
that	that	cst
a	a	at1
vehicle	vehicle	nn1
had	have	vhd
crashed	crash	vvn
would	would	vm
estimate	estimate	vvi
the	the	at
speed	speed	nn1
of	of	io
the	the	at
vehicle	vehicle	nn1
to	to	to
be	be	vbi
higher	high	jjr
than	than	csn
those	those	dd2
who	who	pnqs
did	do	vdd
not	not	xx
know	know	vvi
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
that	that	cst
witnesses	witness	nn2
who	who	pnqs
believed	believe	vvd
that	that	cst
the	the	at
vehicle	vehicle	nn1
had	have	vhd
crashed	crash	vvn
would	would	vm
remember	remember	vvi
the	the	at
way	way	nn1
the	the	at
vehicle	vehicle	nn1
was	be	vbdz
driven	drive	vvn
as	as	csa
being	be	vbg
more	more	rgr
dangerous	dangerous	jj
.	.	y
Method	method	nn1
<p>	<p>	y
Participants	participant	nn2
<p>	<p>	y
Participants	participant	nn2
were	be	vbdr
33	33	mc
prospective	prospective	jj
undergraduate	undergraduate	nn1
students	student	nn2
(	(	y
8	8	mc
men	man	nn2
and	and	cc
25	25	mc
women	woman	nn2
)	)	y
.	.	y
The	the	at
average	average	jj_nn1
age	age	nn1
of	of	io
participants	participant	nn2
was	be	vbdz
22.45	22.45	mc
years	year	nnt2
(	(	y
range	range	nn1_vv0@
17-56	17-56	mcmc
,	,	y
SD	sd	np1
=	=	fo
<p>	<p>	y
11.30	11.30	mc
)	)	y
.	.	y
<p>	<p>	y
Materials	material	nn2
<p>	<p>	y
A	a	at1_zz1
1-min	1-min	jj
video	video	nn1
was	be	vbdz
shot	shoot	vvn
from	from	ii
a	a	at1
stationary	stationary	jj
position	position	nn1
at	at	ii
the	the	at
side	side	nn1
of	of	io
a	a	at1
street	street	nn1
to	to	to
produce	produce	vvi
plausible	plausible	jj
security	security	nn1
camera	camera	nn1
footage	footage	nn1
.	.	y
The	the	at
beginning	beginning	nn1
of	of	io
the	the	at
film	film	nn1
showed	show	vvd
the	the	at
street	street	nn1
and	and	cc
then	then	rt
a	a	at1
car	car	nn1
being	be	vbg
driven	drive	vvn
down	down	ii
the	the	at
street	street	nn1
at	at	ii
a	a	at1
constant	constant	jj_nn1@
49.7	49.7	mc
mph	mph	nnu
(	(	y
80.0	80.0	mc
kmph	kmph	nnu
)	)	y
toward	toward	ii
and	and	cc
then	then	rt
past	past	ii
the	the	at
camera	camera	nn1
.	.	y
We	we	ppis2
obtained	obtain	vvd
from	from	ii
police	police	nn2
files	file	nn2_vvz%
photographs	photograph	nn2
of	of	io
a	a	at1
crashed	crashed	jj@
car	car	nn1
and	and	cc
a	a	at1
not-crashed	not-crashed	jj
car	car	nn1
identical	identical	jj
to	to	ii
the	the	at
one	one	pn1
in	in	ii
the	the	at
video	video	nn1
in	in	ii31
terms	terms	ii32
of	of	ii33
color	color	nn1
,	,	y
make	make	vv0
,	,	y
and	and	cc
model	model	nn1
.	.	y
The	the	at
crashed	crashed	jj@
vehicle	vehicle	nn1
had	have	vhd
sustained	sustain	vvn
heavy	heavy	jj
frontal	frontal	jj
damage	damage	nn1
consistent	consistent	jj
with	with	iw
hitting	hit	vvg
another	another	dd1
vehicle	vehicle	nn1
.	.	y
<p>	<p>	y
Procedure	procedure	nn1
<p>	<p>	y
We	we	ppis2
tested	test	vvd
the	the	at
participants	participant	nn2
in	in	ii
groups	group	nn2
of	of	io
up	up	rg21
to	to	rg22
6	6	mc
.	.	y
Upon	upon	ii
arrival	arrival	nn1
they	they	pphs2
were	be	vbdr
seated	seat	vvn
at	at	ii
a	a	at1
distance	distance	nn1
of	of	io
approximately	approximately	rr
2	2	mc
m	m	nno@_nnu@
from	from	ii
a	a	at1
21-in.	21-in	jj
television/video	television/video	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
are	be	vbr
about	about	rpk
to	to	to
see	see	vvi
was	be	vbdz
filmed	film	vvn
by	by	ii
a	a	at1
security	security	nn1
camera	camera	nn1
.	.	y
Please	please	rr
watch	watch	vv0
carefully	carefully	rr
.	.	y
"	"	y
The	the	at
participants	participant	nn2
were	be	vbdr
then	then	rt
randomly	randomly	rr
assigned	assign	vvn
to	to	ii
one	one	mc1
of	of	io
two	two	mc
conditions	condition	nn2
.	.	y
<p>	<p>	y
Car	car	nn1
not	not	xx
crashed	crash	vvn@_jj@
.	.	y
In	in	ii
this	this	dd1
condition	condition	nn1
we	we	ppis2
asked	ask	vvd
participants	participant	nn2
to	to	to
watch	watch	vvi
the	the	at
film	film	nn1
,	,	y
after	after	ii_cs
which	which	ddq
they	they	pphs2
were	be	vbdr
shown	show	vvn
photographs	photograph	nn2
of	of	io
a	a	at1
"	"	y
not-crashed	not-crashed	jj
vehicle	vehicle	nn1
.	.	y
"	"	y
We	we	ppis2
then	then	rt
asked	ask	vvd
them	them	ppho2
to	to	to
read	read	vvi
an	a	at1
unrelated	unrelated	jj
magazine	magazine	nn1
article	article	nn1
as	as	ii_csa
a	a	at1
filler	filler	nn1
task	task	nn1
for	for	if
5	5	mc
min	min	nnu
before	before	ii
completing	complete	vvg
a	a	at1
questionnaire	questionnaire	nn1
.	.	y
The	the	at
questionnaire	questionnaire	nn1
required	require	vvn_vvd@
that	that	cst
they	they	pphs2
estimate	estimate	vv0
the	the	at
speed	speed	nn1
of	of	io
the	the	at
vehicle	vehicle	nn1
and	and	cc
provide	provide	vv0
a	a	at1
confidence	confidence	nn1
judgment	judgment	nn1
of	of	io
the	the	at
accuracy	accuracy	nn1
of	of	io
their	their	appge
estimate	estimate	nn1
.	.	y
We	we	ppis2
asked	ask	vvd
them	them	ppho2
to	to	ii
rate	rate	nn1
their	their	appge
confidence	confidence	nn1
judgments	judgment	nn2
on	on	ii
a	a	at1
10-point	10-point	jj
Likert-type	likert-type	jj_nn1
scale	scale	nn1
ranging	range	vvg
from	from	ii
pure	pure	jj
guess	guess	nn1@
(	(	y
1	1	mc1
)	)	y
to	to	ii_to
absolutely	absolutely	rr
certain	certain	jj
(	(	y
10	10	mc
)	)	y
.	.	y
We	we	ppis2
asked	ask	vvd
them	them	ppho2
"	"	y
How	how	rgq@
dangerous	dangerous	jj
was	be	vbdz
the	the	at
way	way	nn1
that	that	cst
the	the	at
vehicle	vehicle	nn1
was	be	vbdz
being	be	vbg
driven	drive	vvn
?	?	y
"	"	y
Responses	response	nn2
were	be	vbdr
given	give	vvn
on	on	ii
a	a	at1
10-point	10-point	jj
Likert-type	likert-type	jj_nn1
scale	scale	nn1
ranging	range	vvg
from	from	ii
not	not	xx
at	at	rr21
all	all	rr22
dangerous	dangerous	jj
(	(	y
1	1	mc1
)	)	y
to	to	ii_to
extremely	extremely	rr
dangerous	dangerous	jj
(	(	y
10	10	mc
)	)	y
.	.	y
We	we	ppis2
asked	ask	vvd
them	them	ppho2
"	"	y
How	how	rgq@
likely	likely	jj_rr@
was	be	vbdz
a	a	at1
crash	crash	nn1
?	?	y
"	"	y
and	and	cc
"	"	y
How	how	rgq@_rrq
likely	likely	jj_rr@
was	be	vbdz
the	the	at
driver	driver	nn1
to	to	to
kill	kill	vvi
someone	someone	pn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
scale	scale	nn1
ranging	range	vvg
from	from	ii
not	not	xx
at	at	rr21
all	all	rr22
likely	likely	jj
(	(	y
1	1	mc1
)	)	y
to	to	ii_to
extremely	extremely	rr
likely	likely	jj
(	(	y
10	10	mc
)	)	y
.	.	y
We	we	ppis2
then	then	rt
showed	show	vvd
the	the	at
participants	participant	nn2
pictures	picture	nn2
of	of	io
a	a	at1
