##2000173		
None	none	pn
all	all	db_rr@
it	it	pph1
's	be	vbz
cracked	crack	vvn
up	up	rp
to	to	to
be	be	vbi
intrinsically	intrinsically	rr
or	or	cc
financially	financially	rr
?	?	y
Is	be	vbz
an	a	at1
Olympic	olympic	jj
medal	medal	nn1
the	the	at
yellow	yellow	jj
brick	brick	nn1
road	road	nn1
to	to	ii
a	a	at1
dream	dream	nn1
come	come	vv0_vvn@
true	true	jj
?	?	y
When	when	cs_rrq
I	i	ppis1
had	have	vhd
last	last	md
seen	see	vvn
two	two	mc
of	of	io
these	these	dd2
young	young	jj
athletes	athlete	nn2
perform	perform	vv0
,	,	y
and	and	cc
lose	lose	vv0
--	--	x
Zmeskal	zmeskal	jj_np1
in	in	ii
Barcelona	barcelona	np1
,	,	y
Ito	ito	np1_nn1
in	in	ii
Albertville	albertville	np1
--	--	x
a	a	at1
light	light	nn1
appeared	appear	vvd
to	to	to
have	have	vhi
gone	go	vvn
out	out	rp
in	in	ii
each	each	dd1
of	of	io
them	them	ppho2
.	.	y
They	they	pphs2
seemed	seem	vvd
crushed	crush	vvn
by	by	ii
their	their	appge
defeats	defeat	nn2
,	,	y
mere	mere	jj
shadows	shadow	nn2
of	of	io
the	the	at
champions	champion	nn2
they	they	pphs2
had	have	vhd
been	be	vbn
.	.	y
I	i	ppis1
wondered	wonder	vvd
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
This	this	dd1
is	be	vbz
what	what	ddq
I	i	ppis1
learned	learn	vvd
:	:	y
The	the	at
experience	experience	nn1
of	of	io
competing	compete	vvg_jj
in	in	ii
the	the	at
Games	game	nn2
is	be	vbz
a	a	at1
greater	great	jjr
prize	prize	nn1
than	than	csn
any	any	dd
medal	medal	nn1
,	,	y
even	even	rr
a	a	at1
gold	gold	nn1
.	.	y
It	it	pph1
's	be	vbz
a	a	at1
greater	great	jjr
prize	prize	nn1
than	than	csn
anything	anything	pn1
a	a	at1
gold	gold	nn1_jj@
medal	medal	nn1
might	might	vm
bring	bring	vvi
,	,	y
since	since	cs
everything	everything	pn1
a	a	at1
gold	gold	nn1_jj@
medal	medal	nn1
brings	bring	vvz
--	--	x
endorsements	endorsement	nn2
,	,	y
new	new	jj
friends	friend	nn2
,	,	y
fame	fame	nn1
--	--	x
comes	come	vvz
with	with	iw
strings	string	nn2
attached	attach	vvn_vvd@
.	.	y
To	to	to
have	have	vhi
competed	compete	vvn@
in	in	ii
the	the	at
Games	game	nn2
is	be	vbz
a	a	at1
greater	great	jjr
prize	prize	nn1
than	than	csn
losing	lose	vvg_nn1@
is	be	vbz
a	a	at1
disappointment	disappointment	nn1
,	,	y
because	because	cs
with	with	iw
time	time	nnt1
the	the	at
disappointment	disappointment	nn1
fades	fade	vvz
,	,	y
while	while	cs
the	the	at
memory	memory	nn1
of	of	io
competing	compete	vvg_jj
in	in	ii
the	the	at
Olympics	olympics	nn2
stays	stay	vvz
fresh	fresh	jj
and	and	cc
,	,	y
quite	quite	rg
possibly	possibly	rr
,	,	y
improves	improve	vvz
.	.	y
Yes	yes	uh
,	,	y
there	there	ex
are	be	vbr
Olympic	olympic	jj
winners	winner	nn2
,	,	y
but	but	ccb
I	i	ppis1
believe	believe	vv0
there	there	ex_rl
are	be	vbr
no	no	at
Olympic	olympic	jj
losers	loser	nn2
,	,	y
hard	hard	rr
as	as	csa
we	we	ppis2
in	in	ii
the	the	at
media	media	nn
might	might	vm
try	try	vvi
to	to	to
find	find	vvi
them	them	ppho2
.	.	y
Maybe	maybe	rr
my	my	appge
view	view	nn1
is	be	vbz
too	too	rg
general	general	jj
;	;	y
maybe	maybe	rr
it	it	pph1
was	be	vbdz
just	just	rr
these	these	dd2
four	four	mc
athletes	athlete	nn2
.	.	y
Midori	midori	np1@
Ito	ito	np1_nn1
had	have	vhd
it	it	pph1
the	the	at
worst	bad	jjt
.	.	y
Fifth	fifth	md
in	in	ii
the	the	at
'	'	ge
88	88	mc
Olympics	olympics	nn2
,	,	y
world	world	nn1
champion	champion	nn1
in	in	ii
1989	1989	mc
,	,	y
the	the	at
first	first	md
woman	woman	nn1
to	to	to
perform	perform	vvi
a	a	at1
triple	triple	jj_nn1
Axel	axel	np1
jump	jump	nn1_vv0
in	in	ii
competition	competition	nn1
,	,	y
Ito	ito	np1_nn1
was	be	vbdz
Japan	japan	np1
's	's	ge
Dream	dream	nn1
Team	team	nn1
at	at	ii
Albertville	albertville	np1
.	.	y
No	no	xx
Japanese	japanese	jj_nn1
woman	woman	nn1
had	have	vhd
ever	ever	rr
won	win	vvn
a	a	at1
gold	gold	nn1_jj@
medal	medal	nn1
in	in	ii
the	the	at
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
1972	1972	mc
.	.	y
The	the	at
pressure	pressure	nn1
on	on	ii
her	her	ppho1
to	to	to
take	take	vvi
home	home	rl
the	the	at
gold	gold	nn1
was	be	vbdz
enormous	enormous	jj
.	.	y
"	"	y
I	i	ppis1
was	be	vbdz
the	the	at
favorite	favorite	nn1_jj
,	,	y
"	"	y
says	say	vvz
Ito	ito	np1_nn1
,	,	y
"	"	y
and	and	cc
I	i	ppis1
knew	know	vvd
the	the	at
Japanese	japanese	jj_nn1
people	people	nn
expected	expect	vvd_vvn
a	a	at1
gold	gold	nn1_jj@
medal	medal	nn1
.	.	y
"	"	y
Expected	expected	jj_vvn
?	?	y
Like	like	ii_vv0@
one	one	pn1_mc1
is	be	vbz
expected	expect	vvn_jj
to	to	to
make	make	vvi
the	the	at
bed	bed	nn1
in	in	ii
the	the	at
morning	morning	nnt1
,	,	y
expected	expect	vvd_vvn
to	to	to
do	do	vdi
one	one	pn1
's	's	ge
homework	homework	nn1
.	.	y
The	the	at
quest	quest	nn1
for	for	if
the	the	at
gold	gold	nn1
became	become	vvd
not	not	xx
a	a	at1
labor	labor	nn1
of	of	io
love	love	nn1
but	but	ccb
a	a	at1
chore	chore	nn1
for	for	if
Ito	ito	nn1_np1
.	.	y
When	when	cs_rrq
she	she	pphs1
first	first	md
arrived	arrive	vvn_vvd
in	in	ii
Albertville	albertville	np1
,	,	y
she	she	pphs1
was	be	vbdz
in	in	ii
the	the	at
best	best	jjt
shape	shape	nn1
of	of	io
her	her	appge
life	life	nn1
.	.	y
Rival	rival	jj_vv0
coaches	coach	nn2
were	be	vbdr
literally	literally	rr
covering	cover	vvg
their	their	appge
eyes	eye	nn2
during	during	ii
her	her	appge
practices	practice	nn2
,	,	y
so	so	rg_rr
awesome	awesome	jj
were	be	vbdr
her	her	appge
jumps	jump	nn2@
.	.	y
But	but	ccb
as	as	csa_ii
the	the	at
competition	competition	nn1
approached	approach	vvd_vvn
,	,	y
Ito	ito	np1
began	begin	vvd
to	to	to
withdraw	withdraw	vvi
physically	physically	rr
and	and	cc
emotionally	emotionally	rr
.	.	y
She	she	pphs1
began	begin	vvd
missing	miss	vvg
her	her	appge
triples	triple	nn2
.	.	y
She	she	pphs1
stopped	stop	vvd
smiling	smile	vvg_jj
.	.	y
Normally	normally	rr
chatty	chatty	jj
with	with	iw
Japanese	japanese	jj
team	team	nn1
officials	official	nn2
,	,	y
she	she	pphs1
became	become	vvd
uncharacteristically	uncharacteristically	rr
quiet	quiet	jj
and	and	cc
aloof	aloof	jj
.	.	y
"	"	y
As	as	ii_csa
the	the	at
competition	competition	nn1
was	be	vbdz
coming	come	vvg
close	close	jj_rr@_nn1@
,	,	y
she	she	pphs1
got	get	vvd
more	more	rrr_dar
and	and	cc
more	more	rgr
nervous	nervous	jj
,	,	y
"	"	y
says	say	vvz
her	her	appge
coach	coach	nn1
,	,	y
Machiko	machiko	np1
Yamada	yamada	np1
.	.	y
"	"	y
So	so	rg
many	many	da2
Japanese	japanese	jj
people	people	nn
expecting	expect	vvg
medals	medal	nn2
.	.	y
"	"	y
Desperate	desperate	jj
,	,	y
Yamada	yamada	np1
suggested	suggest	vvd
that	that	cst_dd1
Ito	ito	np1_nn1
replace	replace	vv0
her	her	appge
trademark	trademark	nn1
triple	triple	nn1_vv0_jj
Axel	axel	np1
with	with	iw
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
short	short	jj
program	program	nn1
.	.	y
"	"	y
After	after	cs_ii
careful	careful	jj
consideration	consideration	nn1
,	,	y
I	i	ppis1
agreed	agree	vvd
,	,	y
"	"	y
Ito	ito	np1_nn1
says	say	vvz
.	.	y
But	but	ccb
the	the	at
pressure	pressure	nn1
was	be	vbdz
such	such	cs21
that	that	cs22
even	even	rr
that	that	dd1_cst_rg%
conservative	conservative	jj_nn1
move	move	nn1
backfired	backfire	vvd_vvn
.	.	y
Ito	ito	np1@_nn1
fell	fall	vvd
while	while	cs
attempting	attempt	vvg
her	her	appge_ppho1
triple	triple	jj_nn1
Lutz	lutz	np1_nn1@
,	,	y
effectively	effectively	rr
ruining	ruin	vvg
any	any	dd
hopes	hope	nn2
she	she	pphs1
had	have	vhd
of	of	io
winning	win	vvg
the	the	at
gold	gold	nn1_jj@
medal	medal	nn1
.	.	y
It	it	pph1
was	be	vbdz
a	a	at1
mistake	mistake	nn1
Yamada	yamada	np1_nn1@
had	have	vhd
never	never	rr
seen	see	vvn
Midori	midori	np1_nn2@_jj_nn1
make	make	vvi
,	,	y
even	even	rr
in	in	ii
practice	practice	nn1
.	.	y
"	"	y
Sometimes	sometimes	rt
she	she	pphs1
stumbles	stumble	vvz
--	--	x
but	but	ccb
fall	fall	vv0_nn1
,	,	y
never	never	rr
,	,	y
"	"	y
the	the	at
coach	coach	nn1
said	say	vvd
afterward	afterward	rl
.	.	y
"	"	y
I	i	ppis1
could	could	vm
n't	n't	xx
believe	believe	vvi
it	it	pph1
.	.	y
"	"	y
Neither	neither	dd1
could	could	vm
many	many	da2
of	of	io
the	the	at
U.S.	us	np1
coaches	coach	nn2
who	who	pnqs
had	have	vhd
followed	follow	vvn
Ito	ito	np1_nn1
's	's	ge
career	career	nn1
.	.	y
One	one	mc1
of	of	io
them	them	ppho2
burst	burst	vvd_vvn_vv0
into	into	ii
tears	tear	nn2
.	.	y
Another	another	dd1
said	say	vvd
it	it	pph1
broke	break	vvd
her	her	appge
heart	heart	nn1
.	.	y
Everyone	everyone	pn1
knew	know	vvd
the	the	at
pressure	pressure	nn1
Ito	ito	nn1_np1
was	be	vbdz
under	under	rp@_rg@
,	,	y
and	and	cc
the	the	at
shellacking	shellacking	nn1@_jj@
she	she	pphs1
would	would	vm
now	now	rt
endure	endure	vvi
at	at	ii
home	home	nn1
.	.	y
Sure	sure	jj_rr%
enough	enough	rr
the	the	at
headlines	headline	nn2
back	back	rp
in	in	ii
Japan	japan	np1
read	read	vvd
,	,	y
MIDORI	midori	np1_nn1
FAILS	fail	vvz
.	.	y
Ito	ito	nn1_np1@
,	,	y
her	her	appge
face	face	nn1
blank	blank	jj_nn1@_vv0@
to	to	to
hide	hide	vvi
her	her	appge
embarrassment	embarrassment	nn1
and	and	cc
her	her	appge
eyes	eye	nn2
red	red	jj_nn1
with	with	iw
tears	tear	nn2
,	,	y
felt	feel	vvd_vvn
obliged	oblige	vvn
to	to	to
apologize	apologize	vvi
to	to	ii
the	the	at
people	people	nn
of	of	io
Japan	japan	np1
.	.	y
The	the	at
funny	funny	jj
thing	thing	nn1
was	be	vbdz
,	,	y
she	she	pphs1
never	never	rr
felt	feel	vvd_vvn
she	she	pphs1
owed	owe	vvd
herself	herself	ppx1
an	a	at1
apology	apology	nn1
.	.	y
"	"	y
I	i	ppis1
was	be	vbdz
never	never	rr
disappointed	disappointed	jj_vvd@
for	for	if
myself	myself	ppx1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
Japan	japan	np1
,	,	y
"	"	y
she	she	pphs1
says	say	vvz
.	.	y
"	"	y
I	i	ppis1
have	have	vh0
no	no	at
regrets	regret	nn2
because	because	cs
I	i	ppis1
know	know	vv0
I	i	ppis1
did	do	vdd
my	my	appge
best	best	jjt
--	--	x
all	all	db_rr@
I	i	ppis1
could	could	vm
do	do	vdi
.	.	y
"	"	y
Athletes	athlete	nn2
understand	understand	vv0
defeat	defeat	nn1_vv0
.	.	y
They	they	pphs2
know	know	vv0
they	they	pphs2
're	be	vbr
only	only	jj_rr
human	human	nn1_jj
.	.	y
But	but	ccb
great	great	jj
athletes	athlete	nn2
know	know	vv0
how	how	rrq
to	to	to
leave	leave	vvi
a	a	at1
mistake	mistake	nn1
behind	behind	rl@_ii
,	,	y
and	and	cc
while	while	cs
television	television	nn1
and	and	cc
newspapers	newspaper	nn2
were	be	vbdr
playing	play	vvg
up	up	rp_ii@
the	the	at
story	story	nn1
of	of	io
Ito	ito	np1_nn1
's	's	ge
failure	failure	nn1
,	,	y
replaying	replay	vvg
her	her	appge
fall	fall	nn1
,	,	y
analyzing	analyze	vvg
and	and	cc
second-guessing	second-guessing	nn1_jj
her	her	appge
decision	decision	nn1
to	to	to
insert	insert	vvi
the	the	at
triple	triple	jj_nn1
Lutz	lutz	np1_nn1@
,	,	y
Ito	ito	np1
put	put	vvd_vv0
it	it	pph1
behind	behind	ii
her	her	ppho1
and	and	cc
went	go	vvd
out	out	rp
and	and	cc
won	win	vvd
the	the	at
silver	silver	nn1_jj@
medal	medal	nn1
.	.	y
In	in	ii
doing	do	vdg
so	so	rr_rg
,	,	y
she	she	pphs1
provided	provide	vvd
one	one	mc1
of	of	io
the	the	at
highlights	highlight	nn2
of	of	io
the	the	at
Winter	winter	nnt1
Games	game	nn2
when	when	rrq_cs
she	she	pphs1
landed	land	vvd
a	a	at1
triple	triple	jj_nn1
Axel	axel	np1
in	in	ii
the	the	at
final	final	jj
minute	minute	nnt1
of	of	io
her	her	appge
long	long	jj
program	program	nn1
,	,	y
after	after	ii
falling	fall	vvg
on	on	ii
it	it	pph1
earlier	early	rrr_jjr
in	in	ii
the	the	at
performance	performance	nn1
.	.	y
It	it	pph1
brought	bring	vvd
a	a	at1
joyful	joyful	jj
smile	smile	nn1
to	to	ii
her	her	appge
face	face	nn1
,	,	y
finally	finally	rr
brought	bring	vvd_vvn
the	the	at
fans	fan	nn2
to	to	ii
their	their	appge
feet	foot	nn2
and	and	cc
propelled	propel	vvd
her	her	ppho1
from	from	ii
fourth	fourth	md
place	place	nn1_vv0
to	to	ii
second	second	nnt1
.	.	y
Ito	ito	nn1_np1@
has	have	vhz
since	since	rr@
said	say	vvn
that	that	cst_dd1
landing	land	vvg_nn1
that	that	dd1_cst
jump	jump	nn1
was	be	vbdz
as	as	rg@
important	important	jj
to	to	ii
her	her	ppho1
as	as	ii_csa
the	the	at
medal	medal	nn1
.	.	y
Not	not	xx
only	only	rr
was	be	vbdz
she	she	pphs1
the	the	at
first	first	md
woman	woman	nn1
to	to	to
land	land	vvi
it	it	pph1
in	in	ii
competition	competition	nn1
,	,	y
she	she	pphs1
was	be	vbdz
now	now	rt
the	the	at
first	first	md
to	to	to
land	land	vvi
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
it	it	pph1
was	be	vbdz
an	a	at1
accomplishment	accomplishment	nn1
she	she	pphs1
did	do	vdd
not	not	xx
feel	feel	vvi
obliged	oblige	vvn
to	to	to
share	share	vvi
with	with	iw
all	all	db
of	of	io
Japan	japan	np1
.	.	y
It	it	pph1
made	make	vvd
her	her	appge
Games	game	nn2
.	.	y
"	"	y
Of	of	rr21
course	course	rr22
I	i	ppis1
know	know	vv0
some	some	dd
people	people	nn
are	be	vbr
n't	n't	xx
happy	happy	jj
because	because	cs
they	they	pphs2
wanted	want	vvd
me	me	ppio1
to	to	to
win	win	vvi
the	the	at
gold	gold	nn1_jj@
medal	medal	nn1
.	.	y
"	"	y
she	she	pphs1
says	say	vvz
.	.	y
"	"	y
But	but	ccb
I	i	ppis1
'm	be	vbm
very	very	rg
proud	proud	jj
of	of	io
what	what	ddq
I	i	ppis1
did	do	vdd
.	.	y
"	"	y
Since	since	cs
Albertville	albertville	np1
,	,	y
Ito	ito	np1_nn1
has	have	vhz
retired	retire	vvn
from	from	ii
amateur	amateur	jj_nn1
competition	competition	nn1
.	.	y
She	she	pphs1
never	never	rr
expected	expect	vvd
to	to	to
make	make	vvi
her	her	appge
fortune	fortune	nn1
from	from	ii
endorsements	endorsement	nn2
,	,	y
since	since	cs
foreigners	foreigner	nn2
and	and	cc
cutesy	cutesy	jj
Japanese	japanese	jj_nn1
starlets	starlet	nn2
are	be	vbr
the	the	at
best	best	jjt
vehicles	vehicle	nn2
for	for	if
selling	sell	vvg_nn1
products	product	nn2
in	in	ii
Japan	japan	np1
Ito	ito	np1
has	have	vhz
made	make	vvn
a	a	at1
cake	cake	nn1
commercial	commercial	nn1@_jj
and	and	cc
a	a	at1
milk	milk	nn1
commercial	commercial	nn1@_jj
,	,	y
and	and	cc
she	she	pphs1
's	be	vbz
a	a	at1
spokesperson	spokesperson	nn1
for	for	if
Prince	prince	nnb
Hotels	hotels	np1
.	.	y
She	she	pphs1
also	also	rr
skates	skate	vvz
in	in	ii_rp@
a	a	at1
Japanese	japanese	jj_nn1
ice	ice	nn1
show	show	nn1
and	and	cc
,	,	y
someday	someday	rt
,	,	y
would	would	vm
like	like	vvi
to	to	to
skate	skate	vvi
in	in	ii_rp@
professional	professional	jj
competitions	competition	nn2
.	.	y
"	"	y
The	the	at
feeling	feeling	nn1
across	across	ii
the	the	at
country	country	nn1
is	be	vbz
about	about	ii_rg%
50-50	50-50	mcmc
these	these	dd2
days	day	nnt2
,	,	y
"	"	y
says	say	vvz
Junko	junko	np1
Hisada	hisada	np1
,	,	y
a	a	at1
top	top	jj_nn1
official	official	nn1
of	of	io
the	the	at
Japanese	japanese	nn1_jj
Skating	skate	vvg_nn1@
Federation	federation	nn1
.	.	y
"	"	y
Half	half	db
the	the	at
people	people	nn
will	will	vm
always	always	rr
feel	feel	vvi
Ito	ito	np1_nn1
failed	fail	vvd
,	,	y
but	but	ccb
the	the	at
other	other	jj
half	half	nn1@_db
are	be	vbr
proud	proud	jj
of	of	io
her	her	ppho1
.	.	y
The	the	at
people	people	nn
closest	close	rrt
to	to	ii
her	her	ppho1
know	know	vv0
all	all	db_rr@
she	she	pphs1
had	have	vhd
to	to	to
go	go	vvi
through	through	rp@
.	.	y
"	"	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
as	as	ii_csa
a	a	at1
TV	tv	nn1
commentator	commentator	nn1
,	,	y
covering	cover	vvg
everything	everything	pn1
from	from	ii
sumo	sumo	nn1
wrestling	wrestling	nn1_vvg@
to	to	ii
volleyball	volleyball	nn1
to	to	ii
the	the	at
Summer	summer	nnt1
Olympics	olympics	nn2
.	.	y
At	at	ii
Barcelona	barcelona	np1
she	she	pphs1
had	have	vhd
the	the	at
opportunity	opportunity	nn1
to	to	to
view	view	vvi
the	the	at
Olympics	olympics	nn2
from	from	ii
the	the	at
other	other	jj
side	side	nn1
of	of	io
the	the	at
microphone	microphone	nn1
.	.	y
"	"	y
I	i	ppis1
recognized	recognize	vvd
in	in	ii_rp@
other	other	jj
athletes	athlete	nn2
the	the	at
pressure	pressure	nn1
that	that	cst
I	i	ppis1
'd	have	vhd
felt	feel	vvn
,	,	y
"	"	y
she	she	pphs1
says	say	vvz
,	,	y
"	"	y
especially	especially	rr
in	in	ii
gymnastics	gymnastics	nn1_nn2
.	.	y
"	"	y
Kristi	kristi	np1@_jj@
Yamaguchi	yamaguchi	np1_nn1
had	have	vhd
a	a	at1
very	very	rg
different	different	jj
Olympic	olympic	jj
experience	experience	nn1
.	.	y
The	the	at
great	great	jj
trick	trick	nn1
for	for	if
her	her	ppho1
was	be	vbdz
convincing	convince	vvg@
herself	herself	ppx1
she	she	pphs1
was	be	vbdz
the	the	at
underdog	underdog	nn1
,	,	y
despite	despite	ii
carrying	carry	vvg
the	the	at
title	title	nn1
of	of	io
reigning	reigning	jj_vvg
world	world	nn1
champion	champion	nn1
into	into	ii
the	the	at
Games	game	nn2
.	.	y
Yamaguchi	yamaguchi	nn2_np1@
had	have	vhd
upset	upset	vvn
an	a	at1
injured	injured	jj
Ito	ito	nn1
at	at	ii
the	the	at
1991	1991	mc
worlds	world	nn2
in	in	ii
Munich	munich	np1
.	.	y
The	the	at
press	press	nn1
was	be	vbdz
happy	happy	jj
to	to	to
oblige	oblige	vvi
her	her	appge
underdog	underdog	nn1
hankerings	hankerings	nn2
:	:	y
Nearly	nearly	rr
everyone	everyone	pn1
picked	pick	vvd_jj@_vvn
Ito	ito	np1_nn1
to	to	to
finish	finish	vvi
first	first	md
in	in	ii
Albertville	albertville	np1
,	,	y
Yamaguchi	yamaguchi	jj_np1_nn1
to	to	to
finish	finish	vvi
second	second	nnt1_md
.	.	y
And	and	cc
the	the	at
modest	modest	jj
20-year-old	20-year-old	nn1@_jj
from	from	ii
Fremont	fremont	np1
,	,	y
Calif.	calif	np1
,	,	y
was	be	vbdz
mentally	mentally	rr
prepared	prepare	vvn
to	to	to
live	live	vvi
with	with	iw
that	that	dd1
result	result	nn1
.	.	y
The	the	at
next	next	md
Winter	winter	nnt1
Games	game	nn2
would	would	vm
be	be	vbi
held	hold	vvn
in	in	ii
Norway	norway	np1
in	in	ii
1994	1994	mc
,	,	y
just	just	rr
two	two	mc
years	year	nnt2
away	away	rl
,	,	y
so	so	rr_rg
Yamaguchi	yamaguchi	np1_jj
knew	know	vvd
she	she	pphs1
would	would	vm
have	have	vhi
one	one	mc1
more	more	dar
shot	shot	nn1_vvn
at	at	ii
a	a	at1
gold	gold	nn1_jj@
medal	medal	nn1
,	,	y
win	win	vv0
or	or	cc
lose	lose	vv0
in	in	ii_rp@
'	'	ge
92	92	mc
.	.	y
Not	not	xx
burdened	burden	vvn
by	by	ii
high	high	jj
expectations	expectation	nn2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
At	at	ii
her	her	appge
parents	parent	nn2
'	'	ge
insistence	insistence	nn1
she	she	pphs1
marched	march	vvd
in	in	ii
the	the	at
opening	opening	nn1_jj@
ceremonies	ceremony	nn2
although	although	cs
her	her	appge
figure	figure	nn1
skating	skate	vvg_nn1@
competition	competition	nn1
would	would	vm
n't	n't	xx
start	start	vvi
for	for	if
another	another	dd1
11	11	mc
days	day	nnt2
.	.	y
(	(	y
Meanwhile	meanwhile	rr
,	,	y
Ito	ito	np1_nn1
was	be	vbdz
training	train	vvg@_nn1
in	in	ii
Megeve	megeve	np1_nn1
,	,	y
France	france	np1
.	.	y
)	)	y
Yamaguchi	yamaguchi	nn2_np1@
stayed	stay	vvn_vvd
in	in	ii
the	the	at
Olympic	olympic	jj
Village	village	nn1_np1
,	,	y
went	go	vvd
dancing	dance	vvg_nn1
with	with	iw
other	other	jj
athletes	athlete	nn2
,	,	y
but	but	ccb
by	by	ii
the	the	at
time	time	nnt1
the	the	at
real	real	jj
partying	partying	nn1@
began	begin	vvd
,	,	y
it	it	pph1
was	be	vbdz
time	time	nnt1
for	for	if
her	her	ppho1
to	to	to
focus	focus	vvi
on	on	ii_rp@
skating	skate	vvg_nn1@
.	.	y
"	"	y
I	i	ppis1
remember	remember	vv0
thinking	thinking	nn1_vvg
,	,	y
This	this	dd1
is	be	vbz
n't	n't	xx
fair	fair	rr@_jj
,	,	y
"	"	y
she	she	pphs1
says	say	vvz
.	.	y
"	"	y
I	i	ppis1
want	want	vv0
to	to	to
enjoy	enjoy	vvi
the	the	at
Olympics	olympics	nn2
too	too	rr@
.	.	y
"	"	y
It	it	pph1
was	be	vbdz
a	a	at1
wonderful	wonderful	jj
attitude	attitude	nn1
to	to	to
have	have	vhi
,	,	y
and	and	cc
it	it	pph1
translated	translate	vvd
onto	onto	ii
the	the	at
ice	ice	nn1
.	.	y
Yamaguchi	yamaguchi	np1@_nn2
's	's	ge
clearest	clear	jjt
memory	memory	nn1
from	from	ii
Albertville	albertville	np1
--	--	x
more	more	rgr
vivid	vivid	jj
than	than	csn
having	have	vhg
the	the	at
gold	gold	nn1_jj@
medal	medal	nn1
placed	place	vvn_vvd@
around	around	ii_rp
her	her	appge
neck	neck	nn1
--	--	x
came	come	vvd
moments	moment	nn2
after	after	cs
she	she	pphs1
had	have	vhd
finished	finish	vvn
her	her	appge_ppho1
long	long	jj
program	program	nn1
,	,	y
when	when	cs_rrq
she	she	pphs1
was	be	vbdz
leaving	leave	vvg
the	the	at
ice	ice	nn1
,	,	y
waving	wave	vvg
to	to	ii
the	the	at
crowd	crowd	nn1
.	.	y
The	the	at
pressure	pressure	nn1
,	,	y
at	at	rr21
last	last	rr22
,	,	y
was	be	vbdz
off	off	rp
.	.	y
But	but	ccb
.	.	y
far	far	rr_jj
from	from	ii
feeling	feel	vvg_nn1
relief	relief	nn1
,	,	y
Yamaguchi	yamaguchi	np1
experienced	experience	vvd
a	a	at1
sharp	sharp	jj
sense	sense	nn1
of	of	io
loss	loss	nn1
.	.	y
"	"	y
I	i	ppis1
knew	know	vvd
I	i	ppis1
'd	have	vhd
done	do	vdn
well	well	rr
,	,	y
and	and	cc
I	i	ppis1
was	be	vbdz
happy	happy	jj
for	for	if
that	that	dd1
.	.	y
But	but	ccb
I	i	ppis1
remember	remember	vv0
thinking	thinking	nn1_vvg
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
You	you	ppy
've	have	vh0
always	always	rr
dreamed	dream	vvn
of	of	io
it	it	pph1
,	,	y
always	always	rr
,	,	y
your	your	appge
whole	whole	jj
life	life	nn1
.	.	y
I	i	ppis1
did	do	vdd
n't	n't	xx
want	want	vvi
it	it	pph1
to	to	to
be	be	vbi
