##2000750		
When	when	rrq_cs
most	most	dat
turkey	turkey	nn1
seasons	season	nnt2
close	close	vv0_jj
.	.	y
If	if	cs
you	you	ppy
've	have	vh0
been	be	vbn
lusting	lust	vvg
after	after	ii
a	a	at1
Pope	pope	nn1
and	and	cc
Young	young	jj_np1
Club	club	nn1
bruin	bruin	nn1
,	,	y
pick	pick	vv0
a	a	at1
Canadian	canadian	jj_nn1
province	province	nn1
where	where	cs
baiting	bait	vvg_nn1@
is	be	vbz
allowed	allow	vvn
.	.	y
Lately	lately	rr
,	,	y
the	the	at
world	world	nn1
's	's	ge
largest	large	jjt
bears	bear	nn2
have	have	vh0
come	come	vvn
from	from	ii
Manitoba	manitoba	np1
and	and	cc
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
combined	combine	vvn
for	for	if
extraordinary	extraordinary	jj
bear	bear	nn1
hunting	hunting	nn1
.	.	y
Choose	choose	vv0
a	a	at1
decent	decent	jj
outfitter	outfitter	nn1
(	(	y
non-Canadians	non-canadians	nn2
must	must	vm
hunt	hunt	vvi
with	with	iw
a	a	at1
licensed	licensed	jj
guide	guide	nn1
)	)	y
by	by	ii
checking	check	vvg
references	reference	nn2
with	with	iw
previous	previous	jj
clients	client	nn2
.	.	y
Also	also	rr
compare	compare	vv0
packages	package	nn2
.	.	y
For	for	rex21
instance	instance	rex22
,	,	y
Chris	chris	np1
Switzer	switzer	np1
's	's	ge
Rear	rear	jj_nn1
Valley	valley	nn1
Outfitters	outfitter	nn2_np1
,	,	y
on	on	ii
the	the	at
Saskatchean/Manitoba	saskatchean/manitoba	np1
border	border	nn1
,	,	y
comes	come	vvz
highly	highly	rr
recommended	recommend	vvn_vvd
for	for	if
several	several	da2
reasons	reason	nn2
.	.	y
First	first	md
,	,	y
about	about	rg
half	half	db
of	of	io
the	the	at
bears	bear	nn2
in	in	ii
the	the	at
nearby	nearby	jj
Duck	duck	nn
and	and	cc
Porcupine	porcupine	nn1
provincial	provincial	jj
forests	forest	nn2
are	be	vbr
prized	prized	jj_vvn
cinnamon	cinnamon	nn1
phase	phase	nn1
.	.	y
Also	also	rr
,	,	y
it	it	pph1
's	be	vbz
possible	possible	jj
to	to	to
hunt	hunt	vvi
two	two	mc
provinces	province	nn2
during	during	ii
one	one	mc1
booking	booking	nn1_vvg
for	for	if
an	a	at1
additional	additional	jj
fee	fee	nn1
.	.	y
Odds	odds	nn2
for	for	if
a	a	at1
Pope	pope	nn1
and	and	cc
Young	young	jj_np1
record-book	record-book	jj_nn1
bruin	bruin	nn1
are	be	vbr
high	high	jj_rr@
(	(	y
during	during	ii
a	a	at1
recent	recent	jj
two-year	two-year	jj
scoring	scoring	nn1_jj@
period	period	nn1
,	,	y
half	half	db
of	of	io
the	the	at
entries	entry	nn2
came	come	vvd
from	from	ii
western	western	jj
Manitoba	manitoba	np1
,	,	y
of	of	io
which	which	ddq
one-third	one-third	mf
were	be	vbdr
registered	register	vvn
by	by	ii
Bear	bear	nn1
Valley	valley	nn1
hunters	hunter	nn2
)	)	y
.	.	y
For	for	if
more	more	dar
information	information	nn1
,	,	y
contact	contact	vv0_nn1
Bear	bear	nn1
Valley	valley	nn1_np1@
Outfitters	outfitter	nn2_np1
,	,	y
Box	box	nn1
2294	2294	mc
,	,	y
Swan	swan	np1
River	river	nnl1
,	,	y
Manitoba	manitoba	np1
,	,	y
Canada	canada	np1
ROL	rol	np1
1ZO	1zo	fo
(	(	y
204-238-4342	204-238-4342	mcmc
)	)	y
.	.	y
Although	although	cs
big	big	jj
bruins	bruin	nn2
are	be	vbr
turning	turn	vvg
up	up	rp
in	in	ii
many	many	da2
states	state	nn2
--	--	x
Pennsylvania	pennsylvania	np1
,	,	y
Arizona	arizona	np1
,	,	y
Colorado	colorado	np1
,	,	y
North	north	nd1
Carolina	carolina	np1
and	and	cc
New	new	np1
Mexico	mexico	np1
--	--	x
the	the	at
best	best	jjt_rrt
bear	bear	nn1_vv0
state	state	nn1_vv0
in	in	ii31
terms	terms	ii32
of	of	ii33
quantity	quantity	nn1
and	and	cc
quality	quality	nn1
is	be	vbz
Minnesota	minnesota	np1
,	,	y
where	where	cs
baiting	bait	vvg_nn1@
is	be	vbz
legal	legal	jj
during	during	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
)	)	y
Expect	expect	vv0
to	to	to
wait	wait	vvi
two	two	mc
to	to	ii
four	four	mc
years	year	nnt2
to	to	to
obtain	obtain	vvi
a	a	at1
permit	permit	nn1@
(	(	y
residents	resident	nn2
and	and	cc
nonresidents	non-resident	nn2
are	be	vbr
on	on	ii
equal	equal	jj
footing	footing	nn1
in	in	ii
the	the	at
state	state	nn1
's	's	ge
license	license	nn1
lottery	lottery	nn1
)	)	y
.	.	y
Top	top	jj_nn1
counties	county	nn2
are	be	vbr
Koochiching	koochiching	vvg
,	,	y
St.	st	np1
Louis	louis	np1
and	and	cc
Lake	lake	nn1
,	,	y
where	where	cs_rrq
public	public	jj_nn1
lands	land	nn2
outnumber	outnumber	vv0
private	private	jj
parcels	parcel	nn2
.	.	y
The	the	at
application	application	nn1
deadline	deadline	nn1
for	for	if
1995	1995	mc
is	be	vbz
the	the	at
first	first	md
Friday	friday	npd1
in	in	ii
May	may	npm1
.	.	y
For	for	if
more	more	dar
information	information	nn1
,	,	y
contact	contact	vv0
the	the	at
Minnesota	minnesota	np1
Department	department	nn1
of	of	io
Natural	natural	jj
Resources	resource	nn2
,	,	y
500	500	mc
Lafayette	lafayette	np1
Road	road	nnl1
,	,	y
St.	st	np1
Paul	paul	np1
,	,	y
MN	mn	fo
55155	55155	mc
(	(	y
612-296-2316	612-296-2316	mcmc
)	)	y
.	.	y
Antelope	antelope	nn1
Perhaps	perhaps	rr
the	the	at
most	most	rgt
realistic	realistic	jj
--	--	x
and	and	cc
certainly	certainly	rr
the	the	at
most	most	rgt
economical	economical	jj
--	--	x
shot	shoot	vvn_nn1_vvd
at	at	ii
a	a	at1
Pope	pope	nn1
and	and	cc
Young	young	jj_np1
animal	animal	nn1
in	in	ii
North	north	nd1
America	america	np1
is	be	vbz
a	a	at1
self-guided	self-guided	jj_nn1
pronghorn	pronghorn	nn1
hunt	hunt	nn1
.	.	y
Montana	montana	np1
,	,	y
Wyoming	wyoming	np1
and	and	cc
eastern	eastern	jj
counties	county	nn2
in	in	ii
Colorado	colorado	np1
,	,	y
are	be	vbr
recognized	recognize	vvn_jj@
leaders	leader	nn2
,	,	y
but	but	ccb
the	the	at
application	application	nn1
game	game	nn1
for	for	if
out-of-staters	out-of-staters	nn2
can	can	vm
be	be	vbi
nerve-racking	nerve-racking	jj
.	.	y
In	in	ii
some	some	dd
drawings	drawing	nn2
,	,	y
you	you	ppy
wo	will	vm
n't	n't	xx
know	know	vvi
the	the	at
outcome	outcome	nn1
until	until	ii@_cs
two	two	mc
weeks	week	nnt2
before	before	ii_cs
the	the	at
season	season	nnt1
.	.	y
Do	do	vd0
n't	n't	xx
fret	fret	vvi
.	.	y
South	south	np1
Dakota	dakota	np1
is	be	vbz
too	too	rg
good	good	jj
to	to	to
be	be	vbi
true	true	jj
with	with	iw
next	next	ii21
to	to	ii22
no	no	at
competition	competition	nn1
on	on	ii
the	the	at
wide-open	wide-open	jj
prairies	prairie	nn2
and	and	cc
$100	$100	nnu
permits	permit	vvz_nn2
available	available	jj
at	at	ii
the	the	at
licensing	licensing	nn1_jj@
division	division	nn1
office	office	nn1
in	in	ii
Pierre	pierre	np1
.	.	y
Hunters	hunter	nn2
can	can	vm
get	get	vvi
an	a	at1
application	application	nn1
for	for	if
the	the	at
permits	permit	nn2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
523	523	mc
East	east	nd1
Capital	capital	nn1
,	,	y
Pierre	pierre	np1
,	,	y
SD	sd	np1
57501	57501	mc
.	.	y
The	the	at
best	best	jjt
time	time	nnt1
to	to	to
intercept	intercept	vvi
a	a	at1
70-point	70-point	jj_nn1
Pope	pope	nn1_np1
and	and	cc
Young	young	jj_np1
class	class	nn1
buck	buck	nn
is	be	vbz
a	a	at1
week	week	nnt1
or	or	cc
two	two	mc
following	following	jj@_ra@_vvg
Labor	labor	nn1
Day	day	nnt1
.	.	y
Spot-and-stalk	spot-and-stalk	nn1_jj
a	a	at1
herd	herd	nn1
buck	buck	nn
with	with	iw
the	the	at
aid	aid	nn1
of	of	io
a	a	at1
Mel	mel	np1
Dutton	dutton	np1
folding	folding	jj_nn1_vvg
decoy	decoy	nn1
,	,	y
add	add	vv0
Lohman	lohman	np1_nn1
's	's	ge_vbz
new	new	jj
"	"	y
snort-chuckle	snort-chuckle	jj_nn1
"	"	y
Challenge	challenge	nn1
Call	call	nn1
and	and	cc
expect	expect	vv0
a	a	at1
rush	rush	nn1
--	--	x
literally	literally	rr
!	!	y
The	the	at
best	best	jjt
hunting	hunting	nn1
can	can	vm
be	be	vbi
had	have	vhn@
on	on	ii
private	private	jj
ranches	ranch	nn2
in	in	ii
Butte	butte	np1_nn1
,	,	y
Harding	harding	np1
,	,	y
Meade	meade	np1
and	and	cc
Perkins	perkins	np1
counties	county	nn2
,	,	y
but	but	ccb
most	most	dat
landowners	landowner	nn2
wo	will	vm
n't	n't	xx
charge	charge	vvi
a	a	at1
trespass	trespass	nn1
fee	fee	nn1
this	this	dd1
fall	fall	nn1
because	because	ii21
of	of	ii22
high	high	jj
pronghorn	pronghorn	nn1
populations	population	nn2
.	.	y
For	for	if
more	more	dar
information	information	nn1
,	,	y
contact	contact	vv0
the	the	at
South	south	np1
Dakota	dakota	np1
Game	game	nn1
,	,	y
Fish	fish	nn_np1@
and	and	cc
Parks	park	nn2
Department	department	nn1
.	.	y
Elk	elk	np1
Mountain	mountain	nnl1
count	count	nn1_vv0
!	!	y
Ridges	ridge	nn2
of	of	io
cedar	cedar	nn1
,	,	y
juniper	juniper	nn1
,	,	y
pinion	pinion	nn1
and	and	cc
pine	pine	nn1_vv0@
;	;	y
coulees	coulee	nn2
and	and	cc
canyons	canyon	nn2
,	,	y
saddles	saddle	nn2
and	and	cc
rimrock	rimrock	nn1_vv0
.	.	y
Toss	toss	vv0_nn1
in	in	ii_rp@
hair-raising	hair-raising	jj
bull	bull	nn1
bugles	bugle	nn2_vvz
,	,	y
and	and	cc
there	there	ex
's	be	vbz
no	no	at
better	better	jjr_rrr
place	place	nn1_vv0
to	to	to
be	be	vbi
in	in	ii
September	september	npm1
and	and	cc
early	early	jj_rr
October	october	npm1
.	.	y
If	if	cs
you	you	ppy
're	be	vbr
serious	serious	jj
about	about	ii
bugling	bugle	vvg
in	in	ii_rp@
a	a	at1
bull	bull	nn1
,	,	y
essentially	essentially	rr
three	three	mc
alternatives	alternative	nn2
await	await	vv0
you	you	ppy
.	.	y
One	one	pn1_mc1
is	be	vbz
a	a	at1
red-carpet	red-carpet	jj_nn1
hunt	hunt	nn1
on	on	ii
private	private	jj
ranches	ranch	nn2
or	or	cc
Indian	indian	jj
reservations	reservation	nn2
in	in	ii
New	new	np1
Mexico	mexico	np1
,	,	y
Colorado	colorado	np1
or	or	cc
Utah	utah	np1
.	.	y
They	they	pphs2
're	be	vbr
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
the	the	at
lottery	lottery	nn1
game	game	nn1
in	in	ii
trophy-managed	trophy-managed	jj_nn1
elk	elk	nn1
country	country	nn1
,	,	y
where	where	cs_rrq
licenses	license	nn2
are	be	vbr
restricted	restrict	vvn
to	to	to
preserve	preserve	vvi
the	the	at
quality	quality	nn1
of	of	io
the	the	at
hunt	hunt	nn1
.	.	y
Take	take	vv0
Arizona	arizona	np1
,	,	y
where	where	cs_rrq
the	the	at
overall	overall	jj_nn1
quality	quality	nn1
of	of	io
elk	elk	nn1
is	be	vbz
second	second	nnt1_md
to	to	ii
none	none	pn
.	.	y
Last	last	md
year	year	nnt1
,	,	y
one	one	mc1
unit	unit	nn1
received	receive	vvd_vvn
5,727	5,727	mc
applications	application	nn2
for	for	if
90	90	mc
permits	permit	nn2
(	(	y
nine	nine	mc
were	be	vbdr
earmarked	earmark	vvn
for	for	if
nonresidents	non-resident	nn2
)	)	y
.	.	y
No	no	xx
wonder	wonder	nn1
:	:	y
Hunter	hunter	np1
success	success	nn1
for	for	if
the	the	at
six-day	six-day	jj
September	september	npm1
hunt	hunt	nn1
was	be	vbdz
90	90	mc
percent	percent	nnu
!	!	y
For	for	if
more	more	dar
information	information	nn1
,	,	y
contact	contact	vv0
the	the	at
Arizona	arizona	np1
Game	game	nn1
and	and	cc
Fish	fish	nn_np1@_vv0@
Department	department	nn1
,	,	y
2221	2221	mc
W.	w	np1
Greenway	greenway	np1
Road	road	nnl1
,	,	y
Phoenix	phoenix	np1
,	,	y
AZ	az	np1_vv0_nn1
85023	85023	mc
(	(	y
602-942-3000	602-942-3000	mcmc
,	,	y
Ext.	ext	nn1
4006	4006	mc
)	)	y
.	.	y
The	the	at
drawing	drawing	nn1
deadline	deadline	nn1
is	be	vbz
June	june	npm1
20	20	mc
.	.	y
The	the	at
third	third	md
option	option	nn1
is	be	vbz
to	to	to
hunt	hunt	vvi
the	the	at
most	most	rgt
remote	remote	jj
(	(	y
or	or	cc
rugged	rugged	jj
)	)	y
national	national	jj
forest	forest	nn1
lands	land	nn2
your	your	appge
legs	leg	nn2
and	and	cc
lungs	lung	nn2
can	can	vm
handle	handle	vvi
.	.	y
Opportunities	opportunity	nn2
abound	abound	vv0
in	in	ii_rp@
all	all	db
Western	western	jj
elk	elk	nn1
states	state	nn2_vvz
,	,	y
but	but	ccb
Colorado	colorado	np1
and	and	cc
Montana	montana	np1
probably	probably	rr
offer	offer	vv0
the	the	at
most	most	dat
options	option	nn2
.	.	y
Indeed	indeed	rr
,	,	y
Colorado	colorado	np1
leads	lead	vvz
the	the	at
elk-on-public-land	elk-on-public-land	jj_nn1
pack	pack	nn1
.	.	y
This	this	dd1
year	year	nnt1
's	's	ge
herd	herd	nn1
was	be	vbdz
estimated	estimate	vvn
at	at	ii
250,000	250,000	mc
animals	animal	nn2
.	.	y
Top	top	jj_nn1
bets	bet	nn2
include	include	vv0
the	the	at
Gunnison	gunnison	np1_nn1@
and	and	cc
White	white	np1
River	river	nnl1
national	national	jj
forests	forest	nn2
and	and	cc
parts	part	nn2
of	of	io
the	the	at
San	san	np1
Juan	juan	np1
and	and	cc
Rio	rio	np1
Grande	grande	np1
national	national	jj
forests	forest	nn2
.	.	y
Nonresident	non-resident	jj_nn1
tags	tag	nn2
are	be	vbr
$250.25	$250.25	nnu
.	.	y
For	for	if
more	more	dar
information	information	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
Denver	denver	np1
,	,	y
CO	co	fo_np1
80216	80216	mc
(	(	y
303-297-1192	303-297-1192	mcmc
)	)	y
.	.	y
Montana	montana	np1
,	,	y
particularly	particularly	rr
the	the	at
northwestern	northwestern	jj
corner	corner	nn1
,	,	y
ranks	rank	vvz@_nn2
a	a	at1
close	close	jj
second	second	nnt1
for	for	if
elk	elk	nn1
.	.	y
Permits	permit	nn2_vvz
for	for	if
nonresident	non-resident	jj_nn1
hunters	hunter	nn2
are	be	vbr
limited	limit	vvn
to	to	ii
17,000	17,000	mc
applicants	applicant	nn2
(	(	y
11,400	11,400	mc
for	for	if
general	general	jj_nn1
hunters	hunter	nn2
and	and	cc
5,600	5,600	mc
for	for	if
outfitters	outfitter	nn2
and	and	cc
guides	guide	nn2
)	)	y
chosen	choose	vvn
by	by	ii
a	a	at1
random	random	jj
computer	computer	nn1
drawing	drawing	nn1_vvg
.	.	y
The	the	at
deadline	deadline	nn1
is	be	vbz
March	march	npm1
15	15	mc
,	,	y
and	and	cc
the	the	at
cost	cost	nn1
is	be	vbz
$475	$475	nnu
for	for	if
the	the	at
nonresident	non-resident	jj_nn1
"	"	y
combination	combination	nn1
license	license	nn1
.	.	y
"	"	y
The	the	at
Lolo	lolo	np1_nn1@
and	and	cc
Kootenai	kootenai	jj_np1
national	national	jj
forests	forest	nn2
,	,	y
each	each	dd1
with	with	iw
more	more	dar
than	than	csn
2	2	mc
million	million	m
acres	acre	nnu2
,	,	y
grow	grow	vv0
some	some	dd
big	big	jj
elk	elk	nn1
.	.	y
For	for	if
more	more	dar
information	information	nn1
on	on	ii
Montana	montana	np1
hunting	hunting	nn1
,	,	y
contact	contact	vv0
the	the	at
Montana	montana	np1
Department	department	nn1
of	of	io
Fish	fish	nn_np1@
,	,	y
Wildlife	wildlife	nn1
and	and	cc
Parks	park	nn2
,	,	y
1420	1420	mc
E.	e	np1
Sixth	sixth	md
Ave.	average	np1
,	,	y
Helena	helena	np1
,	,	y
MT	mt	np1
59620	59620	mc
(	(	y
406-444-2535	406-444-2535	mcmc
)	)	y
.	.	y
Mule	mule	nn1
Deer	deer	nn
Nonresident	non-resident	jj
over-the-counter	over-the-counter	jj_nn1
muley	muley	nn1_jj@
tags	tag	nn2
are	be	vbr
available	available	jj
for	for	if
parts	part	nn2
of	of	io
Arizona	arizona	np1
,	,	y
California	california	np1
,	,	y
Colorado	colorado	np1
,	,	y
New	new	np1
Mexico	mexico	np1
,	,	y
Oregon	oregon	np1
,	,	y
Washington	washington	np1
and	and	cc
possibly	possibly	rr
Utah	utah	np1
,	,	y
although	although	cs
regulations	regulation	nn2
in	in	ii
that	that	dd1
state	state	nn1
are	be	vbr
still	still	rr
pending	pending	jj
.	.	y
Whatever	whatever	ddqv
the	the	at
case	case	nn1
,	,	y
many	many	da2
big	big	jj
muleys	muley	nn2
are	be	vbr
perhaps	perhaps	rr
the	the	at
toughest	tough	jjt
challenge	challenge	nn1
for	for	if
today	today	rt
's	's	ge
bowhunter	bowhunter	nn1
.	.	y
The	the	at
best	best	jjt_rrt
bets	bet	nn2_vvz
?	?	y
For	for	if
unlimited	unlimited	jj
permits	permit	nn2
on	on	ii
public	public	jj_nn1
lands	land	nn2
,	,	y
Arizona	arizona	np1
's	's	ge
Kaibab	kaibab	np1_nn1@
Plateau	plateau	nn1
(	(	y
units	unit	nn2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
in	in	ii
September	september	npm1
,	,	y
is	be	vbz
tough	tough	jj
to	to	to
beat	beat	vvi
.	.	y
Utah	utah	np1
's	's	ge
Paunsaugunt	paunsaugunt	nn1_np1
and	and	cc
Rook	rook	vv0_nn1_np1
Cliffs	cliff	nn2
units	unit	nn2
are	be	vbr
also	also	rr
two	two	mc
of	of	io
the	the	at
nation	nation	nn1
's	be	vbz_ge
best	best	rrt_jjt
bowhunting	bowhunting	vvg_jj@
areas	area	nn2
.	.	y
Nevada	nevada	np1
's	's	ge_vbz
central	central	jj
and	and	cc
northern	northern	jj
units	unit	nn2
are	be	vbr
usually	usually	rr
good	good	jj
,	,	y
but	but	ccb
a	a	at1
major	major	jj
deer	deer	nn
die-off	die-off	jj
occurred	occur	vvd
recently	recently	rr
.	.	y
Idaho	idaho	np1
's	's	ge
late-season	late-season	jj
rut	rut	nn1
hunts	hunt	nn2
offer	offer	vv0
an	a	at1
excellent	excellent	jj
opportunity	opportunity	nn1
as	as	csa
does	do	vdz
New	new	np1
Mexico	mexico	np1
's	's	ge_vbz
January	january	npm1
bowhunt	bowhunt	vv0_nn1
where	where	rrq_cs
deer	deer	nn
should	should	vm
still	still	rr
be	be	vbi
rutting	rut	vvg
.	.	y
California	california	np1
offers	offer	vvz@_nn2
several	several	da2
quality	quality	nn1
draw-only	draw-only	jj
bowhunts	bowhunts	nn2
,	,	y
too	too	rr@
.	.	y
Some	some	dd
are	be	vbr
late-season	late-season	jj
winter	winter	nnt1
range	range	nn1
hunts	hunt	nn2_vvz
;	;	y
others	others	nn2
run	run	vv0_vvn
for	for	if
several	several	da2
months	month	nnt2
near	near	ii
metro	metro	nn1
Los	los	np1
Angeles	angeles	np1
,	,	y
where	where	rrq_cs
deer	deer	nn
are	be	vbr
numerous	numerous	jj
and	and	cc
gun	gun	nn1
hunting	hunting	nn1
is	be	vbz
n't	n't	xx
allowed	allow	vvn
.	.	y
Whitetail	whitetail	vv0_nn1
Deer	deer	nn
Whitetail	whitetail	vv0_nn1_np1
hunting	hunting	nn1
is	be	vbz
good	good	jj
to	to	ii
excellent	excellent	jj
just	just	rr21
about	about	rr22
everywhere	everywhere	rl
--	--	x
from	from	ii
nearby	nearby	jj
suburbs	suburb	nn2
to	to	ii
distant	distant	jj
deep	deep	jj
woods	wood	nn2
.	.	y
But	but	ccb
if	if	cs
you	you	ppy
're	be	vbr
looking	look	vvg
for	for	if
something	something	pn1
unique	unique	jj
,	,	y
consider	consider	vv0
the	the	at
following	following	jj
:	:	y
*	*	fu
Western	western	jj_np1
whitetails	whitetail	nn2_vvz
:	:	y
Whitetail	whitetail	vv0_np1_nn1
populations	population	nn2
in	in	ii
Western	western	jj_np1
states	state	nn2
are	be	vbr
booming	boom	vvg_jj
,	,	y
and	and	cc
as	as	csa_ii@
deer	deer	nn
experts	expert	nn2
note	note	vv0
,	,	y
the	the	at
best	best	jjt
trophy	trophy	nn1
potential	potential	nn1
occurs	occur	vvz
thin	thin	jj_rr%_vv0@
an	a	at1
expanding	expanding	jj
deer	deer	nn
herd	herd	nn1_vv0@
(	(	y
some	some	dd
of	of	io
the	the	at
biggest	big	jjt
bucks	buck	nn2
in	in	ii
North	north	nd1
America	america	np1
have	have	vh0
been	be	vbn
arrowed	arrowed	vvn@
out	out	rp
West	west	nd1
in	in	ii
recent	recent	jj
years	year	nnt2
)	)	y
.	.	y
Eastern	eastern	jj
Washington	washington	np1
,	,	y
southeastern	southeastern	jj
and	and	cc
northwestern	northwestern	jj
Montana	montana	np1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
best	best	jjt
bets	bet	nn2
are	be	vbr
on	on	ii
private	private	jj
lands	land	nn2
,	,	y
especially	especially	rr
in	in	ii
Colorado	colorado	np1
and	and	cc
Montana	montana	np1
,	,	y
where	where	cs_rrq
access	access	nn1
may	may	vm
be	be	vbi
touch-and-go	touch-and-go	jj
along	along	ii
some	some	dd
river	river	nn1
bottoms	bottom	nn2
.	.	y
Just	just	rr
keep	keep	vv0
knocking	knock	vvg_nn1
on	on	ii_rp@
doors	door	nn2
.	.	y
Also	also	rr
consider	consider	vv0
that	that	cst
many	many	da2
Western	western	jj
whitetails	whitetail	nn2
rut	rut	vv0
around	around	rp_ii
Thanksgiving	thanksgiving	nn1
,	,	y
which	which	ddq
is	be	vbz
two	two	mc
weeks	week	nnt2
later	later	rrr
than	than	csn
their	their	appge
Midwestern	midwestern	jj_np1
and	and	cc
Eastern	eastern	jj
cousins	cousin	nn2
.	.	y
*	*	fu
Wilderness	wilderness	nn1
whitetails	whitetails	vvz_nn2
:	:	y
Two	two	mc
spacious	spacious	jj
national	national	jj
forests	forest	nn2
in	in	ii
the	the	at
Midwest	midwest	np1_nn1@
,	,	y
Wisconsin	wisconsin	np1
's	's	ge
Chequamegon	chequamegon	np1
and	and	cc
Minnesota	minnesota	np1
's	's	ge
Chippewa	chippewa	np1_nn1@
,	,	y
provide	provide	vv0
plenty	plenty	pn
of	of	io
elbow	elbow	nn1
room	room	nn1
during	during	ii
the	the	at
best	best	jjt
time	time	nnt1
to	to	to
bowhunt	bowhunt	vvi
--	--	x
just	just	rr
before	before	ii_cs
the	the	at
general	general	jj_nn1
gun	gun	nn1
season	season	nnt1
during	during	ii
the	the	at
pre-rut	pre-rut	nn1_jj
.	.	y
For	for	if
maps	map	nn2
,	,	y
write	write	vv0
the	the	at
Chippewa	chippewa	np1_nn1@
National	national	jj
Forest	forest	nn1
,	,	y
Rte.	rte	np1
3	3	mc
,	,	y
Box	box	nn1
244	244	mc
,	,	y
Cass	cass	np1
Lake	lake	nnl1
,	,	y
MN	mn	fo
56633	56633	mc
;	;	y
or	or	cc
the	the	at
Chequamegon	chequamegon	np1
National	national	jj
Forest	forest	nn1
,	,	y
1170	1170	mc
S.	s	np1
Fourth	fourth	md
Ave.	average	np1
,	,	y
Park	park	np1_nn1
Falls	fall	nn2
,	,	y
WI	wi	np1_nn1_jj
54552.	54552	mc
*	*	fu
Bucks	buck	nn2@_np1
by	by	ii
boat	boat	nn1
:	:	y
The	the	at
Dakotas	dakota	np2
'	'	ge
Missouri	missouri	np1
breaks	break	vvz_nn2
,	,	y
touching	touch	vvg
the	the	at
shorelines	shoreline	nn2
of	of	io
sprawling	sprawling	jj
Lakes	lakes	nnl2
Oahe	oahe	np1
and	and	cc
Sakakawea	sakakawea	np1
,	,	y
provide	provide	vv0
an	a	at1
endless	endless	jj
stretch	stretch	nn1@
of	of	io
habitat	habitat	nn1
inhabited	inhabit	vvn
by	by	ii
lonely	lonely	jj
whitetails	whitetail	nn2
(	(	y
and	and	cc
muleys	muley	nn2
)	)	y
.	.	y
Lands	land	nn2
are	be	vbr
open	open	jj
to	to	ii
the	the	at
public	public	nn1_jj
