##4001150		
ABSTRACT	abstract	jj_nn1@_vv0@
that	that	cst
both	both	db2
were	be	vbdr
effective	effective	jj
in	in	ii
inducing	induce	vvg
negative	negative	jj
mood	mood	nn1
but	but	ccb
were	be	vbdr
unable	unable	jk
to	to	to
identify	identify	vvi
the	the	at
variables	variable	nn2
that	that	cst
predicted	predict	vvd
different	different	jj
responses	response	nn2
to	to	ii
cognitive	cognitive	jj
and	and	cc
behavioral	behavioral	jj_nn1
inductions	induction	nn2
.	.	y
<p>	<p>	y
One	one	mc1
problem	problem	nn1
with	with	iw
Rexford	rexford	np1
and	and	cc
Wierzbicki	wierzbicki	np1_nn1
's	's	ge
study	study	nn1
was	be	vbdz
that	that	cst
its	its	z'
behavioral	behavioral	jj_nn1
induction	induction	nn1
had	have	vhd
subjects	subject	nn2
read	read	vvn
about	about	rp@_ii
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
the	the	at
behavioral	behavioral	jj_nn1
induction	induction	nn1
could	could	vm
be	be	vbi
regarded	regard	vvn
as	as	csa
cognitive	cognitive	jj
.	.	y
Rexford	rexford	nn1_np1@
and	and	cc
Wierzbicki	wierzbicki	np1_nn1
suggested	suggest	vvd
that	that	cst_dd1
future	future	jj_nn1
researchers	researcher	nn2
use	use	vv0
behavioral	behavioral	jj_nn1
inductions	induction	nn2
in	in	ii
which	which	ddq
subjects	subject	vvz%_nn2
actually	actually	rr
experience	experience	vv0
negative	negative	jj
events	event	nn2
.	.	y
<p>	<p>	y
Hiroto	hiroto	nn1_np1@
and	and	cc
Seligman	seligman	np1_nn1
(	(	y
1975	1975	mc
)	)	y
administered	administer	vvd@_vvn_jj@
insoluble	insoluble	jj
problems	problem	nn2
to	to	ii
subjects	subject	nn2
and	and	cc
observed	observe	vvd_vvn
that	that	cst
they	they	pphs2
exhibited	exhibit	vvd
decreased	decreased	jj@_vvn
learning	learning	nn1
.	.	y
Others	other	npx
found	find	vvd_vvn
that	that	dd1_cst
exposure	exposure	nn1
to	to	ii
insoluble	insoluble	jj
problems	problem	nn2
increased	increase	vvd_vvn_jj
depressed	depressed	jj
affect	affect	nn1
(	(	y
Sedek	sedek	np1
&;	&;	x
Kofta	kofta	np1
,	,	y
1990	1990	mc
;	;	y
Trice	trice	np1
,	,	y
1982	1982	mc
,	,	y
1985	1985	mc
)	)	y
.	.	y
<p>	<p>	y
The	the	at
purpose	purpose	nn1
of	of	io
this	this	dd1
study	study	nn1
was	be	vbdz
to	to	to
compare	compare	vvi
the	the	at
intensities	intensity	nn2
of	of	io
a	a	at1
cognitive	cognitive	jj
and	and	cc
a	a	at1
behavioral	behavioral	jj_nn1
mood	mood	nn1
induction	induction	nn1
.	.	y
If	if	cs
the	the	at
two	two	mc
types	type	nn2
proved	prove	vvd_vvn
equally	equally	rr
intense	intense	jj
,	,	y
researchers	researcher	nn2
might	might	vm
then	then	rt
use	use	vvi
them	them	ppho2
in	in	ii
efforts	effort	nn2
to	to	to
identify	identify	vvi
variables	variable	nn2
that	that	cst
predict	predict	vv0
different	different	jj
responses	response	nn2
to	to	ii
cognitive	cognitive	jj
and	and	cc
behavioral	behavioral	jj_nn1
therapy	therapy	nn1
.	.	y
Method	method	nn1
<p>	<p>	y
Subjects	subject	nn2
and	and	cc
Procedure	procedure	nn1
<p>	<p>	y
Subjects	subject	nn2
were	be	vbdr
60	60	mc
college	college	nn1
students	student	nn2
(	(	y
49	49	mc
women	woman	nn2
,	,	y
11	11	mc
men	man	nn2
)	)	y
in	in	ii
undergraduate	undergraduate	nn1
psychology	psychology	nn1
courses	course	nn2
at	at	ii
Marquette	marquette	np1_nn1
University	university	nn1
;	;	y
the	the	at
students	student	nn2
received	receive	vvd_vvn
extra	extra	jj
course	course	nn1
credit	credit	nn1
for	for	if
volunteering	volunteer	vvg
to	to	to
participate	participate	vvi
in	in	ii
research	research	nn1
.	.	y
<p>	<p>	y
Subjects	subject	nn2
met	meet	vvd_vvn
individually	individually	rr
with	with	iw
an	a	at1
experimenter	experimenter	nn1
,	,	y
who	who	pnqs
assigned	assign	vvd@
twenty	twenty	mc
subjects	subject	nn2
randomly	randomly	rr
to	to	ii
each	each	dd1
of	of	io
three	three	mc
mood	mood	nn1
induction	induction	nn1
groups	group	nn2
:	:	y
cognitive	cognitive	jj
,	,	y
behavioral	behavioral	jj
,	,	y
and	and	cc
control	control	nn1_vv0
.	.	y
The	the	at
cognitive	cognitive	jj
and	and	cc
behavioral	behavioral	jj_nn1
induction	induction	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
10.6	10.6	mc
min	min	nnu
)	)	y
.	.	y
Subjects	subject	nn2
in	in	ii
the	the	at
control	control	nn1
condition	condition	nn1
read	read	vvd_vvn_vv0
a	a	at1
passage	passage	nn1
of	of	io
text	text	nn1
for	for	if
12	12	mc
min	min	nnu
.	.	y
After	after	ii
completing	complete	vvg
this	this	dd1
procedure	procedure	nn1
,	,	y
subjects	subject	nn2
evaluated	evaluate	vvd_vvn
their	their	appge
moods	mood	nn2
,	,	y
using	use	vvg
the	the	at
Multiple	multiple	jj_nn1
Affect	affect	nn1
Adjective	adjective	nn1
Check	check	nn1_vv0
List	list	nn1
(	(	y
MAACL	maacl	np1_vv0_nn1
;	;	y
Zuckerman	zuckerman	np1
&;	&;	x
Lubin	lubin	np1
,	,	y
1965	1965	mc
)	)	y
.	.	y
Subjects	subject	nn2
were	be	vbdr
then	then	rt
debriefed	debrief	vvn
.	.	y
Those	those	dd2
who	who	pnqs
had	have	vhd
been	be	vbn
exposed	expose	vvn
to	to	ii
the	the	at
depressive	depressive	nn1
mood	mood	nn1
inductions	induction	nn2
were	be	vbdr
exposed	expose	vvn
to	to	ii
an	a	at1
elating	elating	jj@_nn1@
induction	induction	nn1
designed	design	vvn_vvd
to	to	to
remove	remove	vvi
any	any	dd
remaining	remaining	jj
negative	negative	jj
affect	affect	nn1
.	.	y
<p>	<p>	y
Materials	material	nn2
<p>	<p>	y
The	the	at
behavioral	behavioral	jj_nn1
mood	mood	nn1
induction	induction	nn1
consisted	consist	vvn_vvd
of	of	io
a	a	at1
set	set	nn1
of	of	io
insoluble	insoluble	jj
discrimination	discrimination	nn1
problems	problem	nn2
described	describe	vvn
by	by	ii
Hiroto	hiroto	np1_nn1
and	and	cc
Seligman	seligman	np1_nn1
(	(	y
1975	1975	mc
)	)	y
.	.	y
Subjects	subject	nn2
were	be	vbdr
first	first	md
administered	administer	vvn_vvd@
one	one	mc1
sample	sample	nn1
problem	problem	nn1
consisting	consist	vvg
of	of	io
a	a	at1
series	series	nn
of	of	io
five	five	mc
cards	card	nn2
,	,	y
each	each	dd1
with	with	iw
two	two	mc
stimulus	stimulus	nn1
patterns	pattern	nn2
.	.	y
Each	each	dd1
pattern	pattern	nn1
contained	contain	vvd_vvn
five	five	mc
dichotomous	dichotomous	jj
dimensions	dimension	nn2
:	:	y
a	a	at1
letter	letter	nn1
(	(	y
X	x	zz1
or	or	cc
Y	y	zz1
)	)	y
,	,	y
a	a	at1
color	color	nn1
(	(	y
red	red	nn1_jj
or	or	cc
blue	blue	jj_nn1@
)	)	y
,	,	y
a	a	at1
size	size	nn1
(	(	y
large	large	jj
or	or	cc
small	small	jj
)	)	y
,	,	y
a	a	at1
border	border	nn1
(	(	y
square	square	nn1_jj
or	or	cc
circle	circle	nn1
)	)	y
,	,	y
and	and	cc
a	a	at1
border	border	nn1
line	line	nn1
(	(	y
solid	solid	jj_nn1@
or	or	cc
dashed	dashed	jj_vvn
)	)	y
.	.	y
<p>	<p>	y
The	the	at
subjects	subject	nn2
were	be	vbdr
told	tell	vvn
that	that	cst
each	each	dd1
pattern	pattern	nn1
contained	contain	vvd_vvn
only	only	rr
one	one	mc1
value	value	nn1
for	for	if
each	each	dd1
of	of	io
the	the	at
five	five	mc
dimensions	dimension	nn2
and	and	cc
that	that	cst_dd1
1	1	mc1
of	of	io
the	the	at
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
to	to	to
guess	guess	vvi
which	which	ddq
of	of	io
the	the	at
two	two	mc
patterns	pattern	nn2
on	on	ii
each	each	dd1
card	card	nn1
contained	contain	vvd_vvn
the	the	at
target	target	nn1
value	value	nn1
,	,	y
after	after	ii_cs
which	which	ddq
they	they	pphs2
were	be	vbdr
told	tell	vvn
whether	whether	csw
they	they	pphs2
were	be	vbdr
correct	correct	jj
or	or	cc
incorrect	incorrect	jj
.	.	y
Using	use	vvg
this	this	dd1
feedback	feedback	nn1
,	,	y
the	the	at
subjects	subject	nn2
tried	try	vvd
to	to	to
identify	identify	vvi
the	the	at
target	target	nn1
value	value	nn1
for	for	if
the	the	at
problem	problem	nn1
.	.	y
Subjects	subject	nn2
viewed	view	vvd_vvn
each	each	dd1
card	card	nn1
for	for	if
a	a	at1
maximum	maximum	nn1
of	of	io
15	15	mc
s	s	zz1
;	;	y
after	after	ii_cs
10	10	mc
s	s	zz1
,	,	y
subjects	subject	nn2
were	be	vbdr
told	tell	vvn
that	that	cst
they	they	pphs2
must	must	vm
make	make	vvi
a	a	at1
selection	selection	nn1
in	in	ii
5	5	mc
s	s	zz1
.	.	y
<p>	<p>	y
The	the	at
subjects	subject	nn2
were	be	vbdr
then	then	rt
administered	administer	vvn_vvd@
the	the	at
sample	sample	nn1
problem	problem	nn1
,	,	y
after	after	ii_cs
which	which	ddq
they	they	pphs2
were	be	vbdr
given	give	vvn
the	the	at
opportunity	opportunity	nn1
to	to	to
ask	ask	vvi
questions	question	nn2
about	about	ii
the	the	at
procedure	procedure	nn1
.	.	y
We	we	ppis2
then	then	rt
administered	administer	vvd
three	three	mc
discrimination	discrimination	nn1
problems	problem	nn2
similar	similar	jj
to	to	ii
the	the	at
sample	sample	nn1
problem	problem	nn1
except	except	cs21
that	that	cs22
they	they	pphs2
consisted	consist	vvd
of	of	io
10	10	mc
cards	card	nn2
each	each	dd1
and	and	cc
only	only	rr
four	four	mc
stimulus	stimulus	nn1
dimensions	dimension	nn2
(	(	y
border	border	nn1
line	line	nn1
was	be	vbdz
omitted	omit	vvn
)	)	y
.	.	y
Two	two	mc
other	other	jj
dimensions	dimension	nn2
differed	differ	vvd_vvn
slightly	slightly	rr
from	from	ii
the	the	at
sample	sample	nn1
problem	problem	nn1
:	:	y
letter	letter	nn1
(	(	y
A	a	zz1
or	or	cc
T	t	zz1
)	)	y
and	and	cc
color	color	nn1
(	(	y
black	black	jj_nn1@
or	or	cc
white	white	jj_nn1@
)	)	y
.	.	y
<p>	<p>	y
Feedback	feedback	nn1
(	(	y
whether	whether	csw
selections	selection	nn2
were	be	vbdr
correct	correct	jj
or	or	cc
incorrect	incorrect	jj
)	)	y
was	be	vbdz
provided	provide	vvn
on	on	ii
a	a	at1
predetermined	predetermined	jj
schedule	schedule	nn1
,	,	y
independent	independent	jj_nn1@
of	of	io
the	the	at
subjects	subject	nn2
'	'	ge
actual	actual	jj
selections	selection	nn2
.	.	y
After	after	cs_ii
the	the	at
last	last	md
card	card	nn1
in	in	ii
a	a	at1
problem	problem	nn1
was	be	vbdz
viewed	view	vvn
,	,	y
the	the	at
subjects	subject	nn2
were	be	vbdr
asked	ask	vvn@
to	to	to
identify	identify	vvi
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
subjects	subject	nn2
were	be	vbdr
told	tell	vvn
that	that	cst
their	their	appge
answers	answer	nn2
were	be	vbdr
incorrect	incorrect	jj
.	.	y
<p>	<p>	y
After	after	cs_ii
the	the	at
first	first	md
two	two	mc
problems	problem	nn2
,	,	y
the	the	at
subjects	subject	nn2
were	be	vbdr
told	tell	vvn
that	that	cst
a	a	at1
new	new	jj
10-card	10-card	jj_nn1
problem	problem	nn1
would	would	vm
be	be	vbi
presented	present	vvn
and	and	cc
that	that	cst
a	a	at1
new	new	jj
target	target	nn1
value	value	nn1
may	may	vm
or	or	cc
may	may	vm
not	not	xx
have	have	vhi
been	be	vbn
chosen	choose	vvn
.	.	y
The	the	at
same	same	da
procedures	procedure	nn2
were	be	vbdr
used	use	vvn
for	for	if
each	each	dd1
of	of	io
the	the	at
three	three	mc
problems	problem	nn2
.	.	y
Insoluble	insoluble	jj
discrimination	discrimination	nn1
problems	problem	nn2
have	have	vh0
been	be	vbn
shown	show	vvn
to	to	to
decrease	decrease	vvi
ability	ability	nn1
to	to	to
solve	solve	vvi
later	later	jjr
problems	problem	nn2
(	(	y
Hiroto	hiroto	np1
&;	&;	x
Seligman	seligman	np1_nn1
,	,	y
1975	1975	mc
)	)	y
and	and	cc
to	to	to
increase	increase	vvi
depressed	depressed	jj
mood	mood	nn1
(	(	y
Sedek	sedek	np1
&;	&;	x
Kofta	kofta	np1
,	,	y
1990	1990	mc
;	;	y
Trice	trice	np1
,	,	y
1982	1982	mc
,	,	y
1985	1985	mc
)	)	y
.	.	y
<p>	<p>	y
The	the	at
cognitive	cognitive	jj
mood	mood	nn1
induction	induction	nn1
was	be	vbdz
modeled	model	vvn@
after	after	ii_cs
Velten	velten	np1
's	's	ge
(	(	y
1968	1968	mc
)	)	y
procedure	procedure	nn1
in	in	ii
which	which	ddq
subjects	subject	nn2
read	read	vvd_vv0_vvn
59	59	mc
depressing	depressing	jj
self-statements	self-statement	nn2
.	.	y
Rexford	rexford	nn1_np1@
and	and	cc
Wierzbicki	wierzbicki	np1_nn1
(	(	y
1989	1989	mc
)	)	y
identified	identify	vvd@_vvn
59	59	mc
statements	statement	nn2
of	of	io
negative	negative	jj
thoughts	thought	nn2
and	and	cc
thinking	think	vvg_nn1
errors	error	nn2
,	,	y
consistent	consistent	jj
with	with	iw
Beck	beck	np1
's	's	ge
theory	theory	nn1
of	of	io
depression	depression	nn1
,	,	y
that	that	cst_dd1
were	be	vbdr
matched	match	vvn
for	for	if
severity	severity	nn1
with	with	iw
Velten	velten	np1
's	's	ge
statements	statement	nn2
.	.	y
Velten	velten	np1@
's	's	ge
instructions	instruction	nn2
were	be	vbdr
used	use	vvn_jj
,	,	y
with	with	iw
each	each	dd1
step	step	nn1
printed	print	vvn
on	on	ii
an	a	at1
index	index	nn1
card	card	nn1
.	.	y
After	after	cs_ii
the	the	at
instructions	instruction	nn2
,	,	y
subjects	subject	nn2
read	read	vv0_vvd_vvn
a	a	at1
series	series	nn
of	of	io
statements	statement	nn2
printed	print	vvn
on	on	ii
index	index	nn1
cards	card	nn2
.	.	y
Velten	velten	np1@_vv0
's	's	ge
initial	initial	jj_nn1
statement	statement	nn1
appeared	appear	vvd
first	first	md
:	:	y
"	"	y
Today	today	rt
is	be	vbz
neither	neither	rr
better	better	jjr
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
of	of	io
the	the	at
59	59	mc
statements	statement	nn2
used	use	vvn
by	by	ii
Rexford	rexford	np1
and	and	cc
Wierzbicki	wierzbicki	np1_nn2@_nn1
were	be	vbdr
presented	present	vvn
.	.	y
The	the	at
other	other	jj_nn1@
18	18	mc
statements	statement	nn2
were	be	vbdr
omitted	omit	vvn
so	so	cs21
that	that	cs22
the	the	at
two	two	mc
induction	induction	nn1
procedures	procedure	nn2
would	would	vm
take	take	vvi
the	the	at
same	same	da
time	time	nnt1
.	.	y
An	a	at1
analysis	analysis	nn1
of	of	io
variance	variance	nn1
(	(	y
ANOVA	anova	np1
)	)	y
showed	show	vvd
that	that	cst
this	this	dd1
subset	subset	nn1
of	of	io
41	41	mc
and	and	cc
the	the	at
original	original	jj
set	set	nn1
of	of	io
59	59	mc
statements	statement	nn2
did	do	vdd
not	not	xx
differ	differ	vvi
in	in	ii_rp@
mean	mean	jj
severity	severity	nn1
,	,	y
F(1,98)	f(1,98)	fo
=	=	fo
1.77	1.77	mc
,	,	y
ns	ns	fo
.	.	y
<p>	<p>	y
Subjects	subject	nn2
in	in	ii
the	the	at
control	control	nn1
condition	condition	nn1
read	read	vvd_vvn_vv0
a	a	at1
passage	passage	nn1
on	on	ii
psychotherapy	psychotherapy	nn1
from	from	ii
an	a	at1
introductory	introductory	jj
psychology	psychology	nn1
textbook	textbook	nn1
(	(	y
Kalat	kalat	np1_vv0_nn1
,	,	y
1990	1990	mc
)	)	y
.	.	y
We	we	ppis2
selected	select	vvd
this	this	dd1
passage	passage	nn1
because	because	cs
it	it	pph1
had	have	vhd
not	not	xx
been	be	vbn
assigned	assign	vvn
to	to	ii
subjects	subject	nn2
during	during	ii
the	the	at
semester	semester	nn1
and	and	cc
because	because	cs
we	we	ppis2
judged	judge	vvd
it	it	pph1
to	to	to
be	be	vbi
neutral	neutral	jj
with	with	ii31
respect	respect	ii32
to	to	ii33
mood	mood	nn1
.	.	y
Subjects	subject	nn2
were	be	vbdr
told	tell	vvn
that	that	cst
they	they	pphs2
would	would	vm
not	not	xx
be	be	vbi
tested	test	vvn
on	on	ii
this	this	dd1
material	material	nn1
,	,	y
and	and	cc
they	they	pphs2
read	read	vv0_vvd
for	for	if
12	12	mc
min	min	nnu
.	.	y
<p>	<p>	y
The	the	at
MAACL	maacl	np1_nn1
(	(	y
Zuckerman	zuckerman	np1
&;	&;	x
Lubin	lubin	np1_nn1
,	,	y
1965	1965	mc
)	)	y
was	be	vbdz
administered	administer	vvn
after	after	ii_cs
the	the	at
mood	mood	nn1
induction	induction	nn1
or	or	cc
control	control	nn1_vv0
condition	condition	nn1
.	.	y
The	the	at
MAACL	maacl	nn1_np1
consists	consist	vvz
of	of	io
132	132	mc
adjectives	adjective	nn2
that	that	cst
are	be	vbr
endorsed	endorse	vvn
if	if	cs_csw@
they	they	pphs2
describe	describe	vv0
how	how	rrq
subjects	subject	nn2
currently	currently	rr
feel	feel	vv0
;	;	y
it	it	pph1
provides	provide	vvz
measures	measure	nn2
of	of	io
depression	depression	nn1
,	,	y
anxiety	anxiety	nn1
,	,	y
and	and	cc
hostility	hostility	nn1
and	and	cc
has	have	vhz
been	be	vbn
shown	show	vvn
to	to	to
be	be	vbi
both	both	rr
a	a	at1
reliable	reliable	jj
(	(	y
Pankratz	pankratz	np1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
valid	valid	jj
index	index	nn1
of	of	io
negative	negative	jj
mood	mood	nn1
(	(	y
Nagata	nagata	np1
&;	&;	x
Trierweiler	trierweiler	np1
,	,	y
1988	1988	mc
)	)	y
.	.	y
It	it	pph1
has	have	vhz
commonly	commonly	rr
been	be	vbn
used	use	vvn
to	to	to
assess	assess	vvi
the	the	at
effects	effect	nn2
of	of	io
laboratory	laboratory	nn1
mood	mood	nn1
inductions	induction	nn2
(	(	y
e.g.	eg	rex
,	,	y
Nagata	nagata	np1
&;	&;	x
Trierweiler	trierweiler	np1
,	,	y
1988	1988	mc
;	;	y
Rexford	rexford	np1
&;	&;	x
Wierzbicki	wierzbicki	np1
,	,	y
1989	1989	mc
;	;	y
Schare	schare	np1
&;	&;	x
Lisman	lisman	np1_nn1
,	,	y
1984	1984	mc
)	)	y
.	.	y
<p>	<p>	y
Following	following	ii@_vvg_jj@
debriefing	debrief	vvg_nn1@_jj@
,	,	y
the	the	at
subjects	subject	nn2
who	who	pnqs
had	have	vhd
been	be	vbn
exposed	expose	vvn
to	to	ii
the	the	at
mood	mood	nn1
inductions	induction	nn2
were	be	vbdr
exposed	expose	vvn
to	to	ii
an	a	at1
elating	elating	jj@_nn1@
mood	mood	nn1
induction	induction	nn1
.	.	y
This	this	dd1
consisted	consist	vvd_vvn
of	of	io
reading	read	vvg_nn1
30	30	mc
positive	positive	jj
self-statements	self-statement	nn2
developed	develop	vvn
by	by	ii
Velten	velten	np1
(	(	y
1968	1968	mc
)	)	y
.	.	y
These	these	dd2
statements	statement	nn2
have	have	vh0
been	be	vbn
used	use	vvn
to	to	to
remove	remove	vvi
any	any	dd
remaining	remaining	jj
effects	effect	nn2
of	of	io
depressive	depressive	nn1
mood	mood	nn1
inductions	induction	nn2
(	(	y
Frost	frost	np1
&;	&;	x
Green	green	np1@_jj
,	,	y
1982	1982	mc
;	;	y
Rexford	rexford	np1
&;	&;	x
Wierzbicki	wierzbicki	np1
,	,	y
1989	1989	mc
)	)	y
.	.	y
Results	result	nn2
<p>	<p>	y
We	we	ppis2
summed	sum	vvd
the	the	at
MAACL	maacl	nn1_np1
subscale	subscale	nn1
scores	score	nn2_vvz@
to	to	to
produce	produce	vvi
the	the	at
MAACL	maacl	nn1_np1
total	total	jj_nn1
score	score	nn1
,	,	y
which	which	ddq
has	have	vhz
been	be	vbn
interpreted	interpret	vvn
as	as	ii
an	a	at1
index	index	nn1
of	of	io
general	general	jj
negative	negative	jj
affect	affect	nn1
(	(	y
Pankratz	pankratz	np1
et	et	ra21
al.	al	ra22
,	,	y
1972	1972	mc
;	;	y
Turzo	turzo	np1_nn1
&;	&;	x
Range	range	nn1
,	,	y
1991	1991	mc
)	)	y
.	.	y
Using	use	vvg
ANOVA	anova	np1_nn1
,	,	y
we	we	ppis2
determined	determine	vvd@
that	that	cst
the	the	at
MAACL	maacl	nn1_np1
total	total	nn1_jj
scores	score	nn2
differed	differ	vvd_vvn
significantly	significantly	rr
across	across	ii
groups	group	nn2
,	,	y
F(2,57)	f(2,57)	fo
=	=	fo
7.30	7.30	mc
,	,	y
p	xx_p	zz1
