##4001166		
ABSTRACT	abstract	jj_nn1@_vv0@
as	as	csa_rg@
complementary	complementary	jj
and	and	cc
as	as	csa_ii@
stepping	step	vvg
stones	stone	nn2
to	to	ii
unions	union	nn2
.	.	y
<p>	<p>	y
Although	although	cs
most	most	dat
private-sector	private-sector	jj
association	association	nn1
members	member	nn2
are	be	vbr
retirees	retiree	nn2
and	and	cc
workers	worker	nn2
on	on	ii
lay-off	layoff	nn1
,	,	y
associations	association	nn2
in	in	ii
the	the	at
public	public	jj_nn1
sector	sector	nn1
are	be	vbr
workplace	workplace	nn1
specific	specific	jj_nn1%
,	,	y
and	and	cc
the	the	at
memberships	membership	nn2
consist	consist	vv0
of	of	io
current	current	jj
employees	employee	nn2
(	(	y
Ichniowski	ichniowski	np1
&;	&;	x
Zax	zax	np1_nn1
,	,	y
1990	1990	mc
)	)	y
.	.	y
Since	since	cs
the	the	at
1970s	1970s	mc2
,	,	y
several	several	da2
employee	employee	nn1
associations	association	nn2
in	in	ii
the	the	at
public	public	jj_nn1
sector	sector	nn1
have	have	vh0
merged	merge	vvn
with	with	iw
national	national	jj
labor	labor	nn1
unions	union	nn2
,	,	y
such	such	ii21
as	as	ii22
the	the	at
American	american	jj
Federation	federation	nn1
of	of	io
State	state	nn1_np1@
,	,	y
County	county	nn1
and	and	cc
Municipal	municipal	jj
Employees	employee	nn2
(	(	y
AFSCME	afscme	np1
)	)	y
and	and	cc
the	the	at
Service	service	nn1
Employees	employee	nn2
International	international	jj
Union	union	nn1_np1
(	(	y
SEIU	seiu	np1_nn1
;	;	y
Cornfield	cornfield	nn1
,	,	y
1991	1991	mc
)	)	y
.	.	y
In	in	ii
fact	fact	nn1
,	,	y
in	in	ii
an	a	at1
analysis	analysis	nn1
of	of	io
census	census	nn1
data	data	nn
on	on	ii
local	local	jj
government	government	nn1
departments	department	nn2
,	,	y
Ichniowski	ichniowski	np1_jj_nn1
and	and	cc
Zax	zax	np1_nn1
(	(	y
1990	1990	mc
)	)	y
found	find	vvd
that	that	cst
the	the	at
presence	presence	nn1
of	of	io
an	a	at1
association	association	nn1
in	in	ii
1977	1977	mc
was	be	vbdz
a	a	at1
strong	strong	jj
predictor	predictor	nn1
of	of	io
the	the	at
formation	formation	nn1
of	of	io
a	a	at1
union	union	nn1
by	by	ii
1982	1982	mc
.	.	y
<p>	<p>	y
Most	most	dat
of	of	io
the	the	at
research	research	nn1
on	on	ii
employee	employee	nn1
associations	association	nn2
has	have	vhz
focused	focus	vvn
on	on	ii
association-union	association-union	jj_nn1
mergers	merger	nn2
(	(	y
Cornfield	cornfield	nn1
,	,	y
1991	1991	mc
)	)	y
.	.	y
One	one	mc1
area	area	nn1
that	that	cst_dd1
has	have	vhz
received	receive	vvn
special	special	jj
attention	attention	nn1
has	have	vhz
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
of	of	io
mergers	merger	nn2
,	,	y
traits	trait	nn2
of	of	io
merger	merger	nn1
partners	partner	nn2
,	,	y
and	and	cc
barriers	barrier	nn2
to	to	ii
mergers	merger	nn2
)	)	y
.	.	y
However	however	rr
,	,	y
only	only	rr
one	one	mc1
published	published	jj@_vvd
study	study	nn1
has	have	vhz
addressed	address	vvn
the	the	at
opinions	opinion	nn2
of	of	io
state	state	nn1
employee	employee	nn1
association	association	nn1
members	member	nn2
toward	toward	ii
merger	merger	nn1
with	with	iw
a	a	at1
union	union	nn1
.	.	y
In	in	ii
that	that	dd1
study	study	nn1
,	,	y
Cornfield	cornfield	nn1
(	(	y
1991	1991	mc
)	)	y
examined	examine	vvd
the	the	at
impact	impact	nn1
of	of	io
employees	employee	nn2
'	'	ge
socioeconomic	socioeconomic	jj
status	status	nn1
and	and	cc
opportunity	opportunity	nn1
for	for	if
upward	upward	jj
mobility	mobility	nn1
on	on	ii
their	their	appge
approval	approval	nn1
for	for	if
merger	merger	nn1
with	with	iw
a	a	at1
labor	labor	nn1
union	union	nn1
.	.	y
Cornfield	cornfield	nn1
found	find	vvd_vvn
a	a	at1
significant	significant	jj
effect	effect	nn1
for	for	if
both	both	db2
factors	factor	nn2
.	.	y
But	but	ccb
it	it	pph1
is	be	vbz
surprising	surprising	jj
that	that	cst_dd1
,	,	y
although	although	cs
considerable	considerable	jj
research	research	nn1
has	have	vhz
been	be	vbn
done	do	vdn
to	to	to
examine	examine	vvi
factors	factor	nn2
that	that	cst_dd1
influence	influence	vv0_nn1
union	union	nn1
voting	voting	nn1_vvg
intent	intent	nn1_jj
among	among	ii
nonunion	nonunion	nn1
employees	employee	nn2
,	,	y
virtually	virtually	rr
no	no	at
research	research	nn1
has	have	vhz
been	be	vbn
undertaken	undertake	vvn
to	to	to
investigate	investigate	vvi
the	the	at
factors	factor	nn2
that	that	cst
influence	influence	vv0
an	a	at1
employee	employee	nn1
association	association	nn1
member	member	nn1
to	to	to
vote	vote	vvi
for	for	if
unionization	unionization	nn1
.	.	y
<p>	<p>	y
Several	several	da2
causes	cause	nn2
of	of	io
votes	vote	nn2
for	for	if
unionization	unionization	nn1
have	have	vh0
been	be	vbn
identified	identify	vvn
,	,	y
and	and	cc
beliefs	belief	nn2
about	about	ii
unions	union	nn2
and	and	cc
job	job	nn1
satisfaction	satisfaction	nn1
have	have	vh0
been	be	vbn
singled	single	vvn
out	out	rp
as	as	ii_csa
the	the	at
more	more	rgr
prominent	prominent	jj
ones	one	z'
(	(	y
Barling	barling	np1
,	,	y
Fullagar	fullagar	np1_vv0_nn1
,	,	y
&;	&;	x
Kelloway	kelloway	np1_nn1
,	,	y
1992	1992	mc
)	)	y
.	.	y
Although	although	cs
much	much	da1_rr
has	have	vhz
been	be	vbn
written	write	vvn
about	about	ii
the	the	at
effect	effect	nn1
of	of	io
union	union	nn1
beliefs	belief	nn2
on	on	ii
unionization	unionization	nn1
,	,	y
there	there	ex
has	have	vhz
been	be	vbn
a	a	at1
wide	wide	jj
diversity	diversity	nn1
in	in	ii
the	the	at
measures	measure	nn2
used	use	vmk
to	to	to
capture	capture	vvi
the	the	at
effects	effect	nn2
of	of	io
beliefs	belief	nn2
about	about	ii
unions	union	nn2
in	in	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
1987	1987	mc
)	)	y
.	.	y
Some	some	dd
researchers	researcher	nn2
have	have	vh0
used	use	vvn
belief	belief	nn1
measures	measure	vvz@_nn2
that	that	cst
simply	simply	rr
refer	refer	vv0
to	to	ii
"	"	y
unions	union	nn2
"	"	y
(	(	y
Kochan	kochan	np1
,	,	y
1979	1979	mc
)	)	y
;	;	y
others	others	nn2
have	have	vh0
referred	refer	vvn
to	to	ii
the	the	at
effect	effect	nn1
of	of	io
a	a	at1
union	union	nn1
at	at	ii
the	the	at
respondents	respondent	nn2
'	'	ge
workplace	workplace	nn1
(	(	y
Youngblood	youngblood	np1
,	,	y
Denisi	denisi	np1_nn1
,	,	y
Molleston	molleston	np1
,	,	y
&;	&;	x
Mobley	mobley	np1
,	,	y
1984	1984	mc
)	)	y
.	.	y
In	in	ii
previous	previous	jj
studies	study	nn2
,	,	y
researchers	researcher	nn2
have	have	vh0
used	use	vvn
either	either	rr
specific	specific	jj
or	or	cc
general	general	jj_nn1
beliefs	belief	nn2
about	about	ii
unions	union	nn2
as	as	csa_ii@
predictors	predictor	nn2
of	of	io
voting	voting	nn1_vvg
intentions	intention	nn2
;	;	y
however	however	rr
,	,	y
Premack	premack	np1_nn1_vv0
and	and	cc
Hunter	hunter	np1
(	(	y
1988	1988	mc
)	)	y
,	,	y
in	in	ii
a	a	at1
meta-analysis	meta-analysis	nn1
,	,	y
treated	treat	vvn_vvd@
both	both	db2_rr
measures	measure	nn2_vvz@
as	as	ii_csa
the	the	at
same	same	da
.	.	y
More	more	rgr_rrr
recently	recently	rr
;	;	y
in	in	ii
a	a	at1
meta-analysis	meta-analysis	nn1
of	of	io
some	some	dd
determinants	determinant	nn2
of	of	io
union	union	nn1
voting	voting	nn1_vvg
intent	intent	nn1_jj
,	,	y
Deshpande	deshpande	np1
(	(	y
1992	1992	mc
)	)	y
showed	show	vvd
that	that	cst
the	the	at
two	two	mc
constructs	construct	nn2
are	be	vbr
distinct	distinct	jj
.	.	y
<p>	<p>	y
Recently	recently	rr
,	,	y
the	the	at
effect	effect	nn1
of	of	io
normative	normative	jj
pressures	pressure	nn2
on	on	ii
union	union	nn1
voting	voting	nn1_vvg
intentions	intention	nn2
has	have	vhz
been	be	vbn
investigated	investigate	vvn
.	.	y
As	as	csa_ii@
Montgomery	montgomery	np1
(	(	y
1989	1989	mc
,	,	y
p.	xx_p	nn1_nnu
263	263	mc
)	)	y
correctly	correctly	rr
noted	note	vvn_vvd
,	,	y
"	"	y
The	the	at
voting	voting	nn1
choice	choice	nn1
can	can	vm
not	not	xx
be	be	vbi
adequately	adequately	rr
understood	understand	vvn_vvd
.	.	y
.	.	y
.	.	y
without	without	iw_rr%
taking	take	vvg
into	into	ii
account	account	nn1_vv0
the	the	at
influence	influence	nn1
that	that	cst
others	others	nn2
have	have	vh0
on	on	ii
the	the	at
voter	voter	nn1
.	.	y
"	"	y
Youngblood	youngblood	vv0_np1@
et	et	ra21
al	al	ra22
.	.	y
(	(	y
1984	1984	mc
)	)	y
,	,	y
in	in	ii
a	a	at1
sample	sample	nn1
of	of	io
members	member	nn2
of	of	io
a	a	at1
consumer	consumer	nn1
panel	panel	nn1
,	,	y
found	find	vvd_vvn
that	that	cst
a	a	at1
respondent	respondent	nn1
's	's	ge
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
had	have	vhn@_vhd
a	a	at1
significant	significant	jj
effect	effect	nn1
on	on	ii
the	the	at
respondent	respondent	nn1
's	's	ge
union	union	nn1
voting	voting	nn1_vvg
intent	intent	nn1_jj
.	.	y
Zalesny	zalesny	np1@_nn1_jj
(	(	y
1985	1985	mc
)	)	y
found	find	vvd
that	that	dd1_cst
university	university	nn1
faculty	faculty	nn1
were	be	vbdr
more	more	rgr
likely	likely	jj
to	to	to
vote	vote	vvi
for	for	if
unions	union	nn2
when	when	rrq_cs
social	social	jj
forces	force	nn2
were	be	vbdr
favoring	favor	vvg_jj@
unions	union	nn2
.	.	y
More	more	rgr_rrr
recently	recently	rr
,	,	y
Montgomery	montgomery	np1
(	(	y
1989	1989	mc
)	)	y
,	,	y
in	in	ii
a	a	at1
study	study	nn1
of	of	io
clerical	clerical	jj
employees	employee	nn2
of	of	io
a	a	at1
public	public	jj_nn1
university	university	nn1
,	,	y
found	find	vvd_vvn
that	that	cst
opinions	opinion	nn2
of	of	io
close	close	jj
friends	friend	nn2
,	,	y
family	family	nn1
members	member	nn2
,	,	y
and	and	cc
co-workers	co-worker	nn2
did	do	vdd
influence	influence	vvi
respondents	respondent	nn2
'	'	ge
voting	voting	nn1
intentions	intention	nn2
,	,	y
even	even	cs21
though	though	cs22
most	most	dat
of	of	io
the	the	at
respondents	respondent	nn2
denied	deny	vvn_vvd
such	such	da
an	a	at1
influence	influence	nn1
.	.	y
<p>	<p>	y
In	in	ii
the	the	at
present	present	jj_nn1
study	study	nn1
,	,	y
demographic	demographic	jj
controls	control	nn2
included	include	vvd_vvn
measures	measure	nn2
for	for	if
age	age	nn1
,	,	y
race	race	nn1_vv0@
,	,	y
and	and	cc
gender	gender	nn1
.	.	y
Additional	additional	jj
control	control	nn1
variables	variable	nn2
included	include	vvd_vvn
a	a	at1
measure	measure	nn1
of	of	io
(	(	y
a	a	zz1
)	)	y
overall	overall	jj_nn1
job	job	nn1
satisfaction	satisfaction	nn1
and	and	cc
(	(	y
b	b	zz1
)	)	y
satisfaction	satisfaction	nn1
with	with	iw
the	the	at
existing	existing	jj
employee	employee	nn1
association	association	nn1
.	.	y
The	the	at
implications	implication	nn2
of	of	io
age	age	nn1
are	be	vbr
mixed	mix	vvn
(	(	y
Chacko	chacko	np1
&;	&;	x
Greer	greer	np
,	,	y
1982	1982	mc
)	)	y
.	.	y
Some	some	dd
researchers	researcher	nn2
have	have	vh0
found	find	vvn
support	support	nn1_vv0
for	for	if
the	the	at
proposition	proposition	nn1
that	that	cst
younger	young	jjr
workers	worker	nn2
are	be	vbr
more	more	rgr_dar
militant	militant	jj_nn1
,	,	y
whereas	whereas	cs
others	others	nn2
have	have	vh0
found	find	vvn
support	support	nn1_vv0
for	for	if
the	the	at
proposition	proposition	nn1
that	that	cst
younger	young	jjr
workers	worker	nn2
prefer	prefer	vv0
not	not	xx
to	to	to@
work	work	vvi
under	under	ii_rp@
a	a	at1
rigid	rigid	jj
seniority	seniority	nn1
system	system	nn1
,	,	y
typically	typically	rr
found	find	vvn_vvd
in	in	ii
unionized	unionized	jj
settings	setting	nn2
.	.	y
There	there	ex
has	have	vhz
consistently	consistently	rr
been	be	vbn
a	a	at1
positive	positive	jj
relationship	relationship	nn1
between	between	ii
being	be	vbg
non-White	non-white	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
)	)	y
,	,	y
most	most	rgt_dat
likely	likely	jj
because	because	cs
union	union	nn1
racial	racial	jj
equality	equality	nn1
policies	policy	nn2
and	and	cc
protective	protective	jj
policies	policy	nn2
inhibit	inhibit	vv0
possible	possible	jj
employer	employer	nn1
discrimination	discrimination	nn1
.	.	y
Hypotheses	hypothesis	nn2
about	about	ii
gender	gender	nn1
effects	effect	nn2
have	have	vh0
been	be	vbn
generally	generally	rr
similar	similar	jj
to	to	ii
those	those	dd2
about	about	ii
race	race	nn1
,	,	y
but	but	ccb
studies	study	nn2
with	with	iw
voting	voting	nn1_vvg
intent	intent	nn1_jj
as	as	ii_csa
the	the	at
dependent	dependent	jj
variable	variable	nn1
have	have	vh0
generally	generally	rr
come	come	vvn
to	to	ii
the	the	at
conclusion	conclusion	nn1
that	that	cst
there	there	ex
is	be	vbz
no	no	at
gender	gender	nn1
effect	effect	nn1
(	(	y
Deshpande	deshpande	np1
&;	&;	x
Fiorito	fiorito	np1_nn1
,	,	y
1989	1989	mc
)	)	y
.	.	y
<p>	<p>	y
Satisfaction	satisfaction	nn1
with	with	iw
the	the	at
job	job	nn1
has	have	vhz
been	be	vbn
shown	show	vvn
in	in	ii
many	many	da2
studies	study	nn2
to	to	to
have	have	vhi
a	a	at1
negative	negative	jj
relationship	relationship	nn1
with	with	iw
the	the	at
desire	desire	nn1
for	for	if
unionization	unionization	nn1
(	(	y
Freeman	freeman	nn1
&;	&;	x
Medoff	medoff	nn1_np1
,	,	y
1984	1984	mc
)	)	y
.	.	y
Thus	thus	rr
,	,	y
I	i	ppis1
hypothesized	hypothesize	vvd
that	that	dd1_cst
job	job	nn1
satisfaction	satisfaction	nn1
among	among	ii
association	association	nn1
members	member	nn2
would	would	vm
decrease	decrease	vvi
pro-union	pro-union	jj_nn1
voting	voting	nn1
intent	intent	nn1
.	.	y
Finally	finally	rr
,	,	y
an	a	at1
overall	overall	jj_nn1
measure	measure	nn1
of	of	io
satisfaction	satisfaction	nn1
with	with	iw
the	the	at
employee	employee	nn1
association	association	nn1
was	be	vbdz
used	use	vvn
.	.	y
I	i	ppis1
proposed	propose	vvd
that	that	cst
employees	employee	nn2
satisfied	satisfy	vvn@_vvd@_jj
with	with	iw
their	their	appge
association	association	nn1
would	would	vm
vote	vote	vvi
for	for	if
unionization	unionization	nn1
.	.	y
This	this	dd1
hypothesis	hypothesis	nn1
is	be	vbz
consistent	consistent	jj
with	with	iw
the	the	at
findings	finding	nn2
of	of	io
researchers	researcher	nn2
who	who	pnqs
believe	believe	vv0
that	that	cst
employees	employee	nn2
are	be	vbr
more	more	rgr
likely	likely	jj
to	to	to
reject	reject	vvi
unionization	unionization	nn1
if	if	cs
they	they	pphs2
are	be	vbr
dissatisfied	dissatisfied	jj
with	with	iw
the	the	at
performance	performance	nn1
of	of	io
their	their	appge
association	association	nn1
(	(	y
Ichniowski	ichniowski	np1
&;	&;	x
Zax	zax	np1_nn1
,	,	y
1990	1990	mc
)	)	y
.	.	y
Examination	examination	nn1
of	of	io
the	the	at
impact	impact	nn1
of	of	io
such	such	da
factors	factor	nn2
as	as	csa
specific	specific	jj
beliefs	belief	nn2
,	,	y
general	general	jj_nn1
beliefs	belief	nn2
,	,	y
and	and	cc
normative	normative	jj
pressures	pressure	nn2
as	as	csa_ii@
determinants	determinant	nn2
of	of	io
unionization	unionization	nn1
votes	vote	nn2
among	among	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
Participants	participant	nn2
<p>	<p>	y
A	a	at1
survey	survey	nn1
of	of	io
330	330	mc
members	member	nn2
of	of	io
an	a	at1
employee	employee	nn1
association	association	nn1
of	of	io
administrative	administrative	jj
and	and	cc
professional	professional	jj
employees	employee	nn2
at	at	ii
a	a	at1
large	large	jj
,	,	y
midwestern	midwestern	jj
(	(	y
U.S.	us	np1
)	)	y
university	university	nn1
was	be	vbdz
completed	complete	vvn
in	in	ii
1992	1992	mc
.	.	y
The	the	at
faculty	faculty	nn1
(	(	y
American	american	jj
Association	association	nn1
of	of	io
University	university	nn1
Professors	professor	nn2
)	)	y
,	,	y
hourly	hourly	jj
workers	worker	nn2
(	(	y
American	american	jj
Federation	federation	nn1
of	of	io
State	state	nn1_np1@
,	,	y
County	county	nn1
,	,	y
and	and	cc
Municipal	municipal	jj
Employees	employee	nn2
)	)	y
,	,	y
and	and	cc
the	the	at
police	police	nn2
at	at	ii
this	this	dd1
university	university	nn1
were	be	vbdr
already	already	rr
unionized	unionized	jj
.	.	y
The	the	at
goal	goal	nn1
of	of	io
this	this	dd1
survey	survey	nn1
was	be	vbdz
to	to	to
collect	collect	vvi
information	information	nn1
on	on	ii
attitudes	attitude	nn2
of	of	io
employee	employee	nn1
association	association	nn1
members	member	nn2
toward	toward	ii
unions	union	nn2
.	.	y
The	the	at
survey	survey	nn1
also	also	rr
included	include	vvn_vvd
a	a	at1
wide	wide	jj
range	range	nn1
of	of	io
individual	individual	jj_nn1
and	and	cc
workplace-related	workplace-related	jj_nn1
variables	variable	nn2
.	.	y
<p>	<p>	y
The	the	at
survey	survey	nn1
was	be	vbdz
conducted	conduct	vvn
shortly	shortly	rr
after	after	ii_cs
the	the	at
members	member	nn2
of	of	io
the	the	at
association	association	nn1
participated	participate	vvd_vvn@
in	in	ii_rp@
a	a	at1
secret	secret	jj
ballot	ballot	nn1
that	that	cst_dd1
would	would	vm
allow	allow	vvi
the	the	at
association	association	nn1
to	to	to
petition	petition	vvi
for	for	if
different	different	jj
unions	union	nn2
and	and	cc
an	a	at1
election	election	nn1
conducted	conduct	vvn
by	by	ii
the	the	at
state	state	nn1
's	's	ge
Employment	employment	nn1
Relations	relation	nn2
Commission	commission	nn1
.	.	y
One	one	mc1
month	month	nnt1
before	before	ii_cs
the	the	at
secret	secret	jj_nn1
ballot	ballot	nn1
,	,	y
the	the	at
association	association	nn1
members	member	nn2
met	meet	vvn_vvd
with	with	iw
representatives	representative	nn2
of	of	io
three	three	mc
unions	union	nn2
(	(	y
United	united	jj
Auto	auto	nn1
Workers	worker	nn2
,	,	y
American	american	jj
Association	association	nn1
of	of	io
University	university	nn1
Professors	professor	nn2
,	,	y
and	and	cc
the	the	at
Michigan	michigan	np1
Education	education	nn1
Association	association	nn1
)	)	y
.	.	y
Concurrently	concurrently	rr
,	,	y
the	the	at
university	university	nn1
had	have	vhd
released	release	vvn
a	a	at1
four-page	four-page	jj_nn1
statement	statement	nn1
that	that	cst
answered	answer	vvd
many	many	da2
questions	question	nn2
about	about	ii
what	what	ddq
would	would	vm
happen	happen	vvi
if	if	csw@_cs
the	the	at
association	association	nn1
unionized	unionized	jj
.	.	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
addressed	address	vvd_vvn
the	the	at
association	association	nn1
members	member	nn2
on	on	ii
some	some	dd
of	of	io
the	the	at
negative	negative	jj
consequences	consequence	nn2
of	of	io
unionization	unionization	nn1
.	.	y
<p>	<p>	y
A	a	at1
total	total	nn1_jj
of	of	io
243	243	mc
employee	employee	nn1
association	association	nn1
members	member	nn2
responded	respond	vvn_vvd
to	to	ii
my	my	appge
survey	survey	nn1
.	.	y
Of	of	io
these	these	dd2
,	,	y
63	63	mc
association	association	nn1
members	member	nn2
were	be	vbdr
dropped	drop	vvn
from	from	ii
the	the	at
study	study	nn1
because	because	cs
they	they	pphs2
did	do	vdd
not	not	xx
participate	participate	vvi
in	in	ii
the	the	at
secret	secret	jj_nn1
ballot	ballot	nn1
.	.	y
In	in	rr21
addition	addition	rr22
,	,	y
responses	response	nn2
of	of	io
47	47	mc
association	association	nn1
members	member	nn2
were	be	vbdr
not	not	xx
used	use	vvn_jj
because	because	cs
they	they	pphs2
did	do	vdd
not	not	xx
respond	respond	vvi
to	to	ii
all	all	db
items	item	nn2
in	in	ii
the	the	at
study	study	nn1
.	.	y
Thus	thus	rr
,	,	y
133	133	mc
respondents	respondent	nn2
remained	remain	vvn_vvd
for	for	if
the	the	at
analysis	analysis	nn1
.	.	y
Measures	measure	nn2
<p>	<p>	y
Self-reported	self-reported	jj_nn1
voter	voter	nn1
behavior	behavior	nn1
on	on	ii
the	the	at
secret	secret	jj_nn1
ballot	ballot	nn1
was	be	vbdz
the	the	at
dependent	dependent	jj
variable	variable	nn1
.	.	y
The	the	at
behavior	behavior	nn1
was	be	vbdz
measured	measure	vvn
on	on	ii
a	a	at1
2-point	2-point	jj_nn1
scale	scale	nn1
(	(	y
1	1	mc1
=favor	=favor	fo
unionization	unionization	nn1
,	,	y
0	0	mc
=	=	fo
reject	reject	vv0_nn1@
unionization	unionization	nn1
)	)	y
.	.	y
<p>	<p>	y
On	on	ii
a	a	at1
4-point	4-point	jj
Likert-type	likert-type	jj_nn1
scale	scale	nn1
ranging	range	vvg
from	from	ii
agree	agree	vv0
strongly	strongly	rr
(	(	y
4	4	mc
)	)	y
to	to	to
disagree	disagree	vvi
strongly	strongly	rr
(	(	y
1	1	mc1
)	)	y
,	,	y
the	the	at
respondents	respondent	nn2
were	be	vbdr
asked	ask	vvn@
to	to	to
react	react	vvi
to	to	ii
10	10	mc
general	general	jj
statements	statement	nn2
about	about	ii
unions	union	nn2
:	:	y
(	(	y
a	a	zz1
)	)	y
unions	union	nn2
improve	improve	vv0
wages	wage	nn2
,	,	y
(	(	y
b	b	zz1
)	)	y
unions	union	nn2
improve	improve	vv0
job	job	nn1
security	security	nn1
,	,	y
(	(	y
c	c	zz1
)	)	y
unions	union	nn2
improve	improve	vv0
recognition	recognition	nn1
you	you	ppy
receive	receive	vv0
for	for	if
the	the	at
work	work	nn1_vv0
you	you	ppy
do	do	vd0
,	,	y
(	(	y
d	d	zz1
)	)	y
unions	union	nn2
improve	improve	vv0
fringe	fringe	nn1
benefits	benefit	nn2
(	(	y
e.g.	eg	rex
,	,	y
medical	medical	jj
benefits	benefit	nn2
,	,	y
leave	leave	vv0_nn1
)	)	y
,	,	y
(	(	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
unions	union	nn2
improve	improve	vv0
participation	participation	nn1
in	in	ii
decisions	decision	nn2
that	that	cst
affect	affect	vv0
your	your	appge
job	job	nn1
,	,	y
(	(	y
g	g	zz1
)	)	y
unions	union	nn2
improve	improve	vv0
health	health	nn1
and	and	cc
safety	safety	nn1
,	,	y
(	(	y
h	h	zz1
)	)	y
unions	union	nn2
improve	improve	vv0
treatment	treatment	nn1
by	by	ii
supervisors	supervisor	nn2
,	,	y
(	(	y
i	i	zz1
)	)	y
unions	union	nn2
reduce	reduce	vv0
discrimination	discrimination	nn1
against	against	ii
women	woman	nn2
by	by	ii
employer	employer	nn1
,	,	y
and	and	cc
(	(	y
j	xx_j	zz1
)	)	y
unions	union	nn2
