##4002466		
Key	key	jj_nn1
specialists	specialist	nn2
published	publish	vvd_vvn
research-based	research-based	jj
theoretical	theoretical	jj
articles	article	nn2
providing	provide	vvg
scholarly	scholarly	jj
justifications	justification	nn2
for	for	if
the	the	at
use	use	nn1
of	of	io
inquiry	inquiry	nn1
activities	activity	nn2
in	in	ii
social	social	jj
studies	study	nn2
classes	class	nn2
,	,	y
especially	especially	rr
activities	activity	nn2
that	that	cst
have	have	vh0
students	student	nn2
using	use	vvg
the	the	at
methods	method	nn2
of	of	io
social	social	jj
scientists	scientist	nn2
(	(	y
Mayer	mayer	np1
1998	1998	mc
;	;	y
VanSickle	vansickle	np1_vv0
and	and	cc
Hoge	hoge	np1
1991	1991	mc
)	)	y
.	.	y
Since	since	ii
1990	1990	mc
,	,	y
authors	author	nn2
of	of	io
numerous	numerous	jj
articles	article	nn2
have	have	vh0
recommended	recommend	vvn
the	the	at
use	use	nn1
of	of	io
problem-centered	problem-centered	jj
instruction	instruction	nn1
in	in	ii
secondary	secondary	jj
social	social	jj
studies	study	nn2
classes	class	nn2
(	(	y
e.g.	eg	rex
,	,	y
Benoit	benoit	np1_vv0_nn1
1998	1998	mc
;	;	y
Gallagher	gallagher	np1
2000	2000	mc
;	;	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
Hughes	hughes	np1
1994	1994	mc
)	)	y
,	,	y
including	including	ii_vvg@
classes	class	nn2
for	for	if
students	student	nn2
with	with	iw
learning	learn	vvg_nn1
disabilities	disability	nn2
(	(	y
O'Brien	o'brien	np1
2000	2000	mc
)	)	y
.	.	y
During	during	ii
that	that	dd1
period	period	nn1
,	,	y
other	other	jj
authors	author	nn2
have	have	vh0
recommended	recommend	vvn
that	that	cst_dd1
for	for	if
secondary	secondary	jj
social	social	jj
studies	study	nn2
classes	class	nn2
,	,	y
teachers	teacher	nn2
should	should	vm
consider	consider	vvi
a	a	at1
relative	relative	nn1
of	of	io
problem-centered	problem-centered	jj
instruction	instruction	nn1
--	--	x
the	the	at
case	case	nn1
method	method	nn1
(	(	y
Guyer	guyer	np1_nn1
,	,	y
Dillon	dillon	np1
,	,	y
Anderson	anderson	np1
,	,	y
and	and	cc
Szobota	szobota	np1
2000	2000	mc
;	;	y
Wasserman	wasserman	np1_nn1
1992	1992	mc
)	)	y
.	.	y
Other	other	jj
social	social	jj
science	science	nn1
education	education	nn1
experts	expert	nn2
writing	write	vvg
on	on	ii
the	the	at
promotion	promotion	nn1
of	of	io
thinking	thinking	nn1_vvg
and	and	cc
inquiry	inquiry	nn1
about	about	ii
real-world	real-world	jj_nn1
concerns	concern	nn2
and	and	cc
interests	interest	nn2
in	in	ii
secondary	secondary	jj
social	social	jj
studies	study	nn2
classes	class	nn2
have	have	vh0
referred	refer	vvn
to	to	ii
"	"	y
authentic	authentic	jj
instruction	instruction	nn1
"	"	y
(	(	y
Foster	foster	np1
and	and	cc
Padgett	padgett	np1
1999	1999	mc
;	;	y
Newmann	newmann	np1
1990	1990	mc
)	)	y
.	.	y
Still	still	rr_jj@
others	others	nn2
have	have	vh0
built	build	vvn
their	their	appge
preferred	preferred	jj
methods	method	nn2
around	around	ii_rg@
social	social	jj
issues	issue	nn2
(	(	y
Evans	evans	np1
1998	1998	mc
;	;	y
Rossi	rossi	np1
1996	1996	mc
;	;	y
Shaver	shaver	np1_vv0
1992	1992	mc
)	)	y
.	.	y
At	at	rr21
present	present	rr22
,	,	y
an	a	at1
entire	entire	jj
book	book	nn1
is	be	vbz
in	in	ii
print	print	nn1
on	on	ii
the	the	at
use	use	nn1
of	of	io
cooperative	cooperative	jj
problem-solving	problem-solving	nn1
methods	method	nn2
in	in	ii
secondary	secondary	jj
social	social	jj
studies	study	nn2
classes	class	nn2
(	(	y
Hickman	hickman	np1_nn1
and	and	cc
Wigginton	wigginton	np1
1999	1999	mc
)	)	y
.	.	y
Another	another	dd1
available	available	jj
book	book	nn1
features	feature	vvz@_nn2
the	the	at
use	use	nn1
of	of	io
problem-based	problem-based	jj_nn1
learning	learning	nn1_vvg
in	in	ii
social	social	jj
studies	study	nn2
classes	class	nn2
from	from	ii
the	the	at
elementary	elementary	jj
grades	grade	nn2
through	through	ii
college	college	nn1
(	(	y
Moye	moye	np1_vv0_nn1
1998	1998	mc
)	)	y
,	,	y
and	and	cc
one	one	mc1
is	be	vbz
in	in	ii
print	print	nn1
on	on	ii
the	the	at
social	social	jj
issues	issue	nn2
approach	approach	nn1_vv0@
(	(	y
Evans	evans	np1
and	and	cc
Saxe	saxe	vv0_np1_nn1
1996	1996	mc
)	)	y
.	.	y
In	in	rr21
short	short	rr22
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
teachers	teacher	nn2
respond	respond	vv0
to	to	ii
John	john	np1
Dewey	dewey	np1
's	's	ge
recommendation	recommendation	nn1
that	that	cst
teachers	teacher	nn2
engage	engage	vv0
students	student	nn2
by	by	ii
using	use	vvg
thinking	thinking	nn1_vvg
and	and	cc
inquiry	inquiry	nn1
tasks	task	nn2
reflecting	reflect	vvg
real-world	real-world	jj_nn1
concerns	concern	nn2
and	and	cc
interests	interest	nn2
.	.	y
Challenges	challenge	nn2
in	in	ii
Using	use	vvg
Inquiry	inquiry	nn1
Methods	method	nn2
<p>	<p>	y
Widespread	widespread	jj
support	support	nn1
for	for	if
Dewey	dewey	np1
's	's	ge
recommendation	recommendation	nn1
does	do	vdz
not	not	xx
easily	easily	rr
translate	translate	vvi
into	into	ii
widespread	widespread	jj
,	,	y
sustained	sustained	jj_vvd
application	application	nn1
of	of	io
the	the	at
recommendation	recommendation	nn1
,	,	y
however	however	rr_rrqv
.	.	y
Researchers	researcher	nn2
who	who	pnqs
have	have	vh0
investigated	investigate	vvn
the	the	at
use	use	nn1
of	of	io
problem-centered	problem-centered	jj
instruction	instruction	nn1
in	in	ii
social	social	jj
studies	study	nn2
classes	class	nn2
(	(	y
Ehman	ehman	np1_nn1
,	,	y
Glenn	glenn	np1
,	,	y
Johnson	johnson	np1
,	,	y
and	and	cc
White	white	np1_jj
1992	1992	mc
;	;	y
Saye	saye	np1_vv0
and	and	cc
Brush	brush	vv0_nn1
1999	1999	mc
)	)	y
point	point	nn1_vv0@
to	to	ii
the	the	at
time	time	nnt1
demands	demand	nn2_vvz@
on	on	ii
students	student	nn2
and	and	cc
teachers	teacher	nn2
,	,	y
the	the	at
need	need	nn1
for	for	if
and	and	cc
frequent	frequent	jj
lack	lack	nn1
of	of	io
relevant	relevant	jj
prior	prior	jj
knowledge	knowledge	nn1
on	on	ii
the	the	at
students	student	nn2
'	'	ge
part	part	nn1
,	,	y
and	and	cc
the	the	at
importance	importance	nn1
of	of	io
expert	expert	nn1_jj@
guidance	guidance	nn1
for	for	if
students	student	nn2
during	during	ii
the	the	at
problem-solving	problem-solving	nn1
process	process	nn1_vv0
,	,	y
even	even	cs21
when	when	cs22
much	much	da1
guidance	guidance	nn1
is	be	vbz
built	build	vvn
into	into	ii
computer-based	computer-based	jj
activities	activity	nn2
.	.	y
Even	even	rr
enthusiastic	enthusiastic	jj
supporters	supporter	nn2
of	of	io
issues-oriented	issues-oriented	jj
instruction	instruction	nn1
in	in	ii
social	social	jj
studies	study	nn2
classes	class	nn2
point	point	vv0@_nn1
to	to	ii
the	the	at
challenges	challenge	nn2
faced	face	vvn
by	by	ii
users	user	nn2
of	of	io
the	the	at
approach	approach	nn1
(	(	y
Rossi	rossi	np1_nn1
1995	1995	mc
;	;	y
Rossi	rossi	np1_jj
and	and	cc
Pace	pace	nn1_vv0@
1998	1998	mc
)	)	y
.	.	y
In	in	ii
fact	fact	nn1
,	,	y
authors	author	nn2
of	of	io
recent	recent	jj
articles	article	nn2
focus	focus	vv0
specifically	specifically	rr
on	on	ii
ways	way	nn2
to	to	to
overcome	overcome	vvi
barriers	barrier	nn2
that	that	cst
discourage	discourage	vv0
social	social	jj
studies	study	nn2
teachers	teacher	nn2
from	from	ii
applying	apply	vvg
inquiry	inquiry	nn1
methods	method	nn2
centered	center	vvd_vvn@
on	on	ii_rp@
real-world	real-world	jj_nn1
concerns	concern	nn2
and	and	cc
interests	interest	nn2
(	(	y
Evans	evans	np1
,	,	y
Avery	avery	np1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
Like	like	ii_vv0@
most	most	dat
of	of	io
the	the	at
authors	author	nn2
cited	cite	vvn
above	above	rl
,	,	y
we	we	ppis2
are	be	vbr
firm	firm	jj
believers	believer	nn2
in	in	ii
the	the	at
use	use	nn1
of	of	io
thinking	thinking	nn1_vvg
and	and	cc
inquiry	inquiry	nn1
tasks	task	nn2
that	that	cst
reflect	reflect	vv0
real-world	real-world	jj_nn1
concerns	concern	nn2
and	and	cc
interests	interest	nn2
and	and	cc
are	be	vbr
committed	committed	jj_vvn
users	user	nn2
of	of	io
such	such	da
tasks	task	nn2
in	in	ii
our	our	appge
university	university	nn1
classrooms	classroom	nn2
.	.	y
Because	because	ii21
of	of	ii22
our	our	appge
interest	interest	nn1
in	in	ii
the	the	at
method	method	nn1
,	,	y
we	we	ppis2
are	be	vbr
disappointed	disappointed	jj
to	to	to
see	see	vvi
the	the	at
relative	relative	jj_nn1
infrequency	infrequency	nn1
with	with	iw
which	which	ddq
teachers	teacher	nn2
use	use	vv0
thinking	thinking	nn1_vvg
and	and	cc
inquiry	inquiry	nn1
tasks	task	nn2
that	that	cst
focus	focus	vv0_nn1
on	on	ii_rp@
real-world	real-world	jj_nn1
concerns	concern	nn2
and	and	cc
interests	interest	nn2
in	in	ii
secondary	secondary	jj
social	social	jj
studies	study	nn2
classes	class	nn2
.	.	y
We	we	ppis2
recognize	recognize	vv0
,	,	y
however	however	rr
,	,	y
that	that	cst
the	the	at
ill-structured	ill-structured	jj_nn1
tasks	task	nn2
meant	mean	vvd_vvn
to	to	to
typify	typify	vvi
problem-based	problem-based	jj_nn1
learning	learning	nn1
can	can	vm
create	create	vvi
substantial	substantial	jj
instructional	instructional	jj
challenges	challenge	nn2
for	for	if
teachers	teacher	nn2
.	.	y
We	we	ppis2
recognize	recognize	vv0
,	,	y
too	too	rr@_rg
,	,	y
that	that	cst
the	the	at
controversial	controversial	jj
issues	issue	nn2
recommended	recommend	vvn_vvd
for	for	if
issues-centered	issues-centered	jj
instruction	instruction	nn1
can	can	vm
create	create	vvi
unpleasant	unpleasant	jj
conflict	conflict	nn1
in	in	ii
teachers	teacher	nn2
'	'	ge
lives	life	nn2
.	.	y
<p>	<p>	y
We	we	ppis2
believe	believe	vv0
,	,	y
however	however	rr
,	,	y
that	that	cst
many	many	da2
teachers	teacher	nn2
can	can	vm
move	move	vvi
toward	toward	ii
the	the	at
more	more	rgr
complex	complex	jj
forms	form	nn2
of	of	io
thinking	thinking	nn1_vvg
and	and	cc
inquiry	inquiry	nn1
methods	method	nn2
and	and	cc
those	those	dd2
forms	form	nn2
that	that	cst_dd1
more	more	rgr_dar
realistically	realistically	rr
simulate	simulate	vv0
the	the	at
actual	actual	jj
work	work	nn1
of	of	io
social	social	jj
scientists	scientist	nn2
.	.	y
In	in	ii
many	many	da2
secondary	secondary	jj
social	social	jj
studies	study	nn2
classes	class	nn2
,	,	y
the	the	at
teachers	teacher	nn2
may	may	vm
have	have	vhi
to	to	to
begin	begin	vvi
with	with	iw
thinking	think	vvg_nn1
and	and	cc
inquiry	inquiry	nn1
tasks	task	nn2
that	that	cst
are	be	vbr
relatively	relatively	rr
modest	modest	jj
in	in	ii
complexity	complexity	nn1
and	and	cc
that	that	cst_dd1
perhaps	perhaps	rr
require	require	vv0
only	only	jj
textbook	textbook	nn1
information	information	nn1
and	and	cc
classroom	classroom	nn1
time	time	nnt1
to	to	to
carry	carry	vvi
them	them	ppho2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
and	and	cc
do	do	vd0
not	not	xx
pretend	pretend	vvi
to	to	to
be	be	vbi
historians	historian	nn2
,	,	y
political	political	jj
scientists	scientist	nn2
,	,	y
or	or	cc
psychologists	psychologist	nn2
.	.	y
In	in	ii
this	this	dd1
article	article	nn1
,	,	y
we	we	ppis2
identify	identify	vv0
several	several	da2
types	type	nn2
of	of	io
thinking	thinking	nn1_vvg
and	and	cc
inquiry	inquiry	nn1
tasks	task	nn2
that	that	cst
focus	focus	vv0_nn1
on	on	ii_rp@
concerns	concern	nn2
or	or	cc
interests	interest	nn2
of	of	io
adolescents	adolescent	nn2
but	but	ccb
do	do	vd0
so	so	rr
at	at	ii
varying	varying	jj_vvg
levels	level	nn2
of	of	io
complexity	complexity	nn1
and	and	cc
require	require	vv0
students	student	nn2
to	to	to
use	use	vvi
a	a	at1
range	range	nn1
of	of	io
informational	informational	jj
resources	resource	nn2
.	.	y
The	the	at
types	type	nn2
of	of	io
tasks	task	nn2
discussed	discuss	vvn
are	be	vbr
less	less	rgr
complex	complex	jj
than	than	csn
the	the	at
ill-structured	ill-structured	jj_nn1
tasks	task	nn2
recommended	recommend	vvn
by	by	ii
proponents	proponent	nn2
of	of	io
problem-based	problem-based	jj_nn1
learning	learning	nn1
and	and	cc
the	the	at
case	case	nn1
method	method	nn1
,	,	y
and	and	cc
the	the	at
tasks	task	nn2
put	put	vv0_vvd_vvn
less	less	dar_rrr
demand	demand	nn1_vv0
on	on	ii
the	the	at
thinking	thinking	nn1
and	and	cc
investigation	investigation	nn1
skills	skill	nn2
of	of	io
students	student	nn2
than	than	csn
the	the	at
tasks	task	nn2
typical	typical	jj
of	of	io
those	those	dd2
two	two	mc
instructional	instructional	jj
approaches	approach	nn2
or	or	cc
of	of	io
issues-centered	issues-centered	jj
instruction	instruction	nn1
.	.	y
<p>	<p>	y
To	to	to
begin	begin	vvi
our	our	appge
discussion	discussion	nn1
,	,	y
we	we	ppis2
must	must	vm
emphasize	emphasize	vvi
a	a	at1
fact	fact	nn1
of	of	io
which	which	ddq
veteran	veteran	jj_nn1
secondary	secondary	jj_nn1
teachers	teacher	nn2
are	be	vbr
fully	fully	rr
aware	aware	jj
:	:	y
Anticipating	anticipate	vvg
whether	whether	csw
a	a	at1
certain	certain	jj
thinking	thinking	nn1
or	or	cc
inquiry	inquiry	nn1
task	task	nn1
will	will	vm
tap	tap	vvi
into	into	ii
a	a	at1
concern	concern	nn1
or	or	cc
interest	interest	nn1
of	of	io
a	a	at1
specific	specific	jj
adolescent	adolescent	nn1
is	be	vbz
virtually	virtually	rr
impossible	impossible	jj
without	without	iw
knowing	know	vvg
the	the	at
individual	individual	nn1_jj
very	very	rg
well	well	rr
.	.	y
The	the	at
available	available	jj
research	research	nn1
on	on	ii
the	the	at
concerns	concern	nn2
and	and	cc
interests	interest	nn2
of	of	io
young	young	jj
adults	adult	nn2
may	may	vm
be	be	vbi
reassuring	reassure	vvg_jj
for	for	if
social	social	jj
studies	study	nn2
teachers	teacher	nn2
who	who	pnqs
have	have	vh0
incorrectly	incorrectly	rr
predicted	predict	vvn
the	the	at
effectiveness	effectiveness	nn1
of	of	io
a	a	at1
creatively	creatively	rr
constructed	construct	vvn_jj@
thinking	think	vvg_nn1
or	or	cc
inquiry	inquiry	nn1
task	task	nn1
with	with	iw
a	a	at1
certain	certain	jj
secondary	secondary	jj_nn1
student	student	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
example	example	rex22
,	,	y
that	that	cst
the	the	at
typical	typical	jj
concerns	concern	nn2
and	and	cc
interests	interest	nn2
of	of	io
young	young	jj
adults	adult	nn2
vary	vary	vv0
with	with	iw
their	their	appge
age	age	nn1
(	(	y
Hendry	hendry	np1
,	,	y
Glendinning	glendinning	np1
,	,	y
and	and	cc
Shucksmith	shucksmith	np1
1996	1996	mc
)	)	y
,	,	y
the	the	at
influence	influence	nn1
of	of	io
their	their	appge
parents	parent	nn2
and	and	cc
socioeconomic	socioeconomic	jj
status	status	nn1
(	(	y
Kasser	kasser	np1_nn1
,	,	y
Ryan	ryan	np1
,	,	y
Zax	zax	np1_vv0_nn1
,	,	y
and	and	cc
Sameroff	sameroff	vv0_np1_nn1
1995	1995	mc
)	)	y
,	,	y
and	and	cc
societal	societal	jj
circumstances	circumstance	nn2
(	(	y
Easterlin	easterlin	np1
and	and	cc
Crimmins	crimmins	np1_nn2
1991	1991	mc
;	;	y
Ovadia	ovadia	np1
2003	2003	mc
)	)	y
.	.	y
In	in	rr21
short	short	rr22
,	,	y
no	no	at
simple	simple	jj
,	,	y
unchanging	unchanging	jj
guidelines	guideline	nn2
can	can	vm
be	be	vbi
developed	develop	vvn
for	for	if
creating	create	vvg
thinking	thinking	nn1_vvg
and	and	cc
inquiry	inquiry	nn1
tasks	task	nn2
that	that	cst_dd1
can	can	vm
reliably	reliably	rr
capitalize	capitalize	vvi
on	on	ii_rp@
concerns	concern	nn2
of	of	io
specific	specific	jj
secondary	secondary	jj_nn1
students	student	nn2
.	.	y
To	to	to
design	design	vvi
such	such	da
tasks	task	nn2
,	,	y
teachers	teacher	nn2
must	must	vm
draw	draw	vvi
on	on	ii
what	what	ddq
they	they	pphs2
can	can	vm
learn	learn	vvi
about	about	ii_rp@
individual	individual	jj
students	student	nn2
and	and	cc
about	about	ii
specific	specific	jj
groups	group	nn2
of	of	io
students	student	nn2
.	.	y
Tasks	task	nn2
Reflecting	reflect	vvg
Students	student	nn2
'	'	ge
Concerns	concern	nn2
and	and	cc
Interests	interest	nn2
<p>	<p>	y
Despite	despite	ii
that	that	dd1
caveat	caveat	nn1
,	,	y
we	we	ppis2
present	present	vv0@
in	in	ii_rp@
figure	figure	nn1
1	1	mc1
several	several	da2
types	type	nn2
of	of	io
tasks	task	nn2
that	that	cst_dd1
can	can	vm
take	take	vvi
advantage	advantage	nn1
of	of	io
the	the	at
concerns	concern	nn2
or	or	cc
interests	interest	nn2
of	of	io
adolescents	adolescent	nn2
.	.	y
To	to	to
understand	understand	vvi
the	the	at
information	information	nn1
in	in	ii
figure	figure	nn1
1	1	mc1
fully	fully	rr
,	,	y
the	the	at
reader	reader	nn1
must	must	vm
refer	refer	vvi
to	to	ii
the	the	at
appendix	appendix	nn1
of	of	io
this	this	dd1
article	article	nn1
.	.	y
We	we	ppis2
drew	draw	vvd
on	on	ii_rp@
our	our	appge
experiences	experience	nn2
with	with	iw
secondary	secondary	jj
students	student	nn2
to	to	to
identify	identify	vvi
the	the	at
types	type	nn2
of	of	io
tasks	task	nn2
and	and	cc
to	to	to
construct	construct	vvi
the	the	at
sample	sample	nn1
tasks	task	nn2
illustrating	illustrate	vvg
those	those	dd2
types	type	nn2
.	.	y
During	during	ii
the	the	at
process	process	nn1
of	of	io
developing	develop	vvg
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
(	(	y
1990	1990	mc
)	)	y
,	,	y
"	"	y
The	the	at
Personal	personal	jj
Relevance	relevance	nn1
of	of	io
the	the	at
Social	social	jj
Studies	study	nn2
,	,	y
"	"	y
in	in	ii
which	which	ddq
he	he	pphs1
offers	offer	vvz@
a	a	at1
"	"	y
personal-relevance	personal-relevance	jj_nn1
framework	framework	nn1
"	"	y
by	by	ii
which	which	ddq
he	he	pphs1
categorizes	categorize	vvz
typical	typical	jj
human	human	jj_nn1
goals	goal	nn2
.	.	y
He	he	pphs1
sorts	sort	vvz@
them	them	ppho2
first	first	md
into	into	ii
four	four	mc
general	general	jj
motivations	motivation	nn2
--	--	x
sense	sense	nn1
of	of	io
security	security	nn1
,	,	y
sense	sense	nn1
of	of	io
affiliation	affiliation	nn1
,	,	y
sense	sense	nn1
of	of	io
competence	competence	nn1
,	,	y
and	and	cc
sense	sense	nn1
of	of	io
influence	influence	nn1
--	--	x
and	and	cc
then	then	rt
into	into	ii
five	five	mc
areas	area	nn2
of	of	io
life	life	nn1
--	--	x
human	human	nn1_jj
relationships	relationship	nn2
,	,	y
occupation	occupation	nn1
,	,	y
health	health	nn1
and	and	cc
safety	safety	nn1
,	,	y
personal	personal	jj
development	development	nn1
,	,	y
and	and	cc
finances	finance	nn2
.	.	y
Even	even	rr
after	after	cs
we	we	ppis2
had	have	vhd
developed	develop	vvn
most	most	dat
of	of	io
the	the	at
suggested	suggested	jj@
task	task	nn1
types	type	nn2
and	and	cc
examples	example	nn2
,	,	y
we	we	ppis2
found	find	vvd
his	his	appge
framework	framework	nn1
helpful	helpful	jj
for	for	if
creating	create	vvg
additional	additional	jj
thinking	thinking	nn1
and	and	cc
inquiry	inquiry	nn1
tasks	task	nn2
to	to	to
tap	tap	vvi
into	into	ii
the	the	at
concerns	concern	nn2
of	of	io
adolescents	adolescent	nn2
.	.	y
<p>	<p>	y
The	the	at
reader	reader	nn1
should	should	vm
examine	examine	vvi
the	the	at
figure	figure	nn1
and	and	cc
the	the	at
appendix	appendix	nn1
before	before	ii
continuing	continue	vvg
with	with	iw
the	the	at
article	article	nn1
.	.	y
We	we	ppis2
wrote	write	vvd
the	the	at
sample	sample	nn1
tasks	task	nn2
using	use	vvg
sentence	sentence	nn1
structure	structure	nn1
and	and	cc
vocabulary	vocabulary	nn1
that	that	cst
we	we	ppis2
assumed	assume	vvd
readers	reader	nn2
of	of	io
The	the	at
Social	social	jj
Studies	study	nn2
would	would	vm
understand	understand	vvi
.	.	y
For	for	if
some	some	dd
secondary	secondary	jj
social	social	jj
studies	study	nn2
classes	class	nn2
,	,	y
modifications	modification	nn2
in	in	ii
the	the	at
sentence	sentence	nn1
structure	structure	nn1
and	and	cc
vocabulary	vocabulary	nn1
are	be	vbr
needed	need	vvn
.	.	y
<p>	<p>	y
We	we	ppis2
do	do	vd0
not	not	xx
mean	mean	vvi
the	the	at
types	type	nn2
of	of	io
uses	use	nn2
of	of	io
social	social	jj
studies	study	nn2
content	content	nn1_jj_vv0@
and	and	cc
the	the	at
sample	sample	nn1
tasks	task	nn2
that	that	cst
we	we	ppis2
present	present	vv0@
to	to	to
be	be	vbi
definitive	definitive	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
them	them	ppho2
to	to	to
illustrate	illustrate	vvi
the	the	at
content	content	jj_nn1
uses	use	nn2_vvz
on	on	ii
which	which	ddq
social	social	jj
studies	study	nn2
teachers	teacher	nn2
can	can	vm
build	build	vvi
instruction	instruction	nn1
.	.	y
The	the	at
sample	sample	nn1
tasks	task	nn2
need	need	vm@_vv0
not	not	xx
be	be	vbi
like	like	ii_jj@
academic	academic	jj_nn1@
or	or	cc
professional	professional	jj
applications	application	nn2
of	of	rr21
course	course	rr22
content	content	jj
or	or	cc
resemble	resemble	vv0
academic	academic	jj
or	or	cc
professional	professional	jj
tasks	task	nn2
.	.	y
The	the	at
tasks	task	nn2
can	can	vm
have	have	vhi
a	a	at1
personal	personal	jj
use	use	nn1
and	and	cc
have	have	vh0
a	a	at1
high	high	jj
probability	probability	nn1
of	of	io
being	be	vbg
viewed	view	vvn
as	as	csa_rg@_ii@
relevant	relevant	jj
to	to	ii
adolescents	adolescent	nn2
,	,	y
even	even	cs21
if	if	cs22
the	the	at
students	student	nn2
are	be	vbr
not	not	xx
concerned	concerned	jj
about	about	ii
the	the	at
content	content	nn1_jj
as	as	csa
academic	academic	jj
content	content	nn1
.	.	y
We	we	ppis2
are	be	vbr
impressed	impress	vvn
by	by	ii
many	many	da2
of	of	io
the	the	at
thinking	thinking	nn1
and	and	cc
inquiry	inquiry	nn1
tasks	task	nn2
suggested	suggest	vvn_vvd
in	in	ii
the	the	at
teacher	teacher	nn1
's	's	ge
edition	edition	nn1
of	of	io
current	current	jj
secondary	secondary	jj_nn1
social	social	jj
studies	study	nn2
textbooks	textbook	nn2
,	,	y
but	but	ccb
we	we	ppis2
find	find	vv0
that	that	cst
most	most	dat
of	of	io
the	the	at
tasks	task	nn2
involve	involve	vv0
uses	use	nn2_vvz
that	that	cst_dd1
would	would	vm
seem	seem	vvi
realistic	realistic	jj
primarily	primarily	rr
to	to	ii
academic	academic	jj
specialists	specialist	nn2
in	in	ii
the	the	at
subject	subject	nn1_jj@
area	area	nn1
,	,	y
to	to	ii
professionals	professional	nn2
in	in	ii
careers	career	nn2
related	relate	vvn_vvd
to	to	ii
the	the	at
subject	subject	nn1_jj@
area	area	nn1
,	,	y
or	or	cc
to	to	ii
students	student	nn2
who	who	pnqs
are	be	vbr
already	already	rr
intensely	intensely	rr
interested	interested	jj
in	in	ii
the	the	at
subject	subject	nn1_jj@
area	area	nn1
.	.	y
We	we	ppis2
believe	believe	vv0
that	that	cst
all	all	db
students	student	nn2
should	should	vm
be	be	vbi
exposed	expose	vvn
to	to	ii
such	such	da
uses	use	nn2
but	but	ccb
that	that	dd1_cst@
they	they	pphs2
also	also	rr
should	should	vm
be	be	vbi
allowed	allow	vvn
and	and	cc
enabled	enable	vvn
to	to	to
see	see	vvi
that	that	dd1_cst
social	social	jj
studies	study	nn2
content	content	nn1_vv0@
can	can	vm
be	be	vbi
used	use	vvn
in	in	ii
ways	way	nn2
that	that	cst
they	they	pphs2
recognize	recognize	vv0
as	as	rg@_csa
relevant	relevant	jj
.	.	y
Features	feature	nn2
of	of	io
Effective	effective	jj
Use	use	nn1
of	of	io
Inquiry	inquiry	nn1
Methods	method	nn2
<p>	<p>	y
We	we	ppis2
do	do	vd0
not	not	xx
intend	intend	vvi
this	this	dd1
article	article	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
inquiry	inquiry	nn1
tasks	task	nn2
