##5995		
20:00-21:00		mcmc
like	like	vv0
the	the	at
attention	attention	nn1
.	.	y
I	i	ppis1
honestly	honestly	rr
can	can	vm
say	say	vvi
I	i	ppis1
love	love	vv0
the	the	at
attention	attention	nn1
.	.	y
Because	because	cs
before	before	cs
I	i	ppis1
got	get	vvd
sick	sick	jj
,	,	y
I	i	ppis1
wasn	wasn	vv0
?	?	y
t	t	zz1
hardly	hardly	rr
getting	get	vvg
any	any	dd
attention	attention	nn1
.	.	y
Now	now	rt
I	i	ppis1
get	get	vv0
all	all	db
the	the	at
attention	attention	nn1
and	and	cc
I	i	ppis1
like	like	vv0
it	it	pph1
.	.	y
@!BARNETT		zzq
:	:	y
As	as	csa
we	we	ppis2
meet	meet	vv0
him	him	ppho1
,	,	y
Tim	tim	np1
?	?	y
s	s	zz1
getting	get	vvg
treatment	treatment	nn1
for	for	if
Hodgkin	hodgkin	np1
?	?	y
s	s	zz1
Lymphoma	lymphoma	np1
.	.	y
On	on	ii
this	this	dd1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
wants	want	vvz
to	to	to
stabilize	stabilize	vvi
Tim	tim	np1
?	?	y
s	s	zz1
weight	weight	nn1
loss	loss	nn1
by	by	ii
inserting	insert	vvg
a	a	at1
plastic	plastic	nn1
feeding	feed	vvg_nn1@_jj@
tube	tube	nn1
in	in	ii
his	his	appge
nose	nose	nn1
.	.	y
Tim	tim	np1
rejects	reject	vvz
the	the	at
idea	idea	nn1
and	and	cc
gets	get	vvz
some	some	dd
sympathy	sympathy	nn1
from	from	ii
a	a	at1
couple	couple	nn1
of	of	io
nurses	nurse	nn2
.	.	y
Unidentified	unidentified	jj
Woman	woman	nn1
1	1	mc1
:	:	y
He	he	pphs1
has	have	vhz
his	his	appge
image	image	nn1
to	to	to
uphold	uphold	vvi
.	.	y
Tim	tim	np1
has	have	vhz
his	his	appge
image	image	nn1
.	.	y
He	he	pphs1
don	don	vv0
?	?	y
t	t	zz1
want	want	vv0
to	to	to
walk	walk	vvi
around	around	rp
with	with	iw
that	that	dd1
.	.	y
Unidentified	unidentified	jj
Woman	woman	nn1
2	2	mc
:	:	y
This	this	dd1
is	be	vbz
very	very	rg
typical	typical	jj
for	for	if
a	a	at1
teenager	teenager	nn1
to	to	to
go	go	vvi
through	through	ii_rp@
putting	put	vvg
a	a	at1
feeding	feeding	jj@_nn1@
tube	tube	nn1
down	down	rp
there	there	rl
and	and	cc
to	to	to
have	have	vhi
to	to	to
deal	deal	vvi
with	with	iw
it	it	pph1
on	on	ii_rp@
an	a	at1
everyday	everyday	jj
basis	basis	nn1
.	.	y
@!BARNETT		zzq
:	:	y
But	but	ccb
he	he	pphs1
finally	finally	rr
agrees	agree	vvz
to	to	ii
the	the	at
procedure	procedure	nn1
.	.	y
Almost	almost	rr
immediately	immediately	rr
,	,	y
Tim	tim	np1
throws	throw	vvz
up	up	rp
.	.	y
qwq		xx
@		ii
(	(	y
Soundbite-of-A-Lio		np1
Unientified	unientified	jj
Man	man	nn1
:	:	y
Just	just	rr
keep	keep	vv0
swallowing	swallow	vvg
.	.	y
@!Mr-TY-BURR-@1Film-		zzq
:	:	y
Tim	tim	np1
has	have	vhz
done	do	vdn
his	his	appge
level	level	nn1_jj
best	best	rrt_jjt
to	to	to
joke	joke	vvi
about	about	ii
it	it	pph1
,	,	y
to	to	to
push	push	vvi
it	it	pph1
away	away	rl
and	and	cc
not	not	xx
take	take	vv0
it	it	pph1
seriously	seriously	rr
.	.	y
@!BARNETT		zzq
:	:	y
Ty	ty	nn1
Burr	burr	nn1
,	,	y
film	film	nn1
critic	critic	nn1
for	for	if
the	the	at
Boston	boston	np1
Globe	globe	nn1
,	,	y
says	say	vvz
that	that	cst
after	after	cs_ii
the	the	at
procedure	procedure	nn1
,	,	y
Tim	tim	np1
is	be	vbz
a	a	at1
completely	completely	rr
different	different	jj
person	person	nn1
.	.	y
@!Mr-BURR		zzq
:	:	y
In	in	ii
that	that	dd1
moment	moment	nn1
when	when	rrq
they	they	pphs2
?	?	y
re	re	ii
putting	put	vvg
the	the	at
feeding	feeding	jj@_nn1@
tube	tube	nn1
up	up	rp
and	and	cc
he	he	pphs1
vomits	vomit	vvz
,	,	y
it	it	pph1
?	?	y
s	s	zz1
a	a	at1
humiliating	humiliating	jj
moment	moment	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
him	him	ppho1
and	and	cc
it	it	pph1
?	?	y
s	s	zz1
a	a	at1
crucial	crucial	jj
moment	moment	nn1
in	in	ii
our	our	appge
understanding	understanding	nn1
of	of	io
him	him	ppho1
.	.	y
And	and	cc
,	,	y
you	you	ppy
know	know	vv0
,	,	y
if	if	cs
you	you	ppy
didn	didn	vv0
?	?	y
t	t	zz1
have	have	vh0
that	that	dd1
would	would	vm
his	his	appge
maturity	maturity	nn1
,	,	y
his	his	appge
growing	growing	jj_nn1@
,	,	y
in	in	ii
later	later	jjr
scenes	scene	nn2
make	make	vv0
total	total	jj
sense	sense	nn1
?	?	y
Well	well	rr
,	,	y
you	you	ppy
know	know	vv0
,	,	y
it	it	pph1
?	?	y
s	s	zz1
arguable	arguable	jj
.	.	y
Those	those	dd2
are	be	vbr
the	the	at
decisions	decision	nn2
you	you	ppy
make	make	vv0
.	.	y
@!BARNETT		zzq
:	:	y
Those	those	dd2
decisions	decision	nn2
weren	weren	nn1
?	?	y
t	t	zz1
easy	easy	jj
,	,	y
says	say	vvz
Julia	julia	np1
Reichert	reichert	np1
,	,	y
co-writer	co-writer	nn1
and	and	cc
director	director	nn1
of	of	io
A	a	at1@_zz1
Lion	lion	nn1
in	in	ii
the	the	at
House	house	nn1
.	.	y
@!Ms-JULIA-REICHERT-		zzq
:	:	y
There	there	ex
were	be	vbdr
times	time	nnt2
when	when	rrq
we	we	ppis2
were	be	vbdr
holding	hold	vvg
the	the	at
camera	camera	nn1
or	or	cc
the	the	at
mic	mic	jj
and	and	cc
we	we	ppis2
were	be	vbdr
crying	cry	vvg
or	or	cc
we	we	ppis2
were	be	vbdr
trembling	tremble	vvg
.	.	y
When	when	cs_rrq
one	one	mc1
of	of	io
the	the	at
kids	kid	nn2
,	,	y
a	a	at1
teenager	teenager	nn1
,	,	y
was	be	vbdz
being	be	vbg
rushed	rush	vvn
to	to	ii
the	the	at
ICU	icu	nn1
,	,	y
I	i	ppis1
remember	remember	vv0
thinking	think	vvg
this	this	dd1
child	child	nn1
is	be	vbz
very	very	rg
likely	likely	rr@
going	go	vvgk
to	to	to
die	die	vvi
right	right	rr_nn1_jj
in	in	ii31
front	front	ii32
of	of	ii33
the	the	at
camera	camera	nn1
in	in	ii
the	the	at
next	next	md
half	half	nn1@
and	and	cc
hour	hour	nnt1
.	.	y
We	we	ppis2
were	be	vbdr
terribly	terribly	rr
scared	scared	jj_vvd@
.	.	y
But	but	ccb
then	then	rt
we	we	ppis2
looked	look	vvd
at	at	ii
his	his	appge
father	father	nn1
,	,	y
who	who	pnqs
was	be	vbdz
standing	stand	vvg
right	right	rr_nn1
there	there	rl
,	,	y
and	and	cc
then	then	rt
later	later	rrr
his	his	appge
mother	mother	nn1
,	,	y
they	they	pphs2
didn	didn	vv0
?	?	y
t	t	zz1
look	look	vv0_nn1
scared	scared	jj
.	.	y
They	they	pphs2
kept	keep	vvd
going	go	vvg
,	,	y
in	in	ii
other	other	jj
words	word	nn2
.	.	y
So	so	rr
were	be	vbdr
we	we	ppis2
going	go	vvgk
to	to	to
put	put	vvi
the	the	at
camera	camera	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
just	just	rr
kept	keep	vvd
going	go	vvg
just	just	rr
like	like	cs%_vv0@
they	they	pphs2
did	do	vdd
.	.	y
@!BARNETT		zzq
:	:	y
Speaking	speak	vvg
after	after	ii
the	the	at
documentary	documentary	nn1
?	?	y
s	s	zz1
premiere	premiere	nn1_vv0@_jj@
at	at	ii
the	the	at
Sundance	sundance	np1_nn1@
Film	film	nn1
Festival	festival	nn1
,	,	y
Reichert	reichert	vv0_np1_nn1
?	?	y
s	s	zz1
husband	husband	nn1
,	,	y
Steven	steven	np1
Bognar	bognar	np1
,	,	y
said	say	vvd
that	that	cst
he	he	pphs1
and	and	cc
his	his	appge
wife	wife	nn1
did	do	vdd
set	set	vvi
some	some	dd
rules	rule	nn2
.	.	y
@!Mr-STEVEN-BOGNAR-@		zzq
:	:	y
The	the	at
families	family	nn2
had	have	vhd
the	the	at
right	right	nn1
to	to	to
tell	tell	vvi
us	us	ppio2
to	to	to
stop	stop	vvi
filming	film	vvg
at	at	ii
any	any	dd
time	time	nnt1
.	.	y
They	they	pphs2
could	could	vm
ask	ask	vvi
us	us	ppio2
to	to	to
turn	turn	vvi
off	off	ii_rp
the	the	at
camera	camera	nn1
and	and	cc
we	we	ppis2
agreed	agree	vvd
that	that	cst
we	we	ppis2
wouldn	wouldn	vv0
?	?	y
t	t	zz1
try	try	vv0
to	to	to
talk	talk	vvi
them	them	ppho2
back	back	rp
into	into	ii
letting	let	vvg
us	us	ppio2
continue	continue	vvi
to	to	ii
film	film	nn1
.	.	y
Given	given	cs21
that	that	cs22
ground	ground	nn1_jj@
rule	rule	nn1
,	,	y
it	it	pph1
was	be	vbdz
not	not	xx
the	the	at
hard	hard	jj
days	day	nnt2
that	that	cst
they	they	pphs2
asked	ask	vvd
us	us	ppio2
not	not	xx
to	to	ii
film	film	nn1
,	,	y
it	it	pph1
was	be	vbdz
the	the	at
days	day	nnt2
that	that	cst
they	they	pphs2
just	just	rr
felt	feel	vvd_vvn
lousy	lousy	jj
or	or	cc
they	they	pphs2
had	have	vhd
bad	bad	jj
hair	hair	nn1
.	.	y
When	when	cs_rrq
one	one	mc1
of	of	io
the	the	at
kids	kid	nn2
was	be	vbdz
dying	die	vvg_jj
,	,	y
Julia	julia	np1
went	go	vvd
back	back	rp
to	to	ii
the	the	at
parents	parent	nn2
and	and	cc
said	say	vvd
,	,	y
look	look	vv0_nn1
,	,	y
are	be	vbr
you	you	ppy
sure	sure	jj
you	you	ppy
want	want	vv0
us	us	ppio2
to	to	to
keep	keep	vvi
filming	film	vvg_nn1@
?	?	y
And	and	cc
they	they	pphs2
say	say	vv0
,	,	y
yeah	yeah	uh
,	,	y
you	you	ppy
?	?	y
re	re	ii
part	part	nn1
of	of	io
this	this	dd1
now	now	rt
and	and	cc
you	you	ppy
need	need	vv0
to	to	to
be	be	vbi
with	with	iw
us	us	ppio2
through	through	ii_rp@
whatever	whatever	ddqv
is	be	vbz
going	go	vvgk
to	to	to
happen	happen	vvi
.	.	y
@!BARNETT		zzq
:	:	y
But	but	ccb
when	when	cs_rrq
you	you	ppy
become	become	vv0
so	so	rg
much	much	rr
a	a	at1
part	part	nn1
of	of	io
the	the	at
experience	experience	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
How	how	rrq
do	do	vd0
you	you	ppy
remain	remain	vvi
objective	objective	nn1_jj
?	?	y
@!Mr-BOGNAR		zzq
:	:	y
We	we	ppis2
?	?	y
re	re	ii
trying	try	vvg
to	to	to
tell	tell	vvi
a	a	at1
true	true	jj
story	story	nn1
as	as	csa
we	we	ppis2
reported	report	vvd
it	it	pph1
.	.	y
I	i	ppis1
don	don	vv0
?	?	y
t	t	zz1
know	know	vv0
that	that	cst
we	we	ppis2
?	?	y
re	re	ii
objective	objective	nn1_jj
.	.	y
@!BARNETT		zzq
:	:	y
Back	back	rp_nn1_jj@
home	home	rl_nn1
in	in	ii
Ohio	ohio	np1
,	,	y
Steven	steven	np1
Bognar	bognar	np1
says	say	vvz
to	to	to
keep	keep	vvi
the	the	at
stories	story	nn2
balanced	balance	vvn_vvd@
,	,	y
the	the	at
filmmakers	filmmaker	nn2
brought	bring	vvn_vvd
in	in	ii
other	other	jj
eyes	eye	nn2
and	and	cc
ears	ear	nn2
.	.	y
@!Mr-BOGNAR		zzq
:	:	y
This	this	dd1
film	film	nn1
took	take	vvd
five	five	mc
years	year	nnt2
to	to	to
edit	edit	vvi
.	.	y
We	we	ppis2
shot	shoot	vvd
525	525	mc
hours	hour	nnt2
of	of	io
tape	tape	nn1
.	.	y
And	and	cc
in	in	ii
that	that	dd1
process	process	nn1
,	,	y
we	we	ppis2
didn	didn	vv0
?	?	y
t	t	zz1
ever	ever	rr
just	just	rr
rely	rely	vv0
on	on	ii
ourselves	ourselves	ppx2
.	.	y
We	we	ppis2
had	have	vhd
a	a	at1
great	great	jj
editing	editing	nn1
team	team	nn1
,	,	y
we	we	ppis2
had	have	vhd
consulting	consulting	jj
editors	editor	nn2
,	,	y
we	we	ppis2
did	do	vdd
test	test	vvi
screenings	screening	nn2
again	again	rt
and	and	cc
again	again	rt
and	and	cc
again	again	rt
.	.	y
We	we	ppis2
showed	show	vvd
it	it	pph1
to	to	ii
professionals	professional	nn2
.	.	y
And	and	cc
we	we	ppis2
never	never	rr
assumed	assume	vvd
that	that	cst
we	we	ppis2
were	be	vbdr
right	right	jj
in	in	ii
making	make	vvg
our	our	appge
editing	editing	nn1
choices	choice	nn2
.	.	y
@!BARNETT		zzq
:	:	y
It	it	pph1
took	take	vvd
a	a	at1
total	total	nn1_jj
of	of	io
eight	eight	mc
years	year	nnt2
to	to	to
make	make	vvi
this	this	dd1
documentary	documentary	nn1
and	and	cc
it	it	pph1
?	?	y
s	s	zz1
not	not	xx
the	the	at
first	first	md
time	time	nnt1
that	that	cst
the	the	at
two	two	mc
filmmakers	filmmaker	nn2
have	have	vh0
devoted	devote	vvn
so	so	rg
much	much	da1
of	of	io
their	their	appge
lives	life	nn2
to	to	ii
a	a	at1
single	single	jj
project	project	nn1
.	.	y
Bognar	bognar	nn1_jj_np1@
?	?	y
s	s	zz1
1996	1996	mc
documentary	documentary	nn1
,	,	y
Personal	personal	jj
Belongings	belongings	nn2
,	,	y
also	also	rr
took	take	vvd
eight	eight	mc
years	year	nnt2
to	to	to
finish	finish	vvi
.	.	y
And	and	cc
Reichert	reichert	vv0_np1_nn1
?	?	y
s	s	zz1
1983	1983	mc
Oscar-nominated	oscar-nominated	jj_nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
that	that	cst
A	a	at1@_zz1
Lion	lion	nn1
in	in	ii
the	the	at
House	house	nn1
falls	fall	vvz_nn2
into	into	ii
the	the	at
classic	classic	jj_nn1
fly	fly	nn1
on	on	ii
the	the	at
wall	wall	nn1
documentary	documentary	nn1
style	style	nn1
of	of	io
Frederick	frederick	np1
Weissman	weissman	np1
,	,	y
where	where	cs_rrq
the	the	at
filmmaker	filmmaker	nn1
remains	remain	vvz
largely	largely	rr
invisible	invisible	jj
.	.	y
@!Mr-BURR		zzq
:	:	y
Of	of	rr21
course	course	rr22
it	it	pph1
?	?	y
s	s	zz1
not	not	xx
totally	totally	rr
objective	objective	jj_nn1
.	.	y
They	they	pphs2
?	?	y
re	re	ii
getting	get	vvg
their	their	appge
shots	shot	nn2
and	and	cc
they	they	pphs2
?	?	y
re	re	ii
making	make	vvg
their	their	appge
edits	edit	nn2@
and	and	cc
they	they	pphs2
?	?	y
re	re	ii
telling	tell	vvg
the	the	at
story	story	nn1
they	they	pphs2
want	want	vv0
to	to	to
tell	tell	vvi
.	.	y
But	but	ccb
the	the	at
conceit	conceit	nn1
is	be	vbz
that	that	cst
you	you	ppy
?	?	y
re	re	ii
seeing	see	vvg
unvarnished	unvarnished	jj
reality	reality	nn1
as	as	rg
close	close	jj_rr@
as	as	csa
they	they	pphs2
can	can	vm
get	get	vvi
it	it	pph1
.	.	y
I	i	ppis1
think	think	vv0
it	it	pph1
?	?	y
s	s	zz1
a	a	at1
remarkably	remarkably	rr
brave	brave	jj
film	film	nn1
.	.	y
I	i	ppis1
went	go	vvd
into	into	ii
it	it	pph1
,	,	y
as	as	csa
anybody	anybody	pn1
goes	go	vvz
into	into	ii
it	it	pph1
,	,	y
four	four	mc
hours	hour	nnt2
of	of	io
kids	kid	nn2
with	with	iw
cancer	cancer	nn1
.	.	y
It	it	pph1
?	?	y
s	s	zz1
not	not	xx
a	a	at1
movie	movie	nn1
your	your	appge
look	look	nn1
forward	forward	rl
to	to	ii
and	and	cc
yet	yet	rr
you	you	ppy
come	come	vv0
out	out	rp
a	a	at1
changed	changed	jj@
person	person	nn1
.	.	y
@(Soundbite-of-A-Lio)		zzc
@!Ms-MARIETHA-WOODS-		zzq
:	:	y
Why	why	rrq
do	do	vd0
you	you	ppy
think	think	vvi
I	i	ppis1
drink	drink	vv0
this	this	dd1
stuff	stuff	nn1
?	?	y
To	to	to
keep	keep	vvi
my	my	appge
mind	mind	nn1
off	off	ii
stuff	stuff	nn1
.	.	y
That	that	dd1
?	?	y
s	s	zz1
why	why	rrq
when	when	cs
I	i	ppis1
drink	drink	vv0
on	on	ii_rp@
certain	certain	jj
weekends	weekend	nnt2
,	,	y
when	when	cs_rrq
I	i	ppis1
go	go	vv0
out	out	rp
and	and	cc
have	have	vh0
fun	fun	jj_nn1
with	with	iw
my	my	appge
friends	friend	nn2
,	,	y
I	i	ppis1
?	?	y
m	m	mc@_zz1
not	not	xx
thinking	think	vvg
about	about	ii
stuff	stuff	nn1
.	.	y
I	i	ppis1
?	?	y
m	m	mc@_zz1
not	not	xx
down	down	rp
.	.	y
I	i	ppis1
?	?	y
m	m	mc@_zz1
not	not	xx
sitting	sit	vvg
at	at	ii
home	home	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
I	i	ppis1
think	think	vv0
,	,	y
or	or	cc
I	i	ppis1
?	?	y
m	m	zz1
trying	try	vvg_jj@
to	to	to
make	make	vvi
myself	myself	ppx1
to	to	to
have	have	vhi
fun	fun	jj_nn1
.	.	y
@!BARNETT		zzq
:	:	y
The	the	at
idea	idea	nn1
for	for	if
A	a	at1@_zz1
Lion	lion	nn1
in	in	ii
the	the	at
House	house	nn1
came	come	vvd
from	from	ii
the	the	at
head	head	nn1_jj@
oncologist	oncologist	nn1
at	at	ii
Cincinnati	cincinnati	np1
Children	child	nn2
?	?	y
s	s	zz1
Hospital	hospital	nn1
.	.	y
Bognar	bognar	nn1_jj_np1@
and	and	cc
Reichert	reichert	np1_nn1
were	be	vbdr
given	give	vvn
complete	complete	jj
access	access	nn1
to	to	ii
the	the	at
facility	facility	nn1
and	and	cc
the	the	at
hospital	hospital	nn1
had	have	vhd
no	no	at
editorial	editorial	nn1_jj
say	say	vv0
over	over	rp_ii
the	the	at
final	final	jj_nn1
film	film	nn1
,	,	y
but	but	ccb
it	it	pph1
did	do	vdd
help	help	vvi
the	the	at
filmmakers	filmmaker	nn2
contact	contact	vv0
families	family	nn2
for	for	if
the	the	at
story	story	nn1
.	.	y
@!Mr-BOGNAR		zzq
:	:	y
And	and	cc
a	a	at1
lot	lot	nn1
of	of	io
families	family	nn2
said	say	vvd
,	,	y
no	no	uh
,	,	y
we	we	ppis2
don	don	vv0
?	?	y
t	t	zz1
want	want	vv0
to	to	to
be	be	vbi
in	in	ii
a	a	at1
movie	movie	nn1
while	while	cs
we	we	ppis2
facing	face	vvg
this	this	dd1
.	.	y
But	but	ccb
a	a	at1
couple	couple	nn1
of	of	io
dozen	dozen	m1
were	be	vbdr
interested	interested	jj
and	and	cc
we	we	ppis2
met	meet	vvd
with	with	iw
and	and	cc
talked	talk	vvn_vvd
to	to	ii
somewhere	somewhere	rl
between	between	ii
12-15	12-15	mcmc
families	family	nn2
.	.	y
We	we	ppis2
actually	actually	rr
started	start	vvd
filming	film	vvg
eight	eight	mc
families	family	nn2
briefly	briefly	rr
and	and	cc
then	then	rt
we	we	ppis2
really	really	rr
connected	connect	vvn
with	with	iw
the	the	at
five	five	mc
who	who	pnqs
are	be	vbr
in	in	ii
the	the	at
film	film	nn1
.	.	y
@!BARNETT		zzq
:	:	y
One	one	mc1
of	of	io
the	the	at
parents	parent	nn2
who	who	pnqs
hit	hit	vvd_vv0@
it	it	pph1
off	off	rp
with	with	iw
Bognar	bognar	np1_jj_nn1
and	and	cc
Reichert	reichert	np1_nn1
was	be	vbdz
Marietha	marietha	np1
Woods	woods	np1
,	,	y
Tim	tim	np1
?	?	y
s	s	zz1
mother	mother	nn1
,	,	y
who	who	pnqs
says	say	vvz
it	it	pph1
didn	didn	vv0_nn1
?	?	y
t	t	zz1
feel	feel	vv0
like	like	ii
the	the	at
filmmakers	filmmaker	nn2
were	be	vbdr
following	follow	vvg
her	her	ppho1
around	around	rp
for	for	if
so	so	rg
long	long	rr_jj
.	.	y
@!Ms-WOODS		zzq
:	:	y
It	it	pph1
seemed	seem	vvd
like	like	ii
a	a	at1
day	day	nnt1
or	or	cc
two	two	mc
or	or	cc
three	three	mc
because	because	cs
everything	everything	pn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
you	you	ppy
know	know	vv0
,	,	y
as	as	cs31
far	far	cs32
as	as	cs33
the	the	at
cameras	camera	nn2
and	and	cc
the	the	at
mics	mics	nn1_nn2
.	.	y
It	it	pph1
was	be	vbdz
hard	hard	jj
for	for	if
me	me	ppio1
to	to	to
focus	focus	vvi
on	on	rp@_ii
that	that	cst_dd1
because	because	cs
I	i	ppis1
was	be	vbdz
too	too	rg
busy	busy	jj
trying	try	vvg_jj@
to	to	to
listen	listen	vvi
to	to	ii
what	what	ddq
the	the	at
doctors	doctor	nn2
were	be	vbdr
saying	say	vvg
.	.	y
It	it	pph1
was	be	vbdz
kind	kind	rr21%_nn1
of	of	rr22_io
wild	wild	jj
for	for	if
a	a	at1
minute	minute	nnt1
.	.	y
@!BARNETT		zzq
:	:	y
In	in	ii
more	more	dar
ways	way	nn2
than	than	csn
one	one	pn1_mc1
.	.	y
Just	just	rr
before	before	ii_cs
the	the	at
filmmakers	filmmaker	nn2
got	get	vvd_vvn
the	the	at
call	call	nn1
suggesting	suggest	vvg
the	the	at
story	story	nn1
,	,	y
Reichert	reichert	vv0_np1_nn1
?	?	y
s	s	zz1
own	own	vv0@
daughter	daughter	nn1
had	have	vhd
finished	finish	vvn
treatment	treatment	nn1
for	for	if
Hodgkin	hodgkin	np1
?	?	y
s	s	zz1
Lymphoma	lymphoma	np1
.	.	y
Reichert	reichert	nn1_np1@
says	say	vvz
she	she	pphs1
hesitated	hesitate	vvd
before	before	ii
deciding	decide	vvg
to	to	to
go	go	vvi
through	through	ii
it	it	pph1
all	all	rr
over	over	ii_rp@
again	again	rt
.	.	y
@!Ms-REICHERT		zzq
:	:	y
You	you	ppy
know	know	vv0
,	,	y
I	i	ppis1
was	be	vbdz
a	a	at1
mom	mom	nn1
who	who	pnqs
sat	sit	vvd
by	by	ii
my	my	appge
daughter	daughter	nn1
as	as	csa
she	she	pphs1
got	get	vvd
sicker	sick	jjr
and	and	cc
sicker	sick	jjr_nn1@
,	,	y
threw	throw	vvd
up	up	rp
,	,	y
went	go	vvd
to	to	ii
the	the	at
emergency	emergency	nn1
room	room	nn1
.	.	y
Did	do	vdd
all	all	db
those	those	dd2
things	thing	nn2
because	because	cs
she	she	pphs1
had	have	vhd
cancer	cancer	nn1
.	.	y
And	and	cc
for	for	if
a	a	at1
whole	whole	jj
year	year	nnt1
,	,	y
my	my	appge
whole	whole	jj
life	life	nn1
was	be	vbdz
focused	focus	vvn
on	on	ii
being	be	vbg
her	her	appge
mother	mother	nn1
.	.	y
Okay	okay	rr
,	,	y
so	so	cs@_rr
I	i	ppis1
knew	know	vvd
what	what	ddq
it	it	pph1
was	be	vbdz
like	like	ii
for	for	if
all	all	db
those	those	dd2
moms.	mom	nnu
@!BARNETT		zzq
:	:	y
All	all	db
of	of	io
those	those	dd2
moms	mom	nn2
and	and	cc
their	their	appge
families	family	nn2
were	be	vbdr
flown	fly	vvn
by	by	ii
the	the	at
producers	producer	nn2
to	to	ii
Park	park	np1_nn1
City	city	nn1
,	,	y
Utah	utah	np1
,	,	y
for	for	if
the	the	at
film	film	nn1
?	?	y
s	s	zz1
debut	debut	nn1
at	at	ii
Sundance	sundance	np1
.	.	y
And	and	cc
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
got	get	vvd_vvn
to	to	to
see	see	vvi
the	the	at
final	final	jj_nn1
film	film	nn1
.	.	y
@!Ms-WOODS		zzq
:	:	y
And	and	cc
that	that	dd1
was	be	vbdz
my	my	appge
first	first	md
time	time	nnt1
seeing	seeing	cs@_vvg
it	it	pph1
on	on	ii
the	the	at
big	big	jj
screen	screen	nn1
so	so	cs@_rr
that	that	dd1
was	be	vbdz
hard	hard	jj
.	.	y
And	and	cc
then	then	rt
that	that	dd1
?	?	y
s	s	zz1
when	when	cs_rrq
we	we	ppis2
got	get	vvd
the	the	at
news	news	nn1
about	about	ii
Julia	julia	np1
so	so	rr_cs@
that	that	dd1
was	be	vbdz
even	even	rr
harder	hard	jjr
to	to	to
deal	deal	vvi
with	with	iw
.	.	y
@!BARNETT		zzq
:	:	y
Just	just	rr
before	before	ii_cs
the	the	at
premiere	premiere	nn1
of	of	io
A	a	at1@_zz1
Lion	lion	nn1
in	in	ii
the	the	at
House	house	nn1
,	,	y
Julia	julia	np1
Reichert	reichert	np1
was	be	vbdz
diagnosed	diagnose	vvn
with	with	iw
cancer	cancer	nn1
.	.	y
After	after	cs_ii
