##2000850		
OPPOSITE	opposite	jj_nn1@_rl@
.	.	y
When	when	cs_rrq
I	i	ppis1
put	put	vv0_vvd
the	the	at
10	10	mc
choices	choice	nn2
to	to	ii
no	no	at
less	less	rrr
a	a	at1
gun	gun	nn1
innovator	innovator	nn1
than	than	csn
Bill	bill	np1
Ruger	ruger	np1_nn1
,	,	y
he	he	pphs1
considered	consider	vvd
them	them	ppho2
for	for	if
a	a	at1
few	few	da2
moments	moment	nn2
and	and	cc
said	say	vvd
simply	simply	rr
,	,	y
"	"	y
Hmm	hmm	uh
,	,	y
good	good	jj
list	list	nn1
....	....	...
"	"	y
So	so	rr
here	here	rl
they	they	pphs2
are	be	vbr
.	.	y
Screw-In	screw-in	nn1
Chokes	choke	vvz
The	the	at
screw-in	screw-in	nn1_jj@
choke-like	choke-like	jj
many	many	da2
other	other	jj
shooting	shooting	nn1
innovations-was	innovations-was	vbdz
slow	slow	jj
to	to	to
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
and	and	cc
is	be	vbz
now	now	rt
a	a	at1
fact	fact	nn1
of	of	io
life	life	nn1
for	for	if
virtually	virtually	rr
every	every	at1
form	form	nn1
of	of	io
smoothbore	smoothbore	nn1
hunting	hunting	nn1
and	and	cc
target	target	nn1_vv0@
shooting	shooting	nn1_vvg
.	.	y
Not	not	xx
just	just	rr
because	because	ii21
of	of	ii22
its	its	z'
one-gundoes-it-all	one-gundoes-it-all	db
convenience	convenience	nn1
,	,	y
but	but	ccb
because	because	cs
the	the	at
screw-in	screw-in	nn1_jj@
choke	choke	nn1
has	have	vhz
proven	prove	vvn
to	to	to
perform	perform	vvi
equally	equally	rr
well	well	rr_jj@
as-and	as	cc
often	often	rr
better	better	rrr_jjr
than-the	than	at
older-style	older-style	jj_nn1
integral	integral	jj
choke	choke	nn1
.	.	y
CNC	cnc	np1
Machining	machining	np1
Computer	computer	nn1
Numerical	numerical	jj
Control	control	nn1
(	(	y
CNC	cnc	np1
)	)	y
,	,	y
the	the	at
computerized	computerized	jj
control	control	nn1
of	of	io
machine	machine	nn1
tool	tool	nn1
operations	operation	nn2
,	,	y
proved	prove	vvd_vvn
a	a	at1
godsend	godsend	nn1
to	to	ii
desperate	desperate	jj
gun	gun	nn1
manufacturers	manufacturer	nn2
during	during	ii
the	the	at
1980s	1980s	mc2
,	,	y
providing	provide	vvg
them	them	ppho2
with	with	iw
a	a	at1
cost-effective	cost-effective	jj
metal-cutting	metal-cutting	nn1_jj
or	or	cc
woodcutting	woodcut	vvg_jj@
process	process	vv0_nn1
that	that	dd1_cst
duplicates-or	duplicates-or	cc
betters-fine	betters-fine	jj
hand-machining	hand-machining	jj_nn1
techniques	technique	nn2
.	.	y
And	and	cc
it	it	pph1
never	never	rr
gets	get	vvz
tired	tired	jj
.	.	y
Hammer-Forged	hammer-forged	jj_nn1
Barrels	barrel	nn2
The	the	at
so-called	so-called	jj
"	"	y
hammer-forging	hammer-forging	jj_nn1
"	"	y
process	process	nn1
has	have	vhz
become	become	vvn@
a	a	at1
mainstay	mainstay	nn1
in	in	ii
the	the	at
American	american	jj
gun-making	gun-making	jj_nn1
industry	industry	nn1
.	.	y
A	a	at1_zz1
short	short	jj
billet	billet	nn1
of	of	io
pre-drilled	pre-drilled	jj_nn1
steel	steel	nn1
is	be	vbz
fed	feed	vvn
into	into	ii
a	a	at1
giant	giant	jj_nn1
machine	machine	nn1
,	,	y
where	where	cs
dozens	dozen	m
of	of	io
tiny	tiny	jj
hammers	hammer	nn2
beat	beat	vv0_vvd
the	the	at
metal	metal	nn1
around	around	ii_rp
a	a	at1
mandrel	mandrel	nn1
that	that	cst_dd1
transfers	transfer	vvz@
its	its	z'
image	image	nn1
to	to	ii
the	the	at
bore	bore	nn1
.	.	y
During	during	ii
the	the	at
forging	forging	nn1
process	process	nn1_vv0
,	,	y
the	the	at
barrel	barrel	nn1
lengthens	lengthen	vvz
and	and	cc
is	be	vbz
given	give	vvn
an	a	at1
outside	outside	jj
contour	contour	nn1
,	,	y
all	all	db_rr@
within	within	ii
moments	moment	nn2
,	,	y
with	with	iw
the	the	at
payoff	payoff	nn1
being	be	vbg
reduced	reduce	vvn_jj@
manufacturing	manufacturing	nn1_vvg@
costs	cost	nn2_vvz
and	and	cc
more	more	rgr
competitively	competitively	rr
priced	price	vvn
guns	gun	nn2
.	.	y
Investment	investment	nn1
Casting	casting	nn1_vvg
Though	though	cs
the	the	at
process	process	nn1
of	of	io
investment	investment	nn1
casting	casting	nn1_vvg
,	,	y
also	also	rr
known	know	vvn
as	as	ii
the	the	at
"	"	y
lost	lost	jj@
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
years	year	nnt2
,	,	y
it	it	pph1
was	be	vbdz
not	not	xx
until	until	cs_ii@
the	the	at
1950s	1950s	mc2
that	that	cst
it	it	pph1
blossomed	blossom	vvd
in	in	ii
the	the	at
gun-making	gun-making	jj_nn1
industry	industry	nn1
.	.	y
But	but	ccb
as	as	csa
pioneered	pioneer	vvn
by	by	ii
Sturm-Ruger	sturm-ruger	np1
,	,	y
investment	investment	nn1
casting	casting	nn1
proved	prove	vvd_vvn
to	to	to
be	be	vbi
a	a	at1
cost-reducing	cost-reducing	jj_nn1
way	way	nn1
to	to	to
manufacture	manufacture	vvi
complex	complex	jj
gun	gun	nn1
parts	part	nn2
and	and	cc
a	a	at1
thoroughly	thoroughly	rr
acceptable	acceptable	jj
way	way	nn1
to	to	to
make	make	vvi
fine	fine	jj
sporting	sporting	jj_nn1
arms	arm	nn2
as	as	ii31
well	well	ii32
as	as	ii33
military	military	jj_nn1@
and	and	cc
police	police	nn2_vv0%
arms	arm	nn2
.	.	y
Photograph	photograph	nn1_vv0@
Screw-in	screw-in	nn1_jj@
chokes	choke	nn2
give	give	vv0
true	true	jj
all-purpose	all-purpose	jj_nn1
versatility	versatility	nn1
to	to	ii
shotguns	shotgun	nn2
and	and	cc
perform	perform	vv0
as	as	ii31_rg
well	well	ii32_rr
as	as	ii33_csa
or	or	cc
better	better	rrr_jjr
than	than	csn
traditional	traditional	jj
integral	integral	jj
chokes.	chokes	nnu
//	//	x
Button	button	nn1
Rifling	rifle	vvg_np1_nn1@
When	when	rrq_cs
the	the	at
so-called	so-called	jj
"	"	y
button	button	nn1
rifling	rifle	vvg_nn1@_jj@
"	"	y
system	system	nn1
burst	burst	vvn_vvd_nn1
onto	onto	ii
the	the	at
sport-shooting	sport-shooting	jj_nn1
scene	scene	nn1
just	just	rr
after	after	ii_cs
WW	ww	np1
II	ii	mc
,	,	y
it	it	pph1
revolutionized	revolutionize	vvd_jj@
rifle	rifle	nn1
making	make	vvg_nn1@
and	and	cc
changed	change	vvd_vvn
forever	forever	rt
our	our	appge
concepts	concept	nn2
of	of	io
accuracy	accuracy	nn1
.	.	y
Rather	rather	ii21
than	than	ii22
cutting	cut	vvg_nn1
rifling	rifling	jj@_vvg_nn1@
grooves	groove	nn2
in	in	ii
a	a	at1
barrel	barrel	nn1
by	by	ii
the	the	at
slow	slow	jj
,	,	y
laborious	laborious	jj
,	,	y
centuries-old	centuries-old	jj
method	method	nn1
,	,	y
a	a	at1
super-hard	super-hard	jj
"	"	y
button	button	nn1
"	"	y
bearing	bear	vvg
the	the	at
image	image	nn1
of	of	io
lands	land	nn2
and	and	cc
grooves	groove	nn2
is	be	vbz
pushed	push	vvn
or	or	cc
pulled	pull	vvn_vvd
through	through	ii_rp@
a	a	at1
drilled	drilled	jj%
barrel	barrel	nn1
blank	blank	nn1@_jj
,	,	y
literally	literally	rr
ironing	iron	vvg
its	its	z'
imprint	imprint	nn1
into	into	ii
the	the	at
barrel	barrel	nn1
wall	wall	nn1
.	.	y
Not	not	xx
only	only	rr_jj
is	be	vbz
the	the	at
process	process	nn1
speedy	speedy	jj
,	,	y
but	but	ccb
its	its	z'
accuracy	accuracy	nn1
is	be	vbz
unquestioned	unquestioned	jj
.	.	y
Wide-Spectrum	wide-spectrum	jj
Smokeless	smokeless	jj
Propellants	propellant	nn2
Made	make	vvn_vvd
in	in	ii
stick	stick	nn1
,	,	y
tube	tube	nn1
,	,	y
flake	flake	nn1
and	and	cc
spherical	spherical	jj
forms	form	nn2
that	that	cst
have	have	vh0
a	a	at1
wide	wide	jj
spectrum	spectrum	nn1
of	of	io
burning	burning	jj_vvg
speeds	speed	nn2
,	,	y
progressive	progressive	jj
burning	burning	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
as	as	csa_ii@
pressure	pressure	nn1
increases	increase	vvz_nn2
)	)	y
have	have	vh0
made	make	vvn
possible	possible	jj
the	the	at
high-velocity	high-velocity	jj_nn1
Magnum-Class	magnum-class	jj
cartridges	cartridge	nn2
that	that	cst
have	have	vh0
become	become	vvn@
the	the	at
hallmark	hallmark	nn1
of	of	io
20th	20th	md
century	century	nnt1
sporting	sport	vvg_nn1_jj
rifles	rifle	nn2
.	.	y
Noncorrosive	non-corrosive	jj_np1@
and	and	cc
Nonmercuric	nonmercuric	np1_jj
Priming	prime	vvg
The	the	at
most	most	rgt
common	common	jj
cause	cause	nn1
of	of	io
ugly	ugly	jj
pits	pit	nn2
and	and	cc
rust	rust	vv0_nn1
in	in	ii
older	old	jjr
shotgun	shotgun	nn1
and	and	cc
rifle	rifle	nn1
bores	bore	nn2@_vvz
were	be	vbdr
the	the	at
primers	primer	nn2
used	use	vvn
in	in	ii
ammunition	ammunition	nn1
of	of	io
that	that	dd1
era	era	nn1
.	.	y
They	they	pphs2
contained	contain	vvd
a	a	at1
compound	compound	nn1
of	of	io
potassium	potassium	nn1
chlorate	chlorate	vv0_nn1
that	that	cst_dd1
,	,	y
when	when	cs_rrq
fired	fire	vvn
,	,	y
deposited	deposit	vvd_vvn
a	a	at1
corrosive	corrosive	jj
coating	coating	nn1
in	in	ii
the	the	at
gun	gun	nn1
barrel	barrel	nn1
.	.	y
An	a	at1
alternative	alternative	jj_nn1
priming	priming	nn1@_vvg
compound	compound	nn1
of	of	io
that	that	dd1
era	era	nn1
,	,	y
containing	contain	vvg
fulminate	fulminate	nn1
of	of	io
mercury	mercury	nn1
,	,	y
left	left	jj_vvd
traces	trace	nn2
of	of	io
mercury	mercury	nn1
in	in	ii
brass	brass	nn1
cases	case	nn2_vvz%
that	that	cst
soon	soon	rr
rendered	render	vvn_vvd@
them	them	ppho2
brittle	brittle	jj
and	and	cc
unsafe	unsafe	jj
to	to	to
reload	reload	vvi
.	.	y
Because	because	ii21
of	of	ii22
the	the	at
obvious	obvious	jj
disadvantages	disadvantage	nn2
of	of	io
these	these	dd2
two	two	mc
types	type	nn2
of	of	io
primers	primer	nn2
,	,	y
a	a	at1
noncorrosive	non-corrosive	jj
and	and	cc
nonmercuric	nonmercuric	jj
priming	priming	nn1@_vvg
compound	compound	nn1
had	have	vhd
,	,	y
by	by	ii
the	the	at
first	first	md
quarter	quarter	nn1
of	of	io
this	this	dd1
century	century	nnt1
,	,	y
become	become	vv0
the	the	at
Holy	holy	jj
Grail	grail	nn1
of	of	io
ammunition	ammunition	nn1
manufacturers	manufacturer	nn2
.	.	y
Yet	yet	rr
despite	despite	ii
hundreds	hundred	m
of	of	io
patents	patent	nn2
for	for	if
noncorrosive	non-corrosive	jj
priming	priming	nn1@
,	,	y
none	none	pn
proved	prove	vvd
satisfactory	satisfactory	jj
until	until	cs_ii@
the	the	at
1920s	1920s	mc2
,	,	y
when	when	cs_rrq
Remington	remington	np1
Arms	arm	nn2
,	,	y
improving	improve	vvg
on	on	ii_rp@
a	a	at1
patent	patent	nn1
it	it	pph1
had	have	vhd
acquired	acquire	vvn
from	from	ii
a	a	at1
German	german	jj_nn1
inventor	inventor	nn1
,	,	y
introduced	introduce	vvd_vvn
its	its	z'
"	"	y
Kleanbore	kleanbore	nn1
"	"	y
ammunition	ammunition	nn1
.	.	y
By	by	ii
the	the	at
1950s	1950s	mc2
virtually	virtually	rr
all	all	db
ammo	ammo	nn1
was	be	vbdz
noncorrosive	non-corrosive	jj
.	.	y
Improved	improved	jj_vvn
Telescopic	telescopic	jj
Sights	sight	nn2
and	and	cc
Mounts	mount	vvz_nn2_nnl2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
in	in	ii
their	their	appge
views	view	nn2
on	on	ii
shooting	shoot	vvg_nn1_jj@
equipment	equipment	nn1
than	than	csn
their	their	appge
fathers	father	nn2
had	have	vhd
been	be	vbn
and	and	cc
saw	see	vvd
telescopic	telescopic	jj
sights	sight	nn2
in	in	ii
their	their	appge
futures	future	nn2
.	.	y
At	at	ii
the	the	at
same	same	da
time	time	nnt1
,	,	y
technologies	technology	nn2
developed	develop	vvn_vvd
during	during	ii
the	the	at
war	war	nn1
gave	give	vvd
scope-makers	scope-makers	nn2
new	new	jj
ways	way	nn2
to	to	to
make	make	vvi
their	their	appge
products	product	nn2
tougher	tough	jjr
and	and	cc
more	more	rgr
resistant	resistant	jj
to	to	to
dust	dust	vvi
and	and	cc
moisture	moisture	nn1
.	.	y
Soon	soon	rr
the	the	at
irresistible	irresistible	jj
phrase	phrase	nn1
"	"	y
Guaranteed	guarantee	vvd
Fogproof	fogproof	np1
"	"	y
appeared	appear	vvd
in	in	ii_rp@
their	their	appge
ads	ad	nn2
.	.	y
Inexpensive	inexpensive	jj
but	but	ccb
reliable	reliable	jj
mounting	mounting	jj@_nn1@
systems	system	nn2
became	become	vvd
commonplace	commonplace	jj
,	,	y
and	and	cc
after	after	ii_cs
a	a	at1
troublesome	troublesome	jj
beginning	beginning	nn1
,	,	y
variable-power	variable-power	jj_nn1
scopes	scope	nn2
gained	gain	vvd_vvn
solid	solid	jj
acceptance	acceptance	nn1
.	.	y
To	to	to
grasp	grasp	vvi
fully	fully	rr
the	the	at
importance	importance	nn1
of	of	io
scope	scope	nn1
sights	sight	nn2
in	in	ii_rp@
today	today	rt
's	's	ge
hunting	hunting	nn1
scenario	scenario	nn1
,	,	y
consider	consider	vv0
that	that	cst_dd1
modern	modern	jj
,	,	y
long-range	long-range	jj
"	"	y
Magnum	magnum	nn1
"	"	y
rifles	rifle	nn2
and	and	cc
cartridges	cartridge	nn2
would	would	vm
be	be	vbi
virtually	virtually	rr
pointless	pointless	jj
without	without	iw
them	them	ppho2
,	,	y
and	and	cc
that	that	cst
the	the	at
much	much	rr
discussed	discuss	vvn_vvd
500-yard	500-yard	jj_nn1
shot	shot	nn1
would	would	vm
be	be	vbi
only	only	rr
a	a	at1
pipe	pipe	nn1
dream	dream	nn1
.	.	y
Gas	gas	nn1
Operation	operation	nn1
Introduced	introduce	vvn_vvd
to	to	ii
shotguns	shotgun	nn2
by	by	ii
Remington	remington	np1
in	in	ii
1958	1958	mc
with	with	iw
its	its	z'
Model	model	nn1
58	58	mc
shotgun	shotgun	nn1
,	,	y
gas	gas	nn1
operation	operation	nn1
achieved	achieve	vvn_vvd@
enormous	enormous	jj
popularity	popularity	nn1
with	with	iw
the	the	at
Remington	remington	np1_nn1@
Model	model	nn1
1100	1100	mc
because	because	ii21
of	of	ii22
its	its	z'
reliable	reliable	jj
,	,	y
recoil-reducing	recoil-reducing	jj_nn1
operation	operation	nn1
without	without	iw
the	the	at
"	"	y
double	double	jj
shuffle	shuffle	nn1@
"	"	y
of	of	io
recoil-operated	recoil-operated	jj_nn1
autoloaders	autoloader	nn2_vvz
.	.	y
Gas	gas	nn1
operation	operation	nn1
is	be	vbz
now	now	rt
used	use	vvn_vvd
in	in	ii_rp@
a	a	at1
wide	wide	jj
variety	variety	nn1
of	of	io
makes	make	nn2%
and	and	cc
models	model	nn2
of	of	io
shotguns	shotgun	nn2
and	and	cc
rifles-and	rifles	cc
the	the	at
gas	gas	nn1
"	"	y
lost	lose	vvd_vvn
"	"	y
does	do	vdz
not	not	xx
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
sometimes	sometimes	rt
claimed	claim	vvn
.	.	y
Synthetic	synthetic	jj
Stocks	stock	nn2
The	the	at
first	first	md
sporting	sporting	jj_nn1
use	use	nn1
of	of	io
syntheticmeaning	syntheticmeaning	vvg_jj@
non-wood-stocks	non-wood-stocks	nn2
of	of	io
note	note	nn1
appeared	appear	vvd_vvn@
on	on	ii
Stevens	stevens	np1
shotguns	shotgun	nn2
in	in	ii
the	the	at
late	late	jj
1940s	1940s	mc2
,	,	y
and	and	cc
these	these	dd2
were	be	vbdr
so	so	rg
roundly	roundly	rr
condemned	condemn	vvn
by	by	ii
sportsmen	sportsman	nn2
that	that	cst
nearly	nearly	rr
a	a	at1
quarter-century	quarter-century	nnt1
passed	pass	vvn_vvd
before	before	cs
they	they	pphs2
were	be	vbdr
given	give	vvn
a	a	at1
second	second	md_nnt1
chance	chance	nn1
.	.	y
By	by	ii
the	the	at
end	end	nn1
of	of	io
the	the	at
1980s	1980s	mc2
,	,	y
however	however	rr
,	,	y
even	even	rr
the	the	at
most	most	rgt
reluctant	reluctant	jj
shooters	shooter	nn2
had	have	vhd
to	to	to
acknowledge	acknowledge	vvi
the	the	at
manifold	manifold	jj_nn1
advantages	advantage	nn2
of	of	io
superstrong	superstrong	j
,	,	y
warp-resistant	warp-resistant	jj
stocks	stock	nn2
made	make	vvn_vvd
of	of	io
fiberglass	fiberglass	nn1
,	,	y
carbon	carbon	nn1
fiber	fiber	nn1
,	,	y
Kevlar	kevlar	np1_jj
or	or	cc
injectionmolded	injectionmolded	vvd_jj@
plastics	plastic	nn2
.	.	y
*	*	fu
Photograph	photograph	nn1
Wide-spectrum	wide-spectrum	jj_nn1
smokeless	smokeless	jj
powders	powder	nn2
introduced	introduce	vvn_vvd
during	during	ii
this	this	dd1
century	century	nnt1
have	have	vh0
made	make	vvn
modern	modern	jj
,	,	y
high-performance	high-performance	jj_nn1
ballistics	ballistics	nn2_nn1
possible	possible	jj
.	.	y
Photograph	photograph	nn1_vv0@
Investment	investment	nn1
casting	casting	nn1_vvg
and	and	cc
CNC	cnc	np1
machining	machining	nn1@
have	have	vh0
helped	help	vvn
forge	forge	vvi
a	a	at1
new	new	jj
age	age	nn1
in	in	ii
accurate	accurate	jj
factory	factory	nn1
rifles	rifle	nn2_vvz@
like	like	ii
the	the	at
Ruger	ruger	np1_nn1
1-S	1-s	mc2
(	(	y
far	far	jj_rr
right	right	nn1_rr_jj
)	)	y
.	.	y
Inspired	inspire	vvn
by	by	ii
benchrest	benchrest	jjt
shooters	shooter	nn2
,	,	y
synthetic	synthetic	jj
stocks	stock	nn2
can	can	vm
now	now	rt
be	be	vbi
found	find	vvn
on	on	ii
everything	everything	pn1
from	from	ii
deer	deer	nn
rifles	rifle	nn2_vvz@
to	to	ii
in-line	in-line	jj_nn1
muzzleloaders	muzzleloader	nn2_vvz
like	like	ii
Knight	knight	np1
's	's	ge
MK-85	mk-85	mc
(	(	y
right	right	rr_nn1_jj
)	)	y
.	.	y
//	//	x
<p>	<p>	y
##2000851		
//	//	x
Thank	thank	vv0
goodness	goodness	nn1
for	for	if
the	the	at
Industrial	industrial	jj
Revolution	revolution	nn1
.	.	y
There	there	ex
's	be	vbz
plenty	plenty	pn
to	to	to
be	be	vbi
said	say	vvn@
for	for	if
the	the	at
tackle	tackle	nn1
breakthroughs	breakthrough	nn2
that	that	cst
emerged	emerge	vvd
in	in	ii
the	the	at
middle	middle	nn1
of	of	io
this	this	dd1
century	century	nnt1
,	,	y
but	but	ccb
let	let	vm21
's	be	vm22
not	not	xx
forget	forget	vvi
that	that	cst
it	it	pph1
was	be	vbdz
increased	increase	vvn_jj
industrial	industrial	jj
productivity	productivity	nn1
in	in	ii
the	the	at
preceding	preceding	jj
100	100	mc
years	year	nnt2
that	that	cst_dd1
furnished	furnished	jj_vvd
sportfishing	sportfishing	nn1@
'	'	ge
first	first	md
prerequisite-leisure	prerequisite-leisure	jj_nn1
time	time	nnt1
.	.	y
Oh	oh	uh
,	,	y
sure	sure	jj
,	,	y
folks	folk	nn2
were	be	vbdr
dropping	drop	vvg
line	line	nn1
into	into	ii
water	water	nn1
way	way	nn1
before	before	ii_cs
this	this	dd1
magazine	magazine	nn1
's	's	ge
first	first	md
issue	issue	nn1_vv0
ever	ever	rr
hit	hit	vvn_vvd
a	a	at1
newsstand	newsstand	nn1
,	,	y
but	but	ccb
you	you	ppy
might	might	vm
say	say	vvi
that	that	dd1_cst
OUTDOOR	outdoor	jj
LIFE	life	nn1
had	have	vhd
a	a	at1
front-row	front-row	jj_nn1
seat	seat	nn1
when	when	rrq_cs
what	what	ddq
was	be	vbdz
once	once	rr
largely	largely	rr
a	a	at1
meatgathering	meatgathering	jj@_nn1@
operation	operation	nn1
evolved	evolve	vvn_vvd
into	into	ii
a	a	at1
fullblown	fullblown	nn1
form	form	nn1
of	of	io
recreation	recreation	nn1
.	.	y
An	a	at1
activity	activity	nn1
that	that	cst_dd1
was	be	vbdz
done	do	vdn
for	for	if
fun	fun	nn1_jj
,	,	y
not	not	xx
just	just	rr_jj@
food	food	nn1
.	.	y
These	these	dd2
10	10	mc
significant	significant	jj
steps	step	nn2
promoted	promote	vvn_vvd@
that	that	dd1_cst
development	development	nn1
along	along	ii
the	the	at
way	way	nn1
.	.	y
The	the	at
Outboard	outboard	jj_nn1
Motor	motor	nn1
On	on	ii
an	a	at1
April	april	npm1
morning	morning	nnt1
in	in	ii
1909	1909	mc
,	,	y
a	a	at1
Norwegian	norwegian	jj_nn1
machinery	machinery	nn1
pattern	pattern	nn1
maker	maker	nn1
slid	slide	vvd
a	a	at1
50-cent	50-cent	nnu1_jj
rental	rental	nn1
skiff	skiff	nn1_vv0
into	into	ii
Milwaukee	milwaukee	np1
's	's	ge
Kinnickinnic	kinnickinnic	np1
River	river	nnl1
and	and	cc
fired	fire	vvd_vvn
up	up	rp_ii@
what	what	ddq
would	would	vm
become	become	vvi
the	the	at
world	world	nn1
's	's	ge
first	first	md
commercially	commercially	rr
successful	successful	jj
outboard	outboard	jj_nn1
motor	motor	nn1
.	.	y
Friends	friend	nn2
clamored	clamor	vvd_vvn@
for	for	if
a	a	at1
onecylinder	onecylinder	nn1
kicker	kicker	nn1
of	of	io
their	their	appge
own	own	da
and	and	cc
Ole	ole	jj_uh
Evinrude	evinrude	np1_vv0
complied-for	complied-for	jj
$1	$1	nnu
a	a	at1
pound	pound	nn1
,	,	y
$62	$62	nnu
for	for	if
the	the	at
62-pound	62-pound	jj_nn1
package	package	nn1
.	.	y
Under	under	ii
his	his	appge
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
Throw	throw	vv0
the	the	at
Oars	oar	nn2
Away	away	rl
!	!	y
"	"	y
the	the	at
Evinrude	evinrude	np1
motor	motor	nn1
was	be	vbdz
soon	soon	rr
selling	sell	vvg
worldwide	worldwide	rl
,	,	y
providing	provide	vvg
fishermen	fisherman	nn2
with	with	iw
on-water	on-water	jj
range	range	nn1
and	and	cc
not	not	xx
a	a	at1
few	few	da2
entirely	entirely	rr
new	new	jj
fishing	fishing	nn1
techniques	technique	nn2
.	.	y
Environmental	environmental	jj
Awareness	awareness	nn1
The	the	at
double-barreled	double-barreled	jj
victories	victory	nn2
in	in	ii
1972	1972	mc
of	of	io
the	the	at
Clean	clean	jj
Water	water	nn1
Act	act	nn1
and	and	cc
a	a	at1
nationwide	nationwide	jj
ban	ban	nn1
on	on	ii
DDT	ddt	np1
signaled	signal	vvd
the	the	at
start	start	nn1
of	of	io
an	a	at1
attempt	attempt	nn1
to	to	to
pull	pull	vvi
our	our	appge
country	country	nn1
out	out	ii21
of	of	ii22
ecological	ecological	jj
free	free	jj
fall	fall	nn1
.	.	y
There	there	ex
's	be	vbz
little	little	rr_da1_jj
doubt	doubt	vv0_nn1
that	that	cst
the	the	at
inspiration	inspiration	nn1
for	for	if
these	these	dd2
and	and	cc
for	for	if
other	other	jj
landmark	landmark	nn1
environmental	environmental	jj
legislation	legislation	nn1
was	be	vbdz
zoologist	zoologist	nn1
Rachel	rachel	np1
Carson	carson	np1
's	's	ge
1962	1962	mc
work	work	nn1_vv0
,	,	y
Silent	silent	jj
Spring	spring	nn1
.	.	y
At	at	ii
the	the	at
time	time	nnt1
,	,	y
a	a	at1
chemist	chemist	nn1
named	name	vvn
William	william	np1
Darby	darby	np1
,	,	y
protesting	protest	vvg
Carson	carson	np1
's	's	ge
conclusions	conclusion	nn2
in	in	ii
the	the	at
Journal	journal	nn1
of	of	io
the	the	at
American	american	jj
Chemical	chemical	nn1_jj@
Society	society	nn1
,	,	y
wrote	write	vvd
that	that	dd1_cst
acceptance	acceptance	nn1
of	of	io
her	her	appge
views	view	nn2
would	would	vm
mean	mean	vvi
"	"	y
the	the	at
end	end	nn1
of	of	io
all	all	db
human	human	jj
progress	progress	nn1
,	,	y
reversion	reversion	nn1
to	to	ii
a	a	at1
passive	passive	jj
social	social	jj
state	state	nn1
devoid	devoid	jj
of	of	io
technology	technology	nn1
,	,	y
scientific	scientific	jj
medicine	medicine	nn1
,	,	y
agriculture	agriculture	nn1
,	,	y
sanitation	sanitation	nn1
.	.	y
"	"	y
Fortunately	fortunately	rr
,	,	y
not	not	xx
everyone	everyone	pn1
bought	buy	vvd
the	the	at
bombast	bombast	nn1
