##4000077		
Research	research	nn1_vv0@
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
Cabin	cabin	nn1
said	say	vvd_vvn@
in	in	ii
June	june	np1@
as	as	csa
he	he	pphs1
led	lead	vvd
a	a	at1
journalist	journalist	nn1
through	through	ii
the	the	at
upper	upper	jj
part	part	nn1
of	of	io
the	the	at
site	site	nn1
.	.	y
The	the	at
upper	upper	jj
part	part	nn1
,	,	y
called	call	vvn
Kaupulehu	kaupulehu	nn1_np1
mauka	mauka	nn1
,	,	y
is	be	vbz
separated	separate	vvn
from	from	ii
the	the	at
lower	low	jjr
section	section	nn1
by	by	ii
the	the	at
main	main	jj
highway	highway	nn1
running	run	vvg_nn1_jj
upslope	upslope	nn1_vv0
from	from	ii
the	the	at
resort	resort	nn1
area	area	nn1
of	of	io
Kailua-Kona	kailua-kona	np1
.	.	y
The	the	at
scene	scene	nn1
is	be	vbz
sobering	sobering	jj_vvg@
.	.	y
Kaupulehu	kaupulehu	nn1_np1@
mauka	mauka	nn1
,	,	y
a	a	at1
mere	mere	jj
six-acre	six-acre	nnu1_jj
fenced	fenced	jj@
area	area	nn1
,	,	y
is	be	vbz
one	one	mc1
of	of	io
the	the	at
few	few	da2
remnants	remnant	nn2
of	of	io
the	the	at
hundreds	hundred	m
of	of	io
thousands	thousand	m
of	of	io
acres	acre	nnu2
of	of	io
tropical	tropical	jj
dry	dry	jj
forest	forest	nn1
that	that	cst
once	once	rr
blanketed	blanket	vvd
the	the	at
lowland	lowland	nn1
leeward	leeward	rl
slopes	slope	nn2
of	of	io
all	all	db
the	the	at
Hawaiian	hawaiian	jj
Islands	island	nn2
.	.	y
Many	many	da2
of	of	io
these	these	dd2
areas	area	nn2
are	be	vbr
slowly	slowly	rr
degrading	degrade	vvg_jj@
,	,	y
victims	victim	nn2
of	of	io
alien	alien	jj_nn1
animals	animal	nn2
and	and	cc
plants	plant	nn2
and	and	cc
the	the	at
rogue	rogue	nn1_jj@
fires	fire	vvz@_nn2
that	that	cst
come	come	vv0
with	with	iw
them	them	ppho2
.	.	y
<p>	<p>	y
Yet	yet	rr
in	in	ii_rp@
just	just	rr
3	3	mc
years	year	nnt2
of	of	io
weed	weed	nn1
whacking	whack	vvg_jj
,	,	y
spraying	spray	vvg
with	with	iw
herbicide	herbicide	nn1
,	,	y
and	and	cc
other	other	jj
toil	toil	nn1
on	on	ii
these	these	dd2
sun-baked	sun-baked	jj
slopes	slope	nn2
,	,	y
Cabin	cabin	nn1
and	and	cc
his	his	appge
colleagues	colleague	nn2
have	have	vh0
seen	see	vvn
signs	sign	nn2_vvz@
that	that	cst
the	the	at
forest-with	forest-with	iw
a	a	rr21_at1
little	little	rr22_jj
help-can	help-can	jj
restore	restore	vv0
itself	itself	ppx1
.	.	y
At	at	ii
the	the	at
study	study	nn1
site	site	nn1
,	,	y
native	native	jj
tree	tree	nn1
seedlings	seedling	nn2
,	,	y
shrubs	shrub	nn2
,	,	y
and	and	cc
vines	vine	nn2
are	be	vbr
rising	rise	vvg
anew	anew	rr
out	out	ii21
of	of	ii22
the	the	at
shallow	shallow	jj
soil	soil	nn1
and	and	cc
rough	rough	jj
lava	lava	nn1
amid	amid	ii
dead	dead	jj
,	,	y
gray	gray	jj
clumps	clump	nn2
of	of	io
the	the	at
invasive	invasive	jj
African	african	jj
bunch	bunch	nn1
grass	grass	nn1
known	know	vvn
as	as	ii
fountain	fountain	nn1
grass	grass	nn1
(	(	y
Pennisetum	pennisetum	np1_nn1
setaceum	setaceum	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
natives	native	nn2
are	be	vbr
popping	pop	vvg
up	up	rp
here	here	rl
and	and	cc
there	there	rl
,	,	y
regenerating	regenerate	vvg
on	on	ii_rp@
their	their	appge
own	own	da
,	,	y
"	"	y
Cabin	cabin	nn1
said	say	vvd
.	.	y
A	a	at1_zz1
devastated	devastated	jj@
ecosystem	ecosystem	nn1
<p>	<p>	y
The	the	at
devastation	devastation	nn1
of	of	io
dry	dry	jj
forests	forest	nn2
is	be	vbz
a	a	at1
common	common	jj
story	story	nn1
everywhere	everywhere	rl
in	in	ii
the	the	at
tropics	tropics	nn
.	.	y
They	they	pphs2
have	have	vh0
succumbed	succumb	vvn
to	to	ii
a	a	at1
modern-day	modern-day	jj
crescendo	crescendo	nn1
of	of	io
extinction	extinction	nn1
that	that	cst
began	begin	vvd
with	with	iw
the	the	at
original	original	jj
human	human	jj_nn1
settlement	settlement	nn1
and	and	cc
grew	grow	vvd
with	with	iw
Western	western	jj_np1
contact	contact	nn1
,	,	y
large-scale	large-scale	jj
ranching	ranching	nn1
,	,	y
and	and	cc
a	a	at1
rising	rising	jj@_nn1@
tide	tide	nn1
of	of	io
development	development	nn1
.	.	y
In	in	ii
Hawaii	hawaii	np1
's	's	ge
case	case	nn1
,	,	y
habitat	habitat	nn1
degradation	degradation	nn1
by	by	ii
alien	alien	jj_nn1
ungulates	ungulate	nn2
was-and	was	cc
still	still	rr
is-the	is	at
crowning	crowning	jj@
blow	blow	nn1
.	.	y
<p>	<p>	y
Dry	dry	jj
forest	forest	nn1
is	be	vbz
one	one	mc1
of	of	io
the	the	at
Hawaiian	hawaiian	jj
Islands	island	nn2
'	'	ge
most	most	rgt
culturally	culturally	rr
important	important	jj
and	and	cc
critically	critically	rr
endangered	endangered	jj_vvn
habitats	habitat	nn2
.	.	y
Native	native	jj
Hawaiians	hawaiian	nn2
use	use	vv0
plants	plant	nn2
from	from	ii
the	the	at
forest	forest	nn1
for	for	if
everything	everything	pn1
from	from	ii
medicines	medicine	nn2
to	to	ii
building	building	nn1_vvg@
materials	material	nn2
.	.	y
Throughout	throughout	ii
the	the	at
tropics	tropics	nn
,	,	y
dry	dry	jj
forest	forest	nn1
regions	region	nn2
often	often	rr
were	be	vbdr
the	the	at
first	first	md
to	to	to
be	be	vbi
settled	settle	vvn
and	and	cc
their	their	appge
resources	resource	nn2
the	the	at
first	first	md
to	to	to
be	be	vbi
consumed	consume	vvn
.	.	y
That	that	dd1
was	be	vbdz
largely	largely	rr
because	because	cs
these	these	dd2
areas	area	nn2
were	be	vbdr
the	the	at
most	most	rgt
hospitable	hospitable	jj
in	in	ii31
terms	terms	ii32
of	of	ii33
climate	climate	nn1
and	and	cc
disease	disease	nn1
and	and	cc
offered	offer	vvd_vvn_jj@
fertile	fertile	jj
soil	soil	nn1
and	and	cc
accessible	accessible	jj
resources	resource	nn2
.	.	y
<p>	<p>	y
Hawaii	hawaii	np1
's	's	ge
native	native	jj
species	species	nn
,	,	y
which	which	ddq
evolved	evolve	vvd
amid	amid	ii
the	the	at
oceanic	oceanic	jj
isolation	isolation	nn1
of	of	io
the	the	at
mid-Pacific	mid-pacific	np1
islands	island	nn2
,	,	y
did	do	vdd
n't	n't	xx
need	need	vvi
to	to	to
adapt	adapt	vvi
to	to	ii
a	a	at1
wide	wide	jj
range	range	nn1
of	of	io
natural	natural	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
Thus	thus	rr
,	,	y
they	they	pphs2
were	be	vbdr
particularly	particularly	rr
vulnerable	vulnerable	jj
to	to	ii
disturbance	disturbance	nn1
by	by	ii
late-arriving	late-arriving	jj
alien	alien	jj_nn1
species	species	nn
.	.	y
Dry	dry	jj
forest	forest	nn1
species	species	nn
were	be	vbdr
among	among	ii
the	the	at
hardest	hard	rrt_jjt
hit	hit	vvn_nn1@
,	,	y
mainly	mainly	rr
because	because	cs
the	the	at
forests	forest	nn2
were	be	vbdr
so	so	rg_rr
accessible	accessible	jj
as	as	csa_ii@
habitat	habitat	nn1
.	.	y
"	"	y
What	what	ddq
's	be	vbz_vhz@
left	leave	vvn
today	today	rt
are	be	vbr
these	these	dd2
tiny	tiny	jj
little	little	jj
fragments	fragment	nn2
of	of	io
dry	dry	jj
forest	forest	nn1
,	,	y
and	and	cc
we	we	ppis2
're	be	vbr
standing	stand	vvg
in	in	ii_rp@
one	one	mc1
of	of	io
the	the	at
best	best	rrt_jjt
in	in	ii
the	the	at
state	state	nn1
,	,	y
"	"	y
Cabin	cabin	nn1
said	say	vvd
.	.	y
"	"	y
It	it	pph1
's	be	vbz
just	just	rr
this	this	rg%_dd1
little	little	da1_jj
bread	bread	nn1
crumb	crumb	nn1
of	of	io
what	what	ddq
was	be	vbdz
.	.	y
"	"	y
<p>	<p>	y
Behind	behind	ii
him	him	ppho1
,	,	y
down	down	ii@_rp
the	the	at
parched	parched	jj
slope	slope	nn1
to	to	ii
the	the	at
North	north	nd1
Kona	kona	np1
beach	beach	nn1
resorts	resort	vvz_nn2
nearly	nearly	rr
2000	2000	mc
feet	foot	nn2
below	below	rl
,	,	y
spread	spread	vv0_vvd_vvn
an	a	at1
ecological	ecological	jj
desert	desert	nn1
,	,	y
a	a	at1
barren	barren	jj
carpet	carpet	nn1
of	of	io
black	black	jj
lava	lava	nn1
and	and	cc
sandy-colored	sandy-colored	jj
alien	alien	jj_nn1
grass	grass	nn1
dotted	dot	vvn_vvd
with	with	iw
single	single	jj
trees	tree	nn2
,	,	y
many	many	da2
of	of	io
them	them	ppho2
nonnative	non-native	jj_nn1
.	.	y
Despite	despite	ii
what	what	ddq
today	today	rt
seems	seem	vvz
like	like	ii
an	a	at1
austere	austere	jj
environment-hot	environment-hot	jj
and	and	cc
dry-North	dry-north	nd1
Kona	kona	np1
,	,	y
like	like	ii
the	the	at
lowland	lowland	nn1
dry	dry	jj
side	side	nn1
of	of	io
all	all	db
the	the	at
Hawaiian	hawaiian	jj
islands	island	nn2
,	,	y
was	be	vbdz
once	once	rr
among	among	ii
the	the	at
most	most	rgt
species-rich	species-rich	jj
areas	area	nn2
in	in	ii
the	the	at
state	state	nn1
.	.	y
<p>	<p>	y
To	to	to
try	try	vvi
to	to	to
reverse	reverse	vvi
the	the	at
all	all	rr21
but	but	rr22
completed	complete	vvn_jj@_vvd
trend	trend	nn1
of	of	io
dry-forest	dry-forest	jj_nn1
destruction	destruction	nn1
,	,	y
a	a	at1
group	group	nn1
of	of	io
scientists	scientist	nn2
,	,	y
conservationists	conservationist	nn2
,	,	y
and	and	cc
volunteers	volunteer	nn2
formed	form	vvd_vvn
the	the	at
North	north	nd1
Kona	kona	np1
Dry	dry	jj
Forest	forest	nn1
Working	working	jj
Group	group	nn1
in	in	ii
1993	1993	mc
.	.	y
The	the	at
group	group	nn1
is	be	vbz
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
organizations	organization	nn2
,	,	y
botanical	botanical	jj
gardens	garden	nn2
,	,	y
and	and	cc
native	native	jj
Hawaiian	hawaiian	jj
and	and	cc
other	other	jj
local	local	jj
residents	resident	nn2
.	.	y
Lisa	lisa	np1
Hadway	hadway	np1
,	,	y
formerly	formerly	rr
a	a	at1
researcher	researcher	nn1
at	at	ii
the	the	at
National	national	jj
Tropical	tropical	jj
Botanical	botanical	jj
Garden	garden	nn1
(	(	y
NTBG	ntbg	np1
)	)	y
,	,	y
on	on	ii
Kauai	kauai	np1_nn1
,	,	y
is	be	vbz
coordinator	coordinator	nn1
.	.	y
<p>	<p>	y
The	the	at
working	working	jj
group	group	nn1
is	be	vbz
confronting	confront	vvg
one	one	mc1
of	of	io
the	the	at
fundamental	fundamental	jj
challenges	challenge	nn2
of	of	io
conservation	conservation	nn
biology	biology	nn1
:	:	y
restoring	restore	vvg
a	a	at1
native	native	jj
ecosystem	ecosystem	nn1
without	without	iw
quite	quite	rr@_rg
understanding	understand	vvg_jj@
how	how	rrq
it	it	pph1
functions	function	vvz@
,	,	y
much	much	rr_da1
less	less	rrr_dar
the	the	at
precise	precise	jj
details	detail	nn2
of	of	io
what	what	ddq
species	species	nn
and	and	cc
ecological	ecological	jj
linkages	linkage	nn2
it	it	pph1
contained	contain	vvd
before	before	ii
degradation	degradation	nn1
began	begin	vvd
.	.	y
Researchers	researcher	nn2
know	know	vv0
little	little	rr_jj_da1
about	about	ii
Hawaii	hawaii	np1
's	's	ge
dry	dry	jj
forests	forest	nn2
,	,	y
especially	especially	rr
about	about	ii
how	how	rrq
the	the	at
ecosystem	ecosystem	nn1
operates	operate	vvz
across	across	ii
the	the	at
Kona	kona	np1_nn1@
landscape	landscape	nn1
's	's	ge
patchwork	patchwork	nn1
of	of	io
different	different	jj
lava	lava	nn1
flows	flow	nn2_vvz
.	.	y
<p>	<p>	y
This	this	dd1
challenge	challenge	nn1
typifies	typify	vvz
the	the	at
so-called	so-called	jj
Nero	nero	np1
dilemma	dilemma	nn1
of	of	io
conservation	conservation	nn
biology	biology	nn1
.	.	y
Conservation	conservation	nn
biology	biology	nn1
project	project	nn1
leaders	leader	nn2
can	can	vm
choose	choose	vvi
to	to	to
make	make	vvi
immediate	immediate	jj
tactical	tactical	jj
decisions	decision	nn2
about	about	ii
a	a	at1
conservation	conservation	nn
problem	problem	nn1
before	before	cs
they	they	pphs2
know	know	vv0
all	all	db
of	of	io
the	the	at
problem	problem	nn1
's	's	ge
complex	complex	jj
dimensions	dimension	nn2
and	and	cc
range	range	nn1
of	of	io
solutions	solution	nn2
,	,	y
or	or	cc
they	they	pphs2
can	can	vm
wait	wait	vvi
until	until	cs_ii@
all	all	db
the	the	at
data	data	nn
are	be	vbr
in-that	in	dd1_cst
is	be	vbz
,	,	y
like	like	ii
Nero	nero	np1
,	,	y
they	they	pphs2
can	can	vm
fiddle	fiddle	vvi
while	while	cs
Rome	rome	np1
burns	burn	vvz_nn2
.	.	y
But	but	ccb
the	the	at
North	north	nd1
Kona	kona	np1
working	working	jj
group	group	nn1
believes	believe	vvz
it	it	pph1
has	have	vhz
the	the	at
tools	tool	nn2
to	to	to
stop	stop	vvi
fiddling	fiddling	jj_vvg
and	and	cc
start	start	vvi
fighting	fight	vvg
the	the	at
fire	fire	nn1
.	.	y
Through	through	ii
research	research	nn1
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
endangered	endangered	jj
and	and	cc
rare	rare	jj
species	species	nn
,	,	y
mainly	mainly	rr
plants	plant	nn2
,	,	y
can	can	vm
be	be	vbi
recovered	recover	vvn
once	once	rr_cs@
the	the	at
overall	overall	jj_nn1
structure	structure	nn1
of	of	io
the	the	at
forest	forest	nn1
is	be	vbz
restored	restore	vvn_jj
.	.	y
Kaupulehu	kaupulehu	nn1_np1@
still	still	rr
supports	support	vvz
small	small	jj
populations	population	nn2
of	of	io
the	the	at
endangered	endangered	jj
plants	plant	nn2
kauila	kauila	nn1
(	(	y
Colubrina	colubrina	np1
oppositifolia	oppositifolia	nn1
)	)	y
,	,	y
uhiuhi	uhiuhi	nn2
(	(	y
Caesalpinia	caesalpinia	np1
kavaiensis	kavaiensis	nn1
)	)	y
,	,	y
aiea	aiea	nnu
(	(	y
Nothocestrum	nothocestrum	np1_nn1
breviflorum	breviflorum	nn1
)	)	y
,	,	y
kokio	kokio	nn1
(	(	y
Kokia	kokia	np1
drynarioides	drynarioides	vvz_nn2
)	)	y
,	,	y
and	and	cc
hala	hala	nn1
pepe	pepe	nn1
(	(	y
Pleomele	pleomele	np1
hawaiiensis	hawaiiensis	nn1
)	)	y
.	.	y
<p>	<p>	y
"	"	y
This	this	dd1
project	project	nn1
is	be	vbz
a	a	at1
wonderful	wonderful	jj
example	example	nn1
of	of	io
integration	integration	nn1
of	of	io
scientific	scientific	jj
experimentation	experimentation	nn1
and	and	cc
on-the-ground	on-the-ground	jj_nn1
management	management	nn1
,	,	y
"	"	y
says	say	vvz
Marie	marie	np1
Bruegmann	bruegmann	np1
,	,	y
a	a	at1
biologist	biologist	nn1
with	with	iw
the	the	at
US	us	np1
Fish	fish	np1@_nn
and	and	cc
Wildlife	wildlife	nn1
Service	service	nn1
(	(	y
FWS	fws	np2
)	)	y
in	in	ii
Honolulu	honolulu	np1
and	and	cc
one	one	mc1
of	of	io
the	the	at
working	working	jj
group	group	nn1
members	member	nn2
.	.	y
"	"	y
The	the	at
work	work	nn1
that	that	cst
Bob	bob	np1
Cabin	cabin	nn1
and	and	cc
Lisa	lisa	np1
Hadway	hadway	np1
are	be	vbr
doing	do	vdg
with	with	iw
research	research	nn1
grant	grant	nn1_vv0
funding	funding	nn1
gives	give	vvz
us	us	ppio2
a	a	at1
scientific	scientific	jj
basis	basis	nn1
for	for	if
making	make	vvg
management	management	nn1
decisions	decision	nn2
.	.	y
While	while	cs
members	member	nn2
of	of	io
the	the	at
group	group	nn1
do	do	vd0
n't	n't	xx
always	always	rr
agree	agree	vvi
on	on	ii
what	what	ddq
should	should	vm
be	be	vbi
done	do	vdn
or	or	cc
how	how	rrq
,	,	y
we	we	ppis2
work	work	vv0
through	through	ii_rp@
these	these	dd2
issues	issue	nn2
and	and	cc
continue	continue	vv0
to	to	to
make	make	vvi
progress	progress	nn1
.	.	y
"	"	y
<p>	<p>	y
The	the	at
group	group	nn1
's	's	ge
work	work	nn1
includes	include	vvz
"	"	y
outplanting	outplanting	vvg
"	"	y
hundreds	hundred	m
of	of	io
individuals	individual	nn2
of	of	io
federally	federally	rr
endangered	endangered	jj_vvn
dry	dry	jj
forest	forest	nn1
species-that	species	cst_dd1
is	be	vbz
,	,	y
transplanting	transplant	vvg
nursery-raised	nursery-raised	jj_nn1
individuals	individual	nn2
to	to	ii
protected	protected	jj
areas	area	nn2
.	.	y
The	the	at
work	work	nn1
is	be	vbz
funded	fund	vvn
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
FWS	fws	np2
,	,	y
NTBG	ntbg	np1
,	,	y
and	and	cc
other	other	jj
sources	source	nn2
.	.	y
In	in	ii
July	july	npm1
,	,	y
FWS	fws	np2
added	add	vvd
$72,000	$72,000	nnu
to	to	to
boost	boost	vvi
the	the	at
effort	effort	nn1
,	,	y
hoping	hope	vvg
to	to	to
provide	provide	vvi
habitat	habitat	nn1
for	for	if
the	the	at
endangered	endangered	jj
Blackburn	blackburn	np1
's	's	ge
sphinx	sphinx	nn1
moth	moth	nn1
(	(	y
Manduca	manduca	np1
blackburni	blackburni	nn2
)	)	y
,	,	y
the	the	at
state	state	nn1
's	's	ge
largest	large	jjt
native	native	jj
insect	insect	nn1
.	.	y
Fences	fence	nn2
and	and	cc
fires	fire	nn2
<p>	<p>	y
The	the	at
spot	spot	nn1
from	from	ii
which	which	ddq
the	the	at
goats	goat	nn2
fled	flee	vvd_vvn
was	be	vbdz
at	at	ii
the	the	at
uppermost	uppermost	jj
edge	edge	nn1
of	of	io
Kaupulehu	kaupulehu	np1_nn1
mauka	mauka	nn1
,	,	y
just	just	rr
beyond	beyond	ii
the	the	at
fence	fence	nn1
.	.	y
From	from	ii
this	this	dd1
location	location	nn1
,	,	y
the	the	at
meaning	meaning	nn1
of	of	io
an	a	at1
ungulate-excluding	ungulate-excluding	jj_nn1
fence	fence	nn1
for	for	if
native	native	jj
species	species	nn
in	in	ii
Hawaii	hawaii	np1
was	be	vbdz
clear	clear	jj
:	:	y
On	on	ii
one	one	mc1
side	side	nn1
were	be	vbdr
at	at	rr21
least	least	rr22
some	some	dd
signs	sign	nn2
of	of	io
native	native	jj
plant	plant	nn1
life	life	nn1
;	;	y
on	on	ii
the	the	at
opposite	opposite	jj
side	side	nn1
,	,	y
seemingly	seemingly	rr
nothing	nothing	pn1
.	.	y
<p>	<p>	y
The	the	at
site	site	nn1
was	be	vbdz
chosen	choose	vvn
by	by	ii
the	the	at
working	working	jj
group	group	nn1
largely	largely	rr
because	because	cs
it	it	pph1
had	have	vhd
been	be	vbn
fenced	fence	vvn@
40	40	mc
years	year	nnt2
earlier	early	rrr
by	by	ii
the	the	at
Territory	territory	nn1
of	of	io
Hawaii	hawaii	np1
,	,	y
protecting	protect	vvg
it	it	pph1
from	from	ii
damage	damage	nn1
by	by	ii
feral	feral	jj_nn1
ungulates	ungulate	nn2_vvz
.	.	y
"	"	y
It	it	pph1
's	be	vbz
not	not	xx
entirely	entirely	rr
clear	clear	vv0@_jj
why	why	rrq
they	they	pphs2
fenced	fence	vvd
it	it	pph1
,	,	y
"	"	y
Cabin	cabin	nn1
said	say	vvd
.	.	y
"	"	y
Somebody	somebody	pn1
just	just	rr
took	take	vvd
it	it	pph1
upon	upon	ii
themselves	themselves	ppx2
to	to	to
do	do	vdi
it	it	pph1
.	.	y
Now	now	rt
this	this	dd1
is	be	vbz
one	one	mc1
of	of	io
the	the	at
only	only	jj
dry	dry	jj
forest	forest	nn1
pieces	piece	nn2_vvz%
that	that	cst_dd1
's	be	vhz
been	be	vbn
fenced	fence	vvn@
for	for	if
any	any	dd
length	length	nn1
of	of	io
time	time	nnt1
in	in	ii
the	the	at
state	state	nn1
.	.	y
"	"	y
<p>	<p>	y
The	the	at
fence	fence	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
