##1007451		
Historical	historical	jj
stand	stand	vvi
out	out	rp
here	here	rl
on	on	ii
this	this	dd1
particular	particular	jj
night	night	nnt1
,	,	y
as	as	csa
I	i	ppis1
've	have	vh0
tried	try	vvn
to	to	to
do	do	vdi
every	every	at1
year	year	nnt1
since	since	cs
we	we	ppis2
finally	finally	rr
returned	return	vvn_vvd
to	to	ii
Earth	earth	nn1
.	.	y
Some	some	dd
years	year	nnt2
I	i	ppis1
've	have	vh0
been	be	vbn
too	too	rg
ill	ill	z'
,	,	y
and	and	cc
some	some	dd
years	year	nnt2
the	the	at
harsh	harsh	jj
weather	weather	nn1
convinced	convince	vvd@
me	me	ppio1
to	to	to
stay	stay	vvi
inside	inside	rl
.	.	y
But	but	ccb
I	i	ppis1
suspected	suspect	vvd
that	that	cst
this	this	dd1
solstice	solstice	nn1
night	night	nnt1
would	would	vm
be	be	vbi
my	my	appge
last	last	md
.	.	y
As	as	ii_csa
the	the	at
Sun	sun	nn1
finally	finally	rr
disappeared	disappear	vvd_vvn@
below	below	ii
the	the	at
horizon	horizon	nn1
,	,	y
I	i	ppis1
looked	look	vvd
up	up	rp
at	at	ii
the	the	at
stars	star	nn2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
this	this	dd1
holiday	holiday	nn1
season	season	nnt1
one	one	mc1
more	more	dar
time	time	nnt1
.	.	y
The	the	at
chill	chill	nn1_jj@
wind	wind	nn1
started	start	vvd
to	to	to
howl	howl	vvi
more	more	rgr
fiercely	fiercely	rr
,	,	y
and	and	cc
dusty	dusty	jj
snow	snow	nn1
began	begin	vvd
pelting	pelt	vvg
my	my	appge
face	face	nn1
.	.	y
I	i	ppis1
began	begin	vvd
to	to	to
cough	cough	vvi
,	,	y
so	so	cs@_rr
I	i	ppis1
hid	hide	vvd
my	my	appge
head	head	nn1
deeper	deep	rrr
within	within	ii
my	my	appge
parka	parka	nn1
and	and	cc
walked	walk	vvd
back	back	rp
through	through	ii
the	the	at
darkness	darkness	nn1
to	to	ii
the	the	at
shelter	shelter	nn1
of	of	io
my	my	appge
firmly	firmly	rr
dwelling	dwelling	nn1_vvg@
,	,	y
just	just	rr
a	a	at1
hundred	hundred	m
meters	meter	nn2
away	away	rl
.	.	y
The	the	at
temperature	temperature	nn1
started	start	vvd
to	to	to
dip	dip	vvi
far	far	rr
below	below	rg
freezing	freezing	jj
,	,	y
but	but	ccb
I	i	ppis1
did	do	vdd
not	not	xx
regret	regret	vvi
my	my	appge
decision	decision	nn1
to	to	to
come	come	vvi
outside	outside	rl
.	.	y
After	after	ii
all	all	db
,	,	y
this	this	dd1
night	night	nnt1
was	be	vbdz
special	special	jj
,	,	y
and	and	cc
not	not	xx
just	just	rr
because	because	ii21
of	of	ii22
the	the	at
solstice	solstice	nn1
.	.	y
This	this	dd1
night	night	nnt1
was	be	vbdz
also	also	rr
the	the	at
anniversary	anniversary	nn1
of	of	io
our	our	appge
victory	victory	nn1
over	over	ii
the	the	at
Leyens	leyens	nn2_np1
.	.	y
The	the	at
door	door	nn1
of	of	io
our	our	appge
home	home	nn1
slid	slide	vvd
open	open	rr@_jj
slowly	slowly	rr
and	and	cc
got	get	vvd_vvn
stuck	stuck	jj
,	,	y
so	so	cs@_rr
I	i	ppis1
had	have	vhd
to	to	to
push	push	vvi
it	it	pph1
to	to	to
get	get	vvi
it	it	pph1
to	to	to
open	open	vvi
all	all	db
the	the	at
way	way	nn1
.	.	y
My	my	appge
son-in-law	son-in-law	nn1
had	have	vhd
been	be	vbn
meaning	mean	vvg
to	to	to
fix	fix	vvi
it	it	pph1
,	,	y
but	but	ccb
other	other	jj
,	,	y
more	more	rgr
necessary	necessary	jj
repairs	repair	nn2
had	have	vhd
taken	take	vvn
precedence	precedence	nn1
.	.	y
I	i	ppis1
walked	walk	vvd
inside	inside	rl
and	and	cc
discovered	discover	vvd
my	my	appge
daughter	daughter	nn1
standing	stand	vvg_nn1
in	in	ii
our	our	appge
foyer	foyer	nn1
,	,	y
waiting	wait	vvg
for	for	if
me	me	ppio1
with	with	iw
a	a	at1
slight	slight	jj
scowl	scowl	nn1
.	.	y
"	"	y
Abba	abba	nn1_np1@
,	,	y
"	"	y
she	she	pphs1
said	say	vvd
,	,	y
cutting	cut	vvg
past	past	ii
me	me	ppio1
to	to	to
push	push	vvi
the	the	at
door	door	nn1
closed	close	vvd_vvn
.	.	y
The	the	at
word	word	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
Hannah	hannah	np1
only	only	rr
calls	call	vvz
me	me	ppio1
that	that	cst
when	when	cs
she	she	pphs1
's	be	vbz
annoyed	annoyed	jj_vvn@
.	.	y
"	"	y
Yes	yes	uh
,	,	y
daughter	daughter	nn1
?	?	y
"	"	y
I	i	ppis1
said	say	vvd
with	with	iw
a	a	at1
smile	smile	nn1
.	.	y
"	"	y
You	you	ppy
should	should	vm
n't	n't	xx
go	go	vvi
out	out	rp
at	at	ii
night	night	nnt1
.	.	y
I	i	ppis1
was	be	vbdz
getting	get	vvg
worried	worried	jj
.	.	y
We	we	ppis2
all	all	db
were	be	vbdr
.	.	y
"	"	y
She	she	pphs1
helped	help	vvd
me	me	ppio1
remove	remove	vvi
my	my	appge
parka	parka	nn1
and	and	cc
she	she	pphs1
ushered	usher	vvd
me	me	ppio1
towards	towards	ii
the	the	at
retaining	retaining	jj@_nn1@
fireplace	fireplace	nn1
,	,	y
where	where	cs_rrq
a	a	at1
small	small	jj
log	log	nn1
burned	burn	vvn_vvd
and	and	cc
gave	give	vvn
off	off	rp_ii
a	a	at1
mild	mild	jj
heat	heat	nn1
.	.	y
"	"	y
I	i	ppis1
do	do	vd0
n't	n't	xx
have	have	vhi
many	many	da2
more	more	dar
nights	night	nnt2
left	leave	vvd_jj_vvn
,	,	y
Hannah	hannah	np1
.	.	y
Let	let	vv0
me	me	ppio1
enjoy	enjoy	vvi
them	them	ppho2
.	.	y
"	"	y
"	"	y
I	i	ppis1
was	be	vbdz
afraid	afraid	jj
you	you	ppy
would	would	vm
n't	n't	xx
come	come	vvi
back	back	rp
,	,	y
"	"	y
she	she	pphs1
said	say	vvd
softly	softly	rr
She	she	pphs1
hung	hang	vvd
my	my	appge
parka	parka	nn1
in	in	ii
the	the	at
closet	closet	nn1
.	.	y
"	"	y
We	we	ppis2
need	need	vv0
you	you	ppy
tonight	tonight	rt
.	.	y
For	for	if
the	the	at
telling	telling	nn1@
of	of	io
the	the	at
story	story	nn1
.	.	y
"	"	y
"	"	y
I	i	ppis1
know	know	vv0
,	,	y
I	i	ppis1
know	know	vv0
.	.	y
I	i	ppis1
'm	be	vbm
here	here	rl
,	,	y
are	be	vbr
n't	n't	xx
I	i	ppis1
?	?	y
"	"	y
She	she	pphs1
adjusted	adjust	vvd
the	the	at
kerchief	kerchief	nn1
that	that	cst
covered	cover	vvd
her	her	appge
hair	hair	nn1
.	.	y
"	"	y
Come	come	vv0
.	.	y
The	the	at
others	others	nn2
are	be	vbr
waiting	wait	vvg
.	.	y
"	"	y
As	as	csa
we	we	ppis2
walked	walk	vvd
into	into	ii
the	the	at
parlor	parlor	nn1
,	,	y
the	the	at
smell	smell	nn1
of	of	io
frying	frying	nn1
potato	potato	nn1
pancakes	pancake	nn2
wafted	waft	vvd
in	in	rp@
from	from	ii
the	the	at
kitchen	kitchen	nn1
,	,	y
filling	fill	vvg
my	my	appge
nose	nose	nn1
.	.	y
My	my	appge
mouth	mouth	nn1
watered	water	vvd_vvn
.	.	y
The	the	at
smells	smell	nn2
mixed	mix	vvn_vvd
with	with	iw
the	the	at
sounds	sound	nn2
of	of	io
my	my	appge
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
the	the	at
floor	floor	nn1
where	where	cs_rrq
they	they	pphs2
played	play	vvd
their	their	appge
game	game	nn1
of	of	io
spinning	spin	vvg_jj@
tops	top	nn2
.	.	y
An	a	at1
oil	oil	nn1
lamp	lamp	nn1
bathed	bathe	vvd_vvn
the	the	at
room	room	nn1
in	in	ii
a	a	at1
dull	dull	jj
glow	glow	nn1
.	.	y
As	as	csa_ii@
Hannah	hannah	np1
scurried	scurry	vvd
past	past	ii
me	me	ppio1
to	to	ii
the	the	at
kitchen	kitchen	nn1
,	,	y
I	i	ppis1
tiptoed	tiptoe	vvd
around	around	ii_rp
the	the	at
circle	circle	nn1
and	and	cc
settled	settle	vvn_vvd
in	in	ii_rp@
my	my	appge
easy	easy	jj
chair	chair	nn1
,	,	y
near	near	ii
the	the	at
parlor	parlor	nn1
fireplace	fireplace	nn1
.	.	y
Just	just	rr
as	as	csa
I	i	ppis1
fell	fall	vvd
onto	onto	ii
the	the	at
cushions	cushion	nn2
,	,	y
my	my	appge
grandchildren	grandchild	nn2
looked	look	vvd_vvn
up	up	rp
from	from	ii
their	their	appge
game	game	nn1
.	.	y
"	"	y
Grampa	grampa	nn1_np1@
's	be	vbz
here	here	rl
!	!	y
"	"	y
little	little	rr_jj
Jacob	jacob	np1
shouted	shout	vvd
,	,	y
and	and	cc
he	he	pphs1
jumped	jump	vvd
towards	towards	ii
me	me	ppio1
,	,	y
laughing	laugh	vvg
.	.	y
A	a	at1
grandfather	grandfather	nn1
should	should	vm
n't	n't	xx
play	play	vvi
favorites	favorite	nn2
,	,	y
I	i	ppis1
suppose	suppose	vv0
,	,	y
but	but	ccb
I	i	ppis1
've	have	vh0
always	always	rr
favored	favor	vvn
the	the	at
youngest	young	jjt
.	.	y
Every	every	at1
new	new	jj
grandchild	grandchild	nn1
reminded	remind	vvd
me	me	ppio1
that	that	cst
the	the	at
human	human	jj_nn1
race	race	nn1
would	would	vm
go	go	vvi
on	on	rp@
.	.	y
Jacob	jacob	np1
hugged	hug	vvd
me	me	ppio1
and	and	cc
tangled	tangle	vvd@
his	his	appge
fingers	finger	nn2
in	in	ii
my	my	appge
white	white	jj
beard	beard	nn1
.	.	y
I	i	ppis1
picked	pick	vvd
him	him	ppho1
up	up	rp
and	and	cc
put	put	vvd_vv0
him	him	ppho1
aside	aside	rl
so	so	cs@_rr
I	i	ppis1
could	could	vm
grace	grace	nn1_vv0%
each	each	dd1
of	of	io
my	my	appge
grandchildren	grandchild	nn2
with	with	iw
a	a	at1
hug	hug	nn1
.	.	y
When	when	cs_rrq
I	i	ppis1
was	be	vbdz
done	do	vdn
,	,	y
the	the	at
circle	circle	nn1
of	of	io
children	child	nn2
had	have	vhd
reformed	reform	vvn
,	,	y
gathered	gather	vvn_vvd
around	around	ii
me	me	ppio1
.	.	y
Hannah	hannah	np1
came	come	vvd
in	in	rp@
from	from	ii
the	the	at
kitchen	kitchen	nn1
,	,	y
wiping	wipe	vvg
her	her	appge
hands	hand	nn2
on	on	ii
a	a	at1
worn	worn	jj@
blue	blue	jj
cloth	cloth	nn1
.	.	y
Her	her	appge
husband	husband	nn1
Shimon	shimon	nn1_np1
followed	follow	vvd
her	her	ppho1
in	in	rp@
.	.	y
The	the	at
two	two	mc
of	of	io
them	them	ppho2
sat	sit	vvd
in	in	ii
the	the	at
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
I	i	ppis1
smiled	smile	vvd
back	back	rp
.	.	y
"	"	y
Jacob	jacob	np1
,	,	y
"	"	y
I	i	ppis1
said	say	vvd
,	,	y
"	"	y
what	what	ddq
night	night	nnt1
is	be	vbz
it	it	pph1
?	?	y
"	"	y
"	"	y
The	the	at
first	first	md
night	night	nnt1
of	of	io
the	the	at
Festival	festival	nn1
of	of	io
Lights	light	nn2
!	!	y
"	"	y
he	he	pphs1
replied	reply	vvd
.	.	y
I	i	ppis1
addressed	address	vvd
the	the	at
oldest	old	jjt
,	,	y
who	who	pnqs
was	be	vbdz
fifteen	fifteen	mc
.	.	y
"	"	y
Shmuel	shmuel	vv0_nn1_np1@
,	,	y
what	what	ddq
do	do	vd0
we	we	ppis2
do	do	vdi
for	for	if
the	the	at
Festival	festival	nn1
of	of	io
Lights	light	nn2
?	?	y
"	"	y
Shmuel	shmuel	np1@_nn1
had	have	vhd
answered	answer	vvn
this	this	dd1
question	question	nn1
many	many	da2
times	time	nnt2
before	before	rt
.	.	y
"	"	y
We	we	ppis2
play	play	vv0
the	the	at
tops	top	nn2
game	game	nn1
.	.	y
We	we	ppis2
eat	eat	vv0
potato	potato	nn1
pancakes	pancake	nn2
and	and	cc
other	other	jj
fried	fried	jj
foods	food	nn2
.	.	y
We	we	ppis2
light	light	vv0@
the	the	at
candles	candle	nn2
.	.	y
And	and	cc
we	we	ppis2
tell	tell	vv0
the	the	at
story	story	nn1
.	.	y
"	"	y
I	i	ppis1
nodded	nod	vvd
.	.	y
"	"	y
Do	do	vd0
you	you	ppy
want	want	vvi
to	to	to
hear	hear	vvi
the	the	at
story	story	nn1
?	?	y
"	"	y
The	the	at
children	child	nn2
clamored	clamor	vvd_vvn@
for	for	if
the	the	at
tale	tale	nn1
,	,	y
and	and	cc
so	so	rr_cs@
I	i	ppis1
began	begin	vvd
.	.	y
The	the	at
story	story	nn1
begins	begin	vvz
long	long	rr
ago	ago	ra
I	i	ppis1
said	say	vvd
,	,	y
back	back	rp_nn1
when	when	cs_rrq
I	i	ppis1
was	be	vbdz
a	a	at1
very	very	rg
young	young	jj
man	man	nn1
.	.	y
Almost	almost	rr
as	as	rg
young	young	jj
as	as	csa
all	all	db
of	of	io
you	you	ppy
.	.	y
It	it	pph1
was	be	vbdz
a	a	at1
bad	bad	jj
time	time	nnt1
for	for	if
the	the	at
human	human	jj_nn1
race	race	nn1
.	.	y
Some	some	dd
of	of	io
us	us	ppio2
had	have	vhd
spread	spread	vvn
out	out	rp
among	among	ii
the	the	at
stars	star	nn2
,	,	y
but	but	ccb
most	most	dat
of	of	io
us	us	ppio2
lived	live	vvd_vvn
on	on	ii
Babylon	babylon	np1_nn1
,	,	y
a	a	at1
planet	planet	nn1
many	many	da2
light-years	light-year	nnt2
from	from	ii
here	here	rl
.	.	y
And	and	cc
no	no	rrqv31
matter	matter	nn1
where	where	rrqv33
we	we	ppis2
lived	live	vvd
,	,	y
none	none	pn
of	of	io
those	those	dd2
planets	planet	nn2
were	be	vbdr
home	home	rl
.	.	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
we	we	ppis2
left	leave	vvd
Earth	earth	nn1
.	.	y
And	and	cc
the	the	at
answer	answer	nn1
should	should	vm
strike	strike	vvi
fear	fear	nn1
into	into	ii
all	all	db
your	your	appge
hearts	heart	nn2
.	.	y
It	it	pph1
was	be	vbdz
because	because	ii21
of	of	ii22
the	the	at
Leyens	leyens	nn2_np1
.	.	y
Many	many	da2
years	year	nnt2
ago	ago	ra
,	,	y
as	as	csa_rg@
many	many	da2
years	year	nnt2
before	before	cs
I	i	ppis1
was	be	vbdz
born	born	vvn
as	as	csa
have	have	vh0
passed	pass	vvn
since	since	cs_rr@
,	,	y
the	the	at
Leyens	leyens	np1_nn2
came	come	vvd
to	to	ii
Earth	earth	nn1
and	and	cc
conquered	conquer	vvd
our	our	appge
home	home	nn1
.	.	y
These	these	dd2
pale	pale	jj
,	,	y
shriveled	shrivel	vvd
,	,	y
large-eyed	large-eyed	jj
aliens	alien	nn2
came	come	vvd
to	to	ii
each	each	dd1
member	member	nn1
of	of	io
our	our	appge
race	race	nn1
with	with	iw
a	a	at1
choice-either	choice-either	rr
be	be	vbi
driven	drive	vvn
into	into	ii
exile	exile	nn1
,	,	y
or	or	cc
have	have	vh0
our	our	appge
genes	gene	nn2
altered	alter	vvn
so	so	cs@_rr
we	we	ppis2
would	would	vm
become	become	vvi
like	like	ii
them	them	ppho2
.	.	y
The	the	at
Leyens	leyens	np1_nn2
had	have	vhd
no	no	at
sense	sense	nn1
of	of	io
morality	morality	nn1
,	,	y
and	and	cc
no	no	at
sense	sense	nn1
of	of	io
individuality	individuality	nn1
,	,	y
and	and	cc
most	most	dat
of	of	io
us	us	ppio2
rejected	reject	vvd
their	their	appge
misguided	misguided	jj
offer	offer	nn1
.	.	y
Some	some	dd
of	of	io
us	us	ppio2
were	be	vbdr
weak	weak	jj
,	,	y
though	though	cs_rr@
,	,	y
and	and	cc
I	i	ppis1
spit	spit	vv0
on	on	ii_rp@
their	their	appge
memory	memory	nn1
.	.	y
Those	those	dd2
who	who	pnqs
became	become	vvd
assimilated	assimilated	jj_vvn
started	start	vvd
taking	take	vvg
the	the	at
Leyen	leyen	jj_nn1
point	point	nn1
of	of	io
view	view	nn1
,	,	y
wondering	wonder	vvg
why	why	rrq
we	we	ppis2
were	be	vbdr
so	so	rr
attached	attach	vvn
to	to	ii
this	this	dd1
ball	ball	nn1
of	of	io
dirt	dirt	nn1
we	we	ppis2
called	call	vvd@_vvn
home	home	rl
.	.	y
They	they	pphs2
were	be	vbdr
the	the	at
ones	one	z'
,	,	y
these	these	dd2
Leyen	leyen	jj
--	--	x
Human	human	jj_nn1
hybrids	hybrid	nn2
,	,	y
who	who	pnqs
drove	drive	vvd
us	us	ppio2
into	into	ii
exile	exile	nn1
on	on	ii
the	the	at
planet	planet	nn1
Babylon	babylon	nn1_np1
.	.	y
And	and	cc
so	so	rr
,	,	y
from	from	ii
my	my	appge
grandfather	grandfather	nn1
's	's	ge
time	time	nnt1
until	until	cs_ii@
my	my	appge
own	own	da
,	,	y
we	we	ppis2
lived	live	vvd
on	on	ii_rp@
a	a	at1
planet	planet	nn1
that	that	cst
we	we	ppis2
did	do	vdd
not	not	xx
know	know	vvi
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
winter	winter	nnt1
,	,	y
and	and	cc
autumn	autumn	nnt1
did	do	vdd
not	not	xx
mean	mean	vvi
what	what	ddq
they	they	pphs2
had	have	vhd
here	here	rl
on	on	ii
Earth	earth	nn1
.	.	y
We	we	ppis2
scraped	scrape	vvd
out	out	rp
a	a	at1
life	life	nn1
for	for	if
humanity	humanity	nn1
and	and	cc
wept	weep	vvd
for	for	if
the	the	at
world	world	nn1
we	we	ppis2
had	have	vhd
once	once	rr
known	know	vvn
.	.	y
One	one	mc1
day	day	nnt1
,	,	y
we	we	ppis2
heard	hear	vvd
news	news	nn1
that	that	cst
filled	fill	vvd
us	us	ppio2
with	with	iw
both	both	rr
fear	fear	vv0_nn1
and	and	cc
joy	joy	nn1
.	.	y
The	the	at
Leyens	leyens	nn2
were	be	vbdr
not	not	xx
the	the	at
only	only	jj
aliens	alien	nn2
out	out	rp
there	there	rl
.	.	y
Far	far	rr_jj
from	from	ii
here	here	rl
,	,	y
closer	close	rrr_jjr
to	to	ii
the	the	at
center	center	nn1
of	of	io
the	the	at
Milky	milky	jj
Way	way	nn1
,	,	y
the	the	at
Leyens	leyens	nn2
were	be	vbdr
fighting	fight	vvg
with	with	iw
another	another	dd1
race	race	nn1
,	,	y
one	one	pn1
that	that	cst
they	they	pphs2
had	have	vhd
tried	try	vvn
to	to	to
assimilate	assimilate	vvi
but	but	ccb
that	that	dd1
had	have	vhd
not	not	xx
grown	grow	vvn
as	as	csa_rg@_ii@
weak	weak	jj
and	and	cc
complacent	complacent	jj
as	as	csa
we	we	ppis2
had	have	vhd_vhn@
.	.	y
The	the	at
war	war	nn1
had	have	vhd
come	come	vvn
,	,	y
and	and	cc
with	with	iw
it	it	pph1
,	,	y
our	our	appge
opportunity	opportunity	nn1
.	.	y
My	my	appge
father	father	nn1
,	,	y
Matthew	matthew	np1
,	,	y
the	the	at
Governor	governor	nn1
of	of	io
our	our	appge
planet	planet	nn1
of	of	io
exile	exile	nn1
,	,	y
called	call	vvd@_vvn
me	me	ppio1
to	to	ii
his	his	appge
office	office	nn1
one	one	mc1
morning	morning	nnt1
and	and	cc
said	say	vvd
,	,	y
"	"	y
Judah	judah	np1_uh@
,	,	y
this	this	dd1
is	be	vbz
our	our	appge
chance	chance	nn1
.	.	y
"	"	y
"	"	y
What	what	ddq
is	be	vbz
?	?	y
"	"	y
I	i	ppis1
asked	ask	vvd
him	him	ppho1
.	.	y
He	he	pphs1
looked	look	vvd
around	around	ii_rp
the	the	at
room	room	nn1
as	as	cs21
if	if	cs22
checking	check	vvg
for	for	if
electronic	electronic	jj
spying	spying	nn1
devices	device	nn2
.	.	y
"	"	y
At	at	ii
the	the	at
cost	cost	nn1
of	of	io
many	many	da2
lives	life	nn2
,	,	y
we	we	ppis2
've	have	vh0
managed	manage	vvn
to	to	to
secure	secure	vvi
six	six	mc
Leyen	leyen	jj_np1_nn1
ships	ship	nn2_vvz@
capable	capable	jj
of	of	io
hyperspace	hyperspace	nn1
.	.	y
I	i	ppis1
've	have	vh0
heard	hear	vvn
that	that	cst
the	the	at
Leyens	leyens	nn2
have	have	vh0
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
hybrids	hybrid	nn2
have	have	vh0
left	leave	vvn
.	.	y
This	this	dd1
is	be	vbz
our	our	appge
chance	chance	nn1
to	to	to
take	take	vvi
our	our	appge
planet	planet	nn1
back	back	rp
.	.	y
"	"	y
You	you	ppy
have	have	vh0
to	to	to
remember	remember	vvi
that	that	cst
I	i	ppis1
knew	know	vvd
nothing	nothing	pn1
of	of	io
Earth	earth	nn1
,	,	y
except	except	ii
what	what	ddq
my	my	appge
grandparents	grandparent	nn2
had	have	vhd
told	tell	vvn
me	me	ppio1
.	.	y
Like	like	ii_vv0@
my	my	appge
father	father	nn1
,	,	y
I	i	ppis1
shared	share	vvd
a	a	at1
desire	desire	nn1
to	to	to
go	go	vvi
back	back	rp
,	,	y
but	but	ccb
I	i	ppis1
honestly	honestly	rr
never	never	rr
expected	expect	vvd_vvn
it	it	pph1
to	to	to
happen	happen	vvi
in	in	ii_rp@
my	my	appge
lifetime	lifetime	nnt1
.	.	y
So	so	rr
I	i	ppis1
calmly	calmly	rr
replied	reply	vvd
,	,	y
"	"	y
Really	really	rr
?	?	y
Take	take	vv0
our	our	appge
planet	planet	nn1
back	back	rp
?	?	y
That	that	dd1
's	be	vbz
wonderful	wonderful	jj
news	news	nn1
.	.	y
"	"	y
My	my	appge
father	father	nn1
cocked	cock	vvd_vvn
his	his	appge
head	head	nn1
at	at	ii
me	me	ppio1
.	.	y
"	"	y
I	i	ppis1
'm	be	vbm
glad	glad	jj
you	you	ppy
think	think	vv0
so	so	rr
,	,	y
Judah	judah	np1_uh@
,	,	y
because	because	cs
I	i	ppis1
'd	have	vm
like	like	vvi
you	you	ppy
to	to	to
lead	lead	vvi
the	the	at
fleet	fleet	nn1
.	.	y
"	"	y
That	that	dd1
stopped	stop	vvd
me	me	ppio1
cold	cold	jj_nn1
.	.	y
"	"	y
Father	father	nn1
,	,	y
"	"	y
I	i	ppis1
said	say	vvd
,	,	y
"	"	y
I	i	ppis1
'm	be	vbm
a	a	at1
physics	physics	nn1
teacher	teacher	nn1
.	.	y
I	i	ppis1
'm	be	vbm
not	not	xx
a	a	at1
soldier	soldier	nn1
.	.	y
"	"	y
"	"	y
None	none	pn
of	of	io
us	us	ppio2
are	be	vbr
soldiers	soldier	nn2
,	,	y
"	"	y
my	my	appge
father	father	nn1
replied	reply	vvd
.	.	y
"	"	y
But	but	ccb
you	you	ppy
are	be	vbr
my	my	appge
son	son	nn1
.	.	y
Your	your	appge
name	name	nn1
will	will	vm
inspire	inspire	vvi
our	our	appge
people	people	nn
and	and	cc
lead	lead	vvi
us	us	ppio2
into	into	ii
victory	victory	nn1
.	.	y
"	"	y
I	i	ppis1
had	have	vhd
never	never	rr
heard	hear	vvn
my	my	appge
father	father	nn1
speak	speak	vv0
that	that	dd1
way	way	nn1
,	,	y
and	and	cc
I	i	ppis1
thought	think	vvd
I	i	ppis1
saw	see	vvd
tears	tear	nn2
begin	begin	vvi
to	to	to_ii
well	well	rr
up	up	rp
in	in	ii
his	his	appge
eyes	eye	nn2
.	.	y
He	he	pphs1
wiped	wipe	vvd
his	his	appge
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
he	he	pphs1
quickly	quickly	rr
stopped	stop	vvn_vvd
.	.	y
"	"	y
Will	will	vm_vv0%
you	you	ppy
do	do	vdi
it	it	pph1
,	,	y
Judah	judah	uh@_np1
?	?	y
"	"	y
"	"	y
Well	well	rr
,	,	y
"	"	y
I	i	ppis1
began	begin	vvd
,	,	y
"	"	y
I	i	mc1%_ppis1_zz1%
--	--	x
"	"	y
The	the	at
door	door	nn1
opened	open	vvd_vvn
,	,	y
and	and	cc
one	one	mc1
of	of	io
my	my	appge
father	father	nn1
's	's	ge
aides	aide	nn2
interrupted	interrupt	vvd_vvn
us	us	ppio2
.	.	y
"	"	y
Governor	governor	nnb
Hammer	hammer	np1
,	,	y
"	"	y
he	he	pphs1
said	say	vvd
with	with	iw
a	a	at1
nod	nod	nn1
.	.	y
"	"	y
Forgive	forgive	vv0
the	the	at
interruption	interruption	nn1
.	.	y
"	"	y
"	"	y
What	what	ddq
is	be	vbz
it	it	pph1
,	,	y
David	david	np1
?	?	y
"	"	y
David	david	np1
glanced	glance	vvd
at	at	ii
me	me	ppio1
and	and	cc
said	say	vvd
,	,	y
"	"	y
We	we	ppis2
've	have	vh0
just	just	rr
gotten	get	vvn
a	a	at1
report	report	nn1
confirming	confirm	vvg
that	that	cst
the	the	at
Leyens	leyens	nn2
have	have	vh0
temporarily	temporarily	rr
abandoned	abandon	vvn
Earth	earth	nn1
.	.	y
It	it	pph1
's	be	vbz
ours	ours	ppge
now	now	rt
if	if	cs
we	we	ppis2
want	want	vv0
it	it	pph1
.	.	y
"	"	y
