##4021957		
Present	present	jj_nn1
bottle	bottle	nn1
.	.	y
In	in	ii
Nam	nam	np1
,	,	y
when	when	rrq
they	they	pphs2
asked	ask	vvd
me	me	ppio1
what	what	ddq
I	i	ppis1
missed	miss	vvd
about	about	ii
home	home	nn1
,	,	y
I	i	ppis1
said	say	vvd
a	a	at1
train	train	nn1
whistle	whistle	nn1
.	.	y
//	//	zz
The	the	at
sparkle	sparkle	nn1
of	of	io
the	the	at
TV	tv	nn1
turns	turn	vvz
nearby	nearby	jj
snowflakes	snowflake	nn2
purple	purple	jj_nn1@
and	and	cc
green	green	jj_nn1
for	for	if
an	a	at1
instant	instant	nnt1_jj
,	,	y
the	the	at
dog	dog	nn1
turns	turn	vvz
her	her	appge
nose	nose	nn1
that	that	dd1
way	way	nn1
.	.	y
How	how	rgq@
many	many	da2
times	time	nnt2
have	have	vh0
Seth	seth	np1
and	and	cc
I	i	ppis1
sat	sit	vvd
in	in	ii
the	the	at
woods	wood	nn2
together	together	rl
,	,	y
watching	watch	vvg
it	it	pph1
snow	snow	nn1_vv0@
?	?	y
I	i	ppis1
lean	lean	vv0
against	against	ii
the	the	at
doorjamb	doorjamb	nn1
,	,	y
watch	watch	vv0_nn1
,	,	y
and	and	cc
rub	rub	vv0
the	the	at
silver	silver	jj@
dollar	dollar	nnu1
in	in	ii
my	my	appge
pocket	pocket	nn1
.	.	y
The	the	at
markings	marking	nn2
are	be	vbr
all	all	db_rr@
gone	go	vvn
,	,	y
it	it	pph1
's	be	vbz
thin	thin	jj
.	.	y
My	my	appge
dad	dad	nn1
was	be	vbdz
hoeing	hoe	vvg
a	a	at1
potato	potato	nn1
field	field	nn1
,	,	y
seventy	seventy	mc
years	year	nnt2
ago	ago	ra
,	,	y
and	and	cc
got	get	vvd_vvn
bit	bit	nn1
by	by	ii
a	a	at1
coral	coral	nn1
snake	snake	nn1
but	but	ccb
did	do	vdd
n't	n't	xx
die	die	vvi
,	,	y
so	so	cs@_rr
the	the	at
man	man	nn1
told	tell	vvd_vvn
him	him	ppho1
he	he	pphs1
earned	earn	vvd
a	a	at1
whole	whole	jj
dollar	dollar	nnu1
that	that	dd1
day	day	nnt1
.	.	y
He	he	pphs1
carried	carry	vvd
it	it	pph1
forty	forty	mc
years	year	nnt2
and	and	cc
gave	give	vvd
it	it	pph1
to	to	ii
me	me	ppio1
when	when	rrq_cs
I	i	ppis1
went	go	vvd
to	to	ii
Vietnam	vietnam	np1
.	.	y
I	i	ppis1
flipped	flip	vvd
it	it	pph1
for	for	if
body-bag	body-bag	jj_nn1
duty	duty	nn1
,	,	y
sucked	suck	vvn_vvd
on	on	ii
it	it	pph1
in	in	ii
fear	fear	nn1
,	,	y
kept	keep	vvd_vvn
it	it	pph1
in	in	ii_rp@
my	my	appge
boot	boot	nn1
for	for	if
400	400	mc
days	day	nnt2
,	,	y
and	and	cc
in	in	ii
my	my	appge
pocket	pocket	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
with	with	iw
a	a	at1
different	different	jj
tone	tone	nn1
through	through	ii
the	the	at
flakes	flake	nn2
.	.	y
Someone	someone	pn1
in	in	ii
the	the	at
neighborhood	neighborhood	nn1
is	be	vbz
burning	burning	jj_vvg
plastic	plastic	nn1
.	.	y
Mary	mary	np1
's	's	ge
TV	tv	nn1
sends	send	vvz
game	game	nn1
show	show	nn1_vv0
laughter	laughter	nn1
out	out	rp
here	here	rl
.	.	y
Everything	everything	pn1
I	i	ppis1
see	see	vv0
or	or	cc
hear	hear	vv0
seems	seem	vvz
bad	bad	jj
.	.	y
//	//	zz
Everything	everything	pn1
depends	depend	vvz
on	on	ii
the	the	at
hunt	hunt	nn1
.	.	y
I	i	ppis1
remember	remember	vv0
telling	tell	vvg
him	him	ppho1
about	about	ii
killing	kill	vvg_nn1
animals	animal	nn2
,	,	y
explaining	explain	vvg
the	the	at
reasons	reason	nn2
:	:	y
him	him	ppho1
as	as	rg
tall	tall	jj
as	as	csa
a	a	at1
fencepost	fencepost	nn1
when	when	cs_rrq
we	we	ppis2
packed	pack	vvd
cheese	cheese	nn1
,	,	y
crackers	cracker	nn2_jj
,	,	y
radishes	radish	nn2
,	,	y
and	and	cc
sat	sit	vvd
until	until	cs
he	he	pphs1
had	have	vhd
a	a	at1
shot	shot	nn1
.	.	y
Little	little	rr_da1_jj
female	female	jj_nn1
squirrel	squirrel	nn1
the	the	at
color	color	nn1
of	of	io
dead	dead	jj
leaves	leaf	nn2
,	,	y
in	in	ii
a	a	at1
limb	limb	nn1
crotch	crotch	nn1
.	.	y
The	the	at
sun	sun	nn1
had	have	vhd
broken	break	vvn
through	through	rp@_ii
and	and	cc
he	he	pphs1
was	be	vbdz
asleep	asleep	jj
against	against	ii
me	me	ppio1
,	,	y
gun	gun	nn1
beside	beside	ii
him	him	ppho1
,	,	y
cracker	cracker	nn1
crumbs	crumb	nn2
on	on	ii
his	his	appge
cheeks	cheek	nn2
.	.	y
Woke	wake	vvd
him	him	ppho1
up	up	rp
and	and	cc
pointed	pointed	jj_vvd_vvn
and	and	cc
he	he	pphs1
's	be	vbz
ready	ready	jj_rr@
.	.	y
She	she	pphs1
tumbled	tumble	vvd
and	and	cc
never	never	rr
moved	move	vvn_vvd
.	.	y
He	he	pphs1
held	hold	vvd
her	her	ppho1
by	by	ii
the	the	at
tail	tail	nn1
all	all	db
the	the	at
way	way	nn1
home	home	rl_nn1
.	.	y
Mary	mary	np1
cooked	cook	vvd
it	it	pph1
for	for	if
breakfast	breakfast	nn1
.	.	y
//	//	zz
Taught	teach	vvd_vvn
him	him	ppho1
to	to	to
shoot	shoot	vvi
same	same	da
way	way	nn1
my	my	appge
dad	dad	nn1
taught	teach	vvd
me	me	ppio1
.	.	y
Put	put	vv0
a	a	at1
silver	silver	jj@
dollar	dollar	nnu1
on	on	ii
a	a	at1
fence	fence	nn1
post	post	nn1
and	and	cc
use	use	vv0
a	a	at1
rifle	rifle	nn1
.	.	y
He	he	pphs1
never	never	rr
hit	hit	vvd
it	it	pph1
,	,	y
but	but	ccb
he	he	pphs1
learned	learn	vvd
to	to	to
breathe	breathe	vvi
and	and	cc
squeeze	squeeze	vvi
the	the	at
trigger	trigger	nn1
.	.	y
They	they	pphs2
do	do	vd0
n't	n't	xx
tell	tell	vvi
you	you	ppy
that	that	cst_dd1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
They	they	pphs2
were	be	vbdr
right	right	jj
about	about	ii
that	that	dd1
.	.	y
//	//	zz
When	when	rrq_cs
the	the	at
dog	dog	nn1
raises	raise	vvz
up	up	rp
and	and	cc
moves	move	vvz_nn2
I	i	ppis1
know	know	vv0
she	she	pphs1
hears	hear	vvz
Seth	seth	np1
's	's	ge
car	car	nn1
.	.	y
I	i	ppis1
get	get	vv0
my	my	appge
cane	cane	nn1
down	down	rp
and	and	cc
we	we	ppis2
meet	meet	vv0
in	in	ii_rp@
the	the	at
driveway	driveway	nn1
.	.	y
Bigger	big	jjr
and	and	cc
stronger	strong	jjr
than	than	csn
I	i	ppis1
've	have	vh0
ever	ever	rr
been	be	vbn
,	,	y
a	a	at1
smile	smile	nn1
that	that	cst_dd1
eats	eat	vvz
half	half	db
his	his	appge
face	face	nn1
.	.	y
He	he	pphs1
picks	pick	vvz
the	the	at
dog	dog	nn1
up	up	rp
like	like	ii
a	a	at1
pillow	pillow	nn1
and	and	cc
her	her	appge
long	long	jj_rr
yellow	yellow	jj
tail	tail	nn1
sweeps	sweep	vvz
the	the	at
air	air	nn1
,	,	y
her	her	appge
tongue	tongue	nn1
searches	search	nn2
for	for	if
his	his	appge
chin	chin	nn1
.	.	y
He	he	pphs1
lays	lay	vvz
the	the	at
dog	dog	nn1
on	on	ii
the	the	at
car	car	nn1
's	's	ge
hood	hood	nn1
,	,	y
sweeps	sweep	vvz
the	the	at
'	'	ge
phones	phone	nn2
off	off	ii
his	his	appge
head	head	nn1
.	.	y
//	//	zz
"	"	y
She	she	pphs1
lose	lose	vv0
weight	weight	nn1
again	again	rt
?	?	y
"	"	y
//	//	zz
"	"	y
Must	must	vm
be	be	vbi
down	down	rp
to	to	ii
eighty	eighty	mc
pounds	pound	nn2
.	.	y
"	"	y
//	//	zz
"	"	y
Mom	mom	nn1
awake	awake	jj_vv0@
?	?	y
"	"	y
//	//	zz
"	"	y
Getting	get	vvg
ready	ready	jj
for	for	if
work	work	nn1
.	.	y
We	we	ppis2
still	still	rr
hunting	hunt	vvg@_nn1
?	?	y
"	"	y
//	//	zz
"	"	y
Ca	can	vm
n't	n't	xx
wait	wait	vvi
.	.	y
"	"	y
Buries	bury	vvz
his	his	appge
face	face	nn1
in	in	ii
the	the	at
dog	dog	nn1
's	's	ge
stomach	stomach	nn1
,	,	y
lifts	lift	vvz
her	her	ppho1
to	to	ii
the	the	at
ground	ground	nn1
.	.	y
//	//	zz
Being	be	vbg
in	in	ii
this	this	dd1
garage	garage	nn1
is	be	vbz
safe	safe	jj
.	.	y
A	a	at1
thousand	thousand	m
nights	night	nnt2
in	in	ii
this	this	dd1
chair	chair	nn1
,	,	y
its	its	z'
broken	broken	jj
spring	spring	nn1
pressed	press	vvn_vvd
against	against	ii
my	my	appge
back	back	nn1
.	.	y
Seth	seth	np1
'll	will	vm
be	be	vbi
waking	wake	vvg
up	up	rp
in	in	ii
an	a	at1
hour	hour	nnt1
,	,	y
daylight	daylight	nn1
another	another	dd1
ninety	ninety	mc
minutes	minute	nnt2
,	,	y
and	and	cc
the	the	at
hunt	hunt	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
going	go	vvgk
to	to	to
shoot	shoot	vvi
him	him	ppho1
for	for	if
my	my	appge
own	own	da
sake	sake	nn1
,	,	y
but	but	ccb
how	how	rrq
do	do	vd0
I	i	ppis1
explain	explain	vvi
that	that	dd1
?	?	y
//	//	zz
Electric	electric	jj_nn1@
heater	heater	nn1
like	like	ii
orange	orange	jj_nn1
teeth	tooth	nn2
,	,	y
sound	sound	nn1
of	of	io
buzzing	buzzing	jj_vvg
flies	fly	nn2
.	.	y
Enough	enough	dd
warmth	warmth	nn1
for	for	if
my	my	appge
feet	foot	nn2
.	.	y
Agent	agent	nn1
Orange	orange	nn1
.	.	y
Millions	million	m
of	of	io
gallons	gallon	nnu2
into	into	ii
the	the	at
jungles	jungle	nn2
to	to	to
eat	eat	vvi
away	away	rl
their	their	appge
hiding	hide	vvg_jj%_nn1%
places	place	nn2
.	.	y
Then	then	rt
it	it	pph1
got	get	vvd
into	into	ii
the	the	at
rivers	river	nn2
we	we	ppis2
drank	drink	vvd
out	out	ii21
of	of	ii22
,	,	y
into	into	ii
us	us	ppio2
,	,	y
and	and	cc
after	after	ii_cs
years	year	nnt2
began	begin	vvd
to	to	to
eat	eat	vvi
us	us	ppio2
from	from	ii
the	the	at
inside	inside	nn1@_jj@
.	.	y
Some	some	dd
guys	guy	nn2
'	'	ge
liver	liver	nn1
,	,	y
stomach	stomach	nn1
,	,	y
prostrate	prostrate	jj
gland	gland	nn1
.	.	y
Mine	mine	ppge_nn1
,	,	y
so	so	rr_cs@
now	now	rt
I	i	ppis1
wear	wear	vv0
a	a	at1
diaper.	diaper	nnu
//	//	zz
Throw-rugs	throw-rugs	nn2
on	on	ii
the	the	at
clothesline	clothesline	nn1
wave	wave	nn1
beyond	beyond	ii
the	the	at
dog	dog	nn1
.	.	y
Her	her	appge
head	head	nn1
is	be	vbz
tucked	tuck	vvn
onto	onto	ii
her	her	appge
forelegs	foreleg	nn2
and	and	cc
she	she	pphs1
lies	lie	vvz
there	there	rl
burbling	burble	vvg
.	.	y
Each	each	dd1
breath	breath	nn1
flaps	flap	vvz
the	the	at
skin	skin	nn1
of	of	io
her	her	appge
lips	lip	nn2
,	,	y
a	a	at1
burble	burble	nn1
.	.	y
I	i	ppis1
wonder	wonder	vv0
what	what	ddq
color	color	nn1_vv0@
prison	prison	nn1
diapers	diaper	nn2
are	be	vbr
?	?	y
When	when	cs_rrq
I	i	ppis1
breathe	breathe	vv0
and	and	cc
squeeze	squeeze	vv0
this	this	dd1
trigger	trigger	nn1
the	the	at
bitterness	bitterness	nn1
will	will	vm
leave	leave	vvi
me	me	ppio1
as	as	rg@_csa
,	,	y
sure	sure	jj
as	as	ii_csa
a	a	at1
round	round	nn1@_jj
leaves	leave	vvz_nn2
a	a	at1
barrel	barrel	nn1
.	.	y
Forty	forty	mc
years	year	nnt2
of	of	io
regret	regret	nn1
in	in	ii
one	one	mc1
shot	shot	nn1_vvd
.	.	y
Emancipation	emancipation	nn1
,	,	y
I	i	ppis1
'm	be	vbm
sure	sure	jj
of	of	io
it	it	pph1
.	.	y
//	//	zz
Trembling	tremble	vvg
a	a	rr21_at1
little	little	rr22_jj
,	,	y
and	and	cc
when	when	cs_rrq
I	i	ppis1
get	get	vv0
up	up	rp
to	to	to
walk	walk	vvi
it	it	pph1
off	off	rp
she	she	pphs1
turns	turn	vvz
towards	towards	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
.	.	y
A	a	at1
mouse	mouse	nn1
dashes	dash	nn2
under	under	ii
the	the	at
lawn	lawn	nn1
mower	mower	nn1
,	,	y
starts	start	vvz
her	her	appge
nostrils	nostril	nn2
twitching	twitch	vvg
,	,	y
she	she	pphs1
shifts	shift	vvz
her	her	appge
weight	weight	nn1
,	,	y
rolling	rolling	jj_vvg
marble	marble	nn1
eyes	eye	nn2
.	.	y
//	//	zz
There	there	ex_rl
is	be	vbz
a	a	at1
connection	connection	nn1
to	to	ii
ritual	ritual	nn1_jj
through	through	ii
guns	gun	nn2
.	.	y
Dad	dad	nn1
and	and	cc
I	i	ppis1
had	have	vhd
our	our	appge
rituals	ritual	nn2
,	,	y
Nam	nam	np1
was	be	vbdz
full	full	jj
of	of	io
them	them	ppho2
,	,	y
all	all	rr@_db
connected	connect	vvn
to	to	ii
guns	gun	nn2
.	.	y
I	i	ppis1
was	be	vbdz
never	never	rr
away	away	ii21_rl
from	from	ii22_ii
my	my	appge
rifle	rifle	nn1
,	,	y
knew	know	vvd
its	its	z'
serial	serial	nn1
number	number	nn1
,	,	y
trusted	trust	vvd_vvn
it	it	pph1
,	,	y
depended	depend	vvn_vvd
on	on	ii
it	it	pph1
,	,	y
guarded	guard	vvn_vvd@
it	it	pph1
.	.	y
Seth	seth	np1
and	and	cc
I	i	ppis1
have	have	vh0
ours	ours	ppge
too	too	rr@
.	.	y
I	i	ppis1
did	do	vdd
n't	n't	xx
touch	touch	vvi
a	a	at1
gun	gun	nn1
for	for	if
twenty	twenty	mc
years	year	nnt2
,	,	y
until	until	cs
he	he	pphs1
was	be	vbdz
old	old	jj
enough	enough	rr
to	to	to
hunt	hunt	vvi
.	.	y
Then	then	rt
I	i	ppis1
wanted	want	vvd
to	to	to
kill	kill	vvi
something	something	pn1
,	,	y
or	or	cc
at	at	rr21
least	least	rr22
to	to	to
shoot	shoot	vvi
again	again	rt
.	.	y
//	//	zz
The	the	at
bathroom	bathroom	nn1
light	light	nn1
goes	go	vvz
off	off	rp
.	.	y
//	//	zz
I	i	ppis1
carry	carry	vv0
my	my	appge
dad	dad	nn1
's	's	ge_vbz
Savage	savage	jj@_np1
automatic	automatic	jj_nn1@
,	,	y
and	and	cc
when	when	cs_rrq
I	i	ppis1
pick	pick	vv0
it	it	pph1
up	up	rp
,	,	y
it	it	pph1
's	be	vbz
like	like	ii
shaking	shake	vvg
his	his	appge
hand	hand	nn1
.	.	y
We	we	ppis2
hunted	hunt	vvd
a	a	rr21@_at1
lot	lot	rr22_nn1
when	when	cs_rrq
I	i	ppis1
was	be	vbdz
young	young	jj
.	.	y
Never	never	rr
after	after	ii_cs
Nam	nam	np1
.	.	y
It	it	pph1
's	be	vbz
weight	weight	nn1
makes	make	vvz
me	me	ppio1
feel	feel	nn1%
like	like	cs%_vv0@
he	he	pphs1
's	be	vbz
here	here	rl
.	.	y
I	i	ppis1
break	break	vv0
all	all	db
the	the	at
rules	rule	nn2
and	and	cc
all	all	db
the	the	at
laws	law	nn2
because	because	cs
it	it	pph1
's	be	vhz
been	be	vbn
loaded	load	vvn
for	for	if
forty	forty	mc
years	year	nnt2
.	.	y
At	at	ii
times	time	nnt2
I	i	ppis1
've	have	vh0
thought	think	vvn
of	of	io
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
opposite	opposite	jj_nn1@
,	,	y
I	i	ppis1
have	have	vh0
plans	plan	nn2
for	for	if
it	it	pph1
.	.	y
//	//	zz
I	i	ppis1
rack	rack	vv0
a	a	at1
set	set	nn1
of	of	io
rounds	round	nn2
through	through	ii
it	it	pph1
and	and	cc
they	they	pphs2
bounce	bounce	vv0
off	off	rp_ii
the	the	at
concrete	concrete	nn1_jj
with	with	iw
a	a	at1
doink	doink	nn1
,	,	y
bring	bring	vv0
her	her	appge
ears	ear	nn2
up	up	rp
like	like	ii
gallery	gallery	nn1
targets	target	nn2
.	.	y
Its	its	z'
mechanism	mechanism	nn1
is	be	vbz
loose	loose	jj
and	and	cc
loud	loud	rr_jj
,	,	y
but	but	ccb
there	there	ex
's	be	vbz
no	no	at
slop	slop	nn1
to	to	ii
it	it	pph1
.	.	y
I	i	ppis1
load	load	vv0
Seth	seth	np1
's	's	ge
pump	pump	nn1
and	and	cc
run	run	vv0_vvn
a	a	at1
set	set	nn1
through	through	ii
it	it	pph1
too	too	rr@
.	.	y
Tight	tight	rr_jj
and	and	cc
quiet	quiet	jj_nn1@
,	,	y
like	like	ii
a	a	at1
new	new	jj
M-16	m-16	fo
.	.	y
Sometimes	sometimes	rt
in	in	ii
Nam	nam	np1
I	i	ppis1
wondered	wonder	vvd
who	who	pnqs
carried	carry	vvd
mine	mine	ppge
before	before	cs
I	i	ppis1
did	do	vdd
.	.	y
There	there	ex
's	be	vbz
a	a	at1
grip	grip	nn1
in	in	ii
that	that	dd1
plastic	plastic	nn1
stock	stock	nn1
that	that	cst_dd1
says	say	vvz
it	it	pph1
's	be	vhz
been	be	vbn
held	hold	vvn
,	,	y
something	something	pn1
psychic	psychic	jj
that	that	cst
says	say	vvz
hello	hello	uh
!	!	y
You	you	ppy
never	never	rr
get	get	vv0
away	away	ii21_rl
from	from	ii22_ii
your	your	appge
gun	gun	nn1
,	,	y
so	so	rr
when	when	cs_rrq
you	you	ppy
come	come	vv0
back	back	rp
to	to	ii
the	the	at
World	world	nn1
you	you	ppy
feel	feel	vv0
its	its	z'
absence	absence	nn1
,	,	y
and	and	cc
you	you	ppy
still	still	rr
think	think	vv0
you	you	ppy
're	be	vbr
going	go	vvgk
to	to	to
get	get	vvi
killed	killed	jj_vvn
.	.	y
What	what	ddq
is	be	vbz
that	that	dd1
?	?	y
Cowardice	cowardice	nn1
?	?	y
//	//	zz
I	i	ppis1
do	do	vd0
n't	n't	xx
hear	hear	vvi
him	him	ppho1
,	,	y
but	but	ccb
she	she	pphs1
does	do	vdz
.	.	y
Her	her	appge
head	head	nn1
jerks	jerk	vvz_nn2
towards	towards	ii
the	the	at
house	house	nn1
,	,	y
then	then	rt
her	her	appge
tail	tail	nn1
wags	wag	vvz_nn2
once	once	rr
,	,	y
yellow	yellow	jj
Spanish	spanish	jj
moss	moss	nn1
.	.	y
He	he	pphs1
's	be	vbz
barefooted	barefooted	jj
,	,	y
carrying	carry	vvg
his	his	appge
boots	boot	nn2
,	,	y
like	like	cs%_vv0@
there	there	ex_rl
is	be	vbz
no	no	at
snow	snow	nn1
.	.	y
Piano	piano	nn1_rr%
key	key	jj_nn1
smile	smile	nn1
,	,	y
ruffled	ruffle	vvd_jj@
hair	hair	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
under	under	ii
the	the	at
dog	dog	nn1
's	's	ge
belly	belly	nn1
//	//	zz
"	"	y
Here	here	rl
.	.	y
"	"	y
//	//	zz
He	he	pphs1
catches	catch	vvz
it	it	pph1
in	in	ii_rp@
his	his	appge
boot	boot	nn1
,	,	y
dumps	dump	nn2
it	it	pph1
on	on	ii
the	the	at
dog	dog	nn1
's	's	ge
back	back	nn1
.	.	y
//	//	zz
"	"	y
What	what	ddq
?	?	y
Why	why	rrq
give	give	vvi
it	it	pph1
to	to	ii
me	me	ppio1
?	?	y
"	"	y
he	he	pphs1
says	say	vvz
,	,	y
pulling	pull	vvg
on	on	ii_rp@
a	a	at1
boot	boot	nn1
.	.	y
//	//	zz
"	"	y
In	in	cs21
case	case	cs22
you	you	ppy
need	need	vv0
it	it	pph1
.	.	y
"	"	y
//	//	zz
"	"	y
What	what	ddq
for	for	if
?	?	y
"	"	y
//	//	zz
"	"	y
You	you	ppy
need	need	vv0
,	,	y
"	"	y
I	i	ppis1
say	say	vv0
,	,	y
and	and	cc
look	look	vv0_nn1
at	at	ii
him	him	ppho1
quick	quick	rr@_jj
,	,	y
"	"	y
to	to	to
give	give	vvi
it	it	pph1
back	back	rp
to	to	ii
me	me	ppio1
someday	someday	rt
.	.	y
"	"	y
//	//	zz
"	"	y
If	if	cs_csw@
I	i	ppis1
lose	lose	vv0
it	it	pph1
over	over	rp
there	there	rl
?	?	y
"	"	y
//	//	zz
"	"	y
Even	even	cs21
if	if	cs22
you	you	ppy
do	do	vd0
n't	n't	xx
go	go	vvi
.	.	y
"	"	y
//	//	zz
"	"	y
You	you	ppy
went	go	vvd
.	.	y
"	"	y
//	//	zz
We	we	ppis2
load	load	vv0
the	the	at
gear	gear	nn1
,	,	y
are	be	vbr
hardly	hardly	rr
a	a	at1
mile	mile	nnu1
away	away	rl
when	when	cs
he	he	pphs1
falls	fall	vvz
asleep	asleep	jj
against	against	ii
the	the	at
window	window	nn1
.	.	y
The	the	at
road	road	nn1
is	be	vbz
icing	ice	vvg
up	up	rp
.	.	y
The	the	at
snow	snow	nn1
,	,	y
now	now	rt
fine	fine	jj
and	and	cc
wet	wet	jj_vvd@_vv0@
,	,	y
and	and	cc
the	the	at
ample	ample	jj
moonlight	moonlight	nn1
,	,	y
his	his	appge
rhythmic	rhythmic	jj
snoring	snoring	nn1%_vvg
,	,	y
this	this	dd1
smell	smell	nn1
of	of	io
dog	dog	nn1
in	in	ii
the	the	at
truck	truck	nn1
seat	seat	nn1
,	,	y
it	it	pph1
all	all	db_rr@
seems	seem	vvz
like	like	ii_jj@
part	part	nn1
of	of	io
the	the	at
ritual	ritual	nn1_jj
.	.	y
We	we	ppis2
ride	ride	vv0
like	like	ii
that	that	dd1
for	for	if
twenty	twenty	mc
miles	mile	nnu2
.	.	y
I	i	ppis1
'll	will	vm
tell	tell	vvi
him	him	ppho1
at	at	ii
breakfast	breakfast	nn1
:	:	y
You	you	ppy
get	get	vv0
back	back	rp
and	and	cc
know	know	vv0
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
//	//	zz
"	"	y
Did	do	vdd
you	you	ppy
kill	kill	vvi
anybody	anybody	pn1
?	?	y
He	he	pphs1
leans	lean	vvz
his	his	appge
elbows	elbow	nn2
on	on	ii
his	his	appge
knees	knee	nn2
,	,	y
his	his	appge
forehead	forehead	nn1
on	on	ii
the	the	at
dash	dash	nn1
.	.	y
"	"	y
I	i	ppis1
mean	mean	vv0
,	,	y
you	you	ppy
know	know	vv0
,	,	y
dust	dust	nn1
'	'	ge
em	em	fu
?	?	y
"	"	y
//	//	zz
He	he	pphs1
sounds	sound	vvz
like	like	ii
a	a	at1
boy	boy	nn1
and	and	cc
all	all	rr41
of	of	rr42
a	a	rr43
sudden	sudden	rr44
I	i	ppis1
'm	be	vbm
calm	calm	jj
.	.	y
I	i	ppis1
'll	will	vm
hurt	hurt	vvi
him	him	ppho1
a	a	at1
little	little	jj
bit	bit	nn1
and	and	cc
he	he	pphs1
'll	will	vm
be	be	vbi
better	better	jjr
for	for	if
it	it	pph1
.	.	y
