##1012950		
Maggie	maggie	np1
bad	bad	jj
that	that	cst
he	he	pphs1
's	be	vbz
going	go	vvgk
to	to	to
have	have	vhi
to	to	to
be	be	vbi
inside	inside	ii
most	most	dat
of	of	io
the	the	at
day	day	nnt1
,	,	y
but	but	ccb
I	i	ppis1
ca	can	vm
n't	n't	xx
bring	bring	vvi
him	him	ppho1
to	to	ii
Christmas	christmas	nnt1
dinner	dinner	nn1
.	.	y
There	there	rl
11	11	mc
be	be	vbi
too	too	rg
many	many	da2
kids	kid	nn2
,	,	y
too	too	rg
many	many	da2
people	people	nn
rushing	rush	vvg
in	in	rp@_ii
and	and	cc
out	out	ii21
of	of	ii22
my	my	appge
sister	sister	nn1
's	's	ge
kitchen	kitchen	nn1
.	.	y
So	so	rr
I	i	ppis1
linger	linger	vv0
,	,	y
leaning	lean	vvg
against	against	ii
the	the	at
back	back	nn1_jj@
door	door	nn1
of	of	io
my	my	appge
tiny	tiny	jj
house	house	nn1
.	.	y
It	it	pph1
's	be	vbz
a	a	at1
cottage	cottage	nn1
really-two	really-two	mc
bedrooms	bedroom	nn2
with	with	iw
gabled	gabled	jj
windows	window	nn2
.	.	y
And	and	cc
while	while	cs
I	i	ppis1
love	love	vv0
it	it	pph1
,	,	y
the	the	at
real-estate	real-estate	nn1
broker	broker	nn1
had	have	vhd
n't	n't	xx
lied	lie	vvn
when	when	cs_rrq
she	she	pphs1
described	describe	vvd
it	it	pph1
as	as	ii
a	a	at1
"	"	y
charming	charming	jj
fixer-upper	fixer-upper	nn1
.	.	y
"	"	y
I	i	ppis1
look	look	vv0
at	at	ii
my	my	appge
watch	watch	nn1
.	.	y
Time	time	nnt1_vv0%
to	to	to
get	get	vvi
ready	ready	jj_rr@
.	.	y
1	1	mc1
call	call	nn1
to	to	ii
Duffy	duffy	np1
,	,	y
who	who	pnqs
bounds	bound	vvz
onto	onto	ii
the	the	at
small	small	jj
back	back	nn1_jj@
porch	porch	nn1
and	and	cc
patiently	patiently	rr
lets	let	z'
me	me	ppio1
towel	towel	nn1
him	him	ppho1
down	down	rp
.	.	y
I	i	ppis1
feed	feed	vv0
him	him	ppho1
in	in	ii
the	the	at
kitchen	kitchen	nn1
,	,	y
his	his	appge
damp	damp	jj_nn1@
,	,	y
black	black	jj
fur	fur	nn1
glistening	glisten	vvg
against	against	ii
the	the	at
shabby	shabby	jj
beige	beige	jj
tiles	tile	nn2
.	.	y
The	the	at
kitchen	kitchen	nn1
is	be	vbz
the	the	at
room	room	nn1
that	that	cst_dd1
needs	need	vvz
the	the	at
most	most	rrt@_dat_rgt
work	work	vv0_nn1
.	.	y
My	my	appge
old	old	jj
boyfriend	boyfriend	nn1
,	,	y
Nick	nick	np1
,	,	y
who	who	pnqs
's	be	vbz
an	a	at1
architect	architect	nn1
,	,	y
was	be	vbdz
drawing	draw	vvg
up	up	rp
remodeling	remodel	vvg_jj@
plans	plan	nn2_vvz
that	that	cst_dd1
would	would	vm
fit	fit	vvi
my	my	appge
minuscule	minuscule	jj
budget	budget	nn1
when	when	cs_rrq
we	we	ppis2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
feeling	feeling	nn1_vvg
depressed	depress	vvd@_jj_vvn@
every	every	at1
time	time	nnt1
I	i	ppis1
look	look	vv0
at	at	ii
the	the	at
dreary	dreary	jj
floor	floor	nn1
and	and	cc
stained	stained	jj
counters	counter	nn2
,	,	y
the	the	at
sink	sink	nn1
with	with	iw
the	the	at
chipped	chipped	jj
enamel	enamel	nn1
.	.	y
But	but	ccb
I	i	ppis1
'm	be	vbm
not	not	xx
ready	ready	jj_rr@
to	to	to
start	start	vvi
over	over	rp
with	with	iw
new	new	jj
plans	plan	nn2
.	.	y
Not	not	xx
yet	yet	rr
.	.	y
I	i	ppis1
did	do	vdd
n't	n't	xx
meet	meet	vvi
Nick	nick	np1
by	by	ii
hiring	hire	vvg
him	him	ppho1
as	as	ii_csa
an	a	at1
architect	architect	nn1
.	.	y
Tm	tm	np1
a	a	at1
social	social	jj
worker	worker	nn1
at	at	ii
a	a	at1
senior	senior	jj
center	center	nn1
,	,	y
and	and	cc
I	i	ppis1
'd	have	vhd
met	meet	vvn
him	him	ppho1
there	there	rl
by	by	ii
chance	chance	nn1
.	.	y
Every	every	at1
Sunday	sunday	npd1
night	night	nnt1
,	,	y
the	the	at
center	center	nn1
serves	serve	vvz
a	a	at1
community	community	nn1
dinner-a	dinner-a	nn1
hot	hot	jj
meal	meal	nn1
for	for	if
people	people	nn
who	who	pnqs
might	might	vm
not	not	xx
have	have	vhi
much	much	da1
more	more	dar
than	than	csn
cereal	cereal	nn1
and	and	cc
soup	soup	nn1
all	all	db
week	week	nnt1
.	.	y
We	we	ppis2
rely	rely	vv0
on	on	ii_rp@
volunteer	volunteer	nn1
cooks	cook	nn2_vvz
and	and	cc
servers	server	nn2
.	.	y
One	one	mc1
Sunday	sunday	npd1
last	last	md
February	february	npm1
,	,	y
a	a	at1
particularly	particularly	rr
bitter	bitter	jj
evening	evening	nnt1
,	,	y
Nick	nick	np1
showed	show	vvd
up	up	rp
to	to	to
help	help	vvi
.	.	y
After	after	cs
we	we	ppis2
'd	have	vhd
known	know	vvn
each	each	ppx221
other	other	ppx222
a	a	at1
couple	couple	nn1
of	of	io
months	month	nnt2
,	,	y
he	he	pphs1
confessed	confess	vvd
to	to	ii
me	me	ppio1
that	that	cst_dd1
while	while	cs
he	he	pphs1
liked	like	vvd
old	old	jj
people	people	nn
,	,	y
he	he	pphs1
had	have	vhd
another	another	dd1
reason	reason	nn1
for	for	if
volunteering	volunteer	vvg
.	.	y
His	his	appge
girlfriend	girlfriend	nn1
had	have	vhd
just	just	rr
ended	end	vvn
their	their	appge
twoyear	twoyear	nn1
relationship	relationship	nn1
,	,	y
and	and	cc
when	when	rrq_cs
he	he	pphs1
'd	have	vhd
seen	see	vvn
the	the	at
center	center	nn1
's	's	ge
notice	notice	nn1
in	in	ii
the	the	at
local	local	jj
paper	paper	nn1
,	,	y
he	he	pphs1
'd	have	vhd
thought	think	vvn
,	,	y
Why	why	rrq
not	not	xx
?	?	y
Might	might	vm
meet	meet	vvi
someone	someone	pn1
.	.	y
Of	of	rr21
course	course	rr22
,	,	y
I	i	ppis1
had	have	vhd
n't	n't	xx
known	know	vvn
this	this	dd1
at	at	ii
the	the	at
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
with	with	iw
shaggy	shaggy	jj
brown	brown	jj
hair	hair	nn1
and	and	cc
a	a	at1
wonderful	wonderful	jj
smile	smile	nn1
.	.	y
You	you	ppy
could	could	vm
tell	tell	vvi
that	that	cst
he	he	pphs1
was	be	vbdz
n't	n't	xx
a	a	at1
phony	phony	jj_nn1@
.	.	y
As	as	csa
he	he	pphs1
served	serve	vvd
the	the	at
pot	pot	nn1
roast	roast	nn1
and	and	cc
gravy	gravy	nn1
,	,	y
he	he	pphs1
asked	ask	vvd
the	the	at
guests	guest	nn2
their	their	appge
names	name	nn2
and	and	cc
introduced	introduce	vvd_vvn
himself	himself	ppx1
.	.	y
I	i	ppis1
was	be	vbdz
standing	stand	vvg
next	next	ii21
to	to	ii22
him	him	ppho1
,	,	y
scooping	scoop	vvg
the	the	at
potatoes	potato	nn2
and	and	cc
smiling	smile	vvg_jj
to	to	ii
myself	myself	ppx1
as	as	csa
I	i	ppis1
saw	see	vvd
each	each	dd1
man	man	nn1
or	or	cc
woman	woman	nn1
light	light	nn1_vv0@
up	up	rp
at	at	ii
his	his	appge
friendliness	friendliness	nn1
.	.	y
The	the	at
center	center	nn1
's	's	ge
dining	dining	nn1
room	room	nn1
is	be	vbz
pleasant	pleasant	jj
but	but	ccb
utilitarian-long	utilitarian-long	jj
Formica	formica	nn1
tables	table	nn2
and	and	cc
plastic	plastic	nn1
molded	mold	vvd_jj@
chairs	chair	nn2
.	.	y
Yet	yet	rr
Nick	nick	np1
had	have	vhd
made	make	vvn
it	it	pph1
seem	seem	vvi
as	as	cs21
though	though	cs22
he	he	pphs1
were	be	vbdr
the	the	at
host	host	nn1
at	at	ii
a	a	at1
gracious	gracious	jj
dinner	dinner	nn1
party	party	nn1
.	.	y
When	when	cs_rrq
we	we	ppis2
were	be	vbdr
walking	walk	vvg
to	to	ii
our	our	appge
cars	car	nn2
,	,	y
he	he	pphs1
asked	ask	vvd
me	me	ppio1
out	out	rp
for	for	if
the	the	at
following	following	jj
Friday	friday	npd1
.	.	y
I	i	ppis1
was	be	vbdz
thrilled	thrill	vvn_jj
.	.	y
After	after	ii
that	that	dd1
,	,	y
Nick	nick	np1
and	and	cc
I	i	ppis1
spent	spend	vvd
pretty	pretty	rg
much	much	rr
all	all	db
our	our	appge
free	free	jj
time	time	nnt1
together	together	rl
.	.	y
We	we	ppis2
went	go	vvd
cross-country	cross-country	jj
skiing	skiing	nn1
.	.	y
We	we	ppis2
ate	eat	vvd
at	at	ii
quaint	quaint	jj
inns	inn	nn2
with	with	iw
trendy	trendy	jj
menus	menu	nn2
featuring	feature	vvg
unknown	unknown	jj
and	and	cc
unloved	unloved	jj
vegetables	vegetable	nn2
.	.	y
We	we	ppis2
went	go	vvd
to	to	ii
movies	movie	nn2
and	and	cc
concerts	concert	nn2
,	,	y
and	and	cc
one	one	mc1
Saturday	saturday	npd1
we	we	ppis2
drove	drive	vvd
into	into	ii
the	the	at
city	city	nn1
for	for	if
an	a	at1
art	art	nn1
exhibition	exhibition	nn1
.	.	y
But	but	ccb
mostly	mostly	rr
Nick	nick	np1
and	and	cc
I	i	ppis1
started	start	vvd
fixing	fix	vvg
up	up	rp
my	my	appge
house	house	nn1
and	and	cc
making	make	vvg
plans	plan	nn2
for	for	if
bigger	big	jjr
renovations-a	renovations-a	nn2
new	new	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
was	be	vbdz
as	as	rg
eager	eager	jj
as	as	csa
I	i	ppis1
was	be	vbdz
.	.	y
One	one	mc1
time	time	nnt1
,	,	y
standing	stand	vvg
in	in	ii
the	the	at
upstairs	upstairs	nn1@
bathroom	bathroom	nn1
where	where	cs_rrq
we	we	ppis2
'd	have	vm_vhd
just	just	rr
scrubbed	scrub	vvn
the	the	at
tile	tile	nn1
and	and	cc
rccaulked	rccaulked	vvn
the	the	at
tub	tub	nn1
,	,	y
I	i	ppis1
joked	joke	vvd
,	,	y
"	"	y
It	it	pph1
's	be	vbz
the	the	at
house	house	nn1
you	you	ppy
really	really	rr
love	love	vv0
,	,	y
is	be	vbz
n't	n't	xx
it	it	pph1
?	?	y
"	"	y
All	all	db_rr@
through	through	ii
the	the	at
summer	summer	nnt1
,	,	y
we	we	ppis2
painted	paint	vvd@_vvn
,	,	y
sanded	sand	vvd
,	,	y
and	and	cc
repaired	repair	vvd_vvn
,	,	y
the	the	at
dog	dog	nn1
always	always	rr
underfoot	underfoot	rl
,	,	y
getting	get	vvg
covered	cover	vvn
in	in	ii
plaster	plaster	nn1
dust	dust	nn1
.	.	y
Once	once	rr
,	,	y
just	just	rr
like	like	vv0@_jj@
on	on	ii_rp@
a	a	at1
sitcom	sitcom	nn1
,	,	y
his	his	appge
tail	tail	nn1
swiped	swipe	vvd
a	a	at1
freshly	freshly	rr
painted	paint	vvn_jj@
wall	wall	nn1
,	,	y
and	and	cc
I	i	ppis1
had	have	vhd
to	to	to
stop	stop	vvi
and	and	cc
clean	clean	vvi
him	him	ppho1
off	off	rp
outside	outside	rl
.	.	y
All	all	db
of	of	io
it	it	pph1
was	be	vbdz
fun	fun	jj
and	and	cc
lighthearted	lightheart	vvd_jj@
and	and	cc
,	,	y
for	for	if
me	me	ppio1
,	,	y
exhilarating	exhilarating	jj
.	.	y
Then	then	rt
,	,	y
in	in	ii
September	september	npm1
,	,	y
things	thing	nn2
started	start	vvd
to	to	to
shift	shift	vvi
.	.	y
Suddenly	suddenly	rr
,	,	y
Nick	nick	np1
was	be	vbdz
busy	busy	jj
a	a	at1
lot	lot	nn1
of	of	io
the	the	at
time	time	nnt1
.	.	y
"	"	y
Work	work	nn1_vv0
's	's	ge_vbz
crazy	crazy	jj
,	,	y
"	"	y
he	he	pphs1
'd	have	vm
say	say	vvi
when	when	rrq
I	i	ppis1
asked	ask	vvd
.	.	y
When	when	cs_rrq
we	we	ppis2
got	get	vvd
together	together	rl
,	,	y
he	he	pphs1
seemed	seem	vvd
remote	remote	jj
,	,	y
sometimes	sometimes	rt
sad	sad	jj
.	.	y
Finally	finally	rr
,	,	y
late	late	rr_jj
on	on	ii
a	a	at1
Sunday	sunday	npd1
afternoon	afternoon	nnt1
,	,	y
just	just	rr
before	before	cs
I	i	ppis1
had	have	vhd
to	to	to
leave	leave	vvi
for	for	if
the	the	at
communitv	communitv	nn1
dinner	dinner	nn1
,	,	y
he	he	pphs1
told	tell	vvd
me	me	ppio1
that	that	cst
his	his	appge
ex-girlfriend	ex-girlfriend	nn1_jj
,	,	y
Jennifer	jennifer	np1
,	,	y
wanted	want	vvd_vvn
to	to	to
give	give	vvi
their	their	appge
relationship	relationship	nn1
one	one	mc1
more	more	dar
try	try	nn1@
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
it	it	pph1
was	be	vbdz
n't	n't	xx
fair	fair	jj_rr@
to	to	to
keep	keep	vvi
me	me	ppio1
hanging	hang	vvg_jj_nn1
while	while	cs
he	he	pphs1
made	make	vvd
up	up	rp
his	his	appge
mind	mind	nn1
.	.	y
He	he	pphs1
was	be	vbdz
right	right	jj
about	about	ii
that	that	dd1
.	.	y
I	i	ppis1
told	tell	vvd
him	him	ppho1
to	to	to
leave	leave	vvi
.	.	y
Then	then	rt
I	i	ppis1
stormed	storm	vvd
around	around	ii_rp
the	the	at
house	house	nn1
,	,	y
throwing	throw	vvg
pillows	pillow	nn2
and	and	cc
sweaters	sweater	nn2
and	and	cc
my	my	appge
hairbrush	hairbrush	nn1
,	,	y
before	before	ii
collapsing	collapse	vvg
on	on	ii
the	the	at
velvet	velvet	nn1
sofa	sofa	nn1
opposite	opposite	ii
the	the	at
fireplace	fireplace	nn1
and	and	cc
sobbing	sob	vvg
.	.	y
Finally	finally	rr
,	,	y
I	i	ppis1
was	be	vbdz
all	all	db_rr@
cried	cry	vvd
out	out	rp
.	.	y
I	i	ppis1
stood	stand	vvd
up	up	rp
,	,	y
walked	walk	vvd_vvn@
into	into	ii
the	the	at
bathroom	bathroom	nn1
,	,	y
scrubbed	scrub	vvd_vvn
my	my	appge
face	face	nn1
,	,	y
and	and	cc
headed	head	vvn_vvd@
out	out	rp
to	to	ii
the	the	at
center	center	nn1
.	.	y
That	that	dd1
was	be	vbdz
three	three	mc
months	month	nnt2
ago	ago	ra
,	,	y
before	before	cs_ii
the	the	at
extraordinary	extraordinary	jj
event	event	nn1
that	that	cst_dd1
was	be	vbdz
going	go	vvgk
to	to	to
make	make	vvi
this	this	dd1
Christmas	christmas	nnt1
unlike	unlike	ii@
any	any	dd
other	other	jj_nn1@
.	.	y
December	december	npm1
25	25	mc
,	,	y
P.M.	pm	ra_np1
Since	since	cs_ii@
our	our	appge
parents	parent	nn2
moved	move	vvn_vvd
to	to	ii
a	a	at1
retirement	retirement	nn1
community	community	nn1
in	in	ii
Arizona	arizona	np1
six	six	mc
years	year	nnt2
ago	ago	ra
,	,	y
my	my	appge
sisters	sister	nn2
have	have	vh0
taken	take	vvn
turns	turn	vvz_nn2@
hosting	host	vvg
Christmas	christmas	nnt1
dinner	dinner	nn1
.	.	y
This	this	dd1
year	year	nnt1
,	,	y
it	it	pph1
's	be	vbz
at	at	ii
Cathy	cathy	np1
's	's	ge
house	house	nn1
.	.	y
Cathy	cathy	np1
is	be	vbz
the	the	at
sister	sister	nn1
I	i	ppis1
'm	be	vbm
closest	closest	jjt
with	with	iw
.	.	y
We	we	ppis2
're	be	vbr
only	only	rr
18	18	mc
months	month	nnt2
apart	apart	rl
,	,	y
and	and	cc
though	though	cs
our	our	appge
lives	life	nn2
are	be	vbr
very	very	jj@
different-she	different-she	pphs1
's	be	vhz
got	get	vvn
a	a	at1
husband	husband	nn1
and	and	cc
two	two	mc
kids-we	kids-we	ppis2
talk	talk	vv0
almost	almost	rr
every	every	at1
day	day	nnt1
.	.	y
She	she	pphs1
was	be	vbdz
almost	almost	rr
as	as	rg
upset	upset	jj
as	as	csa
I	i	ppis1
was	be	vbdz
about	about	ii
Nick	nick	np1
's	's	ge
defection	defection	nn1
.	.	y
"	"	y
That	that	dd1
creep	creep	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
I	i	ppis1
used	use	vvd
the	the	at
good	good	jj
china	china	nn1
when	when	cs_rrq
he	he	pphs1
came	come	vvd
over	over	rp
.	.	y
"	"	y
Normally	normally	rr
,	,	y
our	our	appge
parents	parent	nn2
fly	fly	vv0
in	in	rp@
to	to	to
be	be	vbi
with	with	iw
us	us	ppio2
for	for	if
the	the	at
holidays	holiday	nn2
.	.	y
But	but	ccb
this	this	dd1
year	year	nnt1
,	,	y
my	my	appge
two	two	mc
oldest	old	jjt
sisters-Liz	sisters-liz	np1
and	and	cc
Joanne-are	joanne-are	vbr
planning	plan	vvg
to	to	to
go	go	vvi
to	to	ii
Arizona	arizona	np1
with	with	iw
their	their	appge
families	family	nn2
for	for	if
New	new	jj
Year	year	nnt1
's	's	ge
.	.	y
I	i	ppis1
'm	be	vbm
going	go	vvg
out	out	rp
in	in	ii
February	february	npm1
,	,	y
and	and	cc
I	i	ppis1
'm	be	vbm
hoping	hope	vvg
Cathy	cathy	np1
will	will	vm
come	come	vvi
,	,	y
too	too	rr@_rg
,	,	y
but	but	ccb
she	she	pphs1
is	be	vbz
n't	n't	xx
sure	sure	jj
.	.	y
She	she	pphs1
's	be	vbz_vhz@
always	always	rr
worried	worry	vvn@_jj_vvd@
about	about	ii
money	money	nn1
.	.	y
Her	her	appge
husband	husband	nn1
,	,	y
Greg	greg	np1
,	,	y
is	be	vbz
a	a	at1
musician-he	musician-he	pphs1
plays	play	vvz
keyboard	keyboard	nn1
in	in	ii
a	a	at1
jazz	jazz	nn1
band-and	band	cc
while	while	cs
he	he	pphs1
has	have	vhz
a	a	at1
lot	lot	nn1
of	of	io
work	work	nn1
over	over	ii
the	the	at
holidays	holiday	nn2
,	,	y
January	january	npm1
and	and	cc
February	february	npm1
are	be	vbr
going	go	vvgk
to	to	to
be	be	vbi
slow	slow	jj
.	.	y
I	i	ppis1
pull	pull	vv0
up	up	rp
in	in	ii31
front	front	ii32
of	of	ii33
her	her	appge
house	house	nn1
.	.	y
Only	only	rr_jj
Gregs	greg	np2
parents	parent	nn2
are	be	vbr
there	there	rl
,	,	y
I	i	ppis1
see	see	vv0
.	.	y
Should	should	vm
I	i	ppis1
bring	bring	vvi
the	the	at
presents	present	nn2
in	in	rp@_ii
with	with	iw
me	me	ppio1
:	:	y
I	i	ppis1
wonder	wonder	vv0
.	.	y
Or	or	cc
explain	explain	vv0
first	first	md
,	,	y
then	then	rt
fetch	fetch	vv0
them	them	ppho2
from	from	ii
the	the	at
car	car	nn1
?	?	y
I	i	ppis1
decide	decide	vv0
to	to	to
bring	bring	vvi
them-the	them	at
kids	kid	nn2
will	will	vm
freak	freak	vvi
out	out	rp
if	if	cs
I	i	ppis1
appear	appear	vv0
empty-handed	empty-handed	jj
.	.	y
I	i	ppis1
've	have	vh0
just	just	rr
opened	open	vvn
the	the	at
trunk	trunk	nn1
when	when	cs_rrq
my	my	appge
sister	sister	nn1
Liz	liz	np1
parks	park	nn2_vvz@
behind	behind	ii
me	me	ppio1
.	.	y
"	"	y
Have	have	vh0
you	you	ppy
gone	go	vvn
mad	mad	jj
,	,	y
Maggie	maggie	np1
?	?	y
"	"	y
she	she	pphs1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
's	be	vbz
all	all	db
this	this	dd1
?	?	y
"	"	y
"	"	y
Do	do	vd0
n't	n't	xx
forget	forget	vvi
,	,	y
I	i	ppis1
'm	be	vbm
bringing	bring	vvg
some	some	dd
of	of	io
the	the	at
food	food	nn1
too	too	rr@_rg
,	,	y
"	"	y
I	i	ppis1
answer	answer	vv0
lamely	lamely	rr
.	.	y
Nothing	nothing	pn1
in	in	ii
the	the	at
trunk	trunk	nn1
looks	look	vvz
like	like	ii
food	food	nn1
.	.	y
"	"	y
You	you	ppy
have	have	vh0
n't	n't	xx
broken	break	vvn
the	the	at
rules	rule	nn2
,	,	y
have	have	vh0
you	you	ppy
?	?	y
"	"	y
Liz	liz	np1
demands	demand	nn2_vvz@
.	.	y
The	the	at
rules	rule	nn2
are	be	vbr
these	these	dd2
:	:	y
One	one	mc1
gift	gift	nn1
per	per	ii
niece	niece	nn1
and	and	cc
nephew	nephew	nn1
,	,	y
each	each	dd1
