##1002054		
Beyond	beyond	ii
felt	feel	vvd
.	.	y
<p>	<p>	y
Well	well	rr
,	,	y
let	let	vv0_vvd@
her	her	ppho1
complain	complain	vvi
.	.	y
There	there	ex
were	be	vbdr
things	thing	nn2
she	she	pphs1
could	could	vm
n't	n't	xx
begin	begin	vvi
to	to	to
comprehend	comprehend	vvi
.	.	y
What	what	ddq
it	it	pph1
was	be	vbdz
to	to	to
have	have	vhi
such	such	da
a	a	at1
father	father	nn1
,	,	y
for	for	if
one	one	pn1_mc1
.	.	y
How	how	rrq
would	would	vm
she	she	pphs1
like	like	vvi
to	to	to
have	have	vhi
awakened	awaken	vvn
,	,	y
all	all	db_rr@
alone	alone	rr_jj
,	,	y
to	to	ii
the	the	at
sound	sound	nn1
of	of	io
a	a	at1
voice	voice	nn1
that	that	cst
covered	cover	vvd
you	you	ppy
like	like	vv0
a	a	at1
tide	tide	nn1
,	,	y
that	that	dd1_cst
could	could	vm
n't	n't	xx
for	for	if
a	a	at1
moment	moment	nn1
let	let	vv0
you	you	ppy
forget	forget	vvi
it	it	pph1
was	be	vbdz
the	the	at
source	source	nn1
,	,	y
that	that	cst
whatever	whatever	ddqv
you	you	ppy
did	do	vdd
and	and	cc
used	used	jj_vvd_vvn
and	and	cc
enjoyed	enjoy	vvd_vvn
came	come	vvd
from	from	ii
his	his	appge
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
it	it	pph1
was	be	vbdz
abundantly	abundantly	rr
clear	clear	jj_vv0@_rr@
where	where	cs_rrq
she	she	pphs1
came	come	vvd
from	from	ii
(	(	y
it	it	pph1
was	be	vbdz
going	go	vvg
a	a	rr21
bit	bit	rr22
far	far	rr
,	,	y
he	he	pphs1
thought	think	vvd
sullenly	sullenly	rr
,	,	y
to	to	to
remove	remove	vvi
his	his	appge
rib	rib	nn1
while	while	cs
he	he	pphs1
innocently	innocently	rr
slept	sleep	vvd_vvn@
-	-	-
you	you	ppy
'd	have	vm
think	think	vvi
a	a	at1
man	man	nn1
could	could	vm
call	call	vvi
his	his	appge
body	body	nn1
his	his	appge
own	own	da
)	)	y
,	,	y
his	his	appge
ambiguous	ambiguous	jj
origins	origin	nn2
made	make	vvd_vvn
him	him	ppho1
uneasy	uneasy	jj
.	.	y
That	that	cst
the	the	at
voice	voice	nn1
was	be	vbdz
his	his	appge
father	father	nn1
,	,	y
everything	everything	pn1
's	's	ge
father	father	nn1
,	,	y
was	be	vbdz
plain	plain	rr@_jj
enough	enough	rr
.	.	y
Yet	yet	rr
he	he	pphs1
was	be	vbdz
told	tell	vvn
too	too	rr@
that	that	cst
he	he	pphs1
came	come	vvd
from	from	ii
a	a	at1
handful	handful	nn1
of	of	io
dust	dust	nn1
.	.	y
Hardly	hardly	rr
reassuring	reassure	vvg_jj
to	to	to
be	be	vbi
made	make	vvn
of	of	io
dust	dust	nn1
.	.	y
At	at	ii
the	the	at
moments	moment	nn2
of	of	io
his	his	appge
greatest	greatest	jjt
strength	strength	nn1
,	,	y
when	when	cs_rrq
he	he	pphs1
sported	sport	vvd
with	with	iw
the	the	at
animals	animal	nn2
or	or	cc
swam	swim	vvd
across	across	ii
the	the	at
stream	stream	nn1
,	,	y
he	he	pphs1
would	would	vm
suddenly	suddenly	rr
remember	remember	vvi
,	,	y
Dust	dust	nn1_vv0@
,	,	y
and	and	cc
shiver	shiver	vvi
with	with	iw
intimations	intimation	nn2
of	of	io
crumbling	crumbling	nn1_jj_vvg
,	,	y
dissolving	dissolve	vvg_jj
.	.	y
And	and	cc
could	could	vm
she	she	pphs1
feel	feel	vvi
how	how	rgq@_rrq
heavy	heavy	jj_rr%
a	a	at1
burden	burden	nn1
it	it	pph1
was	be	vbdz
to	to	to
live	live	vvi
up	up	ii21
to	to	ii22
his	his	appge
father	father	nn1
's	's	ge
image	image	nn1
?	?	y
For	for	if
those	those	dd2
were	be	vbdr
the	the	at
cryptic	cryptic	jj
words	word	nn2
he	he	pphs1
must	must	vm
live	live	vvi
by	by	ii_rp%
-	-	-
made	make	vvn_vvd
in	in	ii
his	his	appge
image	image	nn1
-	-	-
yet	yet	rr
how	how	rrq
could	could	vm
a	a	at1
creature	creature	nn1
of	of	io
dust	dust	nn1
aspire	aspire	vv0
to	to	ii
such	such	da
grandeur	grandeur	nn1
?	?	y
By	by	ii
constant	constant	jj
striving	striving	nn1@_jj@
and	and	cc
self-discipline	self-discipline	nn1_jj
,	,	y
that	that	dd1_cst
was	be	vbdz
how	how	rrq
;	;	y
by	by	ii
measuring	measure	vvg
every	every	at1
action	action	nn1
against	against	ii
the	the	at
example	example	nn1
of	of	io
that	that	dd1
mighty	mighty	jj
voice	voice	nn1
.	.	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
In	in	ii
her	her	appge
view	view	nn1
,	,	y
he	he	pphs1
worried	worry	vvd@
far	far	rr
too	too	rg
much	much	da1_rr
over	over	ii_rp
his	his	appge
relation	relation	nn1
to	to	ii
his	his	appge
father	father	nn1
.	.	y
Why	why	rrq
not	not	xx
concentrate	concentrate	vvi
instead	instead	rr
on	on	ii
his	his	appge
relation	relation	nn1
to	to	ii
her	her	ppho1
,	,	y
a	a	at1
notion	notion	nn1
that	that	cst
struck	strike	vvd
him	him	ppho1
as	as	csa_ii@
sacrilege	sacrilege	nn1
.	.	y
She	she	pphs1
just	just	rr
was	be	vbdz
n't	n't	xx
important	important	jj
enough	enough	rr
in	in	ii
the	the	at
scheme	scheme	nn1
of	of	io
things	thing	nn2
,	,	y
delightful	delightful	jj
as	as	csa
it	it	pph1
might	might	vm
be	be	vbi
to	to	to
play	play	vvi
with	with	iw
her	her	ppho1
and	and	cc
end	end	vvi
up	up	rp
,	,	y
more	more	rgr
often	often	rr
than	than	csn
not	not	xx
,	,	y
in	in	ii
an	a	at1
embrace	embrace	nn1
.	.	y
Did	do	vdd
his	his	appge
father	father	nn1
indulge	indulge	vvi
in	in	ii
such	such	da
lush	lush	jj
joys	joy	nn2
?	?	y
Inconceivable	inconceivable	jj
.	.	y
Well	well	rr
,	,	y
it	it	pph1
was	be	vbdz
one	one	mc1
thing	thing	nn1
to	to	to
yield	yield	vvi
briefly	briefly	rr
,	,	y
which	which	ddq
was	be	vbdz
no	no	rr21
doubt	doubt	rr22
what	what	ddq
his	his	appge
father	father	nn1
had	have	vhd
intended	intend	vvn
,	,	y
and	and	cc
quiet	quiet	jj_vv0%
another	another	dd1
to	to	to
take	take	vvi
it	it	pph1
seriously	seriously	rr
:	:	y
hardly	hardly	rr
in	in	ii
that	that	dd1
sober	sober	jj
image	image	nn1
.	.	y
<p>	<p>	y
So	so	rr
he	he	pphs1
had	have	vhd
heeded	heed	vvn
his	his	appge
father	father	nn1
's	's	ge
voice	voice	nn1
and	and	cc
told	tell	vvn
the	the	at
truth	truth	nn1
,	,	y
as	as	csa
he	he	pphs1
was	be	vbdz
taught	teach	vvn
to	to	to
do	do	vdi
(	(	y
if	if	cs_csw@
threats	threat	nn2
were	be	vbdr
a	a	at1
valid	valid	jj
form	form	nn1
of	of	io
teaching	teaching	nn1_vvg
)	)	y
,	,	y
and	and	cc
they	they	pphs2
were	be	vbdr
cast	cast	vvn
out	out	ii21
of	of	ii22
the	the	at
garden	garden	nn1
to	to	ii
a	a	at1
colder	cold	jjr
,	,	y
craggier	craggy	jjr
place	place	nn1
,	,	y
where	where	rrq
he	he	pphs1
could	could	vm
never	never	rr
hear	hear	vvi
the	the	at
voice	voice	nn1
approach	approach	nn1
without	without	iw
anxious	anxious	jj
trembling	trembling	jj@_nn1%_vvg
.	.	y
They	they	pphs2
were	be	vbdr
poor	poor	jj
,	,	y
as	as	csa
warned	warn	vvn
,	,	y
but	but	ccb
the	the	at
work	work	nn1
did	do	vdd
not	not	xx
trouble	trouble	vvi
him	him	ppho1
-	-	-
in	in	ii
truth	truth	nn1
,	,	y
the	the	at
idleness	idleness	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
to	to	to
suspect	suspect	vvi
he	he	pphs1
was	be	vbdz
made	make	vvn
for	for	if
more	more	dar
than	than	csn
leisure	leisure	nn1
,	,	y
that	that	cst
he	he	pphs1
had	have	vhd
the	the	at
resources	resource	nn2
to	to	to
achieve	achieve	vvi
something	something	pn1
,	,	y
perhaps	perhaps	rr
great	great	jj
things	thing	nn2
.	.	y
Look	look	vv0
at	at	rr21_ii
all	all	rr22_db
his	his	appge
father	father	nn1
had	have	vhd
done	do	vdn
!	!	y
Surely	surely	rr
if	if	cs
he	he	pphs1
was	be	vbdz
made	make	vvn
in	in	ii
his	his	appge
image	image	nn1
,	,	y
he	he	pphs1
might	might	vm
accomplish	accomplish	vvi
something	something	pn1
by	by	ii
his	his	appge
labor	labor	nn1
.	.	y
If	if	cs
work	work	nn1
was	be	vbdz
his	his	appge
curse	curse	nn1
he	he	pphs1
was	be	vbdz
prepared	prepare	vvn
to	to	to
endure	endure	vvi
it	it	pph1
,	,	y
even	even	rr
enjoy	enjoy	vv0
it	it	pph1
.	.	y
<p>	<p>	y
He	he	pphs1
did	do	vdd
n't	n't	xx
grasp	grasp	vvi
the	the	at
nature	nature	nn1
of	of	io
her	her	appge
curse	curse	nn1
until	until	cs
he	he	pphs1
saw	see	vvd
it	it	pph1
enacted	enact	vvd
.	.	y
Here	here	rl
was	be	vbdz
no	no	at
curse	curse	nn1
but	but	ccb
a	a	at1
blessing	blessing	nn1
.	.	y
Of	of	io
all	all	db
the	the	at
stupendous	stupendous	jj
things	thing	nn2
,	,	y
of	of	io
all	all	db
the	the	at
examples	example	nn2
of	of	io
his	his	appge
father	father	nn1
's	's	ge
inventiveness	inventiveness	nn1
,	,	y
this	this	dd1
was	be	vbdz
the	the	at
most	most	rgt
miraculous	miraculous	jj
.	.	y
She	she	pphs1
heaved	heave	vvd
and	and	cc
moaned	moan	vvd
and	and	cc
tossed	toss	vvn_vvd
while	while	cs
he	he	pphs1
,	,	y
standing	stand	vvg
helplessly	helplessly	rr
by	by	ii_rp%
,	,	y
thought	think	vvd_vvn
at	at	rr21
first	first	rr22
that	that	cst
it	it	pph1
must	must	vm
be	be	vbi
Death	death	nn1
,	,	y
so	so	rg
far	far	rr
only	only	rr
a	a	at1
baffling	baffling	jj
,	,	y
dread	dread	vv0_nn1_jj@
word	word	nn1
.	.	y
At	at	rr21
last	last	rr22
,	,	y
out	out	ii21
of	of	ii22
all	all	db
her	her	appge
heaving	heaving	nn1
,	,	y
came	come	vvd
another	another	dd1
exactly	exactly	rr
like	like	ii_vv0@
him	him	ppho1
.	.	y
Her	her	appge
wails	wail	nn2
stopped	stop	vvd_vvn
immediately	immediately	rr
and	and	cc
she	she	pphs1
laughed	laugh	vvd
in	in	ii
astonishment	astonishment	nn1
.	.	y
But	but	ccb
something	something	pn1
nagged	nag	vvd
at	at	ii
his	his	appge
own	own	da
astonished	astonished	jj
joy	joy	nn1
.	.	y
Why	why	rrq
had	have	vhd
his	his	appge
father	father	nn1
given	give	vvn
this	this	dd1_rg%
great	great	jj
power	power	nn1
to	to	ii
her	her	ppho1
?	?	y
Could	could	vm
she	she	pphs1
possibly	possibly	rr
be	be	vbi
the	the	at
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
dust	dust	nn1
and	and	cc
she	she	pphs1
of	of	io
firmer	firm	jjr
stuff	stuff	nn1
?	?	y
As	as	ii21
for	for	ii22
the	the	at
child	child	nn1
,	,	y
it	it	pph1
had	have	vhd
what	what	ddq
neither	neither	dd1_rr
of	of	io
them	them	ppho2
had	have	vhd
ever	ever	rr
known	know	vvn
,	,	y
a	a	at1
mother	mother	nn1
.	.	y
Everyone	everyone	pn1
-	-	-
father	father	nn1
,	,	y
wife	wife	nn1
,	,	y
child	child	nn1
,	,	y
seemed	seem	vvd
more	more	rgr_dar
privileged	privileged	jj
than	than	csn
he	he	pphs1
,	,	y
mere	mere	jj
dust	dust	nn1
and	and	cc
motherless	motherless	jj
.	.	y
All	all	db
that	that	cst_dd1
distinguished	distinguish	vvd@
him	him	ppho1
were	be	vbdr
his	his	appge
strength	strength	nn1
and	and	cc
his	his	appge
will	will	nn1@
to	to	to@_ii
work	work	vvi_nn1
.	.	y
<p>	<p>	y
The	the	at
next	next	md
year	year	nnt1
there	there	ex
was	be	vbdz
another	another	dd1
like	like	ii
him	him	ppho1
,	,	y
and	and	cc
he	he	pphs1
marveled	marvel	vvd
anew	anew	rr
.	.	y
The	the	at
others	others	nn2
were	be	vbdr
like	like	ii
her	her	ppho1
;	;	y
perhaps	perhaps	rr
for	for	if
that	that	dd1
reason	reason	nn1
he	he	pphs1
did	do	vdd
not	not	xx
note	note	vvi
them	them	ppho2
down	down	rp
in	in	ii
the	the	at
records	record	nn2
he	he	pphs1
had	have	vhd
begun	begin	vvn
to	to	to
keep	keep	vvi
,	,	y
or	or	cc
perhaps	perhaps	rr
it	it	pph1
no	no	rr21
longer	long	rr22
seemed	seem	vvd_vvn@
so	so	rg_rr
miraculous	miraculous	jj
.	.	y
Besides	besides	rr
,	,	y
he	he	pphs1
began	begin	vvd
to	to	to
have	have	vhi
the	the	at
discouraging	discouraging	jj
feeling	feeling	nn1
that	that	cst
they	they	pphs2
belonged	belong	vvd
more	more	rrr_dar
to	to	ii
her	her	ppho1
than	than	csn
to	to	ii
him	him	ppho1
,	,	y
what	what	ddq
with	with	iw
her	her	ppho1
carrying	carry	vvg
them	them	ppho2
and	and	cc
nursing	nurse	vvg
them	them	ppho2
and	and	cc
the	the	at
long	long	jj
hours	hour	nnt2
spent	spend	vvn_vvd
in	in	ii
their	their	appge
company	company	nn1
while	while	cs
he	he	pphs1
was	be	vbdz
at	at	ii
work	work	nn1
.	.	y
He	he	pphs1
sensed	sense	vvd
her	her	ppho1
gradually	gradually	rr
turning	turn	vvg
away	away	ii21_rl
from	from	ii22_ii
him	him	ppho1
and	and	cc
toward	toward	ii
them	them	ppho2
.	.	y
She	she	pphs1
still	still	rr
came	come	vvd
to	to	ii
him	him	ppho1
when	when	cs_rrq
he	he	pphs1
wanted	want	vvd
her	her	ppho1
,	,	y
but	but	ccb
not	not	xx
with	with	iw
exclusive	exclusive	jj
attention	attention	nn1
;	;	y
it	it	pph1
was	be	vbdz
possible	possible	jj
she	she	pphs1
loved	love	vvd
them	them	ppho2
more	more	rrr
.	.	y
And	and	cc
just	just	rr
as	as	csa
these	these	dd2
thoughts	thought	nn2
came	come	vvd
to	to	to
trouble	trouble	vvi
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
.	.	y
<p>	<p>	y
It	it	pph1
was	be	vbdz
he	he	pphs1
who	who	pnqs
discovered	discover	vvd
them	them	ppho2
,	,	y
and	and	cc
who	who	pnqs
heard	hear	vvd
the	the	at
older	old	jjr
one	one	pn1
saying	say	vvg
those	those	dd2
unimaginable	unimaginable	jj
,	,	y
unforgivable	unforgivable	jj
words	word	nn2
to	to	ii
the	the	at
great	great	jj
voice	voice	nn1
,	,	y
which	which	ddq
thundered	thunder	vvd
more	more	rgr_rrr
terrifyingly	terrifyingly	rr
now	now	rt
than	than	csn
when	when	cs_rrq
they	they	pphs2
had	have	vhd
left	leave	vvn
the	the	at
garden	garden	nn1
ages	age	nn2
ago	ago	ra
.	.	y
When	when	cs_rrq
it	it	pph1
finally	finally	rr
withdrew	withdraw	vvd
,	,	y
leaving	leave	vvg
him	him	ppho1
to	to	ii
gaze	gaze	nn1
at	at	ii
his	his	appge
sons	son	nn2
,	,	y
on	on	ii
one	one	mc1_pn1
defiant	defiant	jj
,	,	y
confused	confuse	vvn_jj_vvd@
,	,	y
and	and	cc
ashamed	ashamed	jj
,	,	y
the	the	at
other	other	jj_nn1@
a	a	at1
mangled	mangled	jj@
body	body	nn1
on	on	ii
the	the	at
grass	grass	nn1
,	,	y
he	he	pphs1
understood	understand	vvd
he	he	pphs1
had	have	vhd
lost	lose	vvn
them	them	ppho2
both	both	rr
forever	forever	rt
.	.	y
He	he	pphs1
grieved	grieve	vvd
mightily	mightily	rr
,	,	y
his	his	appge
first	first	md
wrenching	wrenching	jj@_nn1@_vvg
grief	grief	nn1
.	.	y
He	he	pphs1
grieved	grieve	vvd
,	,	y
yet	yet	rr
having	have	vhg
known	know	vvn
resentment	resentment	nn1
and	and	cc
frustration	frustration	nn1
,	,	y
he	he	pphs1
saw	see	vvd
dimly	dimly	rr
how	how	rrq
a	a	at1
man	man	nn1
might	might	vm
strike	strike	vvi
out	out	rp
with	with	iw
dumb	dumb	jj
force	force	nn1
.	.	y
<p>	<p>	y
He	he	pphs1
grieved	grieve	vvd
and	and	cc
mourned	mourn	vvd
them	them	ppho2
both	both	db2_rr
,	,	y
but	but	ccb
her	her	appge
grief	grief	nn1
was	be	vbdz
inconsolable	inconsolable	jj
.	.	y
Once	once	rr
so	so	rg_rr
lavish	lavish	jj
with	with	iw
words	word	nn2
,	,	y
now	now	rt
she	she	pphs1
had	have	vhd
none	none	pn
to	to	to
hold	hold	vvi
what	what	ddq
she	she	pphs1
felt	feel	vvd
.	.	y
Anger	anger	vv0_nn1
,	,	y
spite	spite	nn1
,	,	y
deceit	deceit	vv0_nn1
,	,	y
yes	yes	uh
,	,	y
she	she	pphs1
was	be	vbdz
familiar	familiar	jj
with	with	iw
many	many	da2
ugly	ugly	jj
things	thing	nn2
by	by	rt21
now	now	rt22
,	,	y
but	but	ccb
this	this	dd1
was	be	vbdz
beyond	beyond	ii
her	her	appge
grasp	grasp	nn1
.	.	y
The	the	at
life	life	nn1
oozed	ooze	vvd
out	out	ii21
of	of	ii22
her	her	ppho1
as	as	csa
it	it	pph1
had	have	vhd
out	out	ii21
of	of	ii22
the	the	at
boy	boy	nn1
,	,	y
though	though	cs
she	she	pphs1
still	still	rr
breathed	breathe	vvd_vvn@
and	and	cc
moved	move	vvd_vvn
.	.	y
She	she	pphs1
lost	lose	vvd
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
?	?	y
she	she	pphs1
replied	reply	vvd
when	when	rrq_cs
he	he	pphs1
tried	try	vvd
to	to	to
rouse	rouse	vvi
her	her	ppho1
.	.	y
And	and	cc
seeing	see	vvg
her	her	ppho1
grown	grow	vvn_vvd@
older	old	jjr
and	and	cc
sad	sad	jj
beyond	beyond	ii
reach	reach	nn1
,	,	y
he	he	pphs1
knew	know	vvd
there	there	ex_rl
would	would	vm
be	be	vbi
no	no	at
more	more	dar
children	child	nn2
;	;	y
that	that	dd1
power	power	nn1
had	have	vhd
left	leave	vvn
her	her	ppho1
,	,	y
or	or	cc
else	else	rr
the	the	at
will	will	nn1@
to	to	to
use	use	vvi
it	it	pph1
.	.	y
<p>	<p>	y
No	no	xx
one	one	pn122
remained	remain	vvd_vvn
but	but	ccb
his	his	appge
daughters	daughter	nn2
,	,	y
who	who	pnqs
looked	look	vvd
almost	almost	rr
as	as	csa
she	she	pphs1
had	have	vhd
when	when	cs
she	she	pphs1
first	first	md
appeared	appear	vvd
.	.	y
Up	up	ii21
to	to	ii22
this	this	dd1
moment	moment	nn1
he	he	pphs1
had	have	vhd
regarded	regard	vvn
them	them	ppho2
simply	simply	rr
as	as	csa
tender	tender	jj
children	child	nn2
to	to	to
take	take	vvi
care	care	nn1
of	of	io
,	,	y
who	who	pnqs
could	could	vm
help	help	vvi
with	with	iw
the	the	at
work	work	nn1
when	when	cs_rrq
they	they	pphs2
grew	grow	vvd
strong	strong	jj_rr%
enough	enough	rr
.	.	y
Now	now	rt
,	,	y
with	with	iw
unease	unease	nn1
,	,	y
he	he	pphs1
found	find	vvd
himself	himself	ppx1
watching	watch	vvg
as	as	csa
they	they	pphs2
moved	move	vvd
through	through	ii
the	the	at
house	house	nn1
or	or	cc
the	the	at
fields	field	nn2
,	,	y
precisely	precisely	rr
as	as	csa
he	he	pphs1
had	have	vhd
once	once	rr
watched	watch	vvn
her	her	ppho1
,	,	y
bewitched	bewitch	vvn
by	by	ii
every	every	at1
nuance	nuance	nn1
of	of	io
contour	contour	nn1
and	and	cc
movement	movement	nn1
.	.	y
Would	would	vm
it	it	pph1
be	be	vbi
so	so	rg_rr
very	very	rg
wrong	wrong	jj_rr@
?	?	y
It	it	pph1
was	be	vbdz
nothing	nothing	pn1
his	his	appge
father	father	nn1
had	have	vhd
specifically	specifically	rr
forbidden	forbid	vvn
.	.	y
On	on	ii
the	the	at
contrary	contrary	nn1_jj
,	,	y
had	have	vhd
n't	n't	xx
he	he	pphs1
ordered	order	vvn
them	them	ppho2
to	to	to
be	be	vbi
fruitful	fruitful	jj
and	and	cc
multiply	multiply	vv0
?	?	y
<p>	<p>	y
In	in	ii
time	time	nnt1
he	he	pphs1
bred	breed	vvd
a	a	at1
long	long	jj
line	line	nn1
of	of	io
sons	son	nn2
and	and	cc
daughters	daughter	nn2
,	,	y
whose	whose	ddqge
vices	vice	nn2
multiplied	multiply	vvn_vvd
with	with	iw
their	their	appge
numbers	number	nn2
.	.	y
After	after	cs_ii
her	her	appge
shock	shock	nn1
at	at	ii
the	the	at
first	first	md
brutal	brutal	jj
act	act	nn1
,	,	y
none	none	pn
of	of	io
it	it	pph1
surprised	surprise	vvd@
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
but	but	ccb
with	with	iw
mute	mute	jj
disapproval	disapproval	nn1
.	.	y
She	she	pphs1
did	do	vdd
not	not	xx
often	often	rr
rebel	rebel	vvi
at	at	ii
the	the	at
way	way	nn1
things	thing	nn2
went	go	vvd
-	-	-
but	but	ccb
her	her	appge
silence	silence	nn1
was	be	vbdz
worse	bad	jjr_rrr@
than	than	csn
her	her	appge
occasional	occasional	jj
open	open	jj
rebellion	rebellion	nn1
.	.	y
Her	her	appge
silence	silence	nn1
haunted	haunt	vvd_vvn
him	him	ppho1
,	,	y
and	and	cc
her	her	appge
yielding	yielding	jj
,	,	y
with	with	iw
its	its	z'
tacit	tacit	jj
skepticism	skepticism	nn1
,	,	y
he	he	pphs1
found	find	vvd
unbearable	unbearable	jj
:	:	y
His	his	appge
own	own	da
skepticism	skepticism	nn1
was	be	vbdz
hard	hard	rr
enough	enough	rr_dd
to	to	to
bear	bear	vvi
.	.	y
<p>	<p>	y
Her	her	appge
silence	silence	nn1
cast	cast	vv0_vvn_vvd@
it	it	pph1
pall	pall	vv0_nn1
over	over	rp_ii
the	the	at
numberless	numberless	jj
projects	project	nn2
